string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
item,brloot_valuable_comicbook,,10,10,10,10,0,0,0,0,0,0,0,10,10,0,10,0,0,10,10,0,0,0,1,1,1,0,0,0
item,brloot_valuable_folder,,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,100,10,0,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_bandage,,10,10,10,10,0,0,0,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_battery,,10,10,10,10,0,0,0,10,10,10,0,10,10,10,10,0,0,0,10,0,0,0,1,1,1,0,0,0
item,brloot_valuable_game_console,,5,5,5,0,0,0,0,0,0,0,0,0,10,0,10,0,0,5,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_lightbulb,,10,10,10,0,0,10,0,0,0,0,0,10,0,10,0,0,0,10,10,0,0,0,1,1,1,0,0,0
item,brloot_valuable_toothpaste,,5,5,5,10,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,1,1,1,0,0,0
item,brloot_valuable_watch,,10,10,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,1,1,1,0,0,0
item,brloot_valuable_wrench,,10,10,10,10,0,0,0,0,0,0,0,0,10,10,10,0,0,10,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_lighter,,10,10,10,10,0,0,0,0,0,0,0,10,10,10,10,0,0,10,10,0,0,0,1,1,1,0,0,0
item,brloot_valuable_thumb_drive,,5,5,5,10,0,10,0,0,0,0,0,5,5,0,5,50,0,0,5,0,0,0,1,1,1,0,0,0
item,brloot_valuable_electrical_tape,,5,5,5,10,0,10,0,0,0,0,0,5,5,10,5,0,0,0,5,0,0,0,1,1,1,0,0,0
item,brloot_valuable_screwdriver,,5,5,5,10,0,10,0,0,0,0,0,5,5,10,5,0,0,0,5,0,0,0,1,1,1,0,0,0
item,brloot_valuable_gold_skull,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,1,1,1,0,0,0
item,brloot_valuable_blow_torch,,5,5,5,10,0,10,0,0,0,0,0,5,5,10,5,0,0,0,5,0,0,0,1,1,1,0,0,0
item,brloot_valuable_car_battery,,5,5,5,0,0,0,0,0,0,0,0,0,10,0,10,0,0,5,0,0,0,0,1,1,1,0,0,0
item,brloot_valuable_jumper_cables,,5,5,5,10,0,10,0,0,0,0,0,5,5,10,5,0,0,0,5,0,0,0,1,1,1,0,0,0
item,brloot_valuable_vcr,,5,5,5,0,0,0,0,0,0,0,0,0,10,0,10,0,0,5,0,0,0,0,1,1,1,0,0,0
item,brloot_planning_diagram_1,,3,3,3,10,0,10,0,0,0,1,2,0,5,3,3,3,3,5,0,0,0,0,1,1,1,0,0,0
item,brloot_planning_diagram_2,,3,3,3,10,0,10,0,0,0,1,2,0,5,3,3,3,3,5,0,0,0,0,1,1,1,0,0,0
item,brloot_planning_diagram_3,,3,3,3,10,0,10,0,0,0,1,2,0,5,3,3,3,3,5,0,0,0,0,1,1,1,0,0,0
item,brloot_planning_image_1,,3,3,3,10,0,10,0,0,0,1,2,0,5,3,3,3,3,5,0,0,0,0,1,1,1,0,0,0
item,brloot_planning_image_2,,3,3,3,10,0,10,0,0,0,1,2,0,5,3,3,3,3,5,0,0,0,0,1,1,1,0,0,0
item,brloot_planning_image_3,,3,3,3,10,0,10,0,0,0,1,2,0,5,3,3,3,3,5,0,0,0,0,1,1,1,0,0,0
item,brloot_xp_dufflebag,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_xp_purse,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_activity_starter_combat,,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0
item,brloot_activity_starter_recon,,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,0,0,4,0,0,0,0,0,0
item,brloot_activity_starter_recover,,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,0,0,4,0,0,0,0,0,0
item,brloot_activity_starter_rescue,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0
item,brloot_activity_starter_sabotage,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0
item,brloot_activity_starter_hunt,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0
item,brloot_attachment_scope,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_back,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_front,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_mag,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_muzzle,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_other,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_reargrip,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,brloot_attachment_underbarrel,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
item,dmz_intel_laptop,,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
item,brloot_personal_pictureofawoman,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_pictureofaman,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_pictureofachild,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_pictureofadog,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_pictureofacat,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_heartlocket,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_wornnecklace,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_oldwatch,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_vialofinsulin,,0,0,0,1,0,5,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_cancermedication,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_toyknife,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_brokenglasses,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_origamihorse,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_personal_smalldoll,,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_gascan,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
pointFlagFilter,loot_spawn_large,0,large|medium|small,,,,,,,,,,,,,,,,,,,,,,,,,,,
pointFlagFilter,loot_spawn_medium,0,medium|small,,,,,,,,,,,,,,,,,,,,,,,,,,,
pointFlagFilter,loot_spawn_small,0,small,,,,,,,,,,,,,,,,,,,,,,,,,,,
