string,string,localized,string,string,string,string,string
-,veh_hover_jet_mp_phys,&KILLSTREAKS/HOVER_JET,hud_icon_killstreak_hover_jet,,,hud_icon_minimap_killstreak_hover_jet,72
-,veh_chopper_support_dmz_mp,&VEHICLES/LOOT_CHOPPER,hud_icon_vehicle_palfa,,,hud_icon_minimap_vehicle_palfa,
-,veh_radar_drone_recon_mp,&SUPER_MP/RECON_DRONE,hud_icon_fieldupgrade_drone_recon,,,hud_icon_minimap_fieldupgrade_drone_recon,0
-,veh_apache_plunder_mp,&VEHICLES/PLUNDER_EXTRACTION_CHOPPER,hud_icon_vehicle_palfa,,,hud_icon_minimap_vehicle_palfa,72
-,veh_pac_sentry_ground_mp,&KILLSTREAKS/PAC_SENTRY,hud_icon_killstreak_wheelson,pac_sentry,,hud_icon_minimap_killstreak_wheelson,72
-,veh_pac_sentry_mp_cp,&KILLSTREAKS/PAC_SENTRY,hud_icon_killstreak_wheelson,pac_sentry,,hud_icon_minimap_killstreak_wheelson,72
-,veh_pac_sentry_ground_mp,&KILLSTREAKS/PAC_SENTRY,hud_icon_killstreak_wheelson,pac_sentry,,hud_icon_minimap_killstreak_wheelson,72
-,veh_chopper_support_pe_mp,&VEHICLES/LOOT_CHOPPER,hud_icon_vehicle_palfa,,,hud_icon_minimap_vehicle_palfa,
-,veh_assault_drone_mp,&SUPER_MP/RECON_DRONE,hud_icon_killstreak_drone_bomb,,,hud_icon_minimap_killstreak_drone_bomb,0
-,lbravo_infil_cp,&VEHICLES/HELO,hud_icon_vehicle_littlebird,,,hud_icon_minimap_vehicle_littlebird,160
-,mindia8_cp,&VEHICLES/MINDIA8,hud_icon_vehicle_palfa,mindia8,,hud_icon_minimap_vehicle_palfa,72
-,veh_apache_cp,&VEHICLES/PALFA,hud_icon_killstreak_chopper_gunner,,,hud_icon_minimap_killstreak_chopper_gunner,0
