string,string,string,localized,string,string,string,string,string,string,localized,string,string,string,localized,string,string,string,string
20,execution_015,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_015,iw9_execution_hammer,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
21,execution_016,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_016,iw9_execution_kali,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
22,execution_017,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_017,iw9_execution_dual_sword,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
23,execution_018,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_018,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
24,execution_019,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_019,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
25,execution_020,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_020,iw9_execution_pistol,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
26,execution_021,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_021,iw9_execution_pistol,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
27,execution_022,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_022,iw9_execution_knife,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
28,execution_023,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_023,iw9_execution_knife,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
29,execution_024,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_024,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
30,execution_025,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_025,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
31,execution_026,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_026,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
32,execution_027,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_027,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
33,execution_028,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_028,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
34,execution_029,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_029,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
35,execution_030,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_030,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
36,execution_031,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_031,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
37,execution_032,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_032,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
38,execution_033,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_033,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
39,execution_034,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_034,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
40,execution_035,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_035,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
41,execution_036,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_036,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
42,execution_037,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_037,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
43,execution_038,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_038,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
44,execution_039,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_039,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
45,execution_040,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_040,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
46,execution_041,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_041,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
47,execution_042,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_042,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
48,execution_043,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_043,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
49,execution_044,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_044,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
50,execution_045,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_045,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
51,execution_046,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_046,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
52,execution_047,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_047,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
53,execution_048,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_048,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
54,execution_049,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_049,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
55,execution_050,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_050,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
56,execution_051,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_051,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
57,execution_052,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_052,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
58,execution_053,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_053,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
59,execution_054,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_054,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
60,execution_055,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_055,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
61,execution_056,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_056,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
62,execution_057,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_057,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
63,execution_058,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_058,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
64,execution_059,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_059,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
65,execution_060,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_060,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
66,execution_061,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_061,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
67,execution_062,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_062,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
68,execution_063,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_063,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
69,execution_064,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_064,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
70,execution_065,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_065,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
71,execution_066,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_066,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
72,execution_067,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_067,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
73,execution_068,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_068,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
74,execution_069,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_069,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
75,execution_070,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_070,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
76,execution_071,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_071,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
77,execution_072,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_072,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
78,execution_073,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_073,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
79,execution_074,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_074,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
80,execution_075,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_075,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
81,execution_076,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_076,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
82,execution_077,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_077,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
83,execution_078,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_078,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
84,execution_079,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_079,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
85,execution_080,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_080,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
86,execution_081,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_081,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
87,execution_082,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_082,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
88,execution_083,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_083,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
89,execution_084,universal_ref,&EXECUTIONS/UNIVERSAL_VARIANT_01,0,200,0,1,icon_execution_base,1,&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_084,iw8_execution_knife_mp,&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,
