string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_asn.csv,16,,# contract_asn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_dom.csv,17,,# contract_dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_scav1.csv,18,,# contract_scav1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_scav2.csv,19,,# contract_scav2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_scav3.csv,20,,# contract_scav3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_safe1.csv,21,,# contract_safe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_empty.csv,22,,# empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_agent_milestone_kills1.csv,23,,# agent_milestone_kills1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_agent_milestone_kills2.csv,24,,# agent_milestone_kills2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_agent_milestone_kills3.csv,25,,# agent_milestone_kills3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_personal_supply.csv,26,,# cache_personal_supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_main_scan.csv,27,,# main_scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_station.csv,28,,# station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cityhall.csv,29,,# cityhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_library.csv,30,,# library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_firestation.csv,31,,# firestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_policestation.csv,32,,# policestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_zoo.csv,33,,# zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_castle.csv,34,,# castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_museum.csv,35,,# museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_terminal.csv,36,,# terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_shoppingcenter.csv,37,,# shoppingcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_stadium.csv,38,,# statdium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_fleamarket.csv,39,,# fleamarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_paintball.csv,40,,#paintball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_crashsite.csv,41,,#crashsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_gasstation.csv,42,,# gasstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cache_cash_register_clean.csv,43,,# cache_cash_register_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_cash_machine.csv,44,,# cash_machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/resurgence/lootset_contract_intel.csv,45,,# contract_intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
reqLimit,gear,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
reqLimit,super,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
reqLimit,plate_carrier,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
chance,ammo,,240,220,150,50,25,50,0,150,0,0,0,1,20,2,2,2,2,2,2,1,0,0,0,0,2,220,220,220,220,240,220,220,220,220,220,220,220,265,220,220,0,0,2,0
chance,health,,220,220,10,140,25,50,0,0,0,0,0,0,0,25,25,25,25,25,25,0,0,0,0,0,25,220,220,220,220,280,220,220,220,220,220,220,220,200,220,220,0,0,25,0
chance,plunder,,115,115,100,90,50,110,1,50,1,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,2,115,115,50,115,115,115,100,115,115,300,115,115,115,115,115,1,99,2,0
chance,killstreak,,0,0,0,50,200,50,0,10,1,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,3,0,0,20,0,0,0,20,20,0,0,0,0,0,0,0,0,1,3,0
chance,lethal,,80,80,50,140,25,140,0,40,0,0,0,0,5,10,10,10,10,10,10,0,0,0,0,0,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,10,0
chance,tactical,,80,80,50,140,25,140,0,50,0,400,600,0,5,10,10,10,10,10,10,0,0,0,0,0,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,10,0
chance,super,,110,110,0,220,200,220,0,50,0,300,0,0,0,20,20,20,20,20,20,0,0,0,0,0,20,90,90,90,90,90,90,120,120,90,90,90,90,90,90,100,0,0,20,0
chance,weapon,,190,190,500,30,25,30,0,5,1,0,0,1,0,5,5,5,5,5,5,0,0,0,0,0,20,190,190,190,190,190,190,200,190,190,190,190,190,190,190,190,0,0,5,0
chance,gear,,0,0,40,30,175,30,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,3,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
chance,revive,,0,0,50,30,75,30,0,0,0,300,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,20,0,0,0,60,0,0,0,0,0,0,0
chance,tablet,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0
chance,keycard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,valuable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,key,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,plate_carrier,,40,30,50,45,60,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,50,80,0,20,0,30,0,0,75,0,0,20,0,0,0,0
chance,mission,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,35,25,25,25,25,25,25,0,0,0,0,0
chance,perkpack,,30,0,30,50,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0
chance,extractable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_ammo_12g,,175,175,175,175,175,175,0,175,0,0,0,175,175,175,175,175,175,175,175,0,0,0,0,0,175,175,175,175,175,220,175,50,150,175,175,175,175,175,175,175,0,0,175,0
item,brloot_ammo_50cal,,200,200,200,200,200,200,0,200,0,0,0,200,200,200,200,200,200,200,200,0,0,0,0,0,200,200,200,200,200,200,200,300,275,200,200,250,200,200,200,200,0,0,200,0
item,brloot_ammo_762,,325,325,325,325,325,325,0,325,0,0,0,325,325,325,325,325,325,325,325,0,0,0,0,0,325,325,325,325,325,200,325,275,325,325,325,325,325,325,325,325,0,0,325,0
item,brloot_ammo_919,,250,250,250,250,250,250,0,250,0,0,0,250,250,250,250,250,250,250,250,0,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0,250,0
item,brloot_ammo_rocket,,50,50,50,50,50,50,0,50,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,50,50,50,50,100,25,50,100,50,50,50,50,50,50,50,50,0,0,50,0
item,brloot_equip_gasmask,,0,0,400,400,400,400,0,0,0,0,0,0,0,400,400,400,400,400,400,0,0,0,0,0,400,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0
item,brloot_equip_gasmask_durable,,0,0,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,1,0,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
item,brloot_backpack_medium,,0,0,400,400,400,400,0,0,0,0,0,0,0,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_backpack_large,,0,0,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plate_carrier_3_medic,,380,0,0,345,345,345,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,0,0,0,0
item,brloot_plate_carrier_3_comms,,310,0,0,295,295,295,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,100,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,0,0,0,0
item,brloot_plate_carrier_3_stealth,,155,0,0,180,180,180,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0
item,brloot_plate_carrier_tempered,,155,0,0,180,180,180,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0
item,brloot_self_revive,,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_lethal,,300,300,300,300,300,300,0,300,0,0,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,0,45,0
rarity,1_lethal,,200,200,200,200,200,200,0,200,0,0,0,0,20,20,20,20,20,20,20,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,30,0
rarity,2_lethal,,100,100,100,100,100,100,0,100,0,0,0,0,10,10,10,10,10,10,10,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,20,0
rarity,3_lethal,,50,50,50,50,50,50,0,50,0,0,0,0,5,5,5,5,5,5,5,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,10,0
rarity,4_lethal,,25,25,25,25,25,25,0,25,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,5,0
item,brloot_offhand_throwstar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_tactical,,440,450,45,450,450,450,0,440,0,1,1,0,45,45,45,45,45,45,45,0,0,0,0,0,0,440,440,440,440,440,440,440,440,440,440,440,440,440,440,450,0,0,45,0
rarity,1_tactical,,300,300,30,300,300,300,0,300,0,0,0,0,30,30,30,30,30,30,30,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,0,30,0
rarity,2_tactical,,200,200,20,200,200,200,0,200,0,0,0,0,20,20,20,20,20,20,20,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,20,0
rarity,3_tactical,,100,100,10,100,100,100,0,100,0,0,0,0,10,10,10,10,10,10,10,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,10,0
rarity,4_tactical,,50,50,5,50,50,50,0,50,0,0,0,0,5,5,5,5,5,5,5,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,5,0
item,brloot_health_adrenaline,,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0
item,brloot_offhand_magsnap,,100,100,10,100,100,100,0,100,0,0,0,0,10,10,10,10,10,10,10,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,10,0
rarity,0_super,,350,0,0,250,100,250,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,350,350,350,350,350,100,350,350,350,350,350,350,350,0,0,0,0,0
rarity,1_super,,350,0,0,250,150,250,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,350,350,350,350,350,100,350,350,350,350,350,350,350,0,0,0,0,0
rarity,2_super,,250,0,0,200,200,200,0,0,0,0,0,0,0,40,40,40,40,40,40,0,0,0,0,0,0,250,250,250,250,250,250,50,250,250,250,250,250,250,250,0,0,0,40,0
rarity,3_super,,0,0,0,150,250,150,0,0,0,0,0,0,0,40,40,40,40,40,40,0,0,0,0,0,250,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,40,0
rarity,4_super,,0,0,0,150,300,150,0,0,0,6,0,0,0,20,20,20,20,20,20,0,0,0,0,0,300,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,20,0
item,brloot_offhand_advancedsupplydrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_balloon_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_super_hauntedbox,,350,0,0,250,100,250,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,350,350,350,350,350,100,350,350,350,350,350,350,350,0,0,0,0,0
rarity,0_weapon,,0,0,0,300,0,300,0,550,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,1_weapon,,275,0,0,250,200,250,0,275,0,0,0,400,0,55,55,55,55,55,55,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,5,275,275,0,0,0,30,0
rarity,2_weapon,,175,0,0,200,200,200,0,175,970,0,0,100,0,45,45,45,45,45,45,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,30,175,175,0,0,0,40,0
rarity,4_weapon,,0,0,15,40,75,40,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,10,0
tagChance,ngt,,275,0,0,250,200,250,0,275,0,0,0,400,0,55,55,55,55,55,55,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,5,275,275,0,0,0,30,0
rarity,0_health,,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
rarity,1_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,2_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,3_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,4_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_common_1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_uncommon_1,,400,25,0,400,500,500,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,10,400,400,400,10,200,400,400,400,100,400,400,25,300,80,0,0
item,brloot_plunder_cash_uncommon_2,,75,5,0,350,200,345,150,150,0,0,0,0,0,20,20,20,20,20,20,0,0,0,0,0,0,75,75,0,75,75,75,0,300,75,75,75,300,75,75,5,150,15,0,0
item,brloot_plunder_cash_uncommon_3,,0,0,1,125,150,100,50,50,0,0,0,0,0,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,50,0,0,0
item,brloot_plunder_cash_rare_1,,0,0,0,75,100,50,0,0,550,0,0,0,0,8,8,8,8,8,8,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,5,0,0
item,brloot_plunder_cash_rare_2,,0,0,0,10,50,5,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0
item,brloot_plunder_cash_epic_1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0
item,brloot_plunder_cash_epic_2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_legendary_1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_assaultdrone,,0,0,0,125,125,125,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_uav,,0,0,0,100,100,100,0,0,100,0,0,0,0,15,15,15,15,15,15,0,0,0,0,0,100,0,0,50,0,0,0,50,50,0,0,0,0,0,0,0,0,15,0,0
item,brloot_killstreak_clusterstrike,,0,0,0,150,150,150,0,0,150,0,0,0,0,25,25,25,25,25,25,0,0,0,0,0,150,30,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,25,15,0
item,brloot_killstreak_precision_airstrike,,0,0,0,125,125,125,0,0,125,0,0,0,0,25,25,25,25,25,25,0,0,0,0,0,125,20,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,25,25,0
item,brloot_killstreak_cluster_spike,,0,0,0,100,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,25,0
item,brloot_killstreak_scramblerdrone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_assassination_phone,,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0
item,brloot_scavenger_phone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_vip_phone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_intel_phone,,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0
item,brloot_safecracker_phone,,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,0,0,0,0
item,brloot_stronghold_infil_phone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_elite_arrow_phone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_searchseizure_phone,,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,450,450,450,450,450,450,450,450,450,450,450,450,450,0,0,0,0,0
item,brloot_hacker_phone_phone,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0
item,brloot_durable_loot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_green,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_parking,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_executive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_concourse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,1_noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
