xhash,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#hellhound_kia,a&OB_SPLASHES/HELLHOUND_KIA,a&OB_SPLASHES/HELLHOUND_KIA,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_6b315af13c13a844,a&OB_SPLASHES/HELLHOUND_KIA_CRITICAL,a&OB_SPLASHES/HELLHOUND_KIA_CRITICAL,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_aa77b9df9ff62f47,a&OB_SPLASHES/HELLHOUND_KIA_MELEE,a&OB_SPLASHES/HELLHOUND_KIA_MELEE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_709c7536adfec523,a&OB_SPLASHES/HELLHOUND_KIA_VEHICLE,a&OB_SPLASHES/HELLHOUND_KIA_VEHICLE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#soldier_kia,a&OB_SPLASHES/SOLDIER_KIA,a&OB_SPLASHES/SOLDIER_KIA,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_52e52df41aaeb3f,a&OB_SPLASHES/SOLDIER_KIA_CRITICAL,a&OB_SPLASHES/SOLDIER_KIA_CRITICAL,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_3f6d48157fce610a,a&OB_SPLASHES/SOLDIER_KIA_MELEE,a&OB_SPLASHES/SOLDIER_KIA_MELEE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_4dc915695d247bfe,a&OB_SPLASHES/SOLDIER_KIA_VEHICLE,a&OB_SPLASHES/SOLDIER_KIA_VEHICLE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_72adb5307737de8f,a&OB_SPLASHES/SOLDIER_KIA_PRECISION_AIRSTRIKE,a&OB_SPLASHES/SOLDIER_KIA_PRECISION_AIRSTRIKE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_3f76adcad260599d,a&OB_SPLASHES/SOLDIER_KIA_CRUISE_PREDATOR,a&OB_SPLASHES/SOLDIER_KIA_CRUISE_PREDATOR,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_ae16cf660bd8b171,a&OB_SPLASHES/ZOMBIE_KIA_MONKEYBOMB,a&OB_SPLASHES/ZOMBIE_KIA_MONKEYBOMB,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_d353c776da1309e5,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_MONKEYBOMB,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_MONKEYBOMB,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_c3acbdde6e7355a5,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_MONKEYBOMB,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_MONKEYBOMB,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_758e902dd733fa74,a&OB_SPLASHES/HELLHOUND_KIA_MONKEYBOMB,a&OB_SPLASHES/HELLHOUND_KIA_MONKEYBOMB,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_319e83e674797daf,a&OB_SPLASHES/SOLDIER_KIA_MONKEYBOMB,a&OB_SPLASHES/SOLDIER_KIA_MONKEYBOMB,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_663897b0efd51845,a&OB_SPLASHES/SOLDIER_KIA_HELLHOUND_FLAME,a&OB_SPLASHES/SOLDIER_KIA_HELLHOUND_FLAME,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_3a722ca2b4c058e3,a&OB_SPLASHES/ZOMBIE_KIA_HELLHOUND_FLAME,a&OB_SPLASHES/ZOMBIE_KIA_HELLHOUND_FLAME,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_799bff878c366f0f,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_HELLHOUND_FLAME,a&OB_SPLASHES/ZOMBIE_KIA_SPECIAL_HELLHOUND_FLAME,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_e7d5b878c0273fcf,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_HELLHOUND_FLAME,a&OB_SPLASHES/ZOMBIE_KIA_ELITE_HELLHOUND_FLAME,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#reviver,a&OB_SPLASHES/REVIVER,a&OB_SPLASHES/REVIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#deadwire_aoe_kill,a&OB_SPLASHES/DEADWIRE_AOE_KILL,a&OB_SPLASHES/DEADWIRE_AOE_KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#brainrot_kill,a&OB_SPLASHES/BRAINROT_KILL,a&OB_SPLASHES/BRAINROT_KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#napalmburst_kill,a&OB_SPLASHES/NAPALMBURST_KILL,a&OB_SPLASHES/NAPALMBURST_KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#cryofreeze_kill,a&OB_SPLASHES/CRYOFREEZE_KILL,a&OB_SPLASHES/CRYOFREEZE_KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#shatterblast_kill,a&OB_SPLASHES/SHATTERBLAST_KILL,a&OB_SPLASHES/SHATTERBLAST_KILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#super_tac_cover,a&EQUIPMENT/TACTICAL_COVER_READY,a&EQUIPMENT/TACTICAL_COVER_READY,,hud_icon_equipment_tac_cover,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_recon_drone,a&KILLSTREAKS/RECON_DRONE_READY,a&KILLSTREAKS/RECON_DRONE_READY,,hud_icon_killstreak_radardrone_recon,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_support_box,a&EQUIPMENT/SUPPORT_BOX_READY,a&EQUIPMENT/SUPPORT_BOX_READY,,hud_icon_fieldupgrade_ammo_box,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_laststand_heal,a&SUPER_MP/LASTSTAND_HEAL_READY,a&SUPER_MP/LASTSTAND_HEAL_READY,,hud_icon_fieldupgrade_laststand,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#hash_b075fdf097949c62,a&EQUIPMENT/ADRENALINE_READY,a&EQUIPMENT/ADRENALINE_READY,,hud_icon_equipment_stim,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_br_extract,a&SUPER_MP/BR_EXTRACT_FLARE,a&SUPER_MP/BR_EXTRACT_FLARE,,hud_icon_equipment_pop_rocket,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_remote_detonate,a&SUPER_MP/REMOTE_DETONATION_READY,a&SUPER_MP/REMOTE_DETONATION_READY,,hud_icon_killstreak_death_switch,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_trophy,a&EQUIPMENT_TROPHY_READY,a&EQUIPMENT_TROPHY_READY,,hud_icon_equipment_trophy,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_scramble,a&SUPER_MP/SCRAMBLE_READY,a&SUPER_MP/SCRAMBLE_READY,,hud_icon_killstreak_scramblerdrone,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_emp_drone,a&PERKS/ABILITY_EMPDRONE_READY,a&PERKS/ABILITY_EMPDRONE_READY,,hud_icon_fieldupgrade_emp_drone,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_deadsilence,a&PERKS/ABILITY_DEADSILENCE_READY,a&PERKS/ABILITY_DEADSILENCE_READY,,hud_icon_fieldupgrade_deadsilence,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_tac_insert,a&PERKS/ABILITY_TAC_INSERT_READY,a&PERKS/ABILITY_TAC_INSERT_READY,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#super_ammo_drop,a&PERKS/ABILITY_AMMO_DROP_READY,a&PERKS/ABILITY_AMMO_DROP_READY,,hud_icon_fieldupgrade_weapon_drop,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#stopping_power_loaded,a&SPLASHES/STOPPING_POWER_LOADED,a&SPLASHES/STOPPING_POWER_LOADED,,hud_icon_fieldupgrade_stopping_power,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#suppression_rounds_activated,a&SPLASHES/SUPPRESSION_ROUNDS_ACTIVATED,a&SPLASHES/SUPPRESSION_ROUNDS_ACTIVATED,,hud_icon_fieldupgrade_apr,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#tac_insert_fail_br_too_far,a&SPLASHES/TAC_INSERT_FAIL_BR_TOO_FAR,a&SPLASHES/TAC_INSERT_FAIL_BR_TOO_FAR,,hud_icon_equipment_flare_broken,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#tac_insert_success_br,a&SPLASHES/TAC_INSERT_SUCCESS_BR,a&SPLASHES/TAC_INSERT_SUCCESS_BR,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#hash_aa795273bedcfe6d,a&SPLASHES/INFECT_SUPER_TI_SET,a&SPLASHES/INFECT_SUPER_TI_SET,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_claymore,a&SPLASHES/DISABLED_CLAYMORE,a&SPLASHES/DISABLED_CLAYMORE,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_c4,a&SPLASHES/DISABLED_C4,a&SPLASHES/DISABLED_C4,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_at_mine,a&SPLASHES/DISABLED_AT_MINE,a&SPLASHES/DISABLED_AT_MINE,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_wheelson,a&SPLASHES/DISABLED_WHEELSON,a&SPLASHES/DISABLED_WHEELSON,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_recon_drone,a&SPLASHES/DISABLED_RECON_DRONE,a&SPLASHES/DISABLED_RECON_DRONE,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_bomb_drone,a&SPLASHES/DISABLED_BOMB_DRONE,a&SPLASHES/DISABLED_BOMB_DRONE,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#disabled_sentry_gun,a&SPLASHES/DISABLED_SENTRY_GUN,a&SPLASHES/DISABLED_SENTRY_GUN,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#hash_218b72ef391e7f09,a&SPLASHES/SUPER_BAMBOOZLE,a&SPLASHES/SUPER_BAMBOOZLE,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#hash_75aa6e3148836dbe,a&SPLASHES/HONEYPOT_SURVIVE,a&SPLASHES/HONEYPOT_SURVIVE,,hud_icon_fieldupgrade_inflatable_decoy,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#hash_63ddb3737fcc850d,a&SPLASHES/SUPER_BAMBOOZLE_ASSIST,a&SPLASHES/SUPER_BAMBOOZLE_ASSIST,,hud_icon_fieldupgrade_tac_insert,ui_splash_screen_default,killstreak_splash,perk,,,,,,,,,,,,,,,,,,,,,,,
#uav,a&KILLSTREAKS/UAV,a&KILLSTREAKS/UAV,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_uav,mp_killstreak_earn_sfx,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#precision_airstrike,a&KILLSTREAKS/PRECISION_AIRSTRIKE,a&KILLSTREAKS/PRECISION_AIRSTRIKE,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_airstrike,mp_killstreak_earn_sfx,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#directional_uav,a&KILLSTREAKS/DIRECTIONAL_UAV,a&KILLSTREAKS/DIRECTIONAL_UAV,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_auav,mp_killstreak_earn_sfx_lvl3,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#scrambler_drone_guard,a&KILLSTREAKS/SCRAMBLER_DRONE,a&KILLSTREAKS/SCRAMBLER_DRONE,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_cuav,mp_killstreak_earn_sfx,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#toma_strike,a&KILLSTREAKS/TOMA_STRIKE,a&KILLSTREAKS/TOMA_STRIKE,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_tomastrike,mp_killstreak_earn_sfx,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#juggernaut,a&KILLSTREAKS/JUGGERNAUT,a&KILLSTREAKS/JUGGERNAUT,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_juggernaut,mp_killstreak_earn_sfx_lvl3,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#assault_drone,a&KILLSTREAKS/ASSAULT_DRONE,a&KILLSTREAKS/ASSAULT_DRONE,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_drone_bomb,mp_killstreak_earn_sfx_lvl3,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#manual_turret,a&KILLSTREAKS/MANUAL_TURRET,a&KILLSTREAKS/MANUAL_TURRET,KILLSTREAKS_HINTS/SPLASH_HINT_GAMEPAD,hud_icon_killstreak_turret,mp_killstreak_earn_sfx,killstreak_splash,killstreak,TRUE,,,,,,,SPLASHES/PACKAGE_PICKUP,,,KILLSTREAKS_HINTS/PRESS_FOR_USE,,,,,,,,,,,,
#used_uav,a&KILLSTREAKS/UAV,a&KILLSTREAKS/UAV,KILLSTREAKS/UAV_DESC,hud_icon_killstreak_uav,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#hash_a8b72a216b2175be,a&KILLSTREAKS/PRECISION_AIRSTRIKE,a&KILLSTREAKS/PRECISION_AIRSTRIKE,KILLSTREAKS/PRECISION_AIRSTRIKE,hud_icon_killstreak_airstrike,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#used_directional_uav,a&KILLSTREAKS/DIRECTIONAL_UAV,a&KILLSTREAKS/DIRECTIONAL_UAV,KILLSTREAKS/DIRECTIONAL_UAV,hud_icon_killstreak_auav,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#used_scrambler_drone_guard,a&KILLSTREAKS/SCRAMBLER_DRONE,a&KILLSTREAKS/SCRAMBLER_DRONE,KILLSTREAKS/SCRAMBLER_DRONE_DESC,hud_icon_killstreak_cuav,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#used_toma_strike,a&KILLSTREAKS/TOMA_STRIKE,a&KILLSTREAKS/TOMA_STRIKE,KILLSTREAKS/TOMA_STRIKE_DESC,hud_icon_killstreak_tomastrike,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#used_juggernaut,a&KILLSTREAKS/JUGGERNAUT,a&KILLSTREAKS/JUGGERNAUT,KILLSTREAKS/JUGGERNAUT_DESC,hud_icon_killstreak_juggernaut,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#hash_a8049034fbf77175,a&KILLSTREAKS/ASSAULT_DRONE,a&KILLSTREAKS/ASSAULT_DRONE,KILLSTREAKS/ASSAULT_DRONE_DESC,hud_icon_killstreak_drone_bomb,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#used_manual_turret,a&KILLSTREAKS/MANUAL_TURRET,a&KILLSTREAKS/MANUAL_TURRET,KILLSTREAKS/MANUAL_TURRET_DESC,hud_icon_killstreak_turret,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#callout_destroyed_uav,a&SPLASHES/DESTROYED_UAV,a&SPLASHES/DESTROYED_UAV,SPLASHES/DESTROYED_UAV,hud_icon_killstreak_uav,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#callout_destroyed_directional_uav,a&SPLASHES/DESTROYED_DIRECTIONAL_UAV,a&SPLASHES/DESTROYED_DIRECTIONAL_UAV,SPLASHES/DESTROYED_DIRECTIONAL_UAV,hud_icon_killstreak_auav,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#callout_destroyed_scrambler_drone_guard,a&SPLASHES/DESTROYED_SCRAMBLER_DRONE,a&SPLASHES/DESTROYED_SCRAMBLER_DRONE,SPLASHES/DESTROYED_SCRAMBLER_DRONE,hud_icon_killstreak_cuav,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#hash_faa4ee32cc7992ba,a&SPLASHES/DESTROYED_TOMA_STRIKE,a&SPLASHES/DESTROYED_TOMA_STRIKE,SPLASHES/DESTROYED_TOMA_STRIKE,hud_icon_killstreak_tomastrike,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#callout_destroyed_juggernaut,a&SPLASHES/DESTROYED_JUGGERNAUT,a&SPLASHES/DESTROYED_JUGGERNAUT,SPLASHES/DESTROYED_JUGGERNAUT,hud_icon_killstreak_juggernaut,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#hash_d0cae6d3c1888aaa,a&SPLASHES/DESTROYED_ASSAULT_DRONE,a&SPLASHES/DESTROYED_ASSAULT_DRONE,SPLASHES/DESTROYED_ASSAULT_DRONE,hud_icon_killstreak_drone_bomb,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#hash_aec61236bf1c2441,a&SPLASHES/DESTROYED_MANUAL_TURRET,a&SPLASHES/DESTROYED_MANUAL_TURRET,SPLASHES/DESTROYED_MANUAL_TURRET,hud_icon_killstreak_turret,,playercard_splash,global,,,,,,,,,,,,,,,,,,,,,,,
#hash_6b316738ef8d272,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_4db4235976d94fc7,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_876c51b14bc99659,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_73c4b7d4f0baf972,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,a&OB_SPLASHES/OB_OBJECTIVE_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_6d900cfbbe7dbb30,a&OB_SPLASHES/OB_ZOMBIE_CONTROL_CAPTURE,a&OB_SPLASHES/OB_ZOMBIE_CONTROL_CAPTURE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
