string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string
3055,iw9_ch_daily_p1_general_shut_down_killstreaks,a&CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS,a&CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS_DESC,2,4500,,1,,,,,12,
131,iw9_ch_daily_p1_general_double_kills,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS_DESC,2,4500,,1,,,,,13,
273,iw9_ch_daily_p1_general_kills_low_health,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH_DESC,2,4500,,1,,,,,14,
73,iw9_ch_daily_p1_general_headshots_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,1,4500,,1,,,,,15,
815,iw9_ch_daily_p1_general_kills_hipfire,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE_DESC,2,4500,,1,,,,,16,
1825,iw9_ch_daily_p1_general_kills_1s1k,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K_DESC,1,4500,,1,,,,,17,
4040,iw9_ch_daily_p1_general_kills_lethal,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,1,4500,,1,,,,,18,
984,iw9_ch_daily_p1_general_kills_ads,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_ADS,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_ADS_DESC,15,4500,,1,,,,,19,
745,iw9_ch_daily_p2_weapon_kills_ar,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_AR,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_AR_DESC,15,4500,,2,,,,,1,
507,iw9_ch_daily_p2_weapon_kills_ar_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_AR_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_AR_HS_DESC,5,4500,,2,,,,,2,
369,iw9_ch_daily_p2_weapon_kills_smg,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG_DESC,15,4500,,2,,,,,3,
2908,iw9_ch_daily_p2_weapon_kills_smg_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG_HS_DESC,5,4500,,2,,,,,4,
318,iw9_ch_daily_p2_weapon_kills_sh,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SH,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SH_DESC,5,4500,,2,,,,,5,
2817,iw9_ch_daily_p2_weapon_kills_sh_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SH_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SH_HS_DESC,2,4500,,2,,,,,6,
2726,iw9_ch_daily_p2_weapon_kills_pistol,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL_DESC,5,4500,,2,,,,,7,
3909,iw9_ch_daily_p2_weapon_kills_pistol_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL_HS_DESC,2,4500,,2,,,,,8,
3995,iw9_ch_daily_p2_weapon_kills_sniper,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER_DESC,5,4500,,2,,,,,9,
616,iw9_ch_daily_p2_weapon_kills_sniper_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER_HS_DESC,3,4500,,2,,,,,10,
3892,iw9_ch_daily_p2_weapon_kills_battle_riffle,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE_DESC,5,4500,,2,,,,,11,
3842,iw9_ch_daily_p2_weapon_kills_battle_riffle_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE_HS_DESC,3,4500,,2,,,,,12,
387,iw9_ch_daily_p2_weapon_kills_launcher,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_LAUNCHER,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_LAUNCHER_DESC,2,4500,,2,,,,,13,
409,iw9_ch_daily_p2_weapon_kills_lm,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_LM,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_LM_DESC,5,4500,,2,,,,,14,
936,iw9_ch_daily_p2_weapon_kills_lm_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_LM_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_LM_HS_DESC,3,4500,,2,,,,,15,
2008,iw9_ch_daily_p3_fieldupgrade_kills_using_dead_silence,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_USING_DEAD_SILENCE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_USING_DEAD_SILENCE_DESC,3,4500,,3,,,,,1,
204,iw9_ch_daily_p3_humiliations_kills_melee,a&CHALLENGE/DAILY_P3_HUMILIATIONS_KILLS_MELEE,a&CHALLENGE/DAILY_P3_HUMILIATIONS_KILLS_MELEE_DESC,3,4500,,3,,,,,7,
4096,iw9_ch_daily_p3_humiliations_finishing_move,a&CHALLENGE/DAILY_P3_HUMILIATIONS_FINISHING_MOVE,a&CHALLENGE/DAILY_P3_HUMILIATIONS_FINISHING_MOVE_DESC,3,4500,,3,,,,,8,
774,iw9_ch_daily_p3_lethals_kills_frag,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG_DESC,3,4500,,3,,,,,18,
138,iw9_ch_daily_p3_lethals_kills_semtex,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_SEMTEX,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_SEMTEX_DESC,3,4500,,3,,,,,19,
1797,iw9_ch_daily_p3_lethals_kills_claymore,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE_DESC,3,4500,,3,,,,,21,
780,iw9_ch_daily_p3_lethals_kills_throwing_knife,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THROWING_KNIFE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THROWING_KNIFE_DESC,3,4500,,3,,,,,22,
47,iw9_ch_daily_p3_lethals_knife_proximity_mine,a&CHALLENGE/DAILY_P3_LETHALS_KNIFE_PROXIMITY_MINE,a&CHALLENGE/DAILY_P3_LETHALS_KNIFE_PROXIMITY_MINE_DESC,3,4500,,3,,,,,23,
3867,iw9_ch_daily_p3_perks_kills_using_battle_hardened,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_BATTLE_HARDENED,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_BATTLE_HARDENED_DESC,3,4500,,3,,,,,34,
3890,iw9_ch_daily_p3_tacticals_blind_flash_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE_DESC,3,4500,,3,,,,,38,
30,iw9_ch_daily_p3_tacticals_spot_snapshot_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_SPOT_SNAPSHOT_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_SPOT_SNAPSHOT_GRENADE_DESC,3,4500,,3,,,,,40,
146,iw9_ch_daily_p1_general_assists,a&CHALLENGE/DAILY_P1_GENERAL_ASSISTS,a&CHALLENGE/DAILY_P1_GENERAL_ASSISTS_DESC,10,4500,,1,,,,,20,
652,iw9_ch_daily_p1_general_killstreak_3,a&CHALLENGE/DAILY_P1_GENERAL_KILLSTREAK_3,a&CHALLENGE/DAILY_P1_GENERAL_KILLSTREAK_3_DESC,2,4500,,1,,,,,21,
362,iw9_ch_daily_p2_weapon_kills_dmr,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_DMR,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_DMR_DESC,5,4500,,2,,,,,16,
773,iw9_ch_daily_p2_weapon_kills_dmr_hs,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_DMR_HS,a&CHALLENGE/DAILY_P2_WEAPON_KILLS_DMR_HS_DESC,3,4500,,2,,,,,17,
2949,iw9_ch_daily_p3_fieldupgrade_use_field_upgrade,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE_DESC,5,4500,,3,,,,,41,
1763,iw9_ch_daily_p3_fieldupgrade_kills_battle_rage,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_BATTLE_RAGE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_BATTLE_RAGE_DESC,2,4500,,3,,,,,43,
958,iw9_ch_daily_p3_killstreaks_use_killstreak,a&CHALLENGE/DAILY_P3_KILLSTREAKS_USE_KILLSTREAK,a&CHALLENGE/DAILY_P3_KILLSTREAKS_USE_KILLSTREAK_DESC,2,4500,,3,,,,,46,
726,iw9_ch_daily_p3_lethals_kills_drill_charge,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_DRILL_CHARGE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_DRILL_CHARGE_DESC,1,4500,,3,,,,,47,
771,iw9_ch_daily_p3_lethals_kills_c4,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_C4,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_C4_DESC,1,4500,,3,,,,,48,
402,iw9_ch_daily_p3_lethals_kills_thermite,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THERMITE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THERMITE_DESC,1,4500,,3,,,,,49,
3072,iw9_ch_daily_p3_perks_kills_using_overkill_secondary_weapon,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_OVERKILL_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_OVERKILL_SECONDARY_WEAPON_DESC,5,4500,,3,,,,,56,
2746,iw9_ch_daily_p3_perks_kills_using_double_time,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_DOUBLE_TIME,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_DOUBLE_TIME_DESC,10,4500,,3,,,,,57,
4015,iw9_ch_daily_p3_perks_kills_using_scavenger,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_SCAVENGER,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_SCAVENGER_DESC,10,4500,,3,,,,,59,
2911,iw9_ch_daily_p3_perks_kills_using_tracker,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_TRACKER,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_TRACKER_DESC,10,4500,,3,,,,,61,
3983,iw9_ch_daily_p3_tacticals_injure_gas_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_INJURE_GAS_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_INJURE_GAS_GRENADE_DESC,5,4500,,3,,,,,63,
306,iw9_ch_daily_p6_fieldupgrade_kills_using_dead_silence,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_USING_DEAD_SILENCE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_USING_DEAD_SILENCE_DESC,3,15000,,6,,,,,1,
2655,iw9_ch_daily_p6_humiliations_kills_melee,a&CHALLENGE/DAILY_P3_HUMILIATIONS_KILLS_MELEE,a&CHALLENGE/DAILY_P3_HUMILIATIONS_KILLS_MELEE_DESC,3,15000,,6,,,,,7,
989,iw9_ch_daily_p6_humiliations_finishing_move,a&CHALLENGE/DAILY_P3_HUMILIATIONS_FINISHING_MOVE,a&CHALLENGE/DAILY_P3_HUMILIATIONS_FINISHING_MOVE_DESC,3,15000,,6,,,,,8,
3902,iw9_ch_daily_p6_lethals_kills_frag,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG_DESC,3,15000,,6,,,,,18,
3134,iw9_ch_daily_p6_lethals_kills_semtex,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_SEMTEX,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_SEMTEX_DESC,3,15000,,6,,,,,19,
3948,iw9_ch_daily_p6_lethals_kills_claymore,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE_DESC,3,15000,,6,,,,,21,
3814,iw9_ch_daily_p6_lethals_kills_throwing_knife,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THROWING_KNIFE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THROWING_KNIFE_DESC,3,15000,,6,,,,,22,
3077,iw9_ch_daily_p6_lethals_knife_proximity_mine,a&CHALLENGE/DAILY_P3_LETHALS_KNIFE_PROXIMITY_MINE,a&CHALLENGE/DAILY_P3_LETHALS_KNIFE_PROXIMITY_MINE_DESC,3,15000,,6,,,,,23,
3045,iw9_ch_daily_p6_perks_kills_using_battle_hardened,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_BATTLE_HARDENED,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_BATTLE_HARDENED_DESC,3,15000,,6,,,,,34,
3870,iw9_ch_daily_p6_tacticals_blind_flash_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE_DESC,3,15000,,6,,,,,38,
4057,iw9_ch_daily_p6_tacticals_spot_snapshot_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_SPOT_SNAPSHOT_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_SPOT_SNAPSHOT_GRENADE_DESC,3,15000,,6,,,,,40,
3986,iw9_ch_daily_p6_fieldupgrade_use_field_upgrade,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE_DESC,5,15000,,6,,,,,41,
4116,iw9_ch_daily_p6_fieldupgrade_kills_battle_rage,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_BATTLE_RAGE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_KILLS_BATTLE_RAGE_DESC,2,15000,,6,,,,,43,
1824,iw9_ch_daily_p6_killstreaks_use_killstreak,a&CHALLENGE/DAILY_P3_KILLSTREAKS_USE_KILLSTREAK,a&CHALLENGE/DAILY_P3_KILLSTREAKS_USE_KILLSTREAK_DESC,2,15000,,6,,,,,46,
1919,iw9_ch_daily_p6_lethals_kills_drill_charge,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_DRILL_CHARGE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_DRILL_CHARGE_DESC,1,15000,,6,,,,,47,
2919,iw9_ch_daily_p6_lethals_kills,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_C4,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_C4_DESC,1,15000,,6,,,,,48,
3117,iw9_ch_daily_p6_lethals_kills_thermite,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THERMITE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THERMITE_DESC,1,15000,,6,,,,,49,
1035,iw9_ch_daily_p6_perks_kills_using_overkill_secondary_weapon,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_OVERKILL_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_OVERKILL_SECONDARY_WEAPON_DESC,5,15000,,6,,,,,56,
1988,iw9_ch_daily_p6_perks_kills_using_double_time,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_DOUBLE_TIME,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_DOUBLE_TIME_DESC,10,15000,,6,,,,,57,
3878,iw9_ch_daily_p6_perks_kills_using_scavenger,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_SCAVENGER,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_SCAVENGER_DESC,10,15000,,6,,,,,59,
842,iw9_ch_daily_p6_perks_kills_using_tracker,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_TRACKER,a&CHALLENGE/DAILY_P3_PERKS_KILLS_USING_TRACKER_DESC,10,15000,,6,,,,,61,
102,iw9_ch_daily_p6_tacticals_injure_gas_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_INJURE_GAS_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_INJURE_GAS_GRENADE_DESC,5,15000,,6,,,,,63,
2868,iw9_ch_daily_p4_general_kills,a&CHALLENGE/DAILY_P1_GENERAL_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_DESC,30,15000,,5,,,,,1,
544,iw9_ch_daily_p4_general_longshot_kills,a&CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS_DESC,8,15000,,5,,,,,2,
2818,iw9_ch_daily_p4_general_wins,a&CHALLENGE/DAILY_P1_GENERAL_WINS,a&CHALLENGE/DAILY_P1_GENERAL_WINS_DESC,2,15000,,5,,,,,3,
2711,iw9_ch_daily_p4_general_kills_crouched,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED_DESC,5,15000,,5,,,,,4,
2793,iw9_ch_daily_p4_general_headshots,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_DESC,8,15000,,5,,,,,5,
582,iw9_ch_daily_p4_general_kills_mounted,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED_DESC,5,15000,,5,,,,,7,
2855,iw9_ch_daily_p4_general_kills_point_blank,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK_DESC,8,15000,,5,,,,,8,
2664,iw9_ch_daily_p4_general_kills_kingslayer,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER_DESC,5,15000,,5,,,,,9,
46,iw9_ch_daily_p4_general_kills_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON_DESC,5,15000,,5,,,,,10,
3033,iw9_ch_daily_p4_general_kills_recent_enemy,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY_DESC,3,15000,,5,,,,,11,
1083,iw9_ch_daily_p4_general_shut_down_killstreaks,a&CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS,a&CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS_DESC,3,15000,,5,,,,,12,
451,iw9_ch_daily_p4_general_double_kills,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS_DESC,2,15000,,5,,,,,13,
2891,iw9_ch_daily_p4_general_kills_low_health,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH_DESC,3,15000,,5,,,,,14,
692,iw9_ch_daily_p4_general_headshots_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,2,15000,,5,,,,,15,
165,iw9_ch_daily_p4_general_kills_hipfire,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE_DESC,3,15000,,5,,,,,16,
347,iw9_ch_daily_p4_general_kills_1s1k,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K_DESC,2,15000,,5,,,,,17,
3113,iw9_ch_daily_p4_general_kills_lethal,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,2,15000,,5,,,,,18,
4123,iw9_ch_daily_p4_general_kills_ads,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_ADS,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_ADS_DESC,20,15000,,5,,,,,19,
953,iw9_compound_iw9_ae_kind_daily_1,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,1,2868|1824
79,iw9_compound_iw9_ae_kind_daily_2,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,2,544|3134
679,iw9_compound_iw9_ae_kind_daily_3,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,3,2711|3902
1760,iw9_compound_iw9_ae_kind_daily_4,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,4,2793|3948
757,iw9_compound_iw9_ae_kind_daily_5,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,5,582|1035
683,iw9_compound_iw9_ae_kind_daily_6,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,6,2855|3878
1874,iw9_compound_iw9_ae_kind_daily_7,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,7,2664|3045
348,iw9_compound_iw9_ae_kind_daily_8,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,8,692|4116
3083,iw9_compound_iw9_ae_kind_daily_9,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,9,3033|842
2841,iw9_compound_iw9_ae_kind_daily_10,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,10,1083|3077
349,iw9_compound_iw9_ae_kind_daily_11,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,11,451|3986
405,iw9_compound_iw9_ae_kind_daily_13,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,13,692|4116
1785,iw9_compound_iw9_ae_kind_daily_14,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,14,165|306
313,iw9_compound_iw9_ae_kind_daily_15,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,15,347|1988
2723,iw9_compound_iw9_ae_kind_daily_16,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,16,3113|4057
1119,iw9_compound_iw9_ae_kind_daily_17,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,17,4123|3814
2014,iw9_compound_iw9_ae_kind_daily_18,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,18,2868|3117
2826,iw9_compound_iw9_ae_kind_daily_19,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,19,2868|3870
416,iw9_compound_iw9_ae_kind_daily_20,a&CHALLENGE/DAILY_BONUS_DESC,a&CHALLENGE/DAILY_BONUS_DESC,1,15000,,4,,,,,20,2868|102
