string,string,string,int
29720,jup_br_s3_rebirth_loot,236,0
29766,jup_br_s3_rebirth_squad_landings,236,0
29767,jup_br_s3_rebirth_squad_rage,236,0
29768,jup_br_s3_rebirth_drive_once,236,0
29769,jup_br_s3_rebirth_three_uav_towers,236,0
36241,jup_br_s3_culture_play,236,0
36242,jup_br_s3_resurgence_loaded_play,236,0
36265,jup_br_s3_escape_ee_armory,236,0
36240,jup_br_s3_resurgence_loaded_win,236,0
45915,jup_br_s5_resurgence_supreme_win,236,0
45917,jup_br_s5_resurgence_supreme_play,236,0
48074,jup_br_s6_limbo_1,236,0
27474,jup_ob_rift_run_three_contracts_blueprint,236,0
38849,jup_ob_rift_run_s3_complete_blueprint,236,0
43843,jup_ob_rift_run_s5_complete_blueprint,236,0
48289,jup_ch_conversion_kit_mastery,236,0
48290,jup_ch_conversion_kit_mp_br,236,0
48292,jup_ch_conversion_kit_ob,236,0
21792,jup_daily_ob_ch_bonus,255,0
13759,jup_win_challenge_utils_spend_points,221,0
13765,jup_win_challenge_utils_watcher,221,0
13957,jup_win_challenge_utils_bypass,221,0
13978,jup_win_challenge_utils_update_ordered_list,221,0
14710,jup_win_challenge_utils_grant_points,221,0
38997,jup_jp01_ar_golf36_camo_prestige_4,126,0
39124,jup_jp01_ar_golf36_camo_prestige_3,126,0
39251,jup_jp01_ar_golf36_camo_prestige_2,126,0
39378,jup_jp01_ar_golf36_camo_prestige_1,126,0
39000,jup_jp02_ar_bromeo805_camo_prestige_4,126,0
39127,jup_jp02_ar_bromeo805_camo_prestige_3,126,0
39254,jup_jp02_ar_bromeo805_camo_prestige_2,126,0
39381,jup_jp02_ar_bromeo805_camo_prestige_1,126,0
39008,jup_jp05_ar_foxtrot2000_camo_prestige_4,126,0
39135,jup_jp05_ar_foxtrot2000_camo_prestige_3,126,0
39262,jup_jp05_ar_foxtrot2000_camo_prestige_2,126,0
39389,jup_jp05_ar_foxtrot2000_camo_prestige_1,126,0
39038,jup_jp36_ar_anov94_camo_prestige_4,126,0
39165,jup_jp36_ar_anov94_camo_prestige_3,126,0
39292,jup_jp36_ar_anov94_camo_prestige_2,126,0
39418,jup_jp36_ar_anov94_camo_prestige_1,126,0
39013,jup_jp08_ar_qbravo97_camo_prestige_4,126,0
39140,jup_jp08_ar_qbravo97_camo_prestige_3,126,0
39267,jup_jp08_ar_qbravo97_camo_prestige_2,126,0
39394,jup_jp08_ar_qbravo97_camo_prestige_1,126,0
39023,jup_jp19_ar_acharlie_camo_prestige_4,126,0
39150,jup_jp19_ar_acharlie_camo_prestige_3,126,0
39277,jup_jp19_ar_acharlie_camo_prestige_2,126,0
37492,jup_jp19_ar_acharlie_camo_prestige_1,126,0
38991,jup_cp01_sm_coscar635_camo_prestige_4,126,0
39118,jup_cp01_sm_coscar635_camo_prestige_3,126,0
39245,jup_cp01_sm_coscar635_camo_prestige_2,126,0
39372,jup_cp01_sm_coscar635_camo_prestige_1,126,0
39003,jup_jp02_sm_scharlie3_camo_prestige_4,126,0
39130,jup_jp02_sm_scharlie3_camo_prestige_3,126,0
39257,jup_jp02_sm_scharlie3_camo_prestige_2,126,0
39384,jup_jp02_sm_scharlie3_camo_prestige_1,126,0
39007,jup_jp04_sm_umike_camo_prestige_4,126,0
39134,jup_jp04_sm_umike_camo_prestige_3,126,0
39261,jup_jp04_sm_umike_camo_prestige_2,126,0
39388,jup_jp04_sm_umike_camo_prestige_1,126,0
39006,jup_jp04_sm_lwhiskey_camo_prestige_4,126,0
39133,jup_jp04_sm_lwhiskey_camo_prestige_3,126,0
39260,jup_jp04_sm_lwhiskey_camo_prestige_2,126,0
39387,jup_jp04_sm_lwhiskey_camo_prestige_1,126,0
39011,jup_jp07_sm_uzulu_camo_prestige_4,126,0
39138,jup_jp07_sm_uzulu_camo_prestige_3,126,0
39265,jup_jp07_sm_uzulu_camo_prestige_2,126,0
39392,jup_jp07_sm_uzulu_camo_prestige_1,126,0
39012,jup_jp07_sm_uzulup_camo_prestige_4,126,0
39139,jup_jp07_sm_uzulup_camo_prestige_3,126,0
39266,jup_jp07_sm_uzulup_camo_prestige_2,126,0
39393,jup_jp07_sm_uzulup_camo_prestige_1,126,0
38996,jup_cp24_pi_glima21_camo_prestige_4,126,0
39123,jup_cp24_pi_glima21_camo_prestige_3,126,0
39250,jup_cp24_pi_glima21_camo_prestige_2,126,0
39377,jup_cp24_pi_glima21_camo_prestige_1,126,0
39010,jup_jp07_pi_uzulum_camo_prestige_4,126,0
39137,jup_jp07_pi_uzulum_camo_prestige_3,126,0
39264,jup_jp07_pi_uzulum_camo_prestige_2,126,0
39391,jup_jp07_pi_uzulum_camo_prestige_1,126,0
39017,jup_jp12_pi_mike93_camo_prestige_4,126,0
39144,jup_jp12_pi_mike93_camo_prestige_3,126,0
39271,jup_jp12_pi_mike93_camo_prestige_2,126,0
39398,jup_jp12_pi_mike93_camo_prestige_1,126,0
39020,jup_jp14_pi_rsierra12_camo_prestige_4,126,0
39147,jup_jp14_pi_rsierra12_camo_prestige_3,126,0
39274,jup_jp14_pi_rsierra12_camo_prestige_2,126,0
39401,jup_jp14_pi_rsierra12_camo_prestige_1,126,0
38994,jup_cp08_br_xmike5_camo_prestige_4,126,0
39121,jup_cp08_br_xmike5_camo_prestige_3,126,0
39248,jup_cp08_br_xmike5_camo_prestige_2,126,0
39375,jup_cp08_br_xmike5_camo_prestige_1,126,0
39001,jup_jp02_br_bromeo2_camo_prestige_4,126,0
39128,jup_jp02_br_bromeo2_camo_prestige_3,126,0
39255,jup_jp02_br_bromeo2_camo_prestige_2,126,0
39382,jup_jp02_br_bromeo2_camo_prestige_1,126,0
39024,jup_jp19_br_acharlie450_camo_prestige_4,126,0
39151,jup_jp19_br_acharlie450_camo_prestige_3,126,0
39278,jup_jp19_br_acharlie450_camo_prestige_2,126,0
39404,jup_jp19_br_acharlie450_camo_prestige_1,126,0
38999,jup_jp01_lm_mgolf36_camo_prestige_4,126,0
39126,jup_jp01_lm_mgolf36_camo_prestige_3,126,0
39253,jup_jp01_lm_mgolf36_camo_prestige_2,126,0
39380,jup_jp01_lm_mgolf36_camo_prestige_1,126,0
39009,jup_jp06_lm_pkilop_camo_prestige_4,126,0
39136,jup_jp06_lm_pkilop_camo_prestige_3,126,0
39263,jup_jp06_lm_pkilop_camo_prestige_2,126,0
39390,jup_jp06_lm_pkilop_camo_prestige_1,126,0
39014,jup_jp08_lm_qbravo95lsw_camo_prestige_4,126,0
39141,jup_jp08_lm_qbravo95lsw_camo_prestige_3,126,0
39268,jup_jp08_lm_qbravo95lsw_camo_prestige_2,126,0
39395,jup_jp08_lm_qbravo95lsw_camo_prestige_1,126,0
38992,jup_cp05_lm_halpha_camo_prestige_4,126,0
39119,jup_cp05_lm_halpha_camo_prestige_3,126,0
39246,jup_cp05_lm_halpha_camo_prestige_2,126,0
39373,jup_cp05_lm_halpha_camo_prestige_1,126,0
39026,jup_jp20_lm_evictor_camo_prestige_4,126,0
39153,jup_jp20_lm_evictor_camo_prestige_3,126,0
39280,jup_jp20_lm_evictor_camo_prestige_2,126,0
39406,jup_jp20_lm_evictor_camo_prestige_1,126,0
38998,jup_jp01_dm_slima8_camo_prestige_4,126,0
39125,jup_jp01_dm_slima8_camo_prestige_3,126,0
39252,jup_jp01_dm_slima8_camo_prestige_2,126,0
39379,jup_jp01_dm_slima8_camo_prestige_1,126,0
39002,jup_jp02_dm_bromeop_camo_prestige_4,126,0
39129,jup_jp02_dm_bromeop_camo_prestige_3,126,0
39256,jup_jp02_dm_bromeop_camo_prestige_2,126,0
39383,jup_jp02_dm_bromeop_camo_prestige_1,126,0
39018,jup_jp13_dm_svictork_camo_prestige_4,126,0
39145,jup_jp13_dm_svictork_camo_prestige_3,126,0
39272,jup_jp13_dm_svictork_camo_prestige_2,126,0
39399,jup_jp13_dm_svictork_camo_prestige_1,126,0
39025,jup_jp19_dm_acharlied_camo_prestige_4,126,0
39152,jup_jp19_dm_acharlied_camo_prestige_3,126,0
39279,jup_jp19_dm_acharlied_camo_prestige_2,126,0
39405,jup_jp19_dm_acharlied_camo_prestige_1,126,0
39015,jup_jp09_sh_oromeo12_camo_prestige_4,126,0
39142,jup_jp09_sh_oromeo12_camo_prestige_3,126,0
39269,jup_jp09_sh_oromeo12_camo_prestige_2,126,0
39396,jup_jp09_sh_oromeo12_camo_prestige_1,126,0
39021,jup_jp16_sh_recho870_camo_prestige_4,126,0
39148,jup_jp16_sh_recho870_camo_prestige_3,126,0
39275,jup_jp16_sh_recho870_camo_prestige_2,126,0
39402,jup_jp16_sh_recho870_camo_prestige_1,126,0
38990,jup_cp01_sh_aromeo410_camo_prestige_4,126,0
39117,jup_cp01_sh_aromeo410_camo_prestige_3,126,0
39244,jup_cp01_sh_aromeo410_camo_prestige_2,126,0
39371,jup_cp01_sh_aromeo410_camo_prestige_1,126,0
39019,jup_jp13_sn_svictor_camo_prestige_4,126,0
39146,jup_jp13_sn_svictor_camo_prestige_3,126,0
39273,jup_jp13_sn_svictor_camo_prestige_2,126,0
39400,jup_jp13_sn_svictor_camo_prestige_1,126,0
39022,jup_jp17_sn_hsierra_camo_prestige_4,126,0
39149,jup_jp17_sn_hsierra_camo_prestige_3,126,0
39276,jup_jp17_sn_hsierra_camo_prestige_2,126,0
39403,jup_jp17_sn_hsierra_camo_prestige_1,126,0
39039,jup_jp36_sn_boscar_camo_prestige_4,126,0
39166,jup_jp36_sn_boscar_camo_prestige_3,126,0
39293,jup_jp36_sn_boscar_camo_prestige_2,126,0
39419,jup_jp36_sn_boscar_camo_prestige_1,126,0
39027,jup_jp22_la_dromeo_camo_prestige_4,126,0
39154,jup_jp22_la_dromeo_camo_prestige_3,126,0
39281,jup_jp22_la_dromeo_camo_prestige_2,126,0
39407,jup_jp22_la_dromeo_camo_prestige_1,126,0
39034,jup_jp26_la_mike32_camo_prestige_4,126,0
39161,jup_jp26_la_mike32_camo_prestige_3,126,0
39288,jup_jp26_la_mike32_camo_prestige_2,126,0
39414,jup_jp26_la_mike32_camo_prestige_1,126,0
39029,jup_jp23_me_knife_camo_prestige_4,126,0
39156,jup_jp23_me_knife_camo_prestige_3,126,0
39283,jup_jp23_me_knife_camo_prestige_2,126,0
39409,jup_jp23_me_knife_camo_prestige_1,126,0
38926,iw9_ar_mike4_camo_prestige_4,126,0
39053,iw9_ar_mike4_camo_prestige_3,126,0
39180,iw9_ar_mike4_camo_prestige_2,126,0
39307,iw9_ar_mike4_camo_prestige_1,126,0
38925,iw9_ar_mike16_camo_prestige_4,126,0
39052,iw9_ar_mike16_camo_prestige_3,126,0
39179,iw9_ar_mike16_camo_prestige_2,126,0
39306,iw9_ar_mike16_camo_prestige_1,126,0
38948,iw9_lm_foxtrot_camo_prestige_4,126,0
39075,iw9_lm_foxtrot_camo_prestige_3,126,0
39202,iw9_lm_foxtrot_camo_prestige_2,126,0
39329,iw9_lm_foxtrot_camo_prestige_1,126,0
38930,iw9_br_msecho_camo_prestige_4,126,0
39057,iw9_br_msecho_camo_prestige_3,126,0
39184,iw9_br_msecho_camo_prestige_2,126,0
39311,iw9_br_msecho_camo_prestige_1,126,0
38975,iw9_sm_alpha57_camo_prestige_4,126,0
39102,iw9_sm_alpha57_camo_prestige_3,126,0
39229,iw9_sm_alpha57_camo_prestige_2,126,0
39356,iw9_sm_alpha57_camo_prestige_1,126,0
38919,iw9_ar_golf3_camo_prestige_4,126,0
39046,iw9_ar_golf3_camo_prestige_3,126,0
39173,iw9_ar_golf3_camo_prestige_2,126,0
39300,iw9_ar_golf3_camo_prestige_1,126,0
38979,iw9_sm_mpapa5_camo_prestige_4,126,0
39106,iw9_sm_mpapa5_camo_prestige_3,126,0
39233,iw9_sm_mpapa5_camo_prestige_2,126,0
39360,iw9_sm_mpapa5_camo_prestige_1,126,0
38949,iw9_lm_kilo21_camo_prestige_4,126,0
39076,iw9_lm_kilo21_camo_prestige_3,126,0
39203,iw9_lm_kilo21_camo_prestige_2,126,0
39330,iw9_lm_kilo21_camo_prestige_1,126,0
38921,iw9_ar_kilo53_camo_prestige_4,126,0
39048,iw9_ar_kilo53_camo_prestige_3,126,0
39175,iw9_ar_kilo53_camo_prestige_2,126,0
39302,iw9_ar_kilo53_camo_prestige_1,126,0
38937,iw9_dm_pgolf1_camo_prestige_4,126,0
39064,iw9_dm_pgolf1_camo_prestige_3,126,0
39191,iw9_dm_pgolf1_camo_prestige_2,126,0
39318,iw9_dm_pgolf1_camo_prestige_1,126,0
38917,iw9_ar_augolf_camo_prestige_4,126,0
39044,iw9_ar_augolf_camo_prestige_3,126,0
39171,iw9_ar_augolf_camo_prestige_2,126,0
39298,iw9_ar_augolf_camo_prestige_1,126,0
38976,iw9_sm_apapa_camo_prestige_4,126,0
39103,iw9_sm_apapa_camo_prestige_3,126,0
39230,iw9_sm_apapa_camo_prestige_2,126,0
39357,iw9_sm_apapa_camo_prestige_1,126,0
38947,iw9_lm_ahotel_camo_prestige_4,126,0
39074,iw9_lm_ahotel_camo_prestige_3,126,0
39201,iw9_lm_ahotel_camo_prestige_2,126,0
39328,iw9_lm_ahotel_camo_prestige_1,126,0
38914,iw9_ar_akilo_camo_prestige_4,126,0
39041,iw9_ar_akilo_camo_prestige_3,126,0
39168,iw9_ar_akilo_camo_prestige_2,126,0
39295,iw9_ar_akilo_camo_prestige_1,126,0
38915,iw9_ar_akilo105_camo_prestige_4,126,0
39042,iw9_ar_akilo105_camo_prestige_3,126,0
39169,iw9_ar_akilo105_camo_prestige_2,126,0
39296,iw9_ar_akilo105_camo_prestige_1,126,0
38916,iw9_ar_akilo74_camo_prestige_4,126,0
39043,iw9_ar_akilo74_camo_prestige_3,126,0
39170,iw9_ar_akilo74_camo_prestige_2,126,0
39297,iw9_ar_akilo74_camo_prestige_1,126,0
38977,iw9_sm_aviktor_camo_prestige_4,126,0
39104,iw9_sm_aviktor_camo_prestige_3,126,0
39231,iw9_sm_aviktor_camo_prestige_2,126,0
39358,iw9_sm_aviktor_camo_prestige_1,126,0
38978,iw9_sm_beta_camo_prestige_4,126,0
39105,iw9_sm_beta_camo_prestige_3,126,0
39232,iw9_sm_beta_camo_prestige_2,126,0
39359,iw9_sm_beta_camo_prestige_1,126,0
38951,iw9_lm_rkilo_camo_prestige_4,126,0
39078,iw9_lm_rkilo_camo_prestige_3,126,0
39205,iw9_lm_rkilo_camo_prestige_2,126,0
39332,iw9_lm_rkilo_camo_prestige_1,126,0
38928,iw9_ar_scharlie_camo_prestige_4,126,0
39055,iw9_ar_scharlie_camo_prestige_3,126,0
39182,iw9_ar_scharlie_camo_prestige_2,126,0
39309,iw9_ar_scharlie_camo_prestige_1,126,0
38929,iw9_ar_schotel_camo_prestige_4,126,0
39056,iw9_ar_schotel_camo_prestige_3,126,0
39183,iw9_ar_schotel_camo_prestige_2,126,0
39310,iw9_ar_schotel_camo_prestige_1,126,0
38940,iw9_dm_scromeo_camo_prestige_4,126,0
39067,iw9_dm_scromeo_camo_prestige_3,126,0
39194,iw9_dm_scromeo_camo_prestige_2,126,0
39321,iw9_dm_scromeo_camo_prestige_1,126,0
38982,iw9_sm_papa90_camo_prestige_4,126,0
39109,iw9_sm_papa90_camo_prestige_3,126,0
39236,iw9_sm_papa90_camo_prestige_2,126,0
39363,iw9_sm_papa90_camo_prestige_1,126,0
38981,iw9_sm_mpapax_camo_prestige_4,126,0
39108,iw9_sm_mpapax_camo_prestige_3,126,0
39235,iw9_sm_mpapax_camo_prestige_2,126,0
39362,iw9_sm_mpapax_camo_prestige_1,126,0
38924,iw9_ar_mcharlie_camo_prestige_4,126,0
39051,iw9_ar_mcharlie_camo_prestige_3,126,0
39178,iw9_ar_mcharlie_camo_prestige_2,126,0
39305,iw9_ar_mcharlie_camo_prestige_1,126,0
38923,iw9_ar_mcbravo_camo_prestige_4,126,0
39050,iw9_ar_mcbravo_camo_prestige_3,126,0
39177,iw9_ar_mcbravo_camo_prestige_2,126,0
39304,iw9_ar_mcbravo_camo_prestige_1,126,0
38980,iw9_sm_mpapa7_camo_prestige_4,126,0
39107,iw9_sm_mpapa7_camo_prestige_3,126,0
39234,iw9_sm_mpapa7_camo_prestige_2,126,0
39361,iw9_sm_mpapa7_camo_prestige_1,126,0
38984,iw9_sm_victor_camo_prestige_4,126,0
39111,iw9_sm_victor_camo_prestige_3,126,0
39238,iw9_sm_victor_camo_prestige_2,126,0
39365,iw9_sm_victor_camo_prestige_1,126,0
38969,iw9_sh_mike1014_camo_prestige_4,126,0
39096,iw9_sh_mike1014_camo_prestige_3,126,0
39223,iw9_sh_mike1014_camo_prestige_2,126,0
39350,iw9_sh_mike1014_camo_prestige_1,126,0
38968,iw9_sh_mbravo_camo_prestige_4,126,0
39095,iw9_sh_mbravo_camo_prestige_3,126,0
39222,iw9_sh_mbravo_camo_prestige_2,126,0
39349,iw9_sh_mbravo_camo_prestige_1,126,0
38970,iw9_sh_mviktor_camo_prestige_4,126,0
39097,iw9_sh_mviktor_camo_prestige_3,126,0
39224,iw9_sh_mviktor_camo_prestige_2,126,0
39351,iw9_sh_mviktor_camo_prestige_1,126,0
38967,iw9_sh_charlie725_camo_prestige_4,126,0
39094,iw9_sh_charlie725_camo_prestige_3,126,0
39221,iw9_sh_charlie725_camo_prestige_2,126,0
39348,iw9_sh_charlie725_camo_prestige_1,126,0
38952,iw9_lm_slima_camo_prestige_4,126,0
39079,iw9_lm_slima_camo_prestige_3,126,0
39206,iw9_lm_slima_camo_prestige_2,126,0
39333,iw9_lm_slima_camo_prestige_1,126,0
38950,iw9_lm_ngolf7_camo_prestige_4,126,0
39077,iw9_lm_ngolf7_camo_prestige_3,126,0
39204,iw9_lm_ngolf7_camo_prestige_2,126,0
39331,iw9_lm_ngolf7_camo_prestige_1,126,0
38935,iw9_dm_mike14_camo_prestige_4,126,0
39062,iw9_dm_mike14_camo_prestige_3,126,0
39189,iw9_dm_mike14_camo_prestige_2,126,0
39316,iw9_dm_mike14_camo_prestige_1,126,0
38932,iw9_br_soscar14_camo_prestige_4,126,0
39059,iw9_br_soscar14_camo_prestige_3,126,0
39186,iw9_br_soscar14_camo_prestige_2,126,0
39313,iw9_br_soscar14_camo_prestige_1,126,0
38939,iw9_dm_sbeta_camo_prestige_4,126,0
39066,iw9_dm_sbeta_camo_prestige_3,126,0
39193,iw9_dm_sbeta_camo_prestige_2,126,0
39320,iw9_dm_sbeta_camo_prestige_1,126,0
38936,iw9_dm_mike24_camo_prestige_4,126,0
39063,iw9_dm_mike24_camo_prestige_3,126,0
39190,iw9_dm_mike24_camo_prestige_2,126,0
39317,iw9_dm_mike24_camo_prestige_1,126,0
38938,iw9_dm_sa700_camo_prestige_4,126,0
39065,iw9_dm_sa700_camo_prestige_3,126,0
39192,iw9_dm_sa700_camo_prestige_2,126,0
39319,iw9_dm_sa700_camo_prestige_1,126,0
38942,iw9_dm_xmike2010_camo_prestige_4,126,0
39069,iw9_dm_xmike2010_camo_prestige_3,126,0
39196,iw9_dm_xmike2010_camo_prestige_2,126,0
39323,iw9_dm_xmike2010_camo_prestige_1,126,0
38934,iw9_dm_la700_camo_prestige_4,126,0
39061,iw9_dm_la700_camo_prestige_3,126,0
39188,iw9_dm_la700_camo_prestige_2,126,0
39315,iw9_dm_la700_camo_prestige_1,126,0
38988,iw9_sn_mromeo_camo_prestige_4,126,0
39115,iw9_sn_mromeo_camo_prestige_3,126,0
39242,iw9_sn_mromeo_camo_prestige_2,126,0
39369,iw9_sn_mromeo_camo_prestige_1,126,0
38987,iw9_sn_limax_camo_prestige_4,126,0
39114,iw9_sn_limax_camo_prestige_3,126,0
39241,iw9_sn_limax_camo_prestige_2,126,0
39368,iw9_sn_limax_camo_prestige_1,126,0
38985,iw9_sn_alpha50_camo_prestige_4,126,0
39112,iw9_sn_alpha50_camo_prestige_3,126,0
39239,iw9_sn_alpha50_camo_prestige_2,126,0
39366,iw9_sn_alpha50_camo_prestige_1,126,0
38961,iw9_pi_golf17_camo_prestige_4,126,0
39088,iw9_pi_golf17_camo_prestige_3,126,0
39215,iw9_pi_golf17_camo_prestige_2,126,0
39342,iw9_pi_golf17_camo_prestige_1,126,0
38962,iw9_pi_golf18_camo_prestige_4,126,0
39089,iw9_pi_golf18_camo_prestige_3,126,0
39216,iw9_pi_golf18_camo_prestige_2,126,0
39343,iw9_pi_golf18_camo_prestige_1,126,0
38959,iw9_pi_decho_camo_prestige_4,126,0
39086,iw9_pi_decho_camo_prestige_3,126,0
39213,iw9_pi_decho_camo_prestige_2,126,0
39340,iw9_pi_decho_camo_prestige_1,126,0
38960,iw9_pi_dechoauto_camo_prestige_4,126,0
39087,iw9_pi_dechoauto_camo_prestige_3,126,0
39214,iw9_pi_dechoauto_camo_prestige_2,126,0
39341,iw9_pi_dechoauto_camo_prestige_1,126,0
38965,iw9_pi_swhiskey_camo_prestige_4,126,0
39092,iw9_pi_swhiskey_camo_prestige_3,126,0
39219,iw9_pi_swhiskey_camo_prestige_2,126,0
