string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int,string
13667,jup_sb_ch_laser_focused_waste_nothing,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_WASTE_NOTHING,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_WASTE_NOTHING_DESC,10|25|50,||35738,500|1000|2000,,5,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
13664,jup_sb_ch_laser_focused_2_for_1,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_2_FOR_1,a&CHALLENGE/JUP_SB_CH_LASER_FOCUSED_2_FOR_1_DESC,3|5|10,||35740,500|1000|2000,,6,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0,193
17105,jup_sb_ch_mastery_laser_focused,a&CHALLENGE/SB_CH_MASTERY_LASER_FOCUSED,a&CHALLENGE/SB_CH_MASTERY_LASER_FOCUSED_DESC,6,43594,2500,,9,13662|13663|13665|13666|13667|13664,,,,,,0,193
13670,jup_sb_ch_keeping_score_avenger,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_AVENGER,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_AVENGER_DESC,10|25|50,||35736,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0,193
13671,jup_sb_ch_keeping_score_through_the_veil,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_THROUGH_THE_VEIL,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_THROUGH_THE_VEIL_DESC,10|25|50,||35735,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0,193
13672,jup_sb_ch_keeping_score_payback,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_PAYBACK,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_PAYBACK_DESC,10|25|50,||35734,500|1000|2000,,3,,,,,,MP|LP_MP|HC,0,193
13668,jup_sb_ch_keeping_score_return_to_sender,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_RETURN_TO_SENDER,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_RETURN_TO_SENDER_DESC,1,31287,2000,,4,,,,,,MP|LP_MP|HC,0,193
13669,jup_sb_ch_keeping_score_stop_that,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_STOP_THAT,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_STOP_THAT_DESC,10|25|50,||35737,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0,193
13673,jup_sb_ch_keeping_score_buddy_system,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_BUDDY_SYSTEM,a&CHALLENGE/JUP_SB_CH_KEEPING_SCORE_BUDDY_SYSTEM_DESC,10|25|50,||37181,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0,193
17107,jup_sb_ch_mastery_keeping_score,a&CHALLENGE/SB_CH_MASTERY_KEEPING_SCORE,a&CHALLENGE/SB_CH_MASTERY_KEEPING_SCORE_DESC,6,43595,2500,,10,13670|13671|13672|13668|13669|13673,,,,,,0,193
23338,jup_sb_ch_br_performance_mastery,a&JUP_CHALLENGE/JUP_SB_CH_BR_PERFORMANCE_MASTERY,a&JUP_CHALLENGE/JUP_SB_CH_BR_PERFORMANCE_MASTERY_DESC,5,35723,2500,,10,20489|20490|20487|23385|23387,,,,,,0,193
20489,jup_sb_ch_br_contract_complete,a&JUP_CHALLENGE/JUP_SB_CH_BR_CONTRACT_COMPLETE,a&JUP_CHALLENGE/JUP_SB_CH_BR_CONTRACT_COMPLETE_DESC,20|50|100,||35722,500|1000|2000,,1,,,,,,BR,0,193
20490,jup_sb_ch_br_loot_cache,a&JUP_CHALLENGE/JUP_SB_CH_BR_LOOT_CACHE,a&JUP_CHALLENGE/JUP_SB_CH_BR_LOOT_CACHE_DESC,40|100|200,||35726,500|1000|2000,,2,,,,,,BR,0,193
20487,jup_sb_ch_br_placement,a&JUP_CHALLENGE/JUP_SB_CH_BR_PLACEMENT,a&JUP_CHALLENGE/JUP_SB_CH_BR_PLACEMENT_DESC,5|10|25,||35724,500|1000|2000,,3,,,,,,BR,0,193
23385,jup_sb_ch_br_gulagwinner,a&JUP_CHALLENGE/JUP_SB_CH_BR_GULAGWINNER,a&JUP_CHALLENGE/JUP_SB_CH_BR_GULAGWINNER_DESC,10|25|50,||35731,500|1000|2000,,4,,,,,,BR,0,193
23387,jup_sb_ch_br_aliveingas,a&JUP_CHALLENGE/JUP_SB_CH_BR_ALIVEINGAS,a&JUP_CHALLENGE/JUP_SB_CH_BR_ALIVEINGAS_DESC,40|100|200,||35732,500|1000|2000,,5,,,,,,BR,0,193
23391,jup_sb_ch_br_region_mastery,a&JUP_CHALLENGE/JUP_SB_CH_BR_REGION_MASTERY,a&JUP_CHALLENGE/JUP_SB_CH_BR_REGION_MASTERY_DESC,5,35725,2500,,10,23372|23371|23373|23374|23375,,,,,,0,193
23372,jup_sb_ch_br_poikills_nw,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_NW,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_NW_DESC,10|25|50,||35721,500|1000|2000,,1,,,,,,BR,0,193
23371,jup_sb_ch_br_poikills_east,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_EAST,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_EAST_DESC,10|25|50,||35730,500|1000|2000,,2,,,,,,BR,0,193
23373,jup_sb_ch_br_poikills_south,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_SOUTH,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_SOUTH_DESC,10|25|50,||35729,500|1000|2000,,3,,,,,,BR,0,193
23374,jup_sb_ch_br_poikills_center,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_CENTER,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_CENTER_DESC,10|25|50,||35727,500|1000|2000,,4,,,,,,BR,0,193
23375,jup_sb_ch_br_poikills_water,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_WATER,a&JUP_CHALLENGE/JUP_SB_CH_BR_POIKILLS_WATER_DESC,10|25|50,||35728,500|1000|2000,,5,,,,,,BR,0,193
20665,jup_ob_sb_ch_fm_wonder_machine,a&JUP_OB_STICKER_BOOK/CAREER_FM_WONDER_MACHINE_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_WONDER_MACHINE_DESC,100,43601,1000,,1,,,,,,OB,0,193
20666,jup_ob_sb_ch_fm_mixologist,a&JUP_OB_STICKER_BOOK/CAREER_FM_WONDER_MACHINE_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_MIXOLOGIST_DESC,10,35720,1000,,2,,,,,,OB,0,193
20667,jup_ob_sb_ch_fm_checking_boxes,a&JUP_OB_STICKER_BOOK/CAREER_FM_CHECKING_BOXES_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_CHECKING_BOXES_DESC,10,35719,1000,,3,,,,,,OB,0,193
20668,jup_ob_sb_ch_fm_mystery_killer,a&JUP_OB_STICKER_BOOK/CAREER_FM_MYSTERY_KILLER_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_MYSTERY_KILLER_DESC,100,35718,1000,,4,,,,,,OB,0,193
20670,jup_ob_sb_ch_fm_zurvivor,a&JUP_OB_STICKER_BOOK/CAREER_FM_ZURVIVIOR_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_ZURVIVIOR_DESC,3,35717,1000,,5,,,,,,OB,0,193
20669,jup_ob_sb_ch_fm_big_plans,a&JUP_OB_STICKER_BOOK/CAREER_FM_BIG_PLANS_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_BIG_PLANS_DESC,1,35716,1000,,6,,,,,,OB,0,193
20671,jup_ob_sb_ch_fm_fresh_meat_mastery,a&JUP_OB_STICKER_BOOK/CAREER_FM_FRESH_MEAT_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/CAREER_FM_FRESH_MEAT_MASTERY_DESC,6,43580,2500,,1,20665|20666|20667|20668|20670|20669,,,,,,0,193
20664,jup_ob_sb_ch_bs_butcher,a&JUP_OB_STICKER_BOOK/CAREER_BS_BUTCHER_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_BUTCHER_DESC,100|500|1000,||43602,500|1000|2000,,1,,,,,,OB,0,193
20672,jup_ob_sb_ch_bs_elemental_wizard,a&JUP_OB_STICKER_BOOK/CAREER_BS_ELEMENTAL_WIZARD_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_ELEMENTAL_WIZARD_DESC,50|75|100,||35715,500|1000|2000,,2,,,,,,OB,0,193
20673,jup_ob_sb_ch_bs_skull_popper,a&JUP_OB_STICKER_BOOK/CAREER_BS_SKULL_POPPER_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_SKULL_POPPER_DESC,100|500|1000,||35714,500|1000|2000,,3,,,,,,OB,0,193
20674,jup_ob_sb_ch_bs_danger_close,a&JUP_OB_STICKER_BOOK/CAREER_BS_DANGER_CLOSE_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_DANGER_CLOSE_DESC,50|150|300,||35713,500|1000|2000,,4,,,,,,OB,0,193
20675,jup_ob_sb_ch_bs_shotgun_gunner,a&JUP_OB_STICKER_BOOK/CAREER_BS_SHOTGUN_GUNNER_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_SHOTGUN_GUNNER_DESC,100|500|1000,||35712,500|1000|2000,,5,,,,,,OB,0,193
