string,string,localized_a,int
mp_jup_resort_gw_wz,GOLD,a&PRESENCE/MP_JUP_RESORT_GW_WZ,0
mp_jup_gw_fallout_wz,GOLD,a&PRESENCE/MP_JUP_GW_FALLOUT_WZ,0
mp_jup_st_c_gw_wz,GOLD,a&PRESENCE/MP_JUP_ST_C_GW_WZ,0
mp_jup_bigmap,GOLD,a&PRESENCE/MP_JUP_BIGMAP,0
mp_jup_bigmap_wz,GOLD,a&PRESENCE/MP_JUP_BIGMAP_WZ,0
cp_jup_port,GOLD,a&PRESENCE/CP_JUP_PORT,0
cp_jup_chemical,GOLD,a&PRESENCE/CP_JUP_CHEMICAL,0
cp_jup_ranch,GOLD,a&PRESENCE/CP_JUP_RANCH,0
cp_jup_resort,GOLD,a&PRESENCE/CP_JUP_RESORT,0
cp_jup_apt,GOLD,a&PRESENCE/CP_JUP_APT,0
cp_jup_dam,GOLD,a&PRESENCE/CP_JUP_DAM,0
mp_jup_rust_alt,GOLD,a&PRESENCE/MP_JUP_RUST_ALT,0
mp_jup_quarry_alt,GOLD,a&PRESENCE/MP_JUP_QUARRY_ALT,0
mp_jup_scrapyard_alt_v2,GOLD,a&PRESENCE/MP_JUP_SCRAPYARD_ALT_V2,0
mp_jup_shipment_xmas,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_IW9,0
mp_jup_highrise_xmas,GOLD,a&PRESENCE/MP_JUP_HIGHRISE_XMAS,0
mp_jup_m_alley,GOLD,a&PRESENCE/MP_JUP_M_ALLEY,0
mp_jup_m_exhibit,GOLD,a&PRESENCE/MP_JUP_M_EXHIBIT,0
mp_jup_m_blacksite2,GOLD,a&PRESENCE/MP_JUP_M_BLACKSITE2,0
mp_jup_shipment_iw9,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_IW9,0
mp_jup_slaughterhouse,GOLD,a&PRESENCE/MP_JUP_SLAUGHTERHOUSE,0
mp_jup_trainingfacility,GOLD,a&PRESENCE/MP_JUP_TRAININGFACILITY,0
mp_jup_home_01,GOLD,a&PRESENCE/MP_JUP_HOME_01,0
mp_jup_urca,GOLD,a&PRESENCE/MP_JUP_URCA,0
mp_jup_luxury,GOLD,a&PRESENCE/MP_LUXURY,0
mp_jup_terminal_alt,GOLD,a&PRESENCE/MP_JUP_TERMINAL_ALT,0
mp_jup_skidrow_alt,GOLD,a&PRESENCE/MP_JUP_SKIDROW_ALT,0
mp_jup_bait,GOLD,a&PRESENCE/MP_JUP_BAIT,0
mp_jup_delta,GOLD,a&PRESENCE/MP_JUP_DELTA,0
mp_jup_sealion,GOLD,a&PRESENCE/MP_JUP_SEALION,0
mp_jup_sm_island_2,GOLD,a&PRESENCE/MP_JUP_SM_ISLAND_2,0
mp_jup_bigmap_wz2,GOLD,a&PRESENCE/MP_JUP_BIGMAP_WZ2,0
mp_jup_sira,GOLD,a&PRESENCE/MP_JUP_SIRA,0
mp_jup_skydiving,GOLD,a&PRESENCE/MP_JUP_SKYDIVING,0
mp_jup_launchfacility,GOLD,a&PRESENCE/MP_JUP_LAUNCHFACILITY,0
mp_jup_favela_alt,GOLD,a&PRESENCE/MP_JUP_FAVELA_ALT,0
mp_jup_waterfront,GOLD,a&PRESENCE/MP_JUP_WATERFRONT,0
mp_jup_dubai,GOLD,a&PRESENCE/MP_JUP_DUBAI,0
mp_jup_vertigo,GOLD,a&PRESENCE/MP_JUP_VERTIGO,0
mp_jup_rust_alt_toon,GOLD,a&PRESENCE/MP_JUP_RUST_ALT_TOON,0
mp_jup_shipment_alt_toon,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_ALT_TOON,0
mp_jup_home_01_alt_toon,GOLD,a&PRESENCE/MP_JUP_HOME_01_ALT_TOON,0
mp_jup_slaughterhouse_oct,GOLD,a&PRESENCE/MP_JUP_SLAUGHTERHOUSE_OCT,0
mp_jup_emergency,GOLD,a&PRESENCE/MP_JUP_EMERGENCY,0
mp_jup_security_area,GOLD,a&PRESENCE/MP_JUP_SECURITY_AREA,0
mp_jup_das_haus_alien,GOLD,a&PRESENCE/MP_JUP_DAS_HAUS_ALIEN,0
mp_jup_incline,GOLD,a&PRESENCE/MP_JUP_INCLINE,0
mp_jup_elevated,GOLD,a&PRESENCE/MP_JUP_ELEVATED,0
mp_jup_blackheart,GOLD,a&PRESENCE/MP_JUP_BLACKHEART,0
mp_jup_drivethru,GOLD,a&PRESENCE/MP_JUP_DRIVETHRU,0
mp_jup_shipment_alt,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_ALT,0
mp_jup_shipment_alt_2,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_ALT_2,0
mp_jup_shipment_alt_3,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_ALT_3,0
mp_jup_shipment_alt_4,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_ALT_4,0
mp_jup_shipment_alt_5,GOLD,a&PRESENCE/MP_JUP_SHIPMENT_ALT_5,0
mp_jup_delta_alt,GOLD,a&PRESENCE/MP_JUP_DELTA_ALT,0
mp_jup_escape5_hell,GOLD,a&PRESENCE/MP_JUP_ESCAPE5_HELL,0
mp_jup_zooquarium,GOLD,a&PRESENCE/MP_JUP_ZOOQUARIUM,0
