string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,int
20440,jup_ob_schematic_unlock_case_raygun_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CASE_RAYGUN,a&ZOMBIE_CHALLENGE/SCHEMATIC_CASE_RAYGUN_DESC_1,1,100,29667+34601,0,,,29667,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
20443,jup_ob_schematic_unlock_case_plasmagun_exfil,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CASE_PLASMAGUN,a&ZOMBIE_CHALLENGE/SCHEMATIC_CASE_PLASMAGUN_DESC_1,1,100,35307+34415,0,,,35307,,Season 0,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
27249,jup_ob_schematic_unlock_classified_aetherblade,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_AETHERBLADE,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_AETHERBLADE,1,100,48388+48396,1,,,43575,,Season 1,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
23151,jup_ob_schematic_unlock_classified_dog_bone,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_DOG_BONE,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_DOG_BONE,1,100,43575+37308,1,,,43575,,Season 1,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
23150,jup_ob_schematic_unlock_classified_golden_armor_plate,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_GOLDEN_ARMOR_PLATE,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_GOLDEN_ARMOR_PLATE,1,100,43574+37185,1,,,43574,,Season 1,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
22954,jup_ob_schematic_unlock_classified_bloodburner,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_BLOODBURNER,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_BLOODBURNER,1,100,36075+35877,1,,,36075,,Season 1,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
27994,jup_ob_schematic_unlock_case_vr11,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CASE_VR11,a&ZOMBIE_CHALLENGE/SCHEMATIC_CASE_VR11_DESC_1,1,100,49883+49679,2,,,49883,,Season 2,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
28288,jup_ob_schematic_unlock_golden_ammo,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_GOLDEN_AMMO,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_GOLDEN_AMMO,1,100,51864+51309,2,,,51864,,Season 2,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
29777,jup_ob_schematic_unlock_warlord_afo_beret,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_WARLORD_AFO_BERET,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_WARLORD_AFO_BERET,1,,54149+54190,3,,,54149,,Season 3,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
29779,jup_ob_schematic_unlock_warlord_chemist_mask,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_WARLORD_CHEMIST_MASK,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_WARLORD_CHEMIST_MASK,1,,54193+54196,3,,,54193,,Season 3,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
29781,jup_ob_schematic_unlock_warlord_maestro_mod,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_WARLORD_MAESTRO_MOD,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_WARLORD_MAESTRO_MOD,1,,54195+54198,3,,,54195,,Season 3,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
40663,jup_ob_schematic_unlock_disciple_bottle,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_DISCIPLE_BOTTLE,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_DISCIPLE_BOTTLE,1,,65564+65565,5,,,65564,,Season 5,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
40978,jup_ob_schematic_unlock_grenade_bandolier,a&JUP_OB_ITEM_GENERICS/SCHEMATIC_CLASSIFIED_GRENADE_BANDOLIER,a&ZOMBIE_CHALLENGE/SCHEMATIC_CLASSIFIED_GRENADE_BANDOLIER,1,,66200+66201,5,,,66200,,Season 5,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
42731,jup_ob_schematic_unlock_stash_increase,a&,a&,1,100,69882+69939,5,,,69882,,Season 5,JUP_AE_KIND_OB_SCHEMATIC_CHALLENGE,0
