string,string,localized_a,localized_a,string,string,string,string,string,int,string
24258,jup_wc_jup_jp25_ar_talpha95_pgrip_ass,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26032,96,attachmentdata,0,
24257,jup_wc_jup_jp25_ar_talpha95_pgrip_aim,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26031,97,attachmentdata,0,
24256,jup_wc_jup_jp25_ar_talpha95_mag_40_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26025,98,attachmentdata,0,
24255,jup_wc_jup_jp25_ar_talpha95_mag_20_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26024,99,attachmentdata,0,
24254,jup_wc_jup_jp25_ar_talpha95_drum_60_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26026,100,attachmentdata,0,
24253,jup_wc_jup_jp25_ar_talpha95_barsil,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,37398,101,attachmentdata,0,
24252,jup_wc_jup_jp25_ar_talpha95_bar_xlong,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26017,102,attachmentdata,0,
24249,jup_wc_jup_jp25_ar_talpha95_bar_long,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26016,103,attachmentdata,0,
24248,jup_wc_jup_jp25_ar_talpha95_bar_light,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26043,104,attachmentdata,0,
24247,jup_wc_jup_jp25_ar_talpha95_bar_hvylong,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26014,105,attachmentdata,0,
24246,jup_wc_jup_jp25_ar_talpha95_bar_hvy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26013,106,attachmentdata,0,
26324,jup_wc_jup_jp25_ar_talpha95_mag_30_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26023,107,attachmentdata,0,
27051,jup_wc_jup_jp25_ar_talpha95_comb_ammo,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26027,108,attachmentdata,0,
27052,jup_wc_jup_jp25_ar_talpha95_comb_ergo,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26030,109,attachmentdata,0,
27053,jup_wc_jup_jp25_ar_talpha95_comb_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26029,110,attachmentdata,0,
27054,jup_wc_jup_jp25_ar_talpha95_comb_weighted,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26028,111,attachmentdata,0,
24115,jup_wc_jup_jp10_sn_cdelta50_stockno,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25916,112,attachmentdata,0,
24114,jup_wc_jup_jp10_sn_cdelta50_stock_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25914,113,attachmentdata,0,
24112,jup_wc_jup_jp10_sn_cdelta50_stock_light,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25913,114,attachmentdata,0,
24111,jup_wc_jup_jp10_sn_cdelta50_stock_heavy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25915,115,attachmentdata,0,
24110,jup_wc_jup_jp10_sn_cdelta50_pgrip_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25925,116,attachmentdata,0,
24108,jup_wc_jup_jp10_sn_cdelta50_pgrip_aim,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25923,117,attachmentdata,0,
24107,jup_wc_jup_jp10_sn_cdelta50_mag_7_50b,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25918,118,attachmentdata,0,
24106,jup_wc_jup_jp10_sn_cdelta50_mag_10_50b,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25919,119,attachmentdata,0,
24105,jup_wc_jup_jp10_sn_cdelta50_guardlgt,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,27474,120,attachmentdata,0,
24104,jup_wc_jup_jp10_sn_cdelta50_guardhvy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,27475,121,attachmentdata,0,
24102,jup_wc_jup_jp10_sn_cdelta50_barsil,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26331,122,attachmentdata,0,
24101,jup_wc_jup_jp10_sn_cdelta50_bar_short,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25909,123,attachmentdata,0,
24100,jup_wc_jup_jp10_sn_cdelta50_bar_long,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25908,124,attachmentdata,0,
24099,jup_wc_jup_jp10_sn_cdelta50_bar_hvyshort,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25910,125,attachmentdata,0,
26309,jup_wc_jup_jp10_sn_cdelta50_bar,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25907,126,attachmentdata,0,
26311,jup_wc_jup_jp10_sn_cdelta50_stock,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25911,127,attachmentdata,0,
27044,jup_wc_jup_jp10_sn_cdelta50_pgrip,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25922,128,attachmentdata,0,
24229,jup_wc_jup_jp20_lm_evictor_bar,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23033,129,attachmentdata,0,
24230,jup_wc_jup_jp20_lm_evictor_bar_heavy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23035,130,attachmentdata,0,
24231,jup_wc_jup_jp20_lm_evictor_bar_long,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23034,131,attachmentdata,0,
24233,jup_wc_jup_jp20_lm_evictor_belt_100_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23045,132,attachmentdata,0,
24235,jup_wc_jup_jp20_lm_evictor_belt_200_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23046,133,attachmentdata,0,
24236,jup_wc_jup_jp20_lm_evictor_belt_50_762n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,39106,134,attachmentdata,0,
24237,jup_wc_jup_jp20_lm_evictor_pgrip_aim,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23048,135,attachmentdata,0,
24238,jup_wc_jup_jp20_lm_evictor_pgrip_ass,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23049,136,attachmentdata,0,
24239,jup_wc_jup_jp20_lm_evictor_pgrip_tac,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23050,137,attachmentdata,0,
24240,jup_wc_jup_jp20_lm_evictor_stock,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23037,138,attachmentdata,0,
24241,jup_wc_jup_jp20_lm_evictor_stock_assault,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23039,139,attachmentdata,0,
24242,jup_wc_jup_jp20_lm_evictor_stock_heavy,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23040,140,attachmentdata,0,
24243,jup_wc_jup_jp20_lm_evictor_stock_precision,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23038,141,attachmentdata,0,
24244,jup_wc_jup_jp20_lm_evictor_stock_skel,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23042,142,attachmentdata,0,
24245,jup_wc_jup_jp20_lm_evictor_stock_weighted,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23041,143,attachmentdata,0,
23985,jup_wc_jup_jp03_sm_pmike_stock_ass,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25984,144,attachmentdata,0,
23982,jup_wc_jup_jp03_sm_pmike_mag_20_9mm,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,29399,145,attachmentdata,0,
23981,jup_wc_jup_jp03_sm_pmike_drum_50_9mm,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,29400,146,attachmentdata,0,
23980,jup_wc_jup_jp03_sm_pmike_bar_hvylong,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25973,147,attachmentdata,0,
26934,jup_wc_jup_jp03_pgrip_aim,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,47663,148,attachmentdata,0,
26935,jup_wc_jup_jp03_sm_pmike_pgrip_aim,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,47665,149,attachmentdata,0,
27137,jup_wc_jup_jp03_sm_pmike,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,24669,150,weapondata,0,25961+25964+1200+2472
23779,jup_wc_jup_comp_sn_12,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25905,151,attachmentdata,0,
23728,jup_wc_jup_bipod_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25906,152,attachmentdata,0,
23859,jup_wc_jup_flashcomp_sn_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25904,153,attachmentdata,0,
23858,jup_wc_jup_flashcomp_sm_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25967,154,attachmentdata,0,
23857,jup_wc_jup_flashcomp_br_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26147,155,attachmentdata,0,
23856,jup_wc_jup_flashcomp_ar_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,25966,156,attachmentdata,0,
27317,jup_wc_jup_comp_ar_13,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,39099,157,attachmentdata,0,
27321,jup_wc_jup_comp_sm_13,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,39103,158,attachmentdata,0,
27326,jup_wc_jup_reflex08_tall,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,39705,159,attachmentdata,0,
27133,jup_wc_jup_cp01_sm_coscar635_bar_amp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,49188,160,attachmentdata,0,36891
27135,jup_wc_jup_jp02_sm_scharlie3_bar_amp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,47007,161,attachmentdata,0,49191+39698+49192
25682,jup_wc_jup_jp14_pi_rsierra12_bar_amp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,47015,162,attachmentdata,0,47016+47017+36999+37000
26321,jup_wc_jup_jp19_br_acharlie450_drum_50_450b,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,32862,163,attachmentdata,0,49185
23396,jup_wc_jup_las_fourx01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,21778,164,attachmentdata,0,
24379,jup_wc_jup_ub_flame_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,33862,165,attachmentdata,0,
27323,jup_wc_jup_hybrid_proj,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,39190,166,attachmentdata,0,
27134,jup_wc_jup_jp01_ar_golf36_bar_amp,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,47001,167,attachmentdata,0,39702+39705+49187
27277,jup_wc_jup_grip_vertshort_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48649,168,attachmentdata,0,
27271,jup_wc_jup_comp_ar_xxl,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,8,,48542,169,attachmentdata,0,48543+48544+48545+48546
27276,jup_wc_jup_flashcomp_pi_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48547,170,attachmentdata,0,
27278,jup_wc_jup_jp10_sn_cdelta50_silencer_000,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48548,171,attachmentdata,0,
27291,jup_wc_jup_flashcomp_dm_01,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,26146,172,attachmentdata,0,
27281,jup_wc_jup_reflex05,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48554,173,attachmentdata,0,
27282,jup_wc_jup_reflex05_pstl,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48555,174,attachmentdata,0,
27283,jup_wc_jup_reflex05_tall,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48556,175,attachmentdata,0,
34671,jup_wc_jup_minireddot_hor,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,48551,176,attachmentdata,0,
37072,jup_wc_jup_iron_cdelta50,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,3,,53975,177,attachmentdata,0,
35957,jup_wc_jup_jp03_br_aromeo200,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,24670,178,weapondata,0,25959+25962+25965+2110+25993
12505,jup_wc_jup_jp05_ar_foxtrot2000,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,17212,179,weapondata,0,22513+22514+1200+3507
35958,jup_wc_jup_jp23_me_swhiskey,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,49183,180,weapondata,0,49398
35959,jup_wc_jup_jp25_sm_talpham,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,5,,49909,181,weapondata,0,49908+49895+49907+1200+2472+49184
26302,jup_wc_jup_jp05_ar_foxtrot2000_mag_30_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,22523,182,attachmentdata,0,
24003,jup_wc_jup_jp05_ar_foxtrot2000_bar_hvylong,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,22516,183,attachmentdata,0,
24004,jup_wc_jup_jp05_ar_foxtrot2000_bar_light,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,22517,184,attachmentdata,0,
24005,jup_wc_jup_jp05_ar_foxtrot2000_bar_short,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,22518,185,attachmentdata,0,
24006,jup_wc_jup_jp05_ar_foxtrot2000_mag_20_556n,a&,a&CHALLENGE/WIN_CHALLENGE_DESC,2,,23880,186,attachmentdata,0,
