string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int
36242,jup_br_s3_resurgence_loaded_play,a&CHALLENGE/SECRET,a&CHALLENGE/RESURGENCE_LOADED_PLAY,1,,53992,,,,,3,,,,,0
36265,jup_br_s3_escape_ee_armory,a&CHALLENGE/SECRET,a&JUP_CHALLENGE/ESCAPE_EE_ARMORY_DESC,1,,51650,,,,,3,,,,,0
36240,jup_br_s3_resurgence_loaded_win,a&CHALLENGE/SECRET,a&CHALLENGE/RESURGENCE_LOADED_WINS,1,,58301,,,,,3,,,,,0
45915,jup_br_s5_resurgence_supreme_win,a&CHALLENGE/SECRET,a&CHALLENGE/RESURGENCE_SUPREME_WINS,1,,68836,,,,,5,,,,,0
45917,jup_br_s5_resurgence_supreme_play,a&CHALLENGE/SECRET,a&CHALLENGE/RESURGENCE_SUPREME_PLAY,1,,70915,,,,,5,,,,,0
48074,jup_br_s6_limbo_1,a&CHALLENGE/SECRET,a&JUP_CHALLENGE/BR_S6_LIMBO_CHALLENGE_5_5,1,,82626,,,,,6,,,,,0
27474,jup_ob_rift_run_three_contracts_blueprint,a&CHALLENGE/OB_HIDDEN_S1_RIFT_COMPLETE_DESC,a&CHALLENGE/OB_HIDDEN_S1_RIFT_COMPLETE_TITLE,1,,32814,,,,,,,,,,0
38849,jup_ob_rift_run_s3_complete_blueprint,a&JUP_OB_S3/OB_HIDDEN_S3_RIFT_COMPLETE_DESC,a&CHALLENGE/OB_HIDDEN_S1_RIFT_COMPLETE_TITLE,1,,55594,,,,,3,,,,,0
43843,jup_ob_rift_run_s5_complete_blueprint,a&JUP_OB_S5/OB_HIDDEN_S5_RIFT_COMPLETE_DESC,a&CHALLENGE/OB_HIDDEN_S1_RIFT_COMPLETE_TITLE,1,,71657,,,,,5,,,,,0
48289,jup_ch_conversion_kit_mastery,a&JUP_CHALLENGE/JUP_CH_CONVERSION_KIT_MASTERY,a&JUP_CHALLENGE/JUP_CH_CONVERSION_KIT_MASTERY_DESC,1,,82094+82330+82356+82725,,,,48290|48292,6,,,,,0
48290,jup_ch_conversion_kit_mp_br,a&JUP_CHALLENGE/JUP_CH_CONVERSION_KIT,a&JUP_CHALLENGE/JUP_CH_CONVERSION_KIT_1_DESC,1000,,,,,,,6,,,,,0
48292,jup_ch_conversion_kit_ob,a&JUP_CHALLENGE/JUP_CH_CONVERSION_KIT,a&JUP_CHALLENGE/JUP_CH_CONVERSION_KIT_2_DESC,7000,,,,,,,6,,,,,0
14845,iw9_ch_secret_s4_delta_win,a&CHALLENGE/SECRET,a&CHALLENGE/ANY_DELTA_WIN,1,0,15282,,,,,4000,0,0,,,0
14846,iw9_ch_secret_s4_delta_play_100,a&CHALLENGE/SECRET,a&CHALLENGE/ANY_DELTA_PLAY,50,0,30299,,,,,4000,0,0,,,0
14847,iw9_ch_secret_s4_delta_play_500,a&CHALLENGE/SECRET,a&CHALLENGE/ANY_DELTA_PLAY,200,0,30309,,,,,4000,0,0,,,0
14848,iw9_ch_secret_s4_delta_win_lock_1,a&CHALLENGE/SECRET,a&CHALLENGE/LOCKDOWN_DELTA_WIN,1,0,30297,,,,,4000,0,0,,,0
14849,iw9_ch_secret_s4_delta_win_lock_25,a&CHALLENGE/SECRET,a&CHALLENGE/LOCKDOWN_DELTA_WIN,25,0,30306,,,,,4000,0,0,,,0
14850,iw9_ch_secret_s4_delta_win_br,a&CHALLENGE/SECRET,a&CHALLENGE/BR_DELTA_WIN,1,0,30296,,,,,4000,0,0,,,0
14851,iw9_ch_secret_s4_delta_win_br_25,a&CHALLENGE/SECRET,a&CHALLENGE/BR_DELTA_WIN,25,0,30307,,,,,4000,0,0,,,0
14852,iw9_ch_secret_s4_delta_underwater,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_UNDERWATER_KILL,1,0,8849,,,,,4000,0,0,,,0
14853,iw9_ch_secret_s4_delta_finisher,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_EXECUTION,1,0,5050,,,,,4000,0,0,,,0
15025,iw9_ch_secret_s4_delta_melee_25,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_MELEE,25,0,30404,,,,,4000,0,0,,,0
15120,iw9_ch_secret_s4_body_scan_ee,a&CHALLENGE/SECRET,a&CHALLENGE/DELTA_BODY_EE,1,0,30479,,,,,4000,0,0,,,0
