string,localized_a,string
67,a&ZD30/OILFIRE_PUZZLE_HINT2,
68,a&HOMETOWN/SPRINT_HINT,
69,a&ZD30/MG_NEST_HINT,
70,a&LAB/TANK_COVER_HINT,
71,a&ZD30/MG_NEST_HINT2,
72,a&SCRIPT/MISSIONFAIL_HELICRAWL,
73,a&SCRIPT/JUGGDEATH_1,icon_death_hint_flash
74,a&SCRIPT/JUGGDEATH_2,
75,a&SCRIPT/JUGGDEATH_3,
76,a&STPETERSBURG/PURSUIT_FAIL,
77,a&SCRIPT/MISSIONFAIL_KILLEDHVT,
78,a&HOMETOWN/HIDE_FROM_SOLDIER_HINT,
79,a&HOMETOWN/BOSS_NEW_WEAPON_DEATH,
80,a&HOMETOWN/GAS_ATTACK_DEATH,
81,a&HOMETOWN/HIDE_IN_FOLIAGE,icon_death_hint_foliage
82,a&HOMETOWN/CALL_PHONE,
83,a&STPETERSBURG_BOUNCER_DEATH,
84,a&STPETERSBURG/ENFORCER_DEATH,
85,a&SAFEHOUSE/WEAPON_HOLSTER_DEATH_HINT,
86,a&SAFEHOUSE/GUARD_PROXIMITY_DEATH_HINT,
87,a&SAFEHOUSE/HIDDEN_DEATH_HINT,
88,a&PICCADILLY/ROE_FAIL,
89,a&STPETERSBURG/ENFORCER_POLICE_DEATH,
90,a&STPETERSBURG/VAN_DESTROYED,
91,a&STPETERSBURG/INTERROGATION_DEATH,
92,a&STPETERSBURG/ESCORT_HOSTAGE_DEATH,
93,a&HOMETOWN/BOSS_CONTEXT_MELEE_FAIL1,
94,a&HOMETOWN/BOSS_CONTEXT_MELEE_FAIL2,
95,a&HOMETOWN/BOSS_CONTEXT_MELEE_FAIL3,
96,a&SAFEHOUSE/DEATH_HINT_GRENADE_THROWN,
97,a&LAB/JUGG_DEATH_HINT_1,
98,a&LAB/JUGG_DEATH_HINT_2,
99,a&SAFEHOUSE/DEATH_HINT_BLEND_IN,
100,a&DEADQUOTE/MW00,
101,a&DEADQUOTE/MW01,
102,a&DEADQUOTE/MW02,
103,a&DEADQUOTE/MW03,
104,a&DEADQUOTE/MW04,
105,a&DEADQUOTE/MW05,
106,a&DEADQUOTE/MW06,
107,a&DEADQUOTE/MW07,
108,a&DEADQUOTE/MW08,
109,a&DEADQUOTE/MW09,
110,a&DEADQUOTE/MW10,
111,a&DEADQUOTE/MW11,
112,a&DEADQUOTE/MW12,
113,a&DEADQUOTE/MW13,
114,a&DEADQUOTE/MW14,
115,a&DEADQUOTE/MW15,
116,a&DEADQUOTE/MW16,
117,a&DEADQUOTE/MW17,
118,a&DEADQUOTE/MW18,
119,a&DEADQUOTE/MW19,
120,a&DEADQUOTE/MW20,
121,a&DEADQUOTE/MW21,
122,a&DEADQUOTE/MW22,
123,a&DEADQUOTE/MW23,
124,a&DEADQUOTE/MW24,
125,a&DEADQUOTE/MW25,
126,a&DEADQUOTE/MW26,
127,a&DEADQUOTE/MW27,
128,a&DEADQUOTE/MW28,
129,a&DEADQUOTE/MW29,
130,a&DEADQUOTE/MW30,
131,a&DEADQUOTE/MW31,
132,a&DEADQUOTE/MW32,
133,a&DEADQUOTE/MW33,
134,a&DEADQUOTE/MW34,
135,a&DEADQUOTE/MW35,
136,a&DEADQUOTE/MW36,
137,a&DEADQUOTE/MW37,
138,a&DEADQUOTE/MW38,
139,a&DEADQUOTE/MW39,
140,a&DEADQUOTE/MW40,
141,a&DEADQUOTE/MW41,
142,a&DEADQUOTE/MW42,
143,a&DEADQUOTE/MW43,
144,a&DEADQUOTE/MW44,
145,a&DEADQUOTE/MW45,
146,a&DEADQUOTE/MW46,
147,a&DEADQUOTE/MW47,
148,a&DEADQUOTE/MW48,
149,a&DEADQUOTE/MW49,
150,a&DEADQUOTE/MW50,
151,a&DEADQUOTE/MW51,
152,a&DEADQUOTE/MW52,
153,a&DEADQUOTE/MW53,
154,a&DEADQUOTE/MW54,
155,a&DEADQUOTE/MW55,
156,a&DEADQUOTE/MW56,
157,a&DEADQUOTE/MW57,
158,a&DEADQUOTE/MW58,
159,a&DEADQUOTE/MW59,
160,a&DEADQUOTE/MW60,
161,a&DEADQUOTE/MW61,
162,a&DEADQUOTE/MW62,
163,a&DEADQUOTE/MW63,
164,a&DEADQUOTE/MW64,
165,a&DEADQUOTE/MW65,
166,a&DEADQUOTE/MW66,
167,a&DEADQUOTE/MW67,
168,a&DEADQUOTE/MW68,
169,a&DEADQUOTE/MW69,
170,a&DEADQUOTE/MW70,
171,a&DEADQUOTE/MW71,
172,a&DEADQUOTE/MW72,
173,a&DEADQUOTE/MW73,
174,a&DEADQUOTE/MW74,
175,a&DEADQUOTE/MW75,
176,a&DEADQUOTE/MW76,
177,a&DEADQUOTE/MW77,
178,a&DEADQUOTE/MW78,
179,a&DEADQUOTE/MW79,
180,a&DEADQUOTE/MW80,
181,a&DEADQUOTE/MW81,
182,a&DEADQUOTE/MW82,
183,a&DEADQUOTE/MW83,
184,a&DEADQUOTE/MW84,
185,a&DEADQUOTE/MW85,
186,a&DEADQUOTE/MW86,
187,a&DEADQUOTE/MW87,
188,a&DEADQUOTE/MW88,
189,a&DEADQUOTE/MW89,
190,a&DEADQUOTE/MW90,
191,a&DEADQUOTE/MW91,
192,a&DEADQUOTE/MW92,
193,a&DEADQUOTE/MW93,
194,a&DEADQUOTE/MW94,
195,a&DEADQUOTE/MW95,
196,a&DEADQUOTE/MW96,
197,a&DEADQUOTE/MW97,
198,a&DEADQUOTE/MW98,
199,a&DEADQUOTE/MW99,
200,a&__END_OF_DEADQUOTE__,
201,a&SCRIPT/STEALTH_GUNSHOT_HINT,
202,a&SCRIPT/BOTTLE_DEATH_HINT,
203,a&SCRIPT/STEALTH_STANDING_FOOTSTEPS_HINT,icon_death_hint_crouch
204,a&WOUNDED/CONTEXT_MELEE_FAIL_HINT,
205,a&GUNSHIP/BUILDING_FAIL_1,
206,a&GUNSHIP/BUILDING_FAIL_2,
207,a&GUNSHIP/BUILDING_FAIL_3,
208,a&GUNSHIP/FLUSH_FAIL_1,
209,a&GUNSHIP/FLUSH_FAIL_2,
210,a&GUNSHIP/FLUSH_FAIL_3,
211,a&GUNSHIP/HVT_KILLED_1,
212,a&GUNSHIP/HVT_KILLED_2,
213,a&GUNSHIP/HVT_KILLED_3,
214,a&GUNSHIP/HVT_ESCAPED_1,
215,a&GUNSHIP/HVT_ESCAPED_2,
216,a&GUNSHIP/HVT_ESCAPED_3,
217,a&GUNSHIP/HVT_SCAN_FAIL,
218,a&GUNSHIP/HVT_SCAN_FAIL_WORKER,
219,a&GUNSHIP/HILL_BUILDING_FAIL_1,
220,a&GUNSHIP/HILL_BUILDING_FAIL_2,
221,a&GUNSHIP/HILL_BUILDING_FAIL_VEHICLE_1,icon_ks_jugg_hud
222,a&GUNSHIP/HILL_BUILDING_FAIL_VEHICLE_2,icon_ks_jugg_hud
223,a&SCRIPT/DEATH_MINEFIELD,
224,a&GUNSHIP/STINGER_FAIL_1,
225,a&GUNSHIP/ROOFTOP_RPG_FAIL_1,
226,a&NIGHTWAR/SNIPER_DEATH,
227,a&GUNSHIP/PMC_FAIL_1,
228,a&GUNSHIP/PMC_FAIL_2,icon_waypoint_tank
229,a&GUNSHIP/MORTAR_FAIL_1,alien_icon_double_mortar
230,a&NIGHTWAR/RESCUE_CHOPPER_EARLY,
231,a&WOUNDED/ARMORED_ENEMY_DEATH_HINT,
232,a&SCRIPT/SWIM_DEATH,
233,a&SHADOWBASE/USE_HELI_DEATH_HINT,
234,a&BACKSTABBED/LEDGE_HANG_TUT_A,
235,a&BACKSTABBED/TACTICAL_SPRINT_TUT_B,
236,a&SHADOWBASE/HANGAR3_DEATH_HINT,
237,a&SHADOWBASE/GRAVES_FAIL,
238,a&PRISON/SNIPING_FAIL,
239,a&PRISON/STEALTH_FAIL,
240,a&PRISON/CCTV_BODYFOUND_FAIL,
241,a&PRISON/EXFILL_FAIL,
242,a&GUNSHIP/FRIENDLY_FIRE,
243,a&PRISON/CCTV_KILL_HINT,
244,a&GUNSHIP_AMBUSH/CHURCH_FAIL,
245,a&GUNSHIP_AMBUSH/BUILDING_FAIL,
246,a&BACKSTABBED/TACTICAL_SPRINT_TUT_B_PRESS,
247,a&BACKSTABBED/BKS_SHIMMY_HINT,
248,a&SP_JUP_GUNSHIP/JET_FAIL_1,
249,a&SP_JUP_GUNSHIP/JET_FAIL_2,
250,a&SP_JUP_GUNSHIP/HELI_FAIL_1,
251,a&SP_JUP_GUNSHIP/HELI_FAIL_2,
252,a&SP_JUP_GUNSHIP/HANGAR_FAIL_1,
253,a&SP_JUP_GUNSHIP/TANK_FAIL_1,
254,a&SP_JUP_GUNSHIP/MORTAR_FAIL_1,
301,a&TRIALS_MODE/TIMER_01,
302,a&TRIALS_MODE/TIMER_02,
303,a&TRIALS_MODE/PRIMARY_CHALLENGES,
304,a&TRIALS_MODE/SECONDARY_CHALLENGES,
305,a&TRIALS_MODE/NVG_HINT,
306,a&SCRIPT/SWIM_DEATH,
401,a&MARINES/MG_DEATH,
402,a&MARINES/TRIPWIRE_DEATH,icon_death_hint_tripwire
403,a&MARINES/FRIEND_OR_FOE_DEATH,
404,a&MARINES/MACHINEGUN_DEATH,
405,a&MARINES/WOLF_HOSTAGE_FAIL,
406,a&MARINES/WOLF_KILLED_FAIL,
407,a&MARINES/WOLF_STEALTH_FAIL,
408,a&MARINES/WOLF_TIMER_FAIL,
409,a&MARINES/LEAVE_MISSION_AREA,
410,a&MARINES/CIVILIAN_KILLED,
411,a&MARINES/HOSTAGE_EXECUTED,
412,a&MARINES/HOSTAGE_KILLED,
413,a&MARINES/RETREAT_HOLD_POSITION,
414,a&MARINES/SNAKECAM_FAIL,
415,a&MARINES/WOLF_SHELF_HAZARD,
425,a&STPETERSBURG/DONT_ALERT_ENEMIES,
426,a&STPETERSBURG/DIDNT_KILL_FAST,
427,a&STPETERSBURG/DONT_ALERT_ENEMIES_BAR,
428,a&STPETERSBURG/RPG_KILLED_ENFORCER,
429,a&STPETERSBURG/LEAVE_MISSION_AREA,
430,a&STPETERSBURG/PRICE_KILLED,
431,a&STPETERSBURG/FAIL_WEAPON_HOLSTER,
432,a&STPETERSBURG/COPS_ARRIVED,
433,a&STPETERSBURG/FRIENDLY_FIRE_FAIL,
434,a&STPETERSBURG/INTRG_FAMILY_KILL_FAIL,
435,a&STPETERSBURG/INTRG_FAMILY_KILL_FAIL3,
436,a&ESTATE/HVT_KILLED_3,
437,a&ESTATE/HVT_KILLED_4,
438,a&GAME/MISSIONFAILED,
440,a&PARTY/DIEGA_DEATH_HINT,
441,a&PARTY/DIEGA_ESCAPED_DEATH_HINT,
442,a&TOWER/BROKEN_GLASS_DEATH_HINT,
443,a&TOWER/BOSS_AVOID_DEATH_HINT,
444,a&NIGHTWAR_DRIVE/ENEMY_MINE_DEATH,
445,a&TOWER/BOSS_MELEE_DEATH_HINT,
446,a&TOWER/CHEMICALS_DEATH_HINT,
447,a&TOWER/SMOKE_BOMB_DEATH_HINT,
448,a&TOWER/BOSS_MISSILE_DEATH_HINT,
449,a&TOWER/MICROWAVE_DEATH_HINT,
450,a&TOWER/BOSS_STUN_DEATH_HINT,
451,a&TOWER/RAPPEL_FAIL_DISENGAGE,
452,a&TOWER/RAPPEL_FAIL_SKIP,
453,a&SHADOWBASE/FAIL_SHOOTING,
454,a&SHADOWBASE/FAIL_SPOTTER,
455,a&STRIKE/GHORBRANI_KILL_FAIL,
456,a&STRIKE/MISSILE_INVERSE_PITCH_HINT,
466,a&CONVOY_CHASE/PRIMARY_FAIL,
467,a&MONTAGE_CANALS/FAIL_HINT_POLICE,
468,a&MONTAGE_CANALS/FAIL_HINT_EARLY,
469,a&MONTAGE_CANALS/FAIL_HINT_DEATH,
470,a&MONTAGE_CANALS/FAIL_HINT_STEALTH,
471,a&CONVOY_CHASE/TAKEOVER_DEATH,
472,a&PARTY/INTERROGATION_DEATH_HINT_1,
473,a&PARTY/INTERROGATION_DEATH_HINT_2,
474,a&PARTY/INTERROGATION_DEATH_HINT_Q1,
475,a&PARTY/INTERROGATION_DEATH_HINT_Q2,
476,a&PARTY/INTERROGATION_DEATH_HINT_Q3,
477,a&PARTY/INTERROGATION_DEATH_HINT_Q4,
478,a&STOLEN/PLAYER_LEAN_DEATH_HINT,
479,a&TOWER/ELEVATOR_DEATH_HINT,
480,a&TOWER/FINALE_FRIENDLY_FIRE_DEATH_HINT,
481,a&TOWER/FINALE_TIMEOUT_DEATH_HINT,
482,a&CONVOY_CHASE/ALLY_CRASH,
483,a&CONVOY_CHASE/STAY_RIGHT,
484,a&MONTAGE_CANALS/FAIL_HINT_CHASE,
485,a&TOWER/GAS_TRAP_DEATH_HINT,
486,a&TOWER/INFIL_DEATH_HINT,
487,a&STRIKE/MISSILE_CANYON_NAV_FAIL,
488,a&TOWER/TOOLBOX_DISTRACT_DEATH_HINT,
489,a&TOWER/TOOLBOX_EXIT_DEATH_HINT,
490,a&TOWER/TOOLBOX_LURE_DEATH_HINT,
491,a&TOWER/TOOLBOX_TRAP_DEATH_HINT,
492,a&MONTAGE_CANALS/FAIL_HINT_PRICE,
493,a&INTERCEPT/MORTARS_RELOCATE_DEATH_HINT,
494,a&SHIPAF/MISSILE_DEFUSAL_DEATH_HINT,
495,a&PARTY/CRUSHED_DEATH_HINT,
496,a&PARTY/GENERIC_FAIL_DEATH_HINT,
497,a&BORDER/FAIL_HINT_HOLD_FIRE,
498,a&BORDER/FAIL_HINT_HOLD_FIRE2,
499,a&SCRIPT/MISSIONFAIL_CIVILIAN_KILLED_3,
500,a&WOUNDED/FIND_GUN_DEATH_HINT,
501,a&WOUNDED/CRAFTING_DEATH_HINT_A,
502,a&WOUNDED/CRAFTING_DEATH_HINT_B,
503,a&WOUNDED/CRAFTING_DEATH_HINT_C,
504,a&WOUNDED/CRAFTING_DEATH_HINT_SMOKE_BOMB,
505,a&WOUNDED/CRAFTING_DEATH_HINT_IMPROVISED_MINE,
506,a&WOUNDED/CRAFTING_DEATH_HINT_MOLOTOV,
507,a&CONVOY_CHASE/DAMAGED_HINT2,
508,a&SP_JUP_SURGE/TARGET_FOLLOW_FAIL_HINT,
509,a&SP_JUP_FLASHBACK/MAK_DEATH1,
510,a&SP_JUP_FLASHBACK/MAK_DEATH2,
511,a&SP_JUP_SURGE/TRAIN_DEATH1,
512,a&SP_JUP_FLASHBACK/MAK_KILLED_FAIL,
513,a&SP_JUP_TUNDRA/DETONATE_FAIL1,
514,a&SP_JUP_TUNDRA/DETONATE_FAIL2,
515,a&SP_JUP_TUNDRA/EXTRACT_FAIL,
516,a&SP_JUP_FLASHBACK/FIELD_DEATH,
517,a&SP_JUP_SURGE/PARK_FAIL_SUSPICION,
518,a&SP_JUP_TUNDRA/SNIPER_KILL_FAIL,
519,a&SP_JUP_TUNDRA/SNIPER_RUSH_FAIL,
520,a&SP_JUP_TUNDRA/HELI_CRUSH_FAIL,
521,a&SP_JUP_SURGE/BOMB_DEFUSE_FAIL,
522,a&SP_JUP_VIP/SHOOT_GUARDS_FAIL,
523,a&SP_JUP_VIP/SHOOT_PRISONERS_FAIL,
524,a&SP_JUP_VIP/SHOOT_PRISONERS_OR_ALLIES_FAIL,
525,a&CP_JUP_CHEMICAL/ATTACK_HELI_FAIL,
526,a&CP_JUP_CHEMICAL/SENTRY_FAIL,
527,a&CP_JUP_CHEMICAL/CLAYMORE_FAIL,
528,a&CP_JUP_CHEMICAL/ROOF_ENEMIES_FAIL,
529,a&CP_JUP_CHEMICAL/RPG_FAIL,
530,a&CP_JUP_CHEMICAL/REACTOR_GAS_FAIL,
531,a&CP_JUP_CHEMICAL/REACTOR_PRE_GAS_FAIL,
532,a&CP_JUP_CHEMICAL/REACTOR_UNUSED_ROPE_FAIL,
533,a&CP_JUP_CHEMICAL/REACTOR_BALCONY_ENEMIES_FAIL,
534,a&CP_JUP_CHEMICAL/HELI_OBJ_EXPLODE_FAIL,
535,a&CP_JUP_CHEMICAL/JLTV_MG_FAIL,
536,a&CP_JUP_RESORT/DEATHHINT_DRONES,
537,a&CP_JUP_PORT/DEATH_HINTS_WHEELS,
538,a&CP_JUP_PORT/HINTS_DEATH_FALL,
539,a&CP_JUP_PORT/HINTS_DEATH_SQUASHED,
540,a&SP_JUP_SILO/FINALE_TIMER_FAIL,
900,a&SP_T10_UNION/DEATH_RESTRICTED,
901,a&SP_T10_UNION/DEATH_CORPSE,
902,a&SP_T10_UNION/DEATH_BODYCARRY,
903,a&SP_T10_UNION/DEATH_TAKEDOWN,
904,a&SP_T10_UNION/DEATH_PICKPOCKET,
905,a&SP_T10_UNION/DEATH_CAUGHT,
906,a&SP_T10_UNION/DEATH_AGENT,
907,a&SP_T10_UNION/DEATH_ROOFTOP_TAKEDOWN,
915,a&SP_T10_EXTRACTION/KILLED_VIP_FAIL,
916,a&SP_T10_EXTRACTION/DEATH_GOV_OFFICIAL,
917,a&SP_T10_EXTRACTION/DEATH_ADLER,
918,a&SP_T10_EXTRACTION/DEATH_ROOFTOP_JUMP,
921,a&SP_T10_HEIST/DEATH_SPOTTED,
922,a&SP_T10_HEIST/DEATH_DISGUISE_BROKEN,
931,a&SP_T10_SABOTAGE/DEATH_SPOTTED,
980,a&T10_HINTS/DEATH_SHOTGUN_SEEKER,
981,a&T10_HINTS/DEATH_DEATHMACHINE,
982,a&T10_HINTS/DEATH_WARMACHINE,
983,a&T10_HINTS/DEATH_CONCUSSION_RIFLEIST,
984,a&T10_HINTS/DEATH_RIOTSHIELD,
985,a&T10_HINTS/DEATH_SNIPER_TRACKER,
986,a&T10_HINTS/DEATH_TRAP_ASSASSIN,
987,a&T10_HINTS/DEATH_GAS_GRENADIER,
988,a&T10_HINTS/DEATH_ENGINEER,
989,a&T10_HINTS/DEATH_ENGINEER_RCXD,
990,a&CP_JUP_APT/FF_DEATH,
991,a&CP_JUP_RANCH/FF_DEATH,
992,a&CP_JUP_RANCH/MISSION_FAILED_ALEX_KILLED,
993,a&CP_JUP_RANCH/MISSION_FAIL_EXFIL,
994,a&CP_DAM/DEATHBY_SNIPER,
995,a&CP_DAM/DEATHBY_START,
996,a&CP_DAM/DEATHBY_SENTRY,
