string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
10,iw8_sn_sbeta_variant_10,iw8_sn_sbeta,iw8_sn_sbeta_mpdmb,rec|10,,,laserbalanced|3,,hybrid3|2,,pistolgrip02|3,stockcust|3,fastreload,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v11,,,standardDis,,,,
11,iw8_sn_sbeta_variant_11,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|11 front|11 reargrip|11,silencer3|13,,laserbalanced|8,,scope|2,,,,fastreload,,,,x32#hash_c7f63a5c,ui_loot_weapon_sn_sbeta_v12,,,,,,,
12,iw8_sn_sbeta_variant_12,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|12 front|12 reargrip|12,,,laserbalanced|11,,reflexmini2|8,,pistolgrip02|5,stockh|3,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v13,,,,,,,
13,iw8_sn_sbeta_variant_13,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|13 reargrip|13,silencer|5,barshort|3,,,reflexmini3|7,,,stocks|3,,,,,x32#hash_c7f63a70,ui_loot_weapon_sn_sbeta_v14,,,,,,,
14,iw8_sn_sbeta_variant_14,iw8_sn_sbeta,iw8_sn_sbeta_mpv2,rec|14 front|14,silencer3|1,barlong|4,laserbalanced|2,,scope|3,,,stockcust|4,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v15,,,,,,,
15,iw8_sn_sbeta_variant_15,iw8_sn_sbeta,,rec|1 front|1 reargrip|1,,,,,,,,,,,,,x32#hash_c7f63a84,ui_loot_weapon_sn_sbeta_v16,,,,,,,
16,iw8_sn_sbeta_variant_16,iw8_sn_sbeta,iw8_sn_sbeta_mpv2a,rec|0 front|0 reargrip|0,brake|1,,laserbalanced|5,,vzscope|2,,,stockh|4,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v17,,,,,,,
17,iw8_sn_sbeta_variant_17,iw8_sn_sbeta,iw8_sn_sbeta_mpmtx,rec|1 front|1 reargrip|1,,barlong|3,,,reflex2|13,,pistolgrip02|6,stockh|5,fastreload,,,,x32#hash_c7f63a98,ui_loot_weapon_sn_sbeta_v18,,morte,standardDis,,,,
18,iw8_sn_sbeta_variant_18,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v19,,,,,,,
19,iw8_sn_sbeta_variant_19,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,x32#hash_c7f63aac,ui_loot_weapon_sn_sbeta_v20,,,,,,,
20,iw8_sn_sbeta_variant_20,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v21,,,,,,,
21,iw8_sn_sbeta_variant_21,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,x32#hash_c7f63ac0,ui_loot_weapon_sn_sbeta_v22,,,,,,,
22,iw8_sn_sbeta_variant_22,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,x32#hash_14c,ui_loot_weapon_sn_sbeta_v23,,,,,,,
23,iw8_sn_sbeta_variant_23,iw8_sn_sbeta,iw8_sn_sbeta_mpa,rec|0 front|0 reargrip|0,,,,,,,,,,,,,x32#hash_c7f63ad4,ui_loot_weapon_sn_sbeta_v24,,,,,,,
