string,string,string,string,string,string,string,string,int
iw8_sh_romeo870,magazine,0,loadout_showcase_preview_muzzle,,,,,0
iw8_sh_romeo870,pump,0,,,-10,0,0,0
iw8_sh_dpapa12,frontpiece,0,loadout_showcase_preview_barrel_alt1,,9,0,1,0
iw8_sh_dpapa12,optic,0,loadout_showcase_preview_optic_alt1,,,,,0
iw8_sh_dpapa12,undermount,0,,,-1,,-1,0
iw8_sh_dpapa12,pump,0,,,0,0,2,0
iw8_sh_dpapa12,magazine,0,loadout_showcase_preview_muzzle,,,,,0
iw8_sh_charlie725,frontpiece,0,loadout_showcase_preview_barrel_alt1,,13,0,0,0
iw8_sh_charlie725,magazine,0,loadout_showcase_preview_magazine_alt2,,,,,0
iw8_sh_charlie725,backpiece,0,loadout_showcase_preview_stock_alt2,,-6,0,-1,0
iw8_sh_charlie725,muzzle,0,loadout_showcase_preview_muzzle_alt1,,0,0,0,0
iw8_sh_charlie725,guard,0,loadout_showcase_preview_large_magazine_alt1,,-17,0,-1,0
iw8_sh_charlie725,optic,0,,,2,0,0,0
iw8_sh_charlie725,undermount,0,,,-2,0,0,0
iw8_sh_charlie725,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sh_charlie725,charm,0,loadout_showcase_preview_charm_alt2,,,,,0
iw8_sh_oscar12,frontpiece,0,,,9,0,0,0
iw8_sh_oscar12,magazine,0,,,0,0,-2,0
iw8_sh_oscar12,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sh_oscar12,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_sh_mike26,backpiece,0,loadout_showcase_preview_stock_alt1,,,,,0
iw8_sh_mike26,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sh_mike26,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_sh_mike26,magazine,0,loadout_showcase_preview_large_magazine_alt1,,,,,0
iw8_sh_mike26,reargrip,0,loadout_showcase_preview_large_reargrip,,,,,0
iw8_sh_mike26,sticker,0,loadout_showcase_preview_large_sticker_alt1,,,,,0
iw8_lm_pkilo,reargrip,0,loadout_showcase_preview_large_reargrip_alt1,,,,,0
iw8_lm_pkilo,sticker,0,loadout_showcase_preview_large_sticker_alt3,,,,,0
iw8_lm_lima86,frontpiece,0,,,4,0,0,0
iw8_lm_lima86,backpiece,0,,,-4,0,0,0
iw8_lm_lima86,extra,0,loadout_showcase_preview_laser,,,,,0
iw8_lm_lima86,magazine,0,loadout_showcase_preview_large_magazine_alt2,,,,,0
iw8_lm_lima86,sticker,0,loadout_showcase_preview_large_sticker_alt1,,,,,0
iw8_lm_kilo121,frontpiece,0,,,8,0,0,0
iw8_lm_mgolf34,frontpiece,0,,,15,0,0,0
iw8_lm_mgolf34,magazine,0,loadout_showcase_preview_large_magazine_alt1,,,,,0
iw8_lm_mgolf34,charm,0,loadout_showcase_preview_sticker,,,,,0
iw8_lm_mgolf36,charm,0,loadout_showcase_preview_large_charm_alt2,,,,,0
iw8_lm_mgolf36,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_lm_mgolf36,undermount,0,,,-2,0,0,0
iw8_lm_mgolf36,extra,0,loadout_showcase_preview_laser,,,,,0
iw8_lm_mgolf36,magazine,0,loadout_showcase_preview_large_magazine_alt1,,,,,0
iw8_lm_mgolf36,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_sn_mike14,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_sn_mike14,backpiece,0,,,-3,0,0,0
iw8_sn_mike14,magazine,0,,,0,0,-1,0
iw8_sn_mike14,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_sn_mike14,sticker,0,loadout_showcase_preview_sticker_alt3,,,,,0
iw8_sn_kilo98,extra,0,loadout_showcase_preview_large_laser,,,,,0
iw8_sn_kilo98,muzzle,0,loadout_showcase_preview_large_muzzle,,,,,0
iw8_sn_kilo98,undermount,0,,,0,-17,0,0
iw8_sn_kilo98,reargrip,0,loadout_showcase_preview_reargrip_alt2,,,,,0
iw8_sn_kilo98,frontpiece,0,loadout_showcase_preview_large_barrel,,,,,0
iw8_sn_kilo98,charm,0,loadout_showcase_preview_large_underbarrel,,,,,0
iw8_sn_kilo98,sticker,0,loadout_showcase_preview_sticker_alt4,,,,,0
iw8_sn_sbeta,frontpiece,0,loadout_showcase_preview_barrel_alt1,,13,0,0,0
iw8_sn_sbeta,backpiece,0,,,-4,0,-1,0
iw8_sn_sbeta,muzzle,0,loadout_showcase_preview_large_muzzle,,,,,0
iw8_sn_sbeta,reargrip,0,loadout_showcase_preview_reargrip_alt2,,,,,0
iw8_sn_sbeta,charm,0,loadout_showcase_preview_charm_alt2,,,,,0
iw8_sn_sbeta,sticker,0,loadout_showcase_preview_sticker_alt3,,,,,0
iw8_sn_crossbow,cable,0,loadout_showcase_preview_barrel_alt2,,,,,0
iw8_sn_crossbow,arms,0,loadout_showcase_preview_barrel_alt2,,,,,0
iw8_sn_crossbow,backpiece,0,loadout_showcase_preview_large_stock_alt1,,,,,0
iw8_sn_crossbow,extra,0,loadout_showcase_preview_large_underbarrel_alt1,,,,,0
iw8_sn_crossbow,bolt,0,loadout_showcase_preview_barrel_alt2,,,,,0
iw8_sn_crossbow,reargrip,0,loadout_showcase_preview_magazine,,,,,0
iw8_sn_crossbow,undermount,0,loadout_showcase_preview_large_underbarrel,,,,,0
iw8_sn_alpha50,frontpiece,0,loadout_showcase_preview_large_barrel_alt1,,17,0,0,0
iw8_sn_alpha50,magazine,0,,,0,0,-3,0
iw8_sn_alpha50,muzzle,0,loadout_showcase_preview_large_muzzle_alt1,,,,,0
iw8_sn_alpha50,backpiece,0,,,-3,0,0,0
iw8_sn_alpha50,undermount,0,loadout_showcase_preview_large_underbarrel_alt1,,0,-15,0,0
iw8_sn_alpha50,charm,0,loadout_showcase_preview_large_charm_alt1,,,,,0
iw8_sn_alpha50,sticker,0,loadout_showcase_preview_large_sticker_alt2,,,,,0
iw8_sn_delta,undermount,0,loadout_showcase_preview_large_underbarrel_alt1,,0,-17,0,0
iw8_sn_delta,frontpiece,0,,,15,0,0,0
iw8_sn_delta,backpiece,0,,,-3,0,0,0
iw8_sn_delta,optic,0,,,-5,0,0,0
iw8_sn_delta,magazine,0,,,0,0,-2,0
iw8_sn_delta,reargrip,0,loadout_showcase_preview_large_reargrip_alt1,,,,,0
iw8_sn_hdromeo,frontpiece,0,loadout_showcase_preview_large_barrel_alt1,,23,0,0,0
iw8_sn_hdromeo,muzzle,0,loadout_showcase_preview_large_muzzle_alt1,,,,,0
iw8_sn_hdromeo,magazine,0,,,0,0,-2,0
iw8_sn_hdromeo,backpiece,0,,,-3,0,0,0
iw8_sn_hdromeo,undermount,0,loadout_showcase_preview_large_underbarrel_alt1,,0,-20,0,0
iw8_sn_hdromeo,charm,0,loadout_showcase_preview_large_charm_alt1,,,,,0
iw8_pi_golf21,trigger,0,,,0,0,-1,0
iw8_pi_golf21,frontpiece,0,,,-2,0,0,0
iw8_pi_golf21,magazine,0,,,0,0,-3,0
iw8_pi_cpapa,magazine,0,loadout_showcase_preview_small_magazine_alt1,,7,0,0,0
iw8_pi_mike1911,magazine,0,,,0,0,-3,0
iw8_pi_mike1911,reargrip,0,loadout_showcase_preview_small_reargrip,,,,,0
iw8_pi_decho,magazine,0,,,0,0,-3,0
iw8_pi_decho,trigger,0,,,-2.5,0,-2.5,0
iw8_pi_decho,frontpiece,0,,,0,0,1,0
iw8_pi_decho,reargrip,0,loadout_showcase_preview_small_reargrip,,0,10,0,0
iw8_pi_decho,sticker,0,loadout_showcase_preview_small_reargrip,,,,,0
iw8_pi_papa320,magazine,0,,,0,0,-2,0
iw8_pi_papa320,trigger,0,,,0,0,-1,0
iw8_pi_papa320,optic,0,,,-2.5,0,0,0
iw8_pi_papa320,frontpiece,0,,,-3,0,0,0
iw8_pi_papa320,reargrip,0,loadout_showcase_preview_small_reargrip,,,,,0
iw8_pi_papa320,reargrip,0,loadout_showcase_preview_small_reargrip,,,,,0
iw8_me_riotshield,sticker,0,loadout_showcase_preview_large,,,,,0
iw8_sn_sksierra,muzzle,0,loadout_showcase_preview_large_muzzle,,,,,0
iw8_sn_sksierra,frontpiece,0,loadout_showcase_preview_large_barrel_alt1,,,,,0
iw8_sn_sksierra,backpiece,0,loadout_showcase_preview_large_stock_alt1,,,,,0
iw8_sn_sksierra,undermount,0,loadout_showcase_preview_large_underbarrel,,,,,0
iw8_sn_sksierra,magazine,0,loadout_showcase_preview_large_magazine,,,,,0
iw8_sn_sksierra,extra,0,loadout_showcase_preview_large_laser,,,,,0
iw8_pi_mike9,reargrip,0,loadout_showcase_preview_small_reargrip,,,,,0
iw8_pi_mike9,backpiece,0,loadout_showcase_preview_large_stock_alt1,,,,,0
iw8_lm_mkilo3,extra,0,loadout_showcase_preview_laser,,,,,0
iw8_lm_mkilo3,charm,0,loadout_showcase_preview_optic,,,,,0
iw8_lm_mkilo3,reargrip,0,,,,,,0
iw8_ar_galima,magazine,0,,,0,-5,-5,0
iw8_ar_galima,undermount,0,,,-2,0,0,0
iw8_ar_galima,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_ar_galima,charm,0,loadout_showcase_preview_large_charm_alt1,,,,,0
iw8_ar_galima,muzzle,0,loadout_showcase_preview_large_muzzle,,,,,0
iw8_sm_victor,backpiece,0,loadout_showcase_preview_stock_alt1,,,,,0
iw8_sm_victor,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sm_victor,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_sm_victor,undermount,0,,,-1.5,0,0,0
iw8_sm_victor,magazine,0,loadout_showcase_preview_large_magazine,,,,,0
iw8_sm_victor,muzzle,0,loadout_showcase_preview_muzzle_alt1,,,,,0
iw8_sm_victor,reargrip,0,loadout_showcase_preview_large_reargrip,,,,,0
iw8_sm_victor,sticker,0,loadout_showcase_preview_sticker,,,,,0
iw8_sn_xmike109,muzzle,0,loadout_showcase_preview_large_muzzle_alt1,,,,,0
iw8_sn_xmike109,undermount,0,loadout_showcase_preview_large_underbarrel_alt1,,-5,-12.5,-2,0
iw8_ar_anovember94,frontpiece,0,loadout_showcase_preview_barrel_alt1,,,,,0
iw8_ar_anovember94,charm,0,loadout_showcase_preview_large_charm_alt1,,,,,0
iw8_ar_anovember94,muzzle,0,loadout_showcase_preview_large_muzzle,,,,,0
iw8_ar_anovember94,optic,0,loadout_showcase_preview_large_optic,,,,,0
iw8_ar_anovember94,sticker,0,loadout_showcase_preview_stock,,,,,0
iw8_sm_charlie9,extra,0,loadout_showcase_preview_laser_alt1,,,,,0
iw8_sm_charlie9,undermount,0,,,-2.5,0,0,0
iw8_sm_charlie9,optic,0,,,-15,6,2.5,0
iw8_lm_sierrax,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_ar_golf3,receiver,0,,,2,,,0
iw9_ar_golf3,magazine,0,loadout_showcase_preview_magazine,,,,-2,0
iw9_ar_golf3,frontpiece,0,loadout_showcase_preview_barrel,,,,-1.5,0
iw9_ar_golf3,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_ar_golf3,optic,0,loadout_showcase_preview_optic,,1.5,,0.5,0
iw9_ar_golf3,undermount,0,loadout_showcase_preview_underbarrel,,,,,0
iw9_ar_golf3,backpiece,0,loadout_showcase_preview_stock,,,,,0
iw9_ar_golf3,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_ar_golf3,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_ar_kilo53,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_ar_kilo53,receiver,0,,,2,,,0
iw9_ar_kilo53,magazine,0,loadout_showcase_preview_magazine,,0.5,,-2,0
iw9_ar_kilo53,frontpiece,0,loadout_showcase_preview_barrel,,,,-1.5,0
iw9_ar_kilo53,extra,0,loadout_showcase_preview_laser,,1.7,,,0
iw9_ar_kilo53,optic,0,loadout_showcase_preview_optic,,1.5,,0.5,0
iw9_ar_kilo53,undermount,0,loadout_showcase_preview_underbarrel,,3,,,0
iw9_ar_kilo53,backpiece,0,loadout_showcase_preview_stock,,-2,,,0
iw9_ar_kilo53,muzzle,0,loadout_showcase_preview_muzzle,,2,,,0
iw9_sm_mpapa5,receiver,0,,,2,,,0
iw9_sm_mpapa5,magazine,0,loadout_showcase_preview_magazine,,0.5,,-2,0
iw9_sm_mpapa5,frontpiece,0,loadout_showcase_preview_barrel,,,,-1.5,0
iw9_sm_mpapa5,extra,0,loadout_showcase_preview_laser,,-1,,1,0
iw9_sm_mpapa5,optic,0,loadout_showcase_preview_optic,,,,0.5,0
iw9_sm_mpapa5,undermount,0,loadout_showcase_preview_underbarrel,,2.5,,,0
iw9_sm_mpapa5,backpiece,0,loadout_showcase_preview_stock,,0.8,,,0
iw9_sm_mpapa5,muzzle,0,loadout_showcase_preview_muzzle,,0.5,,,0
iw9_sm_mpapa5,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_lm_kilo21,receiver,0,,,2,,,0
iw9_lm_kilo21,magazine,0,loadout_showcase_preview_magazine,,,,-2,0
iw9_lm_kilo21,frontpiece,0,loadout_showcase_preview_barrel,,6,,-1.5,0
iw9_lm_kilo21,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_lm_kilo21,optic,0,loadout_showcase_preview_optic,,0.5,,0.5,0
iw9_lm_kilo21,undermount,0,loadout_showcase_preview_underbarrel,,2.5,,,0
iw9_lm_kilo21,backpiece,0,loadout_showcase_preview_stock,,,,,0
iw9_lm_kilo21,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_lm_kilo21,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_dm_pgolf1,receiver,0,,,2,,,0
iw9_dm_pgolf1,magazine,0,loadout_showcase_preview_magazine,,,,-1,0
iw9_dm_pgolf1,frontpiece,0,loadout_showcase_preview_barrel,,5,,-1.5,0
iw9_dm_pgolf1,extra,0,loadout_showcase_preview_laser,,4,,1,0
iw9_dm_pgolf1,optic,0,loadout_showcase_preview_optic,,1.5,,0.75,0
iw9_dm_pgolf1,undermount,0,loadout_showcase_preview_underbarrel,,6.5,,0.2,0
iw9_dm_pgolf1,backpiece,0,loadout_showcase_preview_stock,,,,,0
iw9_dm_pgolf1,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_dm_pgolf1,reargrip,0,loadout_showcase_preview_reargrip,,1,,-3,0
iw9_lm_slima,receiver,0,,,2,,,0
iw9_lm_slima,magazine,0,loadout_showcase_preview_magazine,,,,-1,0
iw9_lm_slima,frontpiece,0,loadout_showcase_preview_barrel,,10,,,0
iw9_lm_slima,extra,0,loadout_showcase_preview_laser,,,,,0
iw9_lm_slima,optic,0,loadout_showcase_preview_optic,,1,,,0
iw9_lm_slima,undermount,0,loadout_showcase_preview_underbarrel,,1,,,0
iw9_lm_slima,backpiece,0,loadout_showcase_preview_stock,,-1,,,0
iw9_lm_slima,muzzle,0,loadout_showcase_preview_muzzle,,1,,,0
iw9_lm_slima,reargrip,0,loadout_showcase_preview_reargrip,,,,,0
iw9_dm_mike14,receiver,0,,,,,,0
iw9_dm_mike14,magazine,0,,,,,-2,0
iw9_dm_mike14,frontpiece,0,,,,,-1,0
iw9_dm_mike14,extra,0,,,1,,,0
iw9_dm_mike14,optic,0,,,2,,0.5,0
iw9_dm_mike14,undermount,0,,,4.5,,,0
iw9_dm_mike14,backpiece,0,,,-2,,,0
iw9_dm_mike14,muzzle,0,,,2,,,0
iw9_dm_mike14,reargrip,0,,,-2,,-2,0
iw9_pi_golf17,receiver,0,,,,,,0
iw9_pi_golf17,magazine,0,,,14,,-2.75,0
iw9_pi_golf17,frontpiece,0,,,6,,,0
iw9_pi_golf17,extra,0,,,,,,0
iw9_pi_golf17,optic,0,,,12,,3.5,0
iw9_pi_golf17,undermount,0,,,,,,0
iw9_pi_golf17,backpiece,0,,,0.5,,3.8,0
iw9_pi_golf17,muzzle,0,,,,,,0
iw9_pi_golf17,reargrip,0,,,,,,0
iw9_pi_golf17,trigger,0,,,10,,1,0
iw9_pi_golf18,receiver,0,,,,,,0
iw9_pi_golf18,magazine,0,,,15,,-2.75,0
iw9_pi_golf18,frontpiece,0,,,6,,,0
iw9_pi_golf18,extra,0,,,,,,0
iw9_pi_golf18,optic,0,,,12,,4,0
iw9_pi_golf18,undermount,0,,,,,,0
iw9_pi_golf18,backpiece,0,,,0.5,,3.8,0
iw9_pi_golf18,muzzle,0,,,,,,0
iw9_pi_golf18,reargrip,0,,,,,,0
iw9_pi_golf18,trigger,0,,,9.75,,0.75,0
iw9_pi_decho,receiver,0,,,,,,0
iw9_pi_decho,magazine,0,,,14.5,,-2.75,0
iw9_pi_decho,frontpiece,0,,,,,,0
iw9_pi_decho,extra,0,,,,,,0
iw9_pi_decho,optic,0,,,1,,,0
iw9_pi_decho,undermount,0,,,,,,0
iw9_pi_decho,backpiece,0,,,,,,0
iw9_pi_decho,muzzle,0,,,,,,0
iw9_pi_decho,reargrip,0,,,,,,0
iw9_pi_decho,trigger,0,,,10.75,,1.25,0
iw9_pi_papa220,receiver,0,,,,,,0
iw9_pi_papa220,magazine,0,,,,,,0
iw9_pi_papa220,frontpiece,0,,,,,,0
iw9_pi_papa220,extra,0,,,,,,0
iw9_pi_papa220,optic,0,,,,,1,0
iw9_pi_papa220,undermount,0,,,,,,0
iw9_pi_papa220,backpiece,0,,,,,,0
iw9_pi_papa220,muzzle,0,,,,,,0
iw9_pi_papa220,reargrip,0,,,,,,0
iw9_pi_stimpistol,receiver,0,,,,,,0
iw9_pi_stimpistol,magazine,0,,,,,,0
iw9_pi_stimpistol,frontpiece,0,,,,,,0
iw9_pi_stimpistol,extra,0,,,,,,0
iw9_pi_stimpistol,optic,0,,,,,,0
iw9_pi_stimpistol,undermount,0,,,,,,0
iw9_pi_stimpistol,backpiece,0,,,,,,0
iw9_pi_stimpistol,muzzle,0,,,,,,0
iw9_pi_stimpistol,reargrip,0,,,,,,0
iw9_sm_mpapax,receiver,0,,,,,,0
iw9_sm_mpapax,magazine,0,,,,,,0
iw9_sm_mpapax,frontpiece,0,,,,,,0
iw9_sm_mpapax,extra,0,,,,,,0
iw9_sm_mpapax,optic,0,,,,,,0
iw9_sm_mpapax,undermount,0,,,,,,0
iw9_sm_mpapax,backpiece,0,,,,,,0
iw9_sm_mpapax,muzzle,0,,,,,,0
iw9_sm_mpapax,reargrip,0,,,,,,0
iw9_sm_apapa,receiver,0,,,,,,0
iw9_sm_apapa,magazine,0,,,,,,0
iw9_sm_apapa,frontpiece,0,,,,,,0
iw9_sm_apapa,extra,0,,,,,,0
iw9_sm_apapa,optic,0,,,,,,0
iw9_sm_apapa,undermount,0,,,,,,0
iw9_sm_apapa,backpiece,0,,,,,,0
iw9_sm_apapa,muzzle,0,,,,,,0
iw9_sm_apapa,reargrip,0,,,,,,0
iw9_sm_aviktor,receiver,0,,,,,,0
iw9_sm_aviktor,magazine,0,,,0.5,,-3,0
iw9_sm_aviktor,frontpiece,0,,,,,-1.5,0
iw9_sm_aviktor,extra,0,,,,,,0
iw9_sm_aviktor,optic,0,,,7.5,,2.5,0
iw9_sm_aviktor,undermount,0,,,,,,0
iw9_sm_aviktor,backpiece,0,,,-1,,,0
iw9_sm_aviktor,muzzle,0,,,1.25,,0.25,0
iw9_sm_aviktor,reargrip,0,,,-1.5,,-2,0
iw9_sm_alpha57,receiver,0,,,,,,0
iw9_sm_alpha57,magazine,0,,,,,,0
iw9_sm_alpha57,frontpiece,0,,,7,,,0
iw9_sm_alpha57,extra,0,,,,,,0
iw9_sm_alpha57,optic,0,,,10,,2,0
iw9_sm_alpha57,undermount,0,,,2,,,0
iw9_sm_alpha57,backpiece,0,,,-1,,,0
iw9_sm_alpha57,muzzle,0,,,1,,,0
iw9_sm_alpha57,reargrip,0,,,-1.5,,-2,0
iw9_sm_beta,receiver,0,,,,,,0
iw9_sm_beta,magazine,0,,,3,,-1,0
iw9_sm_beta,frontpiece,0,,,6,,-1.5,0
iw9_sm_beta,extra,0,,,2.5,0,1,0
iw9_sm_beta,optic,0,,,13,,4,0
iw9_sm_beta,undermount,0,,,4,,-1.5,0
iw9_sm_beta,backpiece,0,,,,,,0
iw9_sm_beta,muzzle,0,,,,,,0
iw9_sm_beta,reargrip,0,,,-1.75,,-2,0
