string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,string,string,string,string,string,string,string,string
14,iw8_ar_kilo433_variant_14,iw8_ar_kilo433,,rec|14 mag|14,brake|11,barshort|3,laser|3,,acog|9,,,stockh|7,,,,,x32#hash_c7ef3e53,ui_loot_weapon_ar_kilo433_v15,,,,,,,
15,iw8_ar_kilo433_variant_15,iw8_ar_kilo433,,rec|15 mag|15,,barlong|5,,gripcust|11,hybrid|7,,pistolgrip01|2,stockh|8,,,,,x32#hash_14c,ui_loot_weapon_ar_kilo433_v16,,,,,,,
16,iw8_ar_kilo433_variant_16,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|0 front|0,brake|12,,,gripang|9,,drums|4,pistolgrip02|1,stocks|5,,,,,x32#hash_c7ef3e68,ui_loot_weapon_ar_kilo433_v17,,,,,,,
17,iw8_ar_kilo433_variant_17,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|1 front|1 mag|1,,,,gripcust|15,hybrid|8,,pistolgrip03|1,stocks|6,fastreload,,,,x32#hash_14c,ui_loot_weapon_ar_kilo433_v18,,,,,,,
18,iw8_ar_kilo433_variant_18,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|2 front|2,brake|13,,laserrange|2,gl|4,reflex|7,,,stocks|7,,,,,x32#hash_c7ef3e7a,ui_loot_weapon_ar_kilo433_v19,,,,,,,
19,iw8_ar_kilo433_variant_19,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|3 front|3 mag|3,brake|14,,laserrange|1,gl|3,reflex|6,,,stockno|2,,,,,x32#hash_14c,ui_loot_weapon_ar_kilo433_v20,,,,,,,
20,iw8_ar_kilo433_variant_20,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|4 front|4 back|4 mag|4,silencer3|6,,laserbalanced|7,gripvertpro|3,hybrid2|15,,,stocks|8,,,,,x32#hash_c7ef3e90,ui_loot_weapon_ar_kilo433_v21,,,,,,,
21,iw8_ar_kilo433_variant_21,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|5 front|5 back|0 mag|5,comp|2,,,gripang|1,,,,stocks|9,,,,,x32#hash_14c,ui_loot_weapon_ar_kilo433_v22,,,,,,,
22,iw8_ar_kilo433_variant_22,iw8_ar_kilo433,iw8_ar_kilo433_mpmtx2,rec|6 front|6 mag|6,brake|1,,laserbalanced|11,,hybrid4|5,xmagslrg|2,,stockh|9,,,,,x32#hash_c7ef3ea6,ui_loot_weapon_ar_kilo433_v23,,pink,,,,,
23,iw8_ar_kilo433_variant_23,iw8_ar_kilo433,iw8_ar_kilo433_mpa,rec|7 front|7 mag|7,silencer|8,barshort|4,,gripvertpro|14,hybrid3|5,,,stockl|1,,,,,x32#hash_14c,ui_loot_weapon_ar_kilo433_v24,,,,,,,
