string,string,string,string,string,string,string,string,string,string,string,string,string,string
ui_overtime_timer,1,,c,f,0,0,1,,,,,1,
ui_overtime_timer_show,1,,c,b,0,0,1,,,,,1,
ui_publicevent_timer,1,,g,f,0,0,1,,,,,,
ui_publicevent_timer_type,1,,g,i,0,0,6,,,,,,
ui_publicevent_minimap_pulse,1,,g,b,0,0,1,,,,,,
ui_br_objective_index,1,,c,i,0,0,250,,,,,1,# 0=Hide or #=the object index to show
ui_br_objective_reward_tier,1,,c,i,0,0,250,,,,,1,
ui_br_objective_param,1,,c,i,0,0,99999,,,,,1,
ui_br_objective_countdown_timer,1,,c,t,0,,,1,,,,1,
ui_br_objective_loot_id,1,,c,i,-1,-1,10000000,,,,,1,#max is set to be above current highest loot id. May need to increase as we add more lootids
ui_br_assassination_target,1,,c,i,0,0,2047,,,,,1,
ui_br_assassination_target_timer,1,,c,t,0,,,1,,,,1,
ui_br_bink_overlay_state,1,,c,i,0,0,15,,,,,,#0=off/cleanup, 1=gulag, 2=gulag with prompt, 3=infil, 4=onboarding, 5=kill bink but show black, 6=fade out black, 7=fade in black, 8=event1, 9=reveal trailer, 10=gulag outro without chyron
ui_br_expanded_obit_message,1,,c,i,0,0,67108863,,,,,,#see obituary.lua to see how this data needs to be packed( param2( 20 bits ); param1( 8 bits ); state( 4 bits ) )
ui_gasmask_damage,1,1,c,f,1,0,1,,,,,,
ui_head_equip_class,1,1,c,i,0,0,3,,,,,,
ui_br_transition_type,1,,c,i,0,0,6,,,,,,
ui_br_display_perk_info,1,,c,i,0,0,1,,,,,1,# toggle to notify UI to display perk info after a class change
ui_hide_nameplate_strings,0,,c,b,0,0,1,,,,,,
ui_hide_redeploy_timer,0,,g,i,0,0,1,,,,,,
ui_nuke_countdown_active,1,,g,i,0,-1,1,,,,,,
ui_nuke_timer_type,1,,g,i,0,0,3,,,,,,
ui_nuke_timer_time,1,,g,i,30,0,255,,,,,,
ui_br_objective_types,1,,g,a,0,,,,,,,,#bit field of missions enabled in current match. Indexes from brmissions.csv
ui_br_squad_leader_can_pass,1,,c,b,0,0,1,,,,,1,
ui_br_ftue_popup,1,,g,i,0,0,3,,,,,,#Opens a popup for the gameflow after the br tutorial
ui_br_eliminated,1,,c,i,0,0,15,,,,,1,#packed: 4 bits, each bit is a flag of whether or not the corresponding squad member is fully eliminated
ui_br_squad_revive_status,1,,c,a,0,,,,,,,1,#packed: 1 bit, 7 bits, 1 bit, 7 bits, 1 bit, 7 bits, 1 bit, 7 bits
ui_br_winners,1,,c,a,0,,,,,,,,#32 bits packed: ((8 winnerNumber) * 4)
ui_gulag_show_closing_state,1,,g,i,0,0,2,,,,,,
ui_br_extended_load_screen,1,,c,i,0,0,1,,,,,,
ui_br_match_stats,1,,g,i,0,0,16777215,,,,,,#packed: 8 bits (alive player count); 8 bits (active team count); 8 bits (active zombie count)
ui_br_danger_warning,1,,c,i,0,0,5,,,,,,#1=cluster, 2=airstrike, 3=gulagClose, 4=cashDeployClose, 5=respawnDisabled
ui_br_ai_gulag_score,1,,c,i,-1,-1,100,,,,,,#limited to 100 as it reflects points gotten in the gulag_ai
ui_br_events,1,,c,i,0,0,15,,,,,1,#4 flags; could be increased to for more flags or data types
ui_br_last_droppable_weapon,1,,c,i,-1,-1,65535,,,,,,#weapon index for the last droppable weapon
ui_br_has_extract_bag,1,,c,b,0,0,1,,,,,1,
ui_br_gas_can_status,1,,c,i,0,0,3,,,,,,#0=none, 1=picked_up, 2=fused, 3=count
ui_br_attraction_data,1,,c,i,0,0,67108863,,,,,1,#packed: 8 bits type, 8 bits location, 8 bits state, 2 bits extra
ui_br_attraction_best_data,1,,c,i,0,0,255,,,,,1,#packed: 8 bits best player
ui_br_attraction_best_time,1,,c,a,0,,,,,,,1,
br_archived_flags,1,1,c,i,0,0,1,,,,,,#bitfield of archived flags for br
ui_tablet_usb,1,,c,i,0,0,10,,,,,,
ui_assimilation_clientnum,1,,c,i,-1,-1,199,,,,,,#Max should match MAX_CLIENTS_MP
ui_playerdata_weapon_ammo,1,,c,i,0,0,1023,,,,,,#Max should match MAX_AMMO_BITS
ui_poi_star_rating,1,,c,i,-1,-1,8,,,,,,
ui_match_start_countdown_not_reach_minplayer,1,,g,i,0,0,65535,,,,,,#Match start countdown when number of players not reach the minimum
ui_br_loot_index_picked_up,1,,c,i,-1,-1,500,,,,,,
ui_br_kiosk_hide_discount,1,,g,b,0,0,1,,,,,,
ui_dmz_uav_tower_screen,1,,c,i,0,0,1,,,,,,#0=off, 1=on
ui_dmz_hide_inventory,1,,c,b,0,0,1,,,,,,
ui_dmz_radiation_spreading,1,,g,i,0,0,1,,,,,,
ui_dmz_poi_name,1,,c,i,0,0,18,,,,,,#0=Hydro,1=Oilfield
ui_dmz_show_lpcon_name,1,,g,i,0,0,1,,,,,,#0=off,1=on
ui_dmz_activity_starter_poi_name,1,,c,i,0,0,18,,,,,,#POI of the activity for this activity starter. See BR.DMZ_POI_NAME_MAP
ui_dmz_activity_starter_activity_type,1,,c,i,0,0,15,,,,,,#Type of the nearby activity starter's activity
ui_br_stronghold_mission,1,,c,i,0,0,2048,,,,,,#stronghold mission data, First 4 bits from right side is Mission Type (BR.StrongholdMissions.MissionTypes), Next 8 bits is Boss Health out of 100
ui_br_stronghold_mission_timer,1,,c,i,0,0,67108863,,,,,,#stronghold mission timer
ui_br_stronghold_mission_progress,1,,c,i,0,0,255,,,,,,#stronghold mission progress
ui_br_stronghold_has_blacksite_key,1,,c,b,0,0,1,,,,,1,
ui_br_ai_gulag_end_score,1,,c,i,-1,-1,67108863,,,,,1,#gulag ai score with accuracy, time and kills
ui_br_ai_gulag_end_score_best,1,,c,i,-1,-1,67108863,,,,,1,#gulag ai score with total score, stars and best score bool
ui_br_ai_gulag_player_state,1,,c,i,0,0,255,,,,,1,#gulag player state packed: 4 bits secondPlayerStatus, 4 bits firstPlayerStatus
ui_br_twotwo_gulag_player_state,1,,c,i,-1,-1,511,,,,,1,#twotwogulag player state packed: enumPlayer ally in your 2v2 team
ui_br_special_item_acquired,1,,c,i,0,0,255,,,,,1,#use this omnvar to tell UI that a special item was picked up. 0 = no special item
ui_br_multi_circle_player_count,1,,g,a,0,,,,,,,,#packed: ( ( 8 bits player count ) * 4 circles )
ui_br_multi_circle_player_data,1,,c,i,0,0,15,,,,,1,#packed: 4 bits, each bit is a flag for a player being inside a multi-circle
ui_br_multi_circle_team_count,1,,g,a,0,,,,,,,,#packed: ( ( 8 bits team count ) * 4 circles )
ui_br_interrogation_signal_valid,1,,c,i,1,0,1,,,,,,#interrogation signal valid
ui_br_champ_mission_data,1,,c,i,0,0,1048575,,,,,1,#Champion's Quest status: active, overall state, each element state, and timer
ui_br_champ_mission_players,1,,c,i,0,0,16777215,,,,,1,#Champion's Quest players: ID's of the players currently holding each element
ui_backpack_small,1,,c,b,1,0,1,,,,,,
ui_br_pe_meter_data,1,,g,i,0,0,262143,,,,,,#18 bits packed: (8 current value, 8 max value, 2 states)
ui_br_twotwo_gulag_players,1,,c,a,0,,,,,,,1,#32 bits - entNums of players in gulag | +1 ent num
ui_br_twotwo_gulag_players_state,1,,c,i,-1,-1,67108863,,,,,1,#28 bits - player states in gulag
ui_br_twotwo_gulag_jailer_health,1,,c,i,100,0,100,,,,,1,#twotwogulag jailer health ratio with normal health + armor (percent from 0 to 100)
ui_assimilation_disabled,1,,c,b,0,0,1,,,,,,
ui_br_using_killstreak,1,,c,b,0,0,1,,,,,,
ui_br_has_been_interrogated,1,,c,b,0,0,1,,,,,1,
ui_br_interrogate_tracking_other_team,1,,c,b,0,0,1,,,,,1,
ui_br_interrogate_team_is_being_tracked,1,,c,b,0,0,1,,,,,1,
ui_br_timed_feature_end_time,1,,c,t,0,,,,,,,,
ui_plea_for_help_status,1,,c,i,0,0,4,,,,,,
