string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
rarity,2_lethal,,200,200,200,200,0,0,200,200,0,0,200,200,0,200,20,200,200,200,200,200,200,200,200,0,200,0,0,0,0,0,0,200,0,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0
rarity,3_lethal,,100,100,100,100,0,0,100,100,0,0,100,100,0,0,0,100,100,100,100,100,100,100,100,0,100,0,0,0,0,0,0,100,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
rarity,4_lethal,,50,50,50,50,0,0,50,50,0,0,50,50,0,0,0,50,50,50,50,50,50,50,50,0,50,0,0,0,0,0,0,50,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
rarity,0_tactical,,450,450,45,450,0,0,450,450,0,0,450,450,0,500,500,450,450,450,450,450,450,450,450,0,450,0,0,0,0,1,1,450,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0
rarity,1_tactical,,300,300,30,300,0,0,300,300,0,0,300,300,0,300,300,300,300,300,300,300,300,300,300,0,300,0,0,0,0,0,0,300,0,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0
rarity,2_tactical,,200,200,20,200,0,0,200,200,0,0,200,200,0,200,200,200,200,200,200,200,200,200,200,0,200,0,0,0,0,0,0,200,0,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0
rarity,3_tactical,,100,100,10,100,0,0,100,100,0,0,100,100,0,0,0,100,100,100,100,100,100,100,100,0,100,0,0,0,0,0,0,100,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
rarity,4_tactical,,50,50,5,50,0,0,50,50,0,0,50,50,0,0,0,50,50,50,50,50,50,50,50,0,50,0,0,0,0,0,0,50,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
rarity,0_super,,400,0,0,250,250,250,100,250,0,0,100,100,0,0,0,300,350,300,350,350,350,350,350,350,350,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0
rarity,1_super,,350,0,0,250,250,250,150,250,0,0,150,150,0,0,0,250,300,250,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0
rarity,2_super,,250,0,0,200,200,200,200,200,0,0,200,200,0,0,0,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,200,200,40,40,40,40,40,40,40,40,0,0,0,0
rarity,3_super,,0,0,0,150,200,200,250,150,0,0,250,250,0,0,0,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,0,0,250,250,40,40,40,40,40,40,40,40,0,0,0,0
rarity,4_super,,0,0,0,150,200,200,300,150,0,0,300,300,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300,300,20,20,20,20,20,20,20,20,0,0,0,0
item,brloot_offhand_advancedsupplydrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_balloon_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0
item,brloot_plunder_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_weapon,,550,0,0,500,500,0,400,0,400,400,550,550,1,0,1,550,550,550,525,550,525,550,550,0,550,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,1_weapon,,275,0,0,250,250,0,200,0,200,200,275,275,1,0,1,275,275,275,275,275,275,275,275,0,275,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,0,0,0,0
rarity,2_weapon,,175,0,0,150,150,0,150,0,150,150,175,175,1,0,1,175,175,175,175,175,175,175,175,0,175,0,0,0,750,0,0,0,300,0,0,0,36,36,36,36,36,36,36,36,0,0,0,0
rarity,3_weapon,,0,0,60,75,75,0,150,0,150,150,0,0,1,0,1,0,0,0,25,0,25,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,0,0,0,0
rarity,4_weapon,,0,0,10,25,25,0,100,0,100,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_health,,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
rarity,1_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,2_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,3_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,4_health,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,brloot_plunder_cash_common_1,,500,970,0,500,0,0,500,500,0,0,0,0,0,0,0,500,500,500,500,500,500,500,400,0,400,500,450,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_uncommon_1,,200,25,0,200,0,0,200,350,0,0,0,0,0,0,0,200,200,200,200,200,200,200,250,0,250,300,250,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_uncommon_2,,150,5,0,150,0,1,150,100,0,0,500,500,0,0,0,150,150,150,150,150,150,150,200,0,200,150,150,150,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,0,0,0,0,0
item,brloot_plunder_cash_uncommon_3,,100,0,1,100,0,0,100,50,0,0,200,200,0,0,0,100,100,100,100,100,100,100,100,0,100,50,100,50,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,850,0,0,0,0
item,brloot_plunder_cash_rare_1,,50,0,0,50,500,0,50,0,500,500,150,150,0,0,0,50,50,50,50,50,50,50,49,0,49,0,50,0,550,0,0,0,0,0,0,0,8,8,8,8,8,8,8,75,0,1,0,0
item,brloot_plunder_cash_rare_2,,0,0,0,0,200,0,0,0,200,200,100,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,0,0
item,brloot_plunder_cash_epic_1,,0,0,0,0,150,0,0,0,150,150,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
item,brloot_plunder_cash_epic_2,,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
item,brloot_plunder_cash_legendary_1,,0,0,0,0,50,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_auav,,0,0,0,25,25,0,25,25,25,25,0,0,0,0,0,25,0,0,25,25,25,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_assaultdrone,,0,0,0,150,150,0,150,150,150,150,0,0,0,0,0,150,0,0,150,150,150,0,0,150,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_uav,,0,0,0,100,100,0,100,100,100,100,0,0,0,0,0,100,0,0,100,100,100,0,0,100,0,0,0,0,100,0,0,0,0,0,1,1,15,15,15,15,15,15,15,15,0,0,1,0
item,brloot_killstreak_clusterstrike,,0,0,0,150,150,0,150,150,150,150,0,0,0,0,0,150,0,0,150,150,150,0,0,150,0,0,0,0,150,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,0,0,0,0
item,brloot_killstreak_precision_airstrike,,0,0,0,150,150,0,150,150,150,150,0,0,0,0,0,150,0,0,150,150,150,0,0,150,0,0,0,0,150,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,0,0,0,0
item,brloot_killstreak_cluster_spike,,0,0,0,150,150,0,150,150,150,150,0,0,0,0,0,150,0,0,150,150,150,0,0,150,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_juggernaut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_killstreak_circle_peek,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_assassination_phone,,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_vip_phone,,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_intel_phone,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_safecracker_phone,,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_stronghold_infil_phone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_champion_phone,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_durable_loot,,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
item,brloot_access_card_blue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_green,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
