string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,int
item,brloot_plunder_cash_rare_1,plunder,2,200,8395,medium,200,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,brightGold,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_rare_2,plunder,2,350,8395,medium,350,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,brightGold,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_epic_1,plunder,3,500,8395,medium,500,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,brightGold,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_epic_2,plunder,3,800,8395,medium,800,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,brightGold,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_plunder_cash_legendary_1,plunder,4,1200,8395,medium&powerful,1200,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,brightGold,ping_loot_cash,ping_loot_confirm_cash,,x32#hash_c7bbcaa8,0
item,brloot_self_revive,revive,4,1,8548,small&loadout&powerful,1000,,,,,x32#hash_c7c1c45e,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_revive_item,br_legendary_loot_pickup,,,1,brloot_self_revive,,,,,,,,,,,,,,1,,brightGold,ping_loot_selfrevive,ping_loot_confirm_selfrevive,,x32#hash_c7bbcaa8,0
item,brloot_access_card_blue,keycard,4,1,,small,,,,,,x32#hash_c7c1bd97,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard,,x32#hash_c7bbcaa8,0
item,brloot_access_card_green,keycard,4,1,,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard,,x32#hash_c7bbcaa8,0
item,brloot_access_card_red,keycard,4,1,8587,small,,,,,,x32#hash_c7c1c5bb,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard,,x32#hash_c7bbcaa8,0
item,brloot_access_card_blue_stadium_parking,keycard,4,1,,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard,,x32#hash_c7bbcaa8,0
item,brloot_access_card_blue_stadium_executive,keycard,4,1,,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard,,x32#hash_c7bbcaa8,0
item,brloot_access_card_blue_stadium_concourse,keycard,4,1,,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard,,x32#hash_c7bbcaa8,0
item,loot_key_fortress,key,4,1,8557,small&pristine,100,,,,,x32#hash_14c,x32#hash_c7fa413a,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_storage,key,4,1,8532,small&nobr&pristine,150,,,,,x32#hash_c7c1baec,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_storage,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_office,key,4,1,8630,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_quarry_office,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_control,key,4,1,8576,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_control,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_storage,key,4,1,8472,small&nobr&pristine&keytier1,150,,,,,x32#hash_c7c1c4e5,x32#hash_c7c20054,hud_icon_loot_key_01_pristine,iw9_br_pickup_key_special,,,,loot_key_hydro_storage,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_apt,key,4,1,8507,small&nobr&pristine&keytier2,150,,,,,x32#hash_c7c1c14c,x32#hash_14c,hud_icon_loot_key_03_pristine,iw9_br_pickup_key_special,,,,loot_key_hydro_apt,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_weapondrop,key,4,1,8428,nodrop,150,,,,,x32#hash_c7c1b6b2,x32#hash_c7e0ac4e,hud_icon_loot_key_04_pristine,iw9_br_pickup_key_special,,,,loot_key_hydro_weapondrop,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_trapper_door,key,4,1,8537,small&nobr&pristine,150,,,,,x32#hash_c7c1bd6b,x32#hash_c7c1fd37,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_trapper_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_resort_entrance,key,4,1,8550,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_c7c20180,hud_icon_loot_key_marshland_pristine,iw9_br_pickup_key_special,,,,loot_key_resort_entrance,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_fortress_interior,key,4,1,8495,small&nobr&pristine,100,,,,,x32#hash_c7c1b93f,x32#hash_c7c20576,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_interior,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_multi_key_fortress,key,3,1,8525,small&nobr&pristine,100,,,,,x32#hash_14c,x32#hash_c7c2002c,hud_icon_splash_jailkey,iw9_br_pickup_key_special,,,,loot_multi_key_fortress,,,,,,,,,,,,,,3,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_gulag,key,4,1,8457,small&pristine,100,,,,,x32#hash_c7c1bf1b,x32#hash_c7c1fdc8,hud_icon_loot_key_skeleton,iw9_br_pickup_key_special,,,,loot_key_gulag,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_biolab_door,key,4,1,8403,small&nobr&pristine&biolab,100,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_biolab_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_red_door,key,4,1,9071,small&nobr&pristine&biolab,10,,,,,x32#hash_c7c1bd52,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_red_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_blue_door,key,4,1,9070,small&nobr&pristine&biolab,10,,,,,x32#hash_c7c1bbb0,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_blue_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_green_door,key,4,1,9073,small&nobr&pristine&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_green_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_black_door,key,4,1,9074,small&nobr&pristine&biolab,10,,,,,x32#hash_14c,x32#hash_c7c201a2,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_black_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_gold_door,key,4,1,9072,small&nobr&pristine&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_gold_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_firefighttest01,key,4,1,8382,small&nobr&pristine&nodrop&nodmz,100,,,,,x32#hash_c7c1b78c,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_firefighttest01,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_fortress_used,key,4,1,8497,small&used,100,,,,,x32#hash_c7bfbdbe,x32#hash_c7fa413a,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_storage_used,key,4,1,8563,small&nobr&used,150,,,,,x32#hash_c7c1b9d6,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_storage_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_office_used,key,4,1,8475,small&nobr&used,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_quarry_office_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_control_used,key,4,1,8388,small&nobr&used,150,,,,,x32#hash_c7c1c79f,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_control_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_storage_used,key,4,1,8609,small&nobr&used&keytier1,150,,,,,x32#hash_c7c1b73a,x32#hash_c7c20054,hud_icon_loot_key_01_used,iw9_br_pickup_key_special,,,,loot_key_hydro_storage_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_apt_used,key,4,1,8436,small&nobr&used&keytier2,150,,,,,x32#hash_c7c1c3c4,x32#hash_14c,hud_icon_loot_key_03_used,iw9_br_pickup_key_special,,,,loot_key_hydro_apt_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_weapondrop_used,key,4,1,8625,nodrop,150,,,,,x32#hash_c7c1b864,x32#hash_c7e0ac4e,hud_icon_loot_key_04_used,iw9_br_pickup_key_special,,,,loot_key_hydro_weapondrop_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_trapper_door_used,key,4,1,8610,small&nobr&nodrop&used,150,,,,,x32#hash_c7c1c974,x32#hash_c7c1fd37,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_trapper_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_resort_entrance_used,key,4,1,8558,small&nobr&used,150,,,,,x32#hash_14c,x32#hash_c7c20180,hud_icon_loot_key_marshland_used,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_fortress_interior_used,key,4,1,8533,small&nobr&used,100,,,,,x32#hash_14c,x32#hash_c7c20576,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_interior_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_multi_key_fortress_used,key,3,1,8585,small&nobr&used,100,,,,,x32#hash_c7c1b445,x32#hash_c7c2002c,hud_icon_splash_jailkey,iw9_br_pickup_key_special,,,,loot_multi_key_fortress_used,,,,,,,,,,,,,,3,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_gulag_used,key,4,1,8620,small&used,100,,,,,x32#hash_c7c1bf1b,x32#hash_c7c1fdc8,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_gulag_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_biolab_door_used,key,4,1,8559,small&nobr&used&biolab,100,,,,,x32#hash_14c,x32#hash_c7e0abdc,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_biolab_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_red_door_used,key,4,1,11163,small&nobr&used&biolab,10,,,,,x32#hash_c7c1b60c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_red_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_blue_door_used,key,4,1,11166,small&nobr&used&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_blue_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_green_door_used,key,4,1,11159,small&nobr&used&biolab,10,,,,,x32#hash_c7cb9270,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_green_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_black_door_used,key,4,1,11160,small&nobr&used&biolab,10,,,,,x32#hash_14c,x32#hash_c7c201a2,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_black_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_gold_door_used,key,4,1,11168,small&nobr&used&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_gold_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_firefighttest01_used,key,4,1,8518,small&nobr&nodrop&used,100,,,,,x32#hash_c7bfbe9c,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_firefighttest01_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_resort_entrance_shelf,key,4,1,8465,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_c7c20180,hud_icon_loot_key_02_pristine,iw9_br_pickup_key_special,,,,loot_key_resort_entrance,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_resort_entrance_shelf_used,key,4,1,8621,small&nobr&used,150,,,,,x32#hash_14c,x32#hash_c7c20180,hud_icon_loot_key_02_used,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_fortress_worn,key,4,1,8574,small&worn,100,,,,,x32#hash_14c,x32#hash_c7fa413a,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_storage_worn,key,4,1,8514,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_storage_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_office_worn,key,4,1,8462,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_quarry_office_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_quarry_control_worn,key,4,1,8556,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_control_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_storage_worn,key,4,1,8439,small&nobr&worn&keytier1,150,,,,,x32#hash_c7c1b370,x32#hash_c7c20054,hud_icon_loot_key_01_worn,iw9_br_pickup_key_special,,,,loot_key_hydro_storage_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_apt_worn,key,4,1,8564,small&nobr&worn&keytier2,150,,,,,x32#hash_c7c1bf39,x32#hash_14c,hud_icon_loot_key_03_worn,iw9_br_pickup_key_special,,,,loot_key_hydro_apt_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_hydro_weapondrop_worn,key,4,1,8612,nodrop,150,,,,,x32#hash_c7c1b468,x32#hash_c7e0ac4e,hud_icon_loot_key_04_worn,iw9_br_pickup_key_special,,,,loot_key_hydro_weapondrop_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_trapper_door_worn,key,4,1,8546,small&nobr&nodrop&worn,150,,,,,x32#hash_c7c1c509,x32#hash_c7c1fd37,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_trapper_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_resort_entrance_worn,key,4,1,8365,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_c7c20180,hud_icon_loot_key_marshland_worn,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_fortress_interior_worn,key,4,1,8485,small&nobr&worn,100,,,,,x32#hash_c7c1bed3,x32#hash_c7c20576,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_interior_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_multi_key_fortress_worn,key,3,1,8414,small&nobr&worn,100,,,,,x32#hash_14c,x32#hash_c7c2002c,hud_icon_splash_jailkey,iw9_br_pickup_key_special,,,,loot_multi_key_fortress_worn,,,,,,,,,,,,,,3,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_gulag_worn,key,4,1,8491,small&worn,100,,,,,x32#hash_c7c1bf1b,x32#hash_c7c1fdc8,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_gulag_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_biolab_door_worn,key,4,1,8362,small&nobr&worn&biolab,100,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_biolab_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
item,loot_key_red_door_worn,key,4,1,11161,small&nobr&worn&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_red_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key,,x32#hash_c7bbcaa8,0
