string,string,localized_a,string,string,localized_a,string,string,localized_a,string,string
25,bg_large_026,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_026,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_7,,
26,bg_large_027,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_027,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_7,,
27,bg_large_028,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_028,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_7,,
28,bg_large_029,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_029,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_8,,
29,bg_large_030,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_030,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_8,,
30,bg_large_031,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_031,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_8,,
31,bg_large_032,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_032,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_8,,
32,bg_large_033,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_033,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_9,,
33,bg_large_034,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_034,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_9,,
34,bg_large_035,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_035,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_9,,
35,bg_large_036,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_036,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_9,,
36,bg_large_037,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_037,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_10,,
37,bg_large_038,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_038,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_10,,
38,bg_large_039,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_039,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_10,,
39,bg_large_040,a&LUA_MENU/BACKGROUNDS_STANDARD,card_bg_040,Standard Backgrounds,a&LUA_MENU/BACKGROUNDS_STANDARD_CAPS,0,0,a&LUA_MENU/UNLOCK_PURCHASE_MEMBER_10,,
40,bg_large_041,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_041,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_MW3_DATA,,
41,bg_large_042,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_042,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_BO2_DATA,,
42,bg_large_043,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_043,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_MW3_PRESTIGE,,
43,bg_large_044,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_044,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_BO2_PRESTIGE,,
44,bg_large_045,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_045,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_MW3_MAX_PRESTIGE,,
45,bg_large_046,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_046,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_BO2_MAX_PRESTIGE,,
46,bg_large_047,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_047,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,1,1,a&LUA_MENU/UNLOCK_FOUNDERS_SKULL,,
47,bg_large_048,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_048,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_HUNTER_CAMO,,
48,bg_large_050,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_050,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_GHOST_CLOTH,,
49,bg_large_052,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_052,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_SHATTERED_GLASS,,
50,bg_large_049,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_049,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_DRAGON_SCALES,,
51,bg_large_051,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_051,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU/UNLOCK_TATTOO_ART,,
52,bg_large_053,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_053,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
53,bg_large_054,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_054,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
54,bg_large_055,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_055,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
55,bg_large_056,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_056,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
56,bg_large_057,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_057,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
57,bg_large_058,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_058,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
58,bg_large_059,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_059,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
59,bg_large_060,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_060,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
60,bg_large_061,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_061,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
61,bg_large_062,a&LUA_MENU/BACKGROUNDS_PRESTIGE,card_bg_062,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
62,bg_large_078,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_078,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
63,bg_large_074,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_074,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
64,bg_large_068,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_068,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
65,bg_large_076,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_076,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
66,bg_large_071,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_071,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
67,bg_large_075,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_075,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
68,bg_large_070,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_070,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
69,bg_large_072,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_072,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
70,bg_large_077,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_077,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
71,bg_large_069,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_069,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
72,bg_large_073,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_073,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&,,
73,bg_large_080,a&LUA_MENU/BACKGROUNDS_CLASSIFIED,card_bg_080,Classified Backgrounds,a&LUA_MENU/BACKGROUNDS_CLASSIFIED_CAPS,1,1,a&LUA_MENU/UNLOCK_MONSTER_PROMO,,
74,bg_large_081,a&LUA_MENU/BACKGROUNDS_CLASSIFIED,card_bg_081,Classified Backgrounds,a&LUA_MENU/BACKGROUNDS_CLASSIFIED_CAPS,1,1,a&LUA_MENU/UNLOCK_MONSTER_PROMO,,
75,bg_large_082,a&LUA_MENU/BACKGROUNDS_CLASSIFIED,card_bg_082,Classified Backgrounds,a&LUA_MENU/BACKGROUNDS_CLASSIFIED_CAPS,1,1,a&LUA_MENU/UNLOCK_COLLECTORS_EDITION,,
76,bg_large_083,a&LUA_MENU/BACKGROUNDS_CLASSIFIED,card_bg_083,Classified Backgrounds,a&LUA_MENU/BACKGROUNDS_CLASSIFIED_CAPS,1,1,a&LUA_MENU/UNLOCK_SEASON_PASS,,
77,bg_large_084,a&LUA_MENU/BACKGROUNDS_CLASSIFIED,card_bg_084,Classified Backgrounds,a&LUA_MENU/BACKGROUNDS_CLASSIFIED_CAPS,1,1,a&LUA_MENU/UNLOCK_DIGITAL_HARDENED,,
78,bg_large_089,a&LUA_MENU/BACKGROUNDS_CLASSIFIED,card_bg_089,Classified Backgrounds,a&LUA_MENU/BACKGROUNDS_CLASSIFIED_CAPS,1,1,a&LUA_MENU/UNLOCK_CUSTOM_AVATAR,,
79,bg_large_085,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_085,Elite Backgrounds,a&LUA_MENU/BACKGROUNDS_ELITE_CAPS,0,0,a&LUA_MENU_CODA_REGISTER_TITLE,,
80,bg_large_090,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_090,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_FESTIVE_DESC,mdlc_pack0,
81,bg_large_091,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_091,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_PACK_DESC,mdlc_pack8,igs_shp
82,bg_large_092,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_092,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_PACK_DESC,mdlc_pack9,igs_shp
83,bg_large_093,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_093,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_PACK_DESC,mdlc_pack11,igs_shp
84,bg_large_094,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_094,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_PACK_DESC,mdlc_pack10,igs_shp
85,bg_large_095,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_095,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_PACK_DESC,mdlc_pack7,igs_shp
86,bg_large_098,a&LUA_MENU/BACKGROUNDS_ELITE,card_bg_098,DLC Backgrounds,a&LUA_MENU/BACKGROUNDS_DLC_CAPS,2,0,a&DLC_PACK_DESC,mdlc_pack19,igs_svp
