string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
item,brloot_killstreak_clusterstrike_mgl,,10,10,10,0,10,10,10,10,10,10,10,10
item,brloot_killstreak_precision_airstrike_mgl,,10,10,10,0,10,10,10,10,10,10,10,10
item,brloot_killstreak_uav_mgl,,10,10,10,0,10,10,10,10,10,10,10,10
item,brloot_killstreak_auav_mgl,,5,5,5,0,5,5,5,5,5,5,5,5
item,brloot_killstreak_cluster_spike_mgl,,15,15,15,0,15,15,15,15,15,15,15,15
rarity,0_weapon,,20,0,0,0,20,20,0,0,0,0,0,0
rarity,1_weapon,,33,30,0,0,33,33,30,30,30,30,30,0
rarity,2_weapon,,33,30,0,0,33,33,30,30,30,30,30,0
rarity,3_weapon,,14,30,50,0,14,14,30,30,30,30,30,0
rarity,4_weapon,,0,10,50,0,0,0,10,10,10,10,10,100
item,brloot_plunder_cash_common_1,,50,0,0,0,15,10,0,0,0,0,0,0
item,brloot_plunder_cash_uncommon_1,,40,30,0,0,35,40,30,30,30,30,30,0
item,brloot_plunder_cash_uncommon_2,,10,30,0,0,40,40,30,30,30,30,30,0
item,brloot_plunder_cash_uncommon_3,,0,25,50,0,10,5,25,25,25,25,25,0
item,brloot_plunder_cash_rare_1,,0,15,30,0,0,5,15,15,15,15,15,50
item,brloot_plunder_cash_rare_2,,0,0,15,0,0,0,0,0,0,0,0,30
item,brloot_plunder_cash_epic_1,,0,0,5,0,0,0,0,0,0,0,0,20
item,brloot_plunder_cash_epic_2,,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_legendary_1,,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_assassination_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0,0
item,brloot_domination_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0,0
item,brloot_scavenger_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0,0
item,brloot_timedrun_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0,0
item,brloot_vip_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0,0
item,brloot_underground_keycard,,0,0,0,0,0,0,0,0,0,0,0,0
