string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_shipwreck.csv,20,,# sealion_shipwreck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,21,,# sealion_town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_treatment.csv,22,,# sealion_treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_sealion_waterways.csv,23,,# sealion_waterways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_cache_base.csv,24,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_cache_lege.csv,25,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_hotzone.csv,26,,# hotzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_locked_space_tier1.csv,27,,# ls_tier1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_locked_space_tier2.csv,28,,# ls_tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_locked_space_tier3.csv,29,,# ls_tier3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_ls_weapon_tier1.csv,30,,# ls_w_tier1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_ls_weapon_tier2.csv,31,,# ls_w_tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/sealion/dmz/lootset_ls_weapon_tier3.csv,32,,# ls_w_tier3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nodmz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,biolab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,sabacrashsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,biobunker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rollChance,ammo,,0,0,1,0,0,50,100,2,0,45,0,0,0,8,0,8,8,8,0,8,2,2,0,0,0,0,0,0,0,0,
rollChance,health,,0,0,0,0,0,100,31,5,0,45,0,0,0,6,0,6,6,3,0,6,5,31,0,0,0,0,0,0,0,0,
rollChance,plunder,,0,0,0,40,0,0,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,2,20,0,25,25,25,0,0,0,
rollChance,killstreak,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,8,9,0,0,0,
rollChance,lethal,,0,0,0,20,0,20,13,4,0,30,1,0,4,0,0,0,0,8,0,0,4,13,130,0,0,0,0,0,0,0,
rollChance,tactical,,0,0,0,40,0,20,20,9,0,8,8,10,9,8,0,8,8,12,0,8,9,20,200,0,0,0,0,0,0,0,
rollChance,super,,0,0,0,0,0,0,10,0,0,10,0,3,0,5,0,5,5,0,0,5,0,10,100,0,0,0,0,0,0,0,
rollChance,weapon,,0,0,0,0,0,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,10,0,10,12,16,1,1,1,
rollChance,gear,,0,0,0,0,0,0,0,0,0,8,1,5,1,3,0,3,3,2,0,3,2,4,80,0,5,8,10,0,0,0,
rollChance,revive,,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,
rollChance,tablet,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rollChance,keycard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rollChance,key,,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,5,6,7,0,0,0,
rollChance,valuable,,25,0,0,16,0,200,0,25,25,3,3,20,25,36,25,36,36,22,25,36,25,0,5,25,25,25,25,0,0,0,
rollChance,xp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rollChance,activitystarter,,5,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,
rollChance,attachment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rollChance,mission,,2,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
rollChance,personal,,0,0,0,4,0,20,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,
rollChance,gascan,,0,0,0,0,100,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rollChance,plate_carrier,,0,10,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,10,15,0,0,0,
rollChance,disguise,,0,0,0,0,0,0,5,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,6,0,5,10,15,0,0,0,
item,brloot_ammo_12g,,0,0,15,0,0,15,15,15,0,15,0,0,0,15,0,15,15,15,0,15,15,15,0,0,0,0,0,0,0,0,
item,brloot_ammo_50cal,,0,0,23,0,0,23,23,23,0,23,0,0,0,23,0,23,23,23,0,23,23,23,0,0,0,0,0,0,0,0,
item,brloot_ammo_762,,0,0,30,0,0,30,30,30,0,30,0,0,0,30,0,30,30,30,0,30,30,30,0,0,0,0,0,0,0,0,
item,brloot_ammo_919,,0,0,23,0,0,23,23,23,0,23,0,0,0,23,0,23,23,23,0,23,23,23,0,0,0,0,0,0,0,0,
item,brloot_ammo_rocket,,0,0,9,0,0,9,9,9,0,9,0,0,0,9,0,9,3,3,0,9,9,9,0,0,0,0,0,0,0,0,
item,brloot_equip_gasmask,,0,0,0,0,0,0,0,0,0,25,0,16,0,35,0,35,35,0,0,35,25,5,0,30,0,0,0,0,0,0,
item,brloot_equip_gasmask_durable,,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,3,3,0,0,3,5,0,5,0,0,0,0,0,0,0,
item,brloot_equip_iodine_pills,,0,0,0,0,0,0,0,0,0,5,0,28,0,0,0,0,0,0,0,0,5,3,0,15,0,0,0,0,0,0,
item,brloot_backpack_medium,,0,0,0,0,0,0,0,0,0,20,0,8,0,10,0,10,10,0,0,10,20,10,0,50,50,25,25,0,0,0,
item,brloot_backpack_large,,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,1,10,0,25,25,50,0,0,0,
item,brloot_equip_gasmask_scuba,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,3,1,10,0,25,25,50,0,0,0,
item,brloot_plate_carrier_2,,0,10,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,25,0,1,1,0,0,0,0,
item,brloot_plate_carrier_3,,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,1,1,0,0,0,
item,brloot_self_revive,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,
item,brloot_battlerage_self_revive,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,
item,brloot_offhand_atmine,,0,0,0,1,0,1,1,1,0,1,5,0,8,0,0,0,0,8,0,0,8,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_claymore,,0,0,0,1,0,1,1,1,0,1,5,0,8,0,0,0,0,8,0,0,8,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_c4,,0,0,0,1,0,1,1,1,0,1,3,0,7,0,0,0,0,7,0,0,7,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_frag,,0,0,0,1,0,1,1,1,0,1,1,0,12,0,0,0,0,12,0,0,12,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_molotov,,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_semtex,,0,0,0,1,0,1,1,1,0,1,4,0,8,0,0,0,0,8,0,0,8,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_thermite,,0,0,0,1,0,1,1,1,0,1,2,0,6,0,0,0,0,6,0,0,6,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_throwingknife,,0,0,0,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_bunkerbuster,,0,0,0,1,0,1,1,1,0,1,6,0,9,0,0,0,0,9,0,0,9,1,1,0,0,0,0,0,0,0,
tagChance,0&tactical,,0,0,0,0,0,50,45,0,0,0,2,5,2,2,0,2,2,2,0,2,2,45,0,0,0,0,0,0,0,0,
tagChance,1&tactical,,0,0,0,0,0,30,30,0,0,0,5,3,5,5,0,5,5,5,0,5,5,30,5,0,0,0,0,0,0,0,
tagChance,2&tactical,,0,0,0,0,0,20,20,0,0,0,2,2,4,4,0,4,4,4,0,4,4,20,10,0,0,0,0,0,0,0,
tagChance,3&tactical,,0,0,0,0,0,0,10,0,0,0,1,0,1,1,0,1,1,1,0,1,1,10,40,0,0,0,0,0,0,0,
item,brloot_health_adrenaline,,0,0,0,50,0,0,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_offhand_binoculars,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_offhand_geigercounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_offhand_magsnap,,0,0,0,50,0,0,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,feature_iw9_equip_magsnap
item,brloot_offhand_taccover,,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_offhand_trophysystem,,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_killstreak_recondrone,,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_deadsilence,,0,0,0,0,0,0,5,0,0,0,0,1,0,8,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_munitionsbox,,0,0,0,0,0,0,4,0,0,0,0,2,0,16,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_armorbox,,0,0,0,0,0,0,4,0,0,0,0,6,0,12,0,6,6,0,0,6,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_emppulse,,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_battlerage,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_tacticalcamera,,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,10,10,0,0,10,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_stimpistol,,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
item,brloot_super_hauntedbox,,0,0,0,0,0,0,4,0,0,0,0,2,0,16,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,feature_iw9_equip_hauntedbox
tagChance,0&weapon,,0,0,0,0,0,300,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,
tagChance,1&weapon,,0,0,0,0,0,400,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,30,15,0,10,0,0,5,0,0,
tagChance,2&weapon,,0,0,0,0,0,200,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,40,0,20,30,10,10,20,5,
tagChance,3&weapon,,0,0,0,0,0,100,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,20,0,40,50,20,40,50,10,
tagChance,4&weapon,,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,40,0,5,40,
tagChance,health,,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,
item,brloot_plunder_cash_common_1,,0,0,0,0,0,0,10,10,10,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,
item,brloot_plunder_cash_uncommon_1,,0,0,0,50,0,0,20,20,20,0,20,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,
item,brloot_plunder_cash_uncommon_2,,0,0,0,35,0,0,30,30,30,0,30,0,0,0,30,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,
item,brloot_plunder_cash_uncommon_3,,0,0,0,15,0,0,30,30,30,0,30,0,0,0,30,0,0,0,30,0,0,30,10,0,20,0,0,0,0,0,
item,brloot_plunder_cash_rare_1,,0,0,0,1,0,0,10,10,10,0,10,0,0,0,10,0,0,0,10,0,0,10,20,0,35,20,0,0,0,0,
item,brloot_plunder_cash_rare_2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,50,35,20,0,0,0,
item,brloot_plunder_cash_epic_1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,50,35,0,0,0,
item,brloot_plunder_cash_epic_2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,50,0,0,0,
item,brloot_plunder_cash_legendary_1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,
tagChance,dmzSmallPower&killstreak,,0,0,0,0,0,0,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,20,10,0,0,0,
tagChance,dmzMediumPower&killstreak,,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,40,20,0,0,0,
tagChance,dmzHighPower&killstreak,,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,20,0,0,0,
item,brloot_access_card_blue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_access_card_green,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_access_card_red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_access_card_blue_stadium_parking,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_access_card_blue_stadium_executive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_access_card_blue_stadium_concourse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,loot_key_fortress,,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,1,1,1,0,0,0,
tagChance,0&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tagChance,1&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tagChance,2&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tagChance,3&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tagChance,4&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_harddrive,,1,0,0,0,0,30,0,0,0,0,25,0,10,10,10,4,3,22,15,0,0,0,0,0,6,3,1,0,0,0,
item,brloot_valuable_goldbar,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,8,10,0,0,0,
item,brloot_valuable_laptop,,10,0,0,10,0,100,0,5,0,0,24,0,5,5,5,7,6,14,12,0,0,0,0,0,5,5,5,0,0,0,
item,brloot_valuable_liquor,,10,0,0,10,0,10,0,6,0,0,25,12,5,5,5,6,12,0,5,20,24,0,0,0,5,4,2,0,0,0,
item,brloot_valuable_importedtea,,3,0,0,5,0,0,0,6,0,0,25,12,1,1,1,0,0,12,3,8,12,0,0,0,4,3,2,0,0,0,
item,brloot_valuable_mre,,3,0,0,10,0,0,0,8,0,10,0,0,10,10,10,0,2,0,0,24,8,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_soothinglotion,,3,0,0,5,0,10,0,24,4,6,0,5,1,1,1,0,6,12,0,8,24,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_wine,,5,0,0,1,0,0,0,0,0,0,50,12,0,0,0,0,0,6,0,24,32,0,0,0,5,5,5,0,0,0,
item,brloot_valuable_wine_aged,,3,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,0,2,0,4,8,0,0,0,2,2,3,0,0,0,
item,brloot_valuable_wine_vintage,,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,1,1,2,0,0,0,
item,brloot_valuable_freshwater,,5,0,0,5,0,10,0,6,4,5,1,22,10,10,10,0,12,12,12,40,30,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_cannedfood,,3,0,0,5,0,0,0,5,0,5,25,15,5,5,5,6,0,0,0,20,32,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_comicbook,,10,0,0,10,0,30,0,0,0,0,1,5,5,5,5,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_bandage,,10,0,0,10,0,0,0,38,15,15,0,5,10,10,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_battery,,10,0,0,10,0,50,0,38,10,15,0,10,10,10,10,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_game_console,,5,0,0,0,0,0,0,0,0,0,12,0,5,5,5,0,0,0,0,1,2,0,0,0,3,2,1,0,0,0,
item,brloot_valuable_lightbulb,,10,0,0,0,0,0,0,0,0,0,0,2,1,1,1,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_toothpaste,,5,0,0,10,0,0,0,6,3,4,0,2,5,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_watch,,10,0,0,10,0,50,0,3,0,0,22,2,1,1,1,4,3,12,2,3,0,0,0,0,5,2,1,0,0,0,
item,brloot_valuable_wrench,,10,0,0,10,0,0,0,0,0,0,0,5,10,10,10,26,0,0,0,24,0,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_lighter,,10,0,0,10,0,50,0,0,0,2,0,10,10,10,10,8,6,0,8,13,10,0,0,0,5,2,1,0,0,0,
item,brloot_valuable_thumb_drive,,5,0,0,10,0,100,0,2,0,2,0,0,5,5,5,0,10,20,16,0,0,0,0,0,5,2,1,0,0,0,
item,brloot_valuable_electrical_tape,,5,0,0,10,0,30,0,0,0,0,0,0,5,5,5,12,4,0,0,3,0,0,0,0,5,2,1,0,0,0,
item,brloot_valuable_screwdriver,,5,0,0,10,0,0,0,0,0,0,0,2,5,5,5,28,0,0,0,22,0,0,0,0,0,0,0,0,0,0,
item,brloot_valuable_gold_skull,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,
item,brloot_valuable_blow_torch,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,
item,brloot_valuable_car_battery,,5,0,0,0,0,0,0,0,0,0,43,15,10,10,10,24,0,0,0,10,0,0,0,0,4,4,4,0,0,0,
item,brloot_valuable_jumper_cables,,5,0,0,10,0,0,0,0,0,0,0,12,5,5,5,24,0,0,0,15,0,0,0,0,2,1,0,0,0,0,
item,brloot_valuable_vcr,,5,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,3,2,0,2,2,0,0,0,4,2,1,0,0,0,
item,brloot_planning_diagram_2,,1,0,0,10,0,50,0,1,0,1,25,0,12,12,12,0,2,2,0,7,0,0,0,0,1,1,1,0,0,0,
item,brloot_planning_diagram_3,,1,0,0,10,0,50,0,1,0,1,25,0,12,12,12,0,2,2,0,7,0,0,0,0,1,1,1,0,0,0,
item,brloot_planning_image_1,,1,0,0,10,0,50,0,1,0,1,25,0,12,12,12,0,2,2,0,7,0,0,0,0,1,1,1,0,0,0,
item,brloot_planning_image_2,,1,0,0,10,0,50,0,1,0,1,25,0,12,12,12,0,2,2,0,7,0,0,0,0,1,1,1,0,0,0,
item,brloot_planning_image_3,,1,0,0,10,0,50,0,1,0,1,25,0,12,12,12,0,2,2,0,7,0,0,0,0,1,1,1,0,0,0,
item,brloot_valuable_folder,,10,0,0,10,0,200,0,15,0,2,22,0,12,12,12,0,23,36,35,15,0,0,0,0,10,6,5,0,0,0,
item,brloot_valuable_folder_sensitive,,0,0,0,5,0,100,0,4,0,0,5,0,5,5,5,0,8,8,4,5,0,0,1,1,3,3,3,0,0,0,
item,brloot_valuable_folder_classified,,0,0,0,1,0,30,0,1,0,0,1,0,1,1,1,0,1,2,1,1,0,0,1,1,1,2,3,0,0,0,
item,brloot_valuable_harddrive_encrypted,,0,0,0,0,0,10,0,1,0,0,1,0,1,1,1,0,2,2,2,3,0,0,1,1,1,1,5,0,0,0,
item,brloot_valuable_gpu,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,
item,brloot_xp_dufflebag,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_xp_purse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_combat,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_rescue,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_sabotage,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_hunt,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_vehicledrive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_boatdrive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_intel,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_radiation,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_trap,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_supply,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
item,brloot_activity_starter_hacker_phone,,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,
