string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string
22243,jup_wz_leagueplay_suspension,252,a&,a&,,,,,SyncToStats,<NOT SET>,,,
22242,jup_wz_leagueplay_sr_penalty,252,a&,a&,,,,,SyncToStats,<NOT SET>,,,
22246,jup_wz_leagueplay_overall_stats,252,a&,a&,,,,,Overall Stats,<NOT SET>,,,
22247,jup_wz_leagueplay_overall_best_stats,252,a&,a&,,,,,Overall Stats,<NOT SET>,,,
22248,jup_wz_leagueplay_s1_win_stats,252,a&,a&,,,,,Win Stats,1,,,
22250,jup_wz_leagueplay_s2_win_stats,252,a&,a&,,,,,Win Stats,2,,,
22255,jup_wz_leagueplay_s3_win_stats,252,a&,a&,,,,,Win Stats,3,,,
22256,jup_wz_leagueplay_s4_win_stats,252,a&,a&,,,,,Win Stats,4,,,
22257,jup_wz_leagueplay_s5_win_stats,252,a&,a&,,,,,Win Stats,5,,,
22258,jup_wz_leagueplay_s6_win_stats,252,a&,a&,,,,,Win Stats,6,,,
22259,jup_wz_leagueplay_s1_hotstreak_stats,252,a&,a&,,,,,Hot Streak Stats,1,,,
22265,jup_wz_leagueplay_s2_hotstreak_stats,252,a&,a&,,,,,Hot Streak Stats,2,,,
22266,jup_wz_leagueplay_s3_hotstreak_stats,252,a&,a&,,,,,Hot Streak Stats,3,,,
22267,jup_wz_leagueplay_s4_hotstreak_stats,252,a&,a&,,,,,Hot Streak Stats,4,,,
22268,jup_wz_leagueplay_s5_hotstreak_stats,252,a&,a&,,,,,Hot Streak Stats,5,,,
22269,jup_wz_leagueplay_s6_hotstreak_stats,252,a&,a&,,,,,Hot Streak Stats,6,,,
22321,jup_wz_leagueplay_sr_integrity,252,a&,a&,,,,,Skill Rating Integrity,<NOT SET>,,,
22323,jup_wz_leagueplay_match_aar,252,a&,a&,,,,,Match AAR,<NOT SET>,,,
22324,jup_wz_leagueplay_match_sr_gains,252,a&,a&,,,,,Match SR Gains,<NOT SET>,,,
22325,jup_wz_leagueplay_match_sr_loss,252,a&,a&,,,,,Match SR Loss,<NOT SET>,,,
22326,jup_wz_leagueplay_s1_skilldivision_stats,252,a&,a&,,,,,Skilldivision Stats,1,,,
22332,jup_wz_leagueplay_s2_skilldivision_stats,252,a&,a&,,,,,Skilldivision Stats,2,,,
22333,jup_wz_leagueplay_s3_skilldivision_stats,252,a&,a&,,,,,Skilldivision Stats,3,,,
22334,jup_wz_leagueplay_s4_skilldivision_stats,252,a&,a&,,,,,Skilldivision Stats,4,,,
22335,jup_wz_leagueplay_s5_skilldivision_stats,252,a&,a&,,,,,Skilldivision Stats,5,,,
22336,jup_wz_leagueplay_s6_skilldivision_stats,252,a&,a&,,,,,Skilldivision Stats,6,,,
