string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
22384,jup_wz_leagueplay_s5_end_season_top250_placement,252,a&,a&,1|250,,,,,Season End Top250,Season End Top250,5,,,
22386,jup_wz_leagueplay_s6_end_season_top250_placement,252,a&,a&,1|250,,,,,Season End Top250,Season End Top250,6,,,
22387,jup_wz_leagueplay_s1_challenge_kills,252,a&,a&,25|250|1000,,,,,Seasonal,Seasonal,1,,,
22393,jup_wz_leagueplay_s2_challenge_kills,252,a&,a&,25|250|1000,,,,,Seasonal,Seasonal,2,,,
22394,jup_wz_leagueplay_s3_challenge_kills,252,a&,a&,25|250|1000,,,,,Seasonal,Seasonal,3,,,
22395,jup_wz_leagueplay_s4_challenge_kills,252,a&,a&,25|250|1000,,,,,Seasonal,Seasonal,4,,,
22396,jup_wz_leagueplay_s5_challenge_kills,252,a&,a&,25|250|1000,,,,,Seasonal,Seasonal,5,,,
22397,jup_wz_leagueplay_s6_challenge_kills,252,a&,a&,25|250|1000,,,,,Seasonal,Seasonal,6,,,
22398,jup_wz_leagueplay_s1_challenge_placement_top15,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,1,,,
22410,jup_wz_leagueplay_s2_challenge_placement_top15,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,2,,,
22411,jup_wz_leagueplay_s3_challenge_placement_top15,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,3,,,
22412,jup_wz_leagueplay_s4_challenge_placement_top15,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,4,,,
22413,jup_wz_leagueplay_s5_challenge_placement_top15,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,5,,,
22414,jup_wz_leagueplay_s6_challenge_placement_top15,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,6,,,
22415,jup_wz_leagueplay_s1_challenge_placement_top5,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,1,,,
22416,jup_wz_leagueplay_s2_challenge_placement_top5,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,2,,,
22417,jup_wz_leagueplay_s3_challenge_placement_top5,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,3,,,
22418,jup_wz_leagueplay_s4_challenge_placement_top5,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,4,,,
22419,jup_wz_leagueplay_s5_challenge_placement_top5,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,5,,,
22420,jup_wz_leagueplay_s6_challenge_placement_top5,252,a&,a&,25,,2500,2500,2500,Seasonal,Seasonal,6,,,
22400,jup_wz_leagueplay_s1_challenge_placement_top1,252,a&,a&,1,,2500,2500,2500,Seasonal,Seasonal,1,,,
22422,jup_wz_leagueplay_s2_challenge_placement_top1,252,a&,a&,1,,2500,2500,2500,Seasonal,Seasonal,2,,,
22423,jup_wz_leagueplay_s3_challenge_placement_top1,252,a&,a&,1,,2500,2500,2500,Seasonal,Seasonal,3,,,
22424,jup_wz_leagueplay_s4_challenge_placement_top1,252,a&,a&,1,,2500,2500,2500,Seasonal,Seasonal,4,,,
22425,jup_wz_leagueplay_s5_challenge_placement_top1,252,a&,a&,1,,2500,2500,2500,Seasonal,Seasonal,5,,,
22426,jup_wz_leagueplay_s6_challenge_placement_top1,252,a&,a&,1,,2500,2500,2500,Seasonal,Seasonal,6,,,
