string,string,string,localized_a,localized_a
34,relic_nuketimer,icon_cp_modifier,a&LUA_MENU_CP/RELIC_NUKETIMER,a&LUA_MENU_CP/RELIC_NUKETIMER_DESC
35,relic_aggressive_melee,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AGGRESSIVE_MELEE,a&LUA_MENU_CP/RELIC_AGGRESSIVE_MELEE_DESC
36,relic_martyrdom,icon_cp_modifier,a&LUA_MENU_CP/RELIC_MARTYRDOM,a&LUA_MENU_CP/RELIC_MARTYRDOM_DESC
37,relic_focus_fire,icon_cp_modifier,a&LUA_MENU_CP/RELIC_FOCUS_FIRE,a&LUA_MENU_CP/RELIC_FOCUS_FIRE_DESC
38,relic_gun_game,icon_cp_modifier,a&LUA_MENU_CP/RELIC_GUN_GAME,a&LUA_MENU_CP/RELIC_GUN_GAME_DESC
39,relic_mythic,icon_cp_modifier,a&LUA_MENU_CP/RELIC_MYTHIC,a&LUA_MENU_CP/RELIC_MYTHIC_DESC
40,relic_aitype_shotgun,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AITYPE_SHOTGUN,a&LUA_MENU_CP/RELIC_AITYPE_SHOTGUN_DESC
41,relic_aitype_sniper,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AITYPE_SNIPER,a&LUA_MENU_CP/RELIC_AITYPE_SNIPER_DESC
42,relic_aitype_riotshield,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AITYPE_RIOTSHIELD,a&LUA_MENU_CP/RELIC_AITYPE_RIOTSHIELD_DESC
43,relic_aitype_suicidebomber,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AITYPE_SUICIDEBOMBER,a&LUA_MENU_CP/RELIC_AITYPE_SUICIDEBOMBER_DESC
44,relic_aitype_rpg,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AITYPE_RPG,a&LUA_MENU_CP/RELIC_AITYPE_RPG_DESC
45,relic_aitype_armored,icon_cp_modifier,a&LUA_MENU_CP/RELIC_AITYPE_ARMORED,a&LUA_MENU_CP/RELIC_AITYPE_ARMORED_DESC
46,relic_just_keep_moving,icon_cp_modifier,a&LUA_MENU_CP/RELIC_JUST_KEEP_MOVING,a&LUA_MENU_CP/RELIC_JUST_KEEP_MOVING_DESC
47,relic_damage_from_above,icon_cp_modifier,a&LUA_MENU_CP/RELIC_DAMAGE_FROM_ABOVE,a&LUA_MENU_CP/RELIC_DAMAGE_FROM_ABOVE_DESC
48,relic_grounded,icon_cp_modifier,a&LUA_MENU_CP/RELIC_GROUNDED,a&LUA_MENU_CP/RELIC_GROUNDED_DESC
49,relic_punchbullets,icon_cp_modifier,a&LUA_MENU_CP/RELIC_PUNCHBULLETS,a&LUA_MENU_CP/RELIC_PUNCHBULLETS_DESC
50,relic_noluck,icon_cp_modifier,a&LUA_MENU_CP/RELIC_NOLUCK,a&LUA_MENU_CP/RELIC_NOLUCK_DESC
51,relic_doomslayer,icon_cp_modifier,a&LUA_MENU_CP/RELIC_DOOMSLAYER,a&LUA_MENU_CP/RELIC_DOOMSLAYER_DESC
52,relic_doubletap,icon_cp_modifier,a&LUA_MENU_CP/RELIC_DOUBLETAP,a&LUA_MENU_CP/RELIC_DOUBLETAP_DESC
53,relic_steelballs,icon_cp_modifier,a&LUA_MENU_CP/RELIC_STEELBALLS,a&LUA_MENU_CP/RELIC_STEELBALLS_DESC
54,relic_oneclip,icon_cp_modifier,a&LUA_MENU_CP/RELIC_ONECLIP,a&LUA_MENU_CP/RELIC_ONECLIP_DESC
55,relic_gas_martyr,icon_cp_modifier,a&LUA_MENU_CP/RELIC_GAS_MARTYR,a&LUA_MENU_CP/RELIC_GAS_MARTYR_DESC
56,relic_rocket_kill_ammo,icon_cp_modifier,a&LUA_MENU_CP/RELIC_ROCKETKILLAMMO,a&LUA_MENU_CP/RELIC_ROCKETKILLAMMO_DESC
57,relic_third_person,icon_cp_modifier,a&LUA_MENU_CP/RELIC_THIRD_PERSON,a&LUA_MENU_CP/RELIC_THIRD_PERSON_DESC
58,relic_oneInTheChamber,icon_cp_modifier,a&LUA_MENU_CP/RELIC_OITC,a&LUA_MENU_CP/RELIC_OITC_DESC
59,relic_werewolf,icon_cp_modifier,a&LUA_MENU_CP/RELIC_WEREWOLF,a&LUA_MENU_CP/RELIC_WEREWOLF_DESC
