string,string,string,localized,string,string,string,string,string,string,string,string,string,string,string,localized,string,string,string,string,string,string,string,string,string,string,int
12,ghost_western_a,ghost_western,&OPERATORS/GHOST_WESTERN,body_mp_ghost_iw9_1_1,head_mp_ghost_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_ghost_iw9_1_1,head_mp_ghost_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.4,1,,poncho,milmedgr,,,0
13,beta_western_a,kpop_eastern,&OPERATORS/HORANGI_EASTERN_2_1,body_mp_beta_iw9_1_1,head_mp_beta_iw9_1_1_lod1,ui_loot_operator_east_beta_1_1,1,,0,body_mp_beta_iw9_1_1,head_mp_beta_iw9_1_1,1,,1,&STORE_FLAVOR/HORANGI_EASTERN_2_1_FLAVOR,,,ui_loot_operator_east_beta_1_1,0.35,1,,vestlight,millghtgr,,,0
14,milsim_western_a,milsim_western_1,&OPERATORS/MILSIM_WESTERN_1,body_mp_milsim_west_iw9_1_1,head_mp_milsim_west_iw9_1_1_lod1,ui_loot_operator_west_milsim_1_1,1,,0,body_mp_milsim_west_iw9_1_1,head_mp_milsim_west_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_milsim_1_1,-0.25,1,,vestlight,millghtgr,,,0
15,milsim_western_b,milsim_western_1,&OPERATORS/MILSIM_WESTERN_2,body_mp_milsim_west_iw9_2_1,head_mp_milsim_west_iw9_2_1_lod1,ui_loot_operator_west_milsim_2_1,1,,0,body_mp_milsim_west_iw9_2_1,head_mp_milsim_west_iw9_2_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_milsim_2_1,-0.25,1,,vestlight,millghtgr,,,0
16,milsim_western_c,milsim_western_1,&OPERATORS/MILSIM_WESTERN_3,body_mp_milsim_west_iw9_3_1,head_mp_milsim_west_iw9_3_1_lod1,ui_loot_operator_west_milsim_3_1,1,,0,body_mp_milsim_west_iw9_3_1,head_mp_milsim_west_iw9_3_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_milsim_3_1,-0.25,1,,vestlight,millghtgr,,,0
17,milsim_western_d,milsim_western_1,&OPERATORS/MILSIM_WESTERN_4,body_mp_milsim_west_iw9_4_1,head_mp_milsim_west_iw9_4_1_lod1,ui_loot_operator_west_milsim_4_1,1,,0,body_mp_milsim_west_iw9_4_1,head_mp_milsim_west_iw9_4_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_milsim_4_1,-0.25,1,,vestlight,millghtgr,,,0
18,milsim_eastern_a,milsim_eastern_1,&OPERATORS/MILSIM_EASTERN_1,body_mp_milsim_east_iw9_1_1,head_mp_milsim_east_iw9_1_1_lod1,ui_loot_operator_east_milsim_1_1,1,,0,body_mp_milsim_east_iw9_1_1,head_mp_milsim_east_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_east_milsim_1_1,-0.25,1,,vestlight,milmedgr,,,0
19,milsim_eastern_b,milsim_eastern_1,&OPERATORS/MILSIM_EASTERN_2,body_mp_milsim_east_iw9_2_1,head_mp_milsim_east_iw9_2_1_lod1,ui_loot_operator_east_milsim_2_1,1,,0,body_mp_milsim_east_iw9_2_1,head_mp_milsim_east_iw9_2_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_east_milsim_2_1,-0.25,1,,vestlight,milmedgr,,,0
20,milsim_eastern_c,milsim_eastern_1,&OPERATORS/MILSIM_EASTERN_3,body_mp_milsim_east_iw9_3_1,head_mp_milsim_east_iw9_3_1_lod1,ui_loot_operator_east_milsim_3_1,1,,0,body_mp_milsim_east_iw9_3_1,head_mp_milsim_east_iw9_3_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_east_milsim_3_1,-0.25,1,,vestlight,milmedgr,,,0
21,milsim_eastern_d,milsim_eastern_1,&OPERATORS/MILSIM_EASTERN_4,body_mp_milsim_east_iw9_4_1,head_mp_milsim_east_iw9_4_1_lod1,ui_loot_operator_east_milsim_4_1,1,,0,body_mp_milsim_east_iw9_4_1,head_mp_milsim_east_iw9_4_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_east_milsim_4_1,-0.25,1,,vestlight,milmedgr,,,0
22,soap_western_a,soap_western,&OPERATORS/soap_WESTERN,body_mp_soap_iw9_1_1_merge,head_mp_soap_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_soap_iw9_1_1_merge,head_mp_soap_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.6,1,,vestlight,millghtgr,,,0
23,oni_eastern_a,oni_eastern,&OPERATORS/ONI_EASTERN,body_mp_oni_iw9_1_1,head_mp_oni_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_oni_iw9_1_1,head_mp_oni_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,vestlight,wstmedgr,,,0
24,gromsko_western_a,gromsko_western,&OPERATORS/GROMSKO_WESTERN,body_mp_tarzan_iw9_3_1,head_mp_tarzan_iw9_3_1_lod1,ui_default_null,1,,0,body_mp_tarzan_iw9_3_1,head_mp_tarzan_iw9_3_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,ghillie,milmedgr,,,0
25,reyes_western_a,reyes_western,&OPERATORS/REYES_WESTERN,body_mp_reyes_iw9_1_1,head_mp_reyes_iw9_1_1_lod1,ui_loot_operator_west_reyes_1_1,1,,0,body_mp_reyes_iw9_1_1,head_mp_reyes_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_reyes_1_1,-0.15,1,,poncho,milmedgr,,,0
26,luna_western_a,luna_western,&OPERATORS/LUNA_WESTERN,body_mp_akira_iw9_1_1,head_mp_akira_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_akira_iw9_1_1,head_mp_akira_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,cloth,millghtgr,,,0
27,roze_eastern_a,roze_eastern,&OPERATORS/ROZE_EASTERN,body_mp_roze_iw9_1_1,head_mp_roze_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_roze_iw9_1_1,head_mp_roze_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,vestlight,milmedgr,,,0
28,zero_eastern_a,zero_eastern,&OPERATORS/ZERO_EASTERN,body_mp_jinn_iw9_1_1,head_mp_jinn_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_jinn_iw9_1_1,head_mp_jinn_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,vestlight,milmedgr,,,0
29,conor_eastern_a,conor_eastern,&OPERATORS/CONOR_EASTERN,body_mp_conor_iw9_1_1,head_mp_conor_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_conor_iw9_1_1,head_mp_conor_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,vestlight,millghtgr,,,0
30,aksel_eastern_a,aksel_eastern,&OPERATORS/AKSEL_EASTERN,body_mp_aksel_iw9_1_1,head_mp_aksel_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_aksel_iw9_1_1,head_mp_aksel_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,vestheavy,millghtgr,,,0
31,conor_eastern_b,conor_eastern,&OPERATORS/CONOR_EASTERN_BK,body_mp_conor_iw9_2_1,head_mp_conor_iw9_2_1_lod1,ui_default_null,1,,0,body_mp_conor_iw9_2_1,head_mp_conor_iw9_2_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,vestlight,strapsgr,,,0
32,fender_western_b,fender_western,&OPERATORS/FENDER_WESTERN_MTNDEW,body_mp_fender_iw9_2_1,head_mp_fender_iw9_2_1_lod1,ui_default_null,1,,0,body_mp_fender_iw9_2_1,head_mp_fender_iw9_2_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.3,1,,vestheavy,milhvygr,,,0
33,hutch_western_b,hutch_western,&OPERATORS/HUTCH_WESTERN_CODE,body_mp_hutch_iw9_3_1,head_mp_hutch_iw9_3_1_lod1,ui_default_null,1,,0,body_mp_hutch_iw9_3_1,head_mp_hutch_iw9_3_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.3,1,,vestlight,millghtgr,,,0
34,reyes_western_b,reyes_western,&OPERATORS/REYES_WESTERN_JL,body_mp_reyes_iw9_2_1,head_mp_reyes_iw9_2_1_lod1,ui_default_null,1,,0,body_mp_reyes_iw9_2_1,head_mp_reyes_iw9_2_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.15,1,,ghillie,millghtgr,,,0
35,stiletto_eastern_a1,stiletto_eastern,&OPERATORS/STILETTO_EASTERN,body_mp_stiletto_iw9_1_1,head_mp_stiletto_iw9_1_1_lod1,ui_default_null,1,,0,body_mp_stiletto_iw9_1_1,head_mp_stiletto_iw9_1_1,1,,1,&STORE_FLAVOR/OPERATOR_WYATT_WESTERN_BASIC_FLAVOR,,,ui_loot_operator_west_wyatt_1_1,-0.27,1,,vestlight,millghtgr,,,0
