string,string,localized,localized,string,string,string,localized,string,string,string,string,string,string,string,string,string
3935,iw9_ch_pmc_uav_tower_single,&CHALLENGE/PMC_UAV_TOWER_SINGLE_NAME,&CHALLENGE/PMC_UAV_TOWER_SINGLE_DESC,1,11845,5000,&CHALLENGE/PMC_UAV_TOWER_SINGLE_DETAIL_DESC,american,50,,,,,,,
1896,iw9_ch_pmc_loot_cache_extract_item,&PMC/LOOT_CACHE_EXFIL_ITEM_NAME,&,2,11845,5000,&PMC/LOOT_CACHE_EXFIL_ITEM_DETAIL_DESC,american,50,,,38|3852,,,,
38,iw9_ch_pmc_loot_cache,&,&PMC/LOOT_CACHE_DESC,1,,0,&,american,,,,,,,,
3852,iw9_ch_pmc_extract_any_item,&,&PMC/EXFIL_ITEM_DESC,1,,0,&,american,,,,,,,,
438,iw9_ch_pmc_ping_phone_start_contract,&PMC/PING_PHONE_START_CONTRACT_NAME,&,2,11845,5000,&PMC/PING_PHONE_START_CONTRACT_DETAIL_DESC,american,50,,,2856|3823,,,,
2856,iw9_ch_pmc_ping_phone,&,&PMC/PING_PHONE_DESC,1,,0,&,american,,,,,,,,
3823,iw9_ch_pmc_start_contract,&,&PMC/START_CONTRACT_DESC,1,,0,&,american,,,,,,,,
205,iw9_ch_pmc_clear_stronghold,&PMC/CLEAR_STRONGHOLD_NAME,&,3,11845,5000,&PMC/CLEAR_STRONGHOLD_DETAIL_DESC,american,50,,,3131|900|7477,,,,
3131,iw9_ch_pmc_clear_stronghold_get_key,&,&PMC/CLEAR_STRONGHOLD_ACQUIRE_KEY_DESC,1,,0,&,american,,,,,8557,,,
900,iw9_ch_pmc_clear_stronghold_clear,&,&PMC/CLEAR_STRONGHOLD_DESC,1,,0,&,american,,,,,,,,
7477,iw9_ch_pmc_clear_stronghold_intel,&,&PMC/CLEAR_STRONGHOLD_INTEL_DESC,1,,0,&,british,,,,,10444,,,
2742,iw9_ch_pmc_demolition_safe,&PMC/DEMOLITION_SAFE_NAME,&,3,11845,5000,&PMC/DEMOLITION_SAFE_DETAIL_DESC,british,50,,,1042|848|3893,,,,
1042,iw9_ch_pmc_demolition_start_demo,&,&PMC/DEMOLITION_SAFE_START_DEMO_DESC,1,,0,&,british,,,,,,,,
848,iw9_ch_pmc_demolition_end_demo,&,&PMC/DEMOLITION_SAFE_END_DEMO_DESC,1,,0,&,british,,,,,,,,
3893,iw9_ch_pmc_demolition_open_safe,&,&PMC/DEMOLITION_SAFE_OPEN_SAFE_DESC,1,,0,&,british,,,,,,,,
1704,iw9_ch_pmc_fuel_repair_loot_gas_cans,&PMC/FUEL_REPAIR_LOOT_GAS_CANS_NAME,&,2,11845,5000,&PMC/FUEL_REPAIR_LOOT_GAS_CANS_DETAIL_DESC,british,50,,,1935|1746,,,,
1935,iw9_ch_pmc_fuel_repair_fuel,&,&PMC/FUEL_REPAIR_DESC,2,,0,&,british,,,,,,,,
1746,iw9_ch_pmc_fuel_repair_loot,&,&PMC/FUEL_REPAIR_LOOT_GAS_CANS_DESC,6,,0,&,british,,,,,8540,,,
278,iw9_ch_pmc_loot_extract_dog_tags,&PMC/LOOT_EXTRACT_DOG_TAGS_NAME,&,2,11845,5000,&PMC/LOOT_EXTRACT_DOG_TAGS_DETAIL_DESC,british,50,,,256|7450,,,,
256,iw9_ch_pmc_extract_dog_tags,&,&PMC/LOOT_EXTRACT_DOG_TAGS_EXTRACT_DESC,2,,0,&,british,,,,,8516,,,
7450,iw9_ch_pmc_extract_faction_intel,&,&PMC/LOOT_EXTRACT_DOG_TAGS_INTEL_DESC,2,,0,&,british,,,,,11079,,,
2782,iw9_ch_pmc_medium_bird_story,&PMC/MEDIUM_BIRD_STORY_NAME,&,3,11845,5000,&PMC/MEDIUM_BIRD_STORY_DETAIL_DESC,british,50,,,988|904|3934,,,,
988,iw9_ch_pmc_medium_bird_story_pilot,&,&PMC/MEDIUM_BIRD_STORY_PILOT_DESC,1,,0,&,british,,,,,,,,
904,iw9_ch_pmc_medium_bird_story_land,&,&PMC/MEDIUM_BIRD_STORY_LAND_DESC,1,,0,&,british,,,,,,,,
3934,iw9_ch_pmc_medium_bird_story_download,&,&PMC/MEDIUM_BIRD_STORY_DOWNLOAD_DESC,1,,0,&,british,,,,,,,,
87,iw9_ch_pmc_pickup_radio_kill_enemies,&PMC/PICKUP_RADIO_KILL_ENEMIES_NAME,&,2,11845,5000,&PMC/PICKUP_RADIO_KILL_ENEMIES_DETAIL_DESC,british,50,,,2601|2744,,,,
2601,iw9_ch_pmc_pickup_radio_kill_enemies_pickup,&,&PMC/PICKUP_RADIO_KILL_ENEMIES_PICKUP_DESC,3,,0,&,british,,,,,,,,
2744,iw9_ch_pmc_pickup_radio_kill_enemies_kill,&,&PMC/PICKUP_RADIO_KILL_ENEMIES_KILL_DESC,7,,0,&,british,,,,,,,,
684,iw9_ch_pmc_complete_hunt_extract_weapon,&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_NAME,&,2,11845,5000,&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_DETAIL_DESC,british,50,,,2770|3819,,,,
2770,iw9_ch_pmc_complete_hunt_extract_weapon_hunt,&,&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_HUNT_DESC,1,,0,&,british,,,,,,,,
3819,iw9_ch_pmc_complete_hunt_extract_weapon_extract,&,&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_EXTRACT_DESC,1,,0,&,british,,,,,,1,,
563,iw9_ch_pmc_loot_sell_liquor,&PMC/LOOT_SELL_LIQUOR_NAME,&,2,11845,5000,&PMC/LOOT_SELL_LIQUOR_DETAIL_DESC,british,50,,,123|662,,,,
123,iw9_ch_pmc_loot_sell_liquor_loot,&,&PMC/LOOT_SELL_LIQUOR_LOOT_DESC,6,,0,&,british,,,,,,,8551|8578|8448|8547,iw9_loot_id
662,iw9_ch_pmc_loot_sell_liquor_sell,&,&PMC/LOOT_SELL_LIQUOR_SELL_DESC,6,,0,&,british,,,,,,,8551|8578|8448|8547,iw9_loot_id
7374,iw9_ch_pmc_acquire_spend_cash,&PMC/ACQUIRE_SPEND_CASH_NAME,&,2,11845,5000,&PMC/ACQUIRE_SPEND_CASH_DETAIL_DESC,british,50,,,7385|7405,,,,
7385,iw9_ch_pmc_acquire_spend_cash_acquire,&,&PMC/ACQUIRE_SPEND_CASH_ACQUIRE_DESC,3500,,0,&,british,,,,,8395,,,
7405,iw9_ch_pmc_acquire_spend_cash_spend,&,&PMC/ACQUIRE_SPEND_CASH_SPEND_DESC,2500,,0,&,british,,,,,,,,
7444,iw9_ch_pmc_geiger_loot,&PMC/GEIGER_LOOT_NAME,&,2,11845,5000,&PMC/GEIGER_LOOT_DETAIL_DESC,british,50,,,7447|7445,,,,
7447,iw9_ch_pmc_geiger_loot_geiger,&,&PMC/GEIGER_LOOT_GEIGER_DESC,1,,0,&,british,,,,,,,,
7445,iw9_ch_pmc_geiger_loot_loot,&,&PMC/GEIGER_LOOT_LOOT_DESC,4,,0,&,british,,,,,,,,
7448,iw9_ch_pmc_drive_by_story,&PMC/DRIVE_BY_STORY_NAME,&,3,11845,5000,&PMC/DRIVE_BY_STORY_DETAIL_DESC,british,50,,,7449|7452|7451,,,,
7449,iw9_ch_pmc_drive_by_buy,&,&PMC/DRIVE_BY_STORY_BUY_DESC,1,,0,&,british,,,,,,,,
7452,iw9_ch_pmc_drive_by_kill,&,&PMC/DRIVE_BY_STORY_KILL_DESC,10,,0,&,british,,,,,,,,
7451,iw9_ch_pmc_drive_by_destroy,&,&PMC/DRIVE_BY_STORY_DESTROY_DESC,1,,0,&,british,,,,,,,,
7454,iw9_ch_pmc_extract_meds,&PMC/EXTRACT_MEDS_NAME,&,3,11845,5000,&PMC/EXTRACT_MEDS_DETAIL_DESC,british,50,,,7455|7456|7453,,,,
7455,iw9_ch_pmc_extract_meds_loot,&,&PMC/EXTRACT_MEDS_LOOT,1,,0,&,british,,,,,,,,
7456,iw9_ch_pmc_extract_meds_stims,&,&PMC/EXTRACT_MEDS_STIMS,3,,0,&,british,,,,,9111,,,
7453,iw9_ch_pmc_extract_meds_bandages,&,&PMC/EXTRACT_MEDS_BANDAGES,2,,0,&,british,,,,,8391,,,
7458,iw9_ch_pmc_two_birds_story,&PMC/TWO_BIRDS_STORY_NAME,&,3,11845,5000,&PMC/TWO_BIRDS_STORY_DETAIL_DESC,british,50,,,7459|7473|7464,,,,
7459,iw9_ch_pmc_two_birds_travel,&,&PMC/TWO_BIRDS_TRAVEL_DESC,1,,0,&,british,,,,,,,,
7473,iw9_ch_pmc_two_birds_kill,&,&PMC/TWO_BIRDS_KILL_DESC,10,,0,&,british,,,,,,,,
7464,iw9_ch_pmc_two_birds_destroy,&,&PMC/TWO_BIRDS_DESTROY_DESC,2,,0,&,british,,,,,,,,
7466,iw9_ch_pmc_cargo_fuel_repair,&PMC/CARGO_FUEL_REPAIR_NAME,&,2,11845,5000,&PMC/CARGO_FUEL_REPAIR_DETAIL_DESC,british,50,,,7469|7463,,,,
7469,iw9_ch_pmc_cargo_fuel_repair_cargo,&,&PMC/CARGO_FUEL_REPAIR_CARGO_DESC,1,,0,&,british,,,,,,,vehicledrive|boatdrive,iw9_activity_type
7463,iw9_ch_pmc_cargo_fuel_repair_fuel_repair,&,&PMC/CARGO_FUEL_REPAIR_FUEL_REPAIR_DESC,1,,0,&,british,,,,,,,,
7465,iw9_ch_pmc_utility_deaddrop,&PMC/UTILITY_DEADDROP_NAME,&,3,11845,5000,&PMC/UTILITY_DEADDROP_DETAIL_DESC,british,50,,,7471|7462|7474,,,,
7471,iw9_ch_pmc_utility_deaddrop_screws,&,&PMC/UTILITY_DEADDROP_SCREWDRIVERS,2,,0,&,british,,,,,8534,,,
7462,iw9_ch_pmc_utility_deaddrop_bulbs,&,&PMC/UTILITY_DEADDROP_LIGHTBULB_DESC,3,,0,&,british,,,,,8463,,,
7474,iw9_ch_pmc_utility_deaddrop_drill,&,&PMC/UTILITY_DEADDROP_DRILL_DESC,1,,0,&,british,,,,,8519,,,
7468,iw9_ch_pmc_solo_infil_exfil,&PMC/SOLO_INFIL_EXFIL_NAME,&,1,11845,5000,&PMC/SOLO_INFIL_EXFIL_DETAIL_DESC,british,50,1,,,,,,
7476,iw9_ch_pmc_request_assimilation,&PMC/REQUEST_ASSIMILATION_NAME,&PMC/REQUEST_ASSIMILATION_DESC,2,11845,5000,&PMC/REQUEST_ASSIMILATION_DETAIL_DESC,british,50,,,,,,,
7472,iw9_ch_pmc_espionage_story,&PMC/ESPIONAGE_STORY_NAME,&,3,11845,5000,&PMC/ESPIONAGE_STORY_DETAIL_DESC,british,50,,,7460|7461|7475,,,,
7460,iw9_ch_pmc_espionage_story_loot,&,&PMC/ESPIONAGE_STORY_LOOT_DESC,1,,0,&,british,,,,,8644,,,
7461,iw9_ch_pmc_espionage_story_deliver,&,&PMC/ESPIONAGE_STORY_DELIVER_DESC,1,,0,&,british,,,,,8644,,,
7475,iw9_ch_pmc_espionage_story_plant,&,&PMC/ESPIONAGE_STORY_PLANT,1,,0,&,british,,,,,,,,
7494,iw9_ch_pmc_hack_kill_uav,&PMC/HACK_KILL_UAV_NAME,&,2,11845,5000,&PMC/HACK_KILL_UAV_DETAIL_DESC,british,50,,,7480|7495,,,,
7480,iw9_ch_pmc_hack_kill_uav_hack,&,&PMC/HACK_KILL_UAV_HACK_DESC,3,,0,&,british,,,,,,,,
7495,iw9_ch_pmc_hack_kill_uav_kill,&,&PMC/HACK_KILL_UAV_KILL_DESC,10,,0,&,british,,,,,,,,
7493,iw9_ch_pmc_buy_kill_precision,&PMC/BUY_KILL_PRECISION_NAME,&,2,11845,5000,&PMC/BUY_KILL_PRECISION_DETAIL_DESC,british,50,,,7492|7483,,,,
7492,iw9_ch_pmc_buy_kill_precision_buy,&,&PMC/BUY_KILL_PRECISION_BUY_DESC,1,,0,&,british,,,,,9171,,,
7483,iw9_ch_pmc_buy_kill_precision_kill,&,&PMC/BUY_KILL_PRECISION_KILL_DESC,5,,0,&,british,,,,,,,,
7487,iw9_ch_pmc_hostage_exfil,&PMC/HOSTAGE_EXFIL_NAME,&,2,11845,5000,&PMC/HOSTAGE_EXFIL_DETAIL_DESC,british,50,,,7486|7481,,,,
7486,iw9_ch_pmc_hostage_exfil_hostage,&,&PMC/HOSTAGE_EXFIL_END_DESC,1,,0,&,british,,,,,,,,
7481,iw9_ch_pmc_hostage_exfil_exfil,&,&PMC/HOSTAGE_EXFIL_EXFIL_DESC,1,,0,&,british,,,,,,,,
7485,iw9_ch_pmc_run_over_repair,&PMC/RUN_OVER_REPAIR_NAME,&,2,11845,5000,&PMC/RUN_OVER_REPAIR_DETAIL_DESC,british,50,,,7482|7484,,,,
7482,iw9_ch_pmc_run_over_repair_run,&,&PMC/RUN_OVER_REPAIR_RUN_DESC,8,,0,&,british,,,,,,,,
7484,iw9_ch_pmc_run_over_repair_repair,&,&PMC/RUN_OVER_REPAIR_REPAIR_DESC,1,,0,&,british,,,,,,,,
7489,iw9_ch_pmc_piracy_story,&PMC/PIRACY_STORY_NAME,&,3,11845,5000,&PMC/PIRACY_STORY_DETAIL_DESC,british,50,,,7488|7490|7491,,,,
7488,iw9_ch_pmc_piracy_story_board,&,&PMC/PIRACY_STORY_BOARD_DESC,1,,0,&,british,,,,,,,,
7490,iw9_ch_pmc_piracy_story_loot,&,&PMC/PIRACY_STORY_LOOT_DESC,1,,0,&,british,,,,,8647,,,
7491,iw9_ch_pmc_piracy_story_extract,&,&PMC/PIRACY_STORY_EXTRACT_DESC,1,,0,&,british,,,,,8647,,,
7918,iw9_ch_pmc_no_rushing_story,&PMC/NO_RUSHING_STORY_NAME,&,2,11845,5000,&PMC/NO_RUSHING_STORY_DETAIL_DESC,british,50,,,7919|7920,,,,
7919,iw9_ch_pmc_no_rushing_story_kill,&,&PMC/NO_RUSHING_STORY_KILL_DESC,10,,0,&,british,,,,,,,,
7920,iw9_ch_pmc_no_rushing_story_destroy,&,&PMC/NO_RUSHING_STORY_DESTROY_DESC,3,,0,&,british,,,,,,,,
7921,iw9_ch_pmc_sam_shoot_loot,&PMC/SAM_SHOOT_LOOT_NAME,&,3,11845,5000,&PMC/SAM_SHOOT_LOOT_DETAIL_DESC,british,50,,,7922|7850|7923,,,,
7922,iw9_ch_pmc_sam_shoot_loot_capture,&,&PMC/SAM_SHOOT_LOOT_CAPTURE_DESC,1,,0,&,british,,,,,,,,
7850,iw9_ch_pmc_sam_shoot_loot_shoot,&,&PMC/SAM_SHOOT_LOOT_SHOOT_DESC,1,,0,&,british,,,,,,,,
7923,iw9_ch_pmc_sam_shoot_loot_loot,&,&PMC/SAM_SHOOT_LOOT_LOOT_DESC,1,,0,&,british,,,,,,,,
7924,iw9_ch_pmc_elim_loot_unlock,&PMC/ELIM_LOOT_UNLOCK_NAME,&,3,11845,5000,&PMC/ELIM_LOOT_UNLOCK_DETAIL_DESC,british,50,,,7925|7926|7870,,,,
7925,iw9_ch_pmc_elim_loot_unlock_elim,&,&PMC/ELIM_LOOT_UNLOCK_ELIM_DESC,1,,0,&,british,,,,,,,,
7926,iw9_ch_pmc_elim_loot_unlock_loot,&,&PMC/ELIM_LOOT_UNLOCK_LOOT_DESC,1,,0,&,british,,,,,,10,,
7870,iw9_ch_pmc_elim_loot_unlock_unlock,&,&PMC/ELIM_LOOT_UNLOCK_UNLOCK_DESC,1,,0,&,british,,,,,,,,
7927,iw9_ch_pmc_loot_pc,&PMC/LOOT_PC_NAME,&,3,11845,5000,&PMC/LOOT_PC_DETAIL_DESC,british,50,,,7928|7929|7930,,,,
7928,iw9_ch_pmc_loot_pc_loot,&,&PMC/LOOT_PC_LOOT_DESC,1,,0,&,british,,,,,,,,
7929,iw9_ch_pmc_loot_pc_usb,&,&PMC/LOOT_PC_USB_DESC,4,,0,&,british,,,,,8538,,,
7930,iw9_ch_pmc_loot_pc_hdd,&,&PMC/LOOT_PC_HDD_DESC,5,,0,&,british,,,,,,,8483|8567,iw9_loot_id
7931,iw9_ch_pmc_fort_loot_kill,&PMC/FORT_LOOT_KILL_NAME,&,3,11845,5000,&PMC/FORT_LOOT_KILL_DETAIL_DESC,british,50,,,7871|7872|7932,,,,
7871,iw9_ch_pmc_fort_loot_kill_travel,&,&PMC/FORT_LOOT_KILL_TRAVEL_DESC,1,,0,&,british,,,,,,,,
7872,iw9_ch_pmc_fort_loot_kill_loot,&,&PMC/FORT_LOOT_KILL_LOOT_DESC,8,,0,&,british,,,,,,,,
7932,iw9_ch_pmc_fort_loot_kill_kill,&,&PMC/FORT_LOOT_KILL_KILL_DESC,20,,0,&,british,,,,,,,,
7933,iw9_ch_pmc_deliver_equipment_moderncity,&PMC/DELIVER_EQUIPMENT_MODERNCITY_NAME,&,2,11845,5000,&PMC/DELIVER_EQUIPMENT_MODERNCITY_DETAIL_DESC,british,50,,,7873|7934,,,,
7873,iw9_ch_pmc_deliver_equipment_moderncity_travel,&,&PMC/DELIVER_EQUIPMENT_MODERNCITY_TRAVEL_DESC,1,,0,&,british,,,,,,,,
7934,iw9_ch_pmc_deliver_equipment_moderncity_deliver,&,&PMC/DELIVER_EQUIPMENT_MODERNCITY_DELIVER_DESC,8,,0,&,british,,,,,,12,,
7935,iw9_ch_pmc_intel_boss,&PMC/INTEL_BOSS_NAME,&,3,11845,5000,&PMC/INTEL_BOSS_DETAIL_DESC,british,50,,,7936|7937|7938,,,,
7936,iw9_ch_pmc_intel_boss_start,&,&PMC/INTEL_BOSS_START_DESC,1,,0,&,british,,,,,,,,
7937,iw9_ch_pmc_intel_boss_end,&,&PMC/INTEL_BOSS_END_DESC,1,,0,&,british,,,,,,,,
7938,iw9_ch_pmc_intel_boss_kill,&,&PMC/INTEL_BOSS_KILL_DESC,1,,0,&,british,,,,,,,,
7939,iw9_ch_pmc_extract_attachments,&PMC/EXTRACT_ATTACHMENTS_NAME,&PMC/EXTRACT_ATTACHMENTS_DESC,6,11845,5000,&PMC/EXTRACT_ATTACHMENTS_DETAIL_DESC,british,50,,,,,18,,
7940,iw9_ch_pmc_extract_tacticals,&PMC/EXTRACT_TACTICALS_NAME,&,3,11845,5000,&PMC/EXTRACT_TACTICALS_DETAIL_DESC,british,50,,,7941|7942|7943,,,,
7941,iw9_ch_pmc_extract_tacticals_gas,&,&PMC/EXTRACT_TACTICALS_GAS_DESC,5,,0,&,british,,,,,9096,,,
7942,iw9_ch_pmc_extract_tacticals_flash,&,&PMC/EXTRACT_TACTICALS_FLASH_DESC,5,,0,&,british,,,,,9118,,,
7943,iw9_ch_pmc_extract_tacticals_snapshot,&,&PMC/EXTRACT_TACTICALS_SNAPSHOT_DESC,2,,0,&,british,,,,,9119,,,
7944,iw9_ch_pmc_recon_tag_kill,&PMC/RECON_TAG_KILL_NAME,&,3,11845,5000,&PMC/RECON_TAG_KILL_DETAIL_DESC,british,50,,,7945|7946|7947,,,,
7945,iw9_ch_pmc_recon_tag_kill_acquire,&,&PMC/RECON_TAG_KILL_ACQUIRE_DESC,1,,0,&,british,,,,,9236,,,
7946,iw9_ch_pmc_recon_tag_kill_tag,&,&PMC/RECON_TAG_KILL_TAG_DESC,10,,0,&,british,,,,,9236,,,
7947,iw9_ch_pmc_recon_tag_kill_kill,&,&PMC/RECON_TAG_KILL_KILL_DESC,10,,0,&,british,,,,,,,,
