string,string,string,xhash32,xhash32,xhash32
ONLINE_DAILY_LOGIN,Requesting,0,x32#hash_c7c482e0,x32#hash_14c,x32#hash_c7c4ba46
ONLINE_DAILY_LOGIN,Failed,1,x32#hash_c7c482e0,x32#hash_14c,x32#hash_c7c4b420
ONLINE_DAILY_LOGIN,Done,2,x32#hash_c7c482e0,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,None,-1,x32#hash_c7c484e3,x32#hash_c7c498ea,x32#hash_14c
ONLINE_LOOT,PlayerRequestFailedNotSignedIn,1,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,PlayerRequestFailedServicesNotReady,2,x32#hash_c7c484e3,x32#hash_c7c49a30,x32#hash_14c
ONLINE_LOOT,PlayerRequestFailedDemonwareTaskNotStarted,3,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,PlayerRequestFailedTaskNotStarted,4,x32#hash_c7c484e3,x32#hash_c7c49da2,x32#hash_14c
ONLINE_LOOT,PlayerDownloadFailedTaskError,5,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,PlayerDownloadFailedTaskTerminalSystemError,6,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,PlayerDownloadFailedUnmappedControllerIndex,7,x32#hash_c7c484e3,x32#hash_c7c49dbd,x32#hash_14c
ONLINE_LOOT,ClanRequestFailedNotSignedIn,9,x32#hash_c7c484e3,x32#hash_c7c495ad,x32#hash_14c
ONLINE_LOOT,ClanRequestFailedServicesNotReady,10,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,ClanRequestFailedDemonwareTaskNotStarted,11,x32#hash_c7c484e3,x32#hash_c7c49578,x32#hash_14c
ONLINE_LOOT,ClanRequestFailedTaskNotStarted,12,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,ClanDownloadFailedTaskError,13,x32#hash_c7c484e3,x32#hash_c7c494a2,x32#hash_14c
ONLINE_LOOT,ClanDownloadFailedTaskTerminalSystemError,14,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
ONLINE_LOOT,ClanDownloadFailedUnmappedControllerIndex,15,x32#hash_c7c484e3,x32#hash_14c,x32#hash_14c
DEDICATED,None,-1,x32#hash_14c,x32#hash_c7c49d0a,x32#hash_c7c4b8f4
FILTERED_PLAYLISTS,None,-1,x32#hash_14c,x32#hash_c7c49940,x32#hash_c7c4bbf7
DW_RECONCILIATION,None,-1,x32#hash_14c,x32#hash_c7c4995b,x32#hash_14c
STORE,None,-1,x32#hash_14c,x32#hash_c7c49655,x32#hash_c7c4b33f
STORE,DownloadingConfig,0,x32#hash_14c,x32#hash_c7c49bc6,x32#hash_c7c4b88c
STORE,FailedEnqueueTask,1,x32#hash_14c,x32#hash_14c,x32#hash_14c
STORE,DownloadConfigFailed,2,x32#hash_14c,x32#hash_c7c499fa,x32#hash_14c
STORE,ConfigFileError,3,x32#hash_14c,x32#hash_c7c49b3f,x32#hash_14c
STORE,HaveConfig,4,x32#hash_14c,x32#hash_14c,x32#hash_14c
STORE,DownloadingCategories,5,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b88c
STORE,DownloadCategoriesFailed,6,x32#hash_14c,x32#hash_14c,x32#hash_14c
STORE,CategoriesFileError,7,x32#hash_14c,x32#hash_c7c49a4a,x32#hash_14c
STORE,DownloadingLayout,8,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b88c
STORE,DownloadLayoutFailed,9,x32#hash_14c,x32#hash_14c,x32#hash_14c
STORE,LayoutFileError,10,x32#hash_14c,x32#hash_c7c49bdd,x32#hash_14c
STORE,GettingRecommendations,11,x32#hash_14c,x32#hash_c7c49b23,x32#hash_c7c4b445
STORE,HasRecommendations,12,x32#hash_14c,x32#hash_c7c4948a,x32#hash_c7c4b9b4
STORE,RetryingConfig,13,x32#hash_14c,x32#hash_c7c497df,x32#hash_c7c4b88c
STORE,RetryingRecommendations,14,x32#hash_14c,x32#hash_c7c49e2b,x32#hash_c7c4b445
AB_TESTING,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_14c
CLOUD_FILES_SYNC,None,-1,x32#hash_c7c4839a,x32#hash_c7c499c5,x32#hash_c7c4b9e5
BLUEPRINTS,None,-1,x32#hash_14c,x32#hash_c7c49673,x32#hash_c7c4b4eb
BLUEPRINTS,DownloadSucceeded,0,x32#hash_14c,x32#hash_c7c49e5f,x32#hash_c7c4bc22
BLUEPRINTS,WaitingToBeDownloaded,1,x32#hash_14c,x32#hash_c7c49df4,x32#hash_c7c4b5ed
BLUEPRINTS,AttemptingDownload_AlreadyInProgress,2,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b5ed
BLUEPRINTS,AttemptingDownload_NotSignedIn,3,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b5ed
BLUEPRINTS,AttemptingDownload_ServicesNotReady,4,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b5ed
BLUEPRINTS,AttemptingDownload_OnlineStorageNotInited,5,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b5ed
BLUEPRINTS,DownloadAttempted,6,x32#hash_14c,x32#hash_c7c496db,x32#hash_c7c4b5ed
BLUEPRINTS,DownloadAttempted_UnableToEnqueueTask,7,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b5ed
BLUEPRINTS,DownloadFailed,8,x32#hash_14c,x32#hash_14c,x32#hash_14c
MAIN_ONLINE_DATA,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_14c
MP_ONLINE_DATA,None,-1,x32#hash_c7c48276,x32#hash_c7c49528,x32#hash_14c
CP_ONLINE_DATA,None,-1,x32#hash_14c,x32#hash_c7c49cf3,x32#hash_14c
SP_ONLINE_DATA,None,-1,x32#hash_14c,x32#hash_c7c49b5c,x32#hash_14c
BANDWIDTH_TEST,None,-1,x32#hash_14c,x32#hash_c7c49792,x32#hash_c7c4b7e0
PLATFORM_SERVICES,None,-1,x32#hash_c7c48409,x32#hash_14c,x32#hash_14c
PLAYERCARD_CACHE,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_14c
BANNED,None,-1,x32#hash_c7c483eb,x32#hash_14c,x32#hash_14c
BANNED,Banned,0,x32#hash_c7c483eb,x32#hash_14c,x32#hash_14c
BANNED,TempBanned,1,x32#hash_c7c483eb,x32#hash_c7c499dd,x32#hash_c7c4b990
BANNED,InMaintenance,2,x32#hash_c7c483eb,x32#hash_c7c49bff,x32#hash_14c
BANNED,MPOrCPFeatureBanned,3,x32#hash_c7c483eb,x32#hash_c7c49a67,x32#hash_14c
REGION_INFO,None,-1,x32#hash_c7c48427,x32#hash_c7c4950e,x32#hash_c7c4ba10
REGION_INFO,Fetching,0,x32#hash_c7c48427,x32#hash_c7c49e44,x32#hash_14c
REGION_INFO,Retrying,1,x32#hash_c7c48427,x32#hash_c7c496f4,x32#hash_14c
REGION_INFO,RetriesExhausted,2,x32#hash_c7c48427,x32#hash_c7c49619,x32#hash_14c
COMMS,None,-1,x32#hash_14c,x32#hash_c7c498d2,x32#hash_14c
COMMS,RetriesExhausted,0,x32#hash_14c,x32#hash_c7c493b2,x32#hash_14c
DLC,None,-1,x32#hash_c7c484c7,x32#hash_14c,x32#hash_c7c4b83f
MATCH_RULES,None,-1,x32#hash_14c,x32#hash_c7c49439,x32#hash_14c
FRIENDS_LIST,None,-1,x32#hash_c7c48368,x32#hash_c7c49743,x32#hash_14c
FRIENDS_LIST,FetchingCrossplayFriends,0,x32#hash_c7c48368,x32#hash_c7c49cd8,x32#hash_c7c4bb9f
FRIENDS_LIST,FetchingIncomingFriendRequests,1,x32#hash_c7c48368,x32#hash_14c,x32#hash_c7c4bc57
FRIENDS_LIST,FetchingOutgoingFriendRequests,2,x32#hash_c7c48368,x32#hash_14c,x32#hash_c7c4bc57
FRIENDS_LIST,FailedFetchCrossplayFriends,3,x32#hash_c7c48368,x32#hash_c7c4975a,x32#hash_c7c4b519
FRIENDS_LIST,FailedFetchIncomingFriendRequests,4,x32#hash_c7c48368,x32#hash_14c,x32#hash_14c
FRIENDS_LIST,FailedFetchOutgoingFriendRequests,5,x32#hash_c7c48368,x32#hash_14c,x32#hash_14c
FRIENDS_LIST,FetchComplete,6,x32#hash_c7c48368,x32#hash_14c,x32#hash_14c
PARTY_SERVICE,None,-1,x32#hash_c7c482c6,x32#hash_14c,x32#hash_c7c4bbd2
REGULATION_INFO,None,-1,x32#hash_c7c48291,x32#hash_14c,x32#hash_c7c4b6dd
COMMERCE,None,-1,x32#hash_c7c48228,x32#hash_14c,x32#hash_14c
COMMERCE,ExchangeStateGood,0,x32#hash_c7c48228,x32#hash_14c,x32#hash_14c
COMMERCE,WaitingForInventory,1,x32#hash_c7c48228,x32#hash_14c,x32#hash_14c
COMMERCE,Working,2,x32#hash_c7c48228,x32#hash_14c,x32#hash_14c
COMMERCE,ExchangeErrors,3,x32#hash_c7c48228,x32#hash_c7c4946d,x32#hash_14c
COMMERCE,ExchangeShownPopup,4,x32#hash_c7c48228,x32#hash_14c,x32#hash_14c
LOOT_UI,None,-1,x32#hash_c7c4843f,x32#hash_c7c49cbb,x32#hash_14c
CDNI,None,-1,x32#hash_14c,x32#hash_c7c4968c,x32#hash_14c
EVENTS,None,-1,x32#hash_14c,x32#hash_c7c496c1,x32#hash_c7c4bb44
SECURE_STORAGE,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_14c
CLIENT_CONNECT,None,-1,x32#hash_14c,x32#hash_c7c49710,x32#hash_c7c4b3f4
SOCIAL,None,-1,x32#hash_14c,x32#hash_c7c496a5,x32#hash_c7c4b680
PLAYERSTATS_ONLINE,None,-1,x32#hash_c7c484ff,x32#hash_14c,x32#hash_14c
PLAYERSTATS_ONLINE,StatsFetching,0,x32#hash_c7c484ff,x32#hash_c7c495e2,x32#hash_14c
PLAYERSTATS_ONLINE,StatsFetchedNoReset,1,x32#hash_c7c484ff,x32#hash_c7c497fc,x32#hash_c7c4b38d
PLAYERSTATS_ONLINE,StatsResetNotFound,2,x32#hash_c7c484ff,x32#hash_c7c49c6b,x32#hash_14c
PLAYERSTATS_ONLINE,StatsResetCorrupt,3,x32#hash_c7c484ff,x32#hash_c7c497a9,x32#hash_c7c4b814
PLAYERSTATS_ONLINE,StatsResetOnline,4,x32#hash_c7c484ff,x32#hash_14c,x32#hash_14c
PLAYERSTATS_ONLINE,StatsResetPipeline,5,x32#hash_c7c484ff,x32#hash_14c,x32#hash_14c
PLAYERSTATS_ONLINE,StatsResetBadFileVersion,6,x32#hash_c7c484ff,x32#hash_14c,x32#hash_c7c4bb2e
PLAYERSTATS_ONLINE,StatsResetBadPlayerdataVersion,7,x32#hash_c7c484ff,x32#hash_c7c499ab,x32#hash_c7c4b786
PLAYERSTATS_ONLINE,StatsResetDesignVersion,8,x32#hash_c7c484ff,x32#hash_c7c49991,x32#hash_14c
PLAYERSTATS_ONLINE,TimedOut,9,x32#hash_c7c484ff,x32#hash_14c,x32#hash_14c
PLAYERSTATS_OFFLINE,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYERSTATS_OFFLINE,StatsFetching,0,x32#hash_14c,x32#hash_c7c49a99,x32#hash_14c
PLAYERSTATS_OFFLINE,StatsFetchedNoReset,1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4b38d
PLAYERSTATS_OFFLINE,StatsResetNotFound,2,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYERSTATS_OFFLINE,StatsResetPipeline,3,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYERSTATS_OFFLINE,StatsResetDesignVersion,4,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYERSTATS_OFFLINE,StatsResetCorrupt,5,x32#hash_14c,x32#hash_14c,x32#hash_14c
PLAYERSTATS_OFFLINE,StatsResetBadPlayerdataVersion,6,x32#hash_14c,x32#hash_c7c49ab5,x32#hash_c7c4bb2e
PLAYERSTATS_OFFLINE,StatsResetBadFileVersion,7,x32#hash_14c,x32#hash_14c,x32#hash_c7c4bb2e
SETPLAYERINFO,None,-1,x32#hash_c7c48477,x32#hash_c7c49c35,x32#hash_c7c4b75e
SETPLAYERINFO,Active,0,x32#hash_c7c48477,x32#hash_14c,x32#hash_c7c4b248
SETPLAYERINFO,Complete,1,x32#hash_c7c48477,x32#hash_14c,x32#hash_c7c4b709
SETPLAYERINFO,Failed,2,x32#hash_c7c48477,x32#hash_c7c49594,x32#hash_c7c4b2e7
USERLISTS,None,-1,x32#hash_c7c4845a,x32#hash_14c,x32#hash_14c
USERLISTS,Fetching,0,x32#hash_c7c4845a,x32#hash_14c,x32#hash_14c
USERLISTS,Fetched,1,x32#hash_c7c4845a,x32#hash_14c,x32#hash_14c
USERLISTS,TimedOut,2,x32#hash_c7c4845a,x32#hash_14c,x32#hash_14c
CHAT,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4ba78
INSTANCE_INVENTORY,None,-1,x32#hash_c7c48316,x32#hash_c7c4955d,x32#hash_c7c4ba27
INSTANCE_INVENTORY,Idle,0,x32#hash_c7c48316,x32#hash_c7c495fb,x32#hash_c7c4ba27
INSTANCE_INVENTORY,Active,1,x32#hash_c7c48316,x32#hash_14c,x32#hash_14c
INSTANCE_INVENTORY,Passing,2,x32#hash_c7c48316,x32#hash_c7c494bb,x32#hash_14c
ESPORTS_CLIENT,None,-1,x32#hash_c7c482fb,x32#hash_14c,x32#hash_c7c4ba78
ESPORTS_CLIENT,Failed,0,x32#hash_c7c482fb,x32#hash_c7c497c2,x32#hash_14c
NOTIFICATIONS,None,-1,x32#hash_c7c483b3,x32#hash_c7c49b0a,x32#hash_c7c4ba78
CATALOG,None,-1,x32#hash_c7c48382,x32#hash_c7c49ca0,x32#hash_c7c4b6b0
CATALOG,Ready,0,x32#hash_c7c48382,x32#hash_14c,x32#hash_c7c4b2a9
CATALOG,Fetching,1,x32#hash_c7c48382,x32#hash_c7c49c4f,x32#hash_c7c4b926
CATALOG,TimedOut,2,x32#hash_c7c48382,x32#hash_14c,x32#hash_14c
ACTIVITY_PARTY,None,-1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4ba78
XP_OVERRIDES,None,-1,x32#hash_14c,x32#hash_c7c49ace,x32#hash_c7c4ba78
XP_OVERRIDES,StorageTaskError,0,x32#hash_14c,x32#hash_14c,x32#hash_c7c4ba78
XP_OVERRIDES,DownloadError,1,x32#hash_14c,x32#hash_14c,x32#hash_c7c4ba78
XP_OVERRIDES,ParsingError,2,x32#hash_14c,x32#hash_c7c49886,x32#hash_c7c4ba78
