int,string,localized,string,string,string,string,string,string,string,string,string,string,localized,localized,localized,localized,localized,string,string,string,string,string,string,string,string,string,string,string,localized,string,int,string
10,nova_eastern,&OPERATORS/NOVA_EASTERN,0,SAS,14,,ui_operator_west_nova_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_nova_mp,mp_operator_wyatt,ui_operator_west_nova_portrait_lg,nova_eastern_a,wyatt_western_quip_3,execution_023,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
11,price_western,&OPERATORS/PRICE_WESTERN,0,SAS,15,,ui_operator_west_price_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_price_mp,mp_operator_wyatt,ui_operator_west_price_portrait_lg,price_western_a,wyatt_western_quip_3,execution_003,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
12,farah_western,&OPERATORS/FARAH_WESTERN,0,SAS,16,,ui_operator_west_farah_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_farah_mp,mp_operator_wyatt,ui_operator_west_farah_portrait_lg,farah_western_a,wyatt_western_quip_3,execution_010,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
13,ghost_western,&OPERATORS/GHOST_WESTERN,0,SAS,17,,ui_operator_west_ghost_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_ghost_mp,mp_operator_wyatt,ui_operator_west_ghost_portrait_lg,ghost_western_a,wyatt_western_quip_3,execution_013,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
14,soap_western,&OPERATORS/SOAP_WESTERN,0,SAS,18,,ui_operator_west_soap_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_soap_mp,mp_operator_wyatt,ui_loot_operator_west_wyatt_2_1,soap_western_a,wyatt_western_quip_3,execution_002,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
15,milsim_western_1,&OPERATORS/MILSIM_WESTERN_1,0,SAS,1,,ui_operator_west_milsim1_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_generic_west_mp,mp_operator_wyatt,ui_operator_west_milsim1_portrait_lg,milsim_western_a,wyatt_western_quip_3,execution_007,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
16,milsim_eastern_1,&OPERATORS/MILSIM_EASTERN_1,1,RUSF,2,,ui_operator_east_milsim1_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_generic_east_mp,mp_operator_wyatt,ui_operator_east_milsim1_portrait_lg,milsim_eastern_a,wyatt_western_quip_3,execution_011,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
17,oni_eastern,&OPERATORS/ONI_EASTERN,1,RUSF,19,,ui_operator_east_oni_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_generic_east_mp,mp_operator_wyatt,ui_loot_operator_west_wyatt_2_1,oni_eastern_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
18,gromsko_western,&OPERATORS/GROMSKO_WESTERN,0,SAS,20,,ui_operator_west_gromsko_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_gromsko_mp,mp_operator_wyatt,ui_operator_west_gromsko_portrait_lg,gromsko_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
19,reyes_western,&OPERATORS/REYES_WESTERN,0,SAS,21,,ui_operator_west_reyes_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_reyes_mp,mp_operator_wyatt,ui_operator_west_reyes_portrait_lg,reyes_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
20,luna_western,&OPERATORS/LUNA_WESTERN,0,SAS,22,,ui_operator_west_luna_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_luna_mp,mp_operator_wyatt,ui_operator_west_luna_portrait_lg,luna_western_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
21,roze_eastern,&OPERATORS/ROZE_EASTERN,1,RUSF,23,,ui_operator_east_roze_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_roze_mp,mp_operator_wyatt,ui_operator_east_roze_portrait_lg,roze_eastern_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
22,zero_eastern,&OPERATORS/ZERO_EASTERN,1,RUSF,24,,ui_operator_east_zero_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_zero_mp,mp_operator_wyatt,ui_operator_east_zero_portrait_lg,zero_eastern_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
23,conor_eastern,&OPERATORS/CONOR_EASTERN,1,RUSF,25,,ui_operator_east_conor_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_conor_mp,mp_operator_wyatt,ui_operator_east_conor_portrait_lg,conor_eastern_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
24,aksel_eastern,&OPERATORS/AKSEL_EASTERN,1,RUSF,26,,ui_operator_east_aksel_portrait,1,icon_faction_jsof_large,wyat,0,chr_menu_male_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_aksel_mp,mp_operator_wyatt,ui_operator_east_aksel_portrait_lg,aksel_eastern_a,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
25,stiletto_eastern,&OPERATORS/STILETTO_EASTERN,1,RUSF,27,,ui_operator_east_stiletto_portrait,1,icon_faction_jsof_large,wyat,1,chr_menu_female_idle_01_AR,&LUA_MENU/AUSTRALIA_TASMANIA,&LUA_MENU/ENGLISH,&LUA_MENU/ACTIVE,&OPERATORS/WYATT_BACKGROUND,&OPERATORS/WYATT_CODENAME,2021-8-11 0-0-0 9,iw9_suit_stiletto_mp,mp_operator_wyatt,ui_operator_east_stiletto_portrait_lg,stiletto_eastern_a1,wyatt_western_quip_3,execution_001,1,BPOS,ui_operator_bio_thumbprint_1,ui_operator_bio_west_wyatt_headshot,&OPERATORS/OPERATOR_FULLNAME_WYATT,,0,shared_iw9_t10
