string,string,string,string,string,string,string,string,string,string,string,string,string
1100,iw9_ch_br_daily_hazardous_work_environment_short,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT_DESC,1,2000,,1,,,,sec,10
384,iw9_ch_br_daily_well_protected_short,CHALLENGE/BR_DAILY_WELL_PROTECTED,CHALLENGE/BR_DAILY_WELL_PROTECTED_DESC,6,2000,,1,,,,,11
3069,iw9_ch_br_daily_philanthropist_short,CHALLENGE/BR_DAILY_PHILANTHROPIST,CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,2,2000,,1,,,,,
533,iw9_ch_br_daily_mission_focused_short,CHALLENGE/BR_DAILY_MISSION_FOCUSED,CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,3,2000,,1,,,,,29
948,iw9_ch_br_daily_taking_initiative_short,CHALLENGE/BR_DAILY_TAKING_INITIATIVE,CHALLENGE/BR_DAILY_TAKING_INITIATIVE_DESC,1,2000,,1,,,,,40
1808,iw9_ch_br_daily_turning_the_tables_short,CHALLENGE/BR_DAILY_TURNING_THE_TABLES,CHALLENGE/BR_DAILY_TURNING_THE_TABLES_DESC,1,2000,,1,,,,,
3053,iw9_ch_br_daily_hommicidal_vehicle_short,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE_DESC,2,2000,,1,,,,,12
1093,iw9_ch_br_daily_crushing_with_commons_short,CHALLENGE/BR_DAILY_CRUSHING_WITH_COMMONS,CHALLENGE/BR_DAILY_CRUSHING_WITH_COMMONS_DESC,1,2000,,1,,,,,1
3955,iw9_ch_br_daily_lethal_with_legendaries_short,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES_DESC,1,2000,,1,,,,,7
710,iw9_ch_br_daily_rampage_with_rares_short,CHALLENGE/BR_DAILY_RAMPAGE_WITH_RARES,CHALLENGE/BR_DAILY_RAMPAGE_WITH_RARES_DESC,4,2000,,1,,,,,28
825,iw9_ch_br_daily_exterminate_with_epics_short,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS_DESC,1,2000,,1,,,,,25
4114,iw9_ch_br_daily_executioner_short,CHALLENGE/BR_DAILY_EXECUTIONER,CHALLENGE/BR_DAILY_EXECUTIONER_DESC,2,2000,,1,,,,,24
1918,iw9_ch_br_daily_vehicular_hommicide_short,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE_DESC,1,2000,,1,,,,,
2981,iw9_ch_br_daily_best_of_the_best_short,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST_DESC,1,2000,,1,,,,,14
909,iw9_ch_br_daily_caregiver_short,CHALLENGE/BR_DAILY_CAREGIVER,CHALLENGE/BR_DAILY_CAREGIVER_DESC,1,2000,,1,,,,,34
3086,iw9_ch_br_daily_survivor_short,CHALLENGE/BR_DAILY_SURVIVOR,CHALLENGE/BR_DAILY_SURVIVOR_DESC,10,2000,,1,,,,min,5
3950,iw9_ch_br_daily_bouncebackalicious_short,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS_DESC,1,2000,,1,,,,,8
614,iw9_ch_br_daily_in_charge_of_the_yard_short,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD_DESC,1,2000,,1,,,,,35
998,iw9_ch_br_daily_airfield_ascendency_short,CHALLENGE/BR_DAILY_AIRFIELD_ASCENDENCY,CHALLENGE/BR_DAILY_AIRFIELD_ASCENDENCY_DESC,1,2000,,1,,,,,13
403,iw9_ch_br_daily_boneyard_badass_short,CHALLENGE/BR_DAILY_BONEYARD_BADASS,CHALLENGE/BR_DAILY_BONEYARD_BADASS_DESC,1,2000,,1,,,,,23
1855,iw9_ch_br_daily_dam_dangerzone_short,CHALLENGE/BR_DAILY_DAM_DANGERZONE,CHALLENGE/BR_DAILY_DAM_DANGERZONE_DESC,1,2000,,1,,,,,31
870,iw9_ch_br_daily_downtown_domination_short,CHALLENGE/BR_DAILY_DOWNTOWN_DOMINATION,CHALLENGE/BR_DAILY_DOWNTOWN_DOMINATION_DESC,1,2000,,1,,,,,3
2827,iw9_ch_br_daily_farm_fatality_short,CHALLENGE/BR_DAILY_FARM_FATALITY,CHALLENGE/BR_DAILY_FARM_FATALITY_DESC,1,2000,,1,,,,,20
479,iw9_ch_br_daily_gulag_governor_short,CHALLENGE/BR_DAILY_GULAG_GOVERNOR,CHALLENGE/BR_DAILY_GULAG_GOVERNOR_DESC,1,2000,,1,,,,,17
2005,iw9_ch_br_daily_hospital_hoplite_short,CHALLENGE/BR_DAILY_HOSPITAL_HOPLITE,CHALLENGE/BR_DAILY_HOSPITAL_HOPLITE_DESC,1,2000,,1,,,,,26
1004,iw9_ch_br_daily_layover_legend_short,CHALLENGE/BR_DAILY_LAYOVER_LEGEND,CHALLENGE/BR_DAILY_LAYOVER_LEGEND_DESC,1,2000,,1,,,,,39
2646,iw9_ch_br_daily_lumberyard_luchador_short,CHALLENGE/BR_DAILY_LUMBERYARD_LUCHADOR,CHALLENGE/BR_DAILY_LUMBERYARD_LUCHADOR_DESC,1,2000,,1,,,,,38
741,iw9_ch_br_daily_port_patrol_short,CHALLENGE/BR_DAILY_PORT_PATROL,CHALLENGE/BR_DAILY_PORT_PATROL_DESC,1,2000,,1,,,,,32
397,iw9_ch_br_daily_quarry_quest_short,CHALLENGE/BR_DAILY_QUARRY_QUEST,CHALLENGE/BR_DAILY_QUARRY_QUEST_DESC,1,2000,,1,,,,,36
1837,iw9_ch_br_daily_stadium_superstar_short,CHALLENGE/BR_DAILY_STADIUM_SUPERSTAR,CHALLENGE/BR_DAILY_STADIUM_SUPERSTAR_DESC,1,2000,,4,,,,,4
1752,iw9_ch_br_daily_storage_sovereign_short,CHALLENGE/BR_DAILY_STORAGE_SOVEREIGN,CHALLENGE/BR_DAILY_STORAGE_SOVEREIGN_DESC,1,2000,,4,,,,,37
2589,iw9_ch_br_daily_supercenter_slayer_short,CHALLENGE/BR_DAILY_SUPERCENTER_SLAYER,CHALLENGE/BR_DAILY_SUPERCENTER_SLAYER_DESC,1,2000,,4,,,,,22
665,iw9_ch_br_daily_trainyard_tyrant_short,CHALLENGE/BR_DAILY_TRAINYARD_TYRANT,CHALLENGE/BR_DAILY_TRAINYARD_TYRANT_DESC,1,2000,,4,,,,,21
2870,iw9_ch_br_daily_television_triumph_short,CHALLENGE/BR_DAILY_TELEVISION_TRIUMPH,CHALLENGE/BR_DAILY_TELEVISION_TRIUMPH_DESC,1,2000,,4,,,,,41
312,iw9_ch_br_daily_ammo_dealer_medium,CHALLENGE/BR_DAILY_AMMO_DEALER,CHALLENGE/BR_DAILY_AMMO_DEALER_DESC,6,4500,,2,,,,,22
252,iw9_ch_br_daily_the_biggest_booms_medium,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS_DESC,3,4500,,2,,,,,43
511,iw9_ch_br_daily_arms_dealer_medium,CHALLENGE/BR_DAILY_ARMS_DEALER,CHALLENGE/BR_DAILY_ARMS_DEALER_DESC,3,4500,,2,,,,,10
286,iw9_ch_br_daily_easy_money_medium,CHALLENGE/BR_DAILY_EASY_MONEY,CHALLENGE/BR_DAILY_EASY_MONEY_DESC,30,4500,,2,,,,,6
260,iw9_ch_br_daily_collector_medium,CHALLENGE/BR_DAILY_COLLECTOR,CHALLENGE/BR_DAILY_COLLECTOR_DESC,4,4500,,2,,,,,15
454,iw9_ch_br_daily_discriminating_tastes_medium,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES_DESC,2,4500,,2,,,,,38
2598,iw9_ch_br_daily_headhunter_medium,CHALLENGE/BR_DAILY_HEADHUNTER,CHALLENGE/BR_DAILY_HEADHUNTER_DESC,4,4500,,2,,,,,2
777,iw9_ch_br_daily_conquerer_medium,CHALLENGE/BR_DAILY_CONQUERER,CHALLENGE/BR_DAILY_CONQUERER_DESC,3,4500,,2,,,,,40
3039,iw9_ch_br_daily_explorer_medium,CHALLENGE/BR_DAILY_EXPLORER,CHALLENGE/BR_DAILY_EXPLORER_DESC,2,4500,,2,,,,,12
1956,iw9_ch_br_daily_guardian_medium,CHALLENGE/BR_DAILY_GUARDIAN,CHALLENGE/BR_DAILY_GUARDIAN_DESC,2,4500,,2,,,,,37
1803,iw9_ch_br_daily_unkillable_medium,CHALLENGE/BR_DAILY_UNKILLABLE,CHALLENGE/BR_DAILY_UNKILLABLE_DESC,2,4500,,2,,,,,
2888,iw9_ch_br_daily_bargain_hunter_medium,CHALLENGE/BR_DAILY_BARGAIN_HUNTER,CHALLENGE/BR_DAILY_BARGAIN_HUNTER_DESC,2,4500,,2,,,,,32
3832,iw9_ch_br_daily_treasure_hunter_medium,CHALLENGE/BR_DAILY_TREASURE_HUNTER,CHALLENGE/BR_DAILY_TREASURE_HUNTER_DESC,20,4500,,2,,,,,20
2912,iw9_ch_br_daily_test_drive_medium,CHALLENGE/BR_DAILY_TEST_DRIVE,CHALLENGE/BR_DAILY_TEST_DRIVE_DESC,5,4500,,2,,,,min,26
546,iw9_ch_br_daily_hazardous_work_environment_medium,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT_DESC,3,4500,,2,,,,sec,18
2982,iw9_ch_br_daily_well_protected_medium,CHALLENGE/BR_DAILY_WELL_PROTECTED,CHALLENGE/BR_DAILY_WELL_PROTECTED_DESC,12,4500,,2,,,,,24
3846,iw9_ch_br_daily_philanthropist_medium,CHALLENGE/BR_DAILY_PHILANTHROPIST,CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,4,4500,,2,,,,,
3810,iw9_ch_br_daily_mission_focused_medium,CHALLENGE/BR_DAILY_MISSION_FOCUSED,CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,6,4500,,2,,,,,36
191,iw9_ch_br_daily_taking_initiative_medium,CHALLENGE/BR_DAILY_TAKING_INITIATIVE,CHALLENGE/BR_DAILY_TAKING_INITIATIVE_DESC,2,4500,,2,,,,,41
2687,iw9_ch_br_daily_turning_the_tables_medium,CHALLENGE/BR_DAILY_TURNING_THE_TABLES,CHALLENGE/BR_DAILY_TURNING_THE_TABLES_DESC,2,4500,,2,,,,,
3090,iw9_ch_br_daily_hommicidal_vehicle_medium,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE_DESC,4,4500,,2,,,,,33
1111,iw9_ch_br_daily_crushing_with_commons_medium,CHALLENGE/BR_DAILY_CRUSHING_WITH_COMMONS,CHALLENGE/BR_DAILY_CRUSHING_WITH_COMMONS_DESC,3,4500,,2,,,,,34
1981,iw9_ch_br_daily_lethal_with_legendaries_medium,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES_DESC,2,4500,,2,,,,,9
3800,iw9_ch_br_daily_rampage_with_rares_medium,CHALLENGE/BR_DAILY_RAMPAGE_WITH_RARES,CHALLENGE/BR_DAILY_RAMPAGE_WITH_RARES_DESC,8,4500,,2,,,,,25
457,iw9_ch_br_daily_exterminate_with_epics_medium,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS_DESC,3,4500,,2,,,,,17
3977,iw9_ch_br_daily_executioner_medium,CHALLENGE/BR_DAILY_EXECUTIONER,CHALLENGE/BR_DAILY_EXECUTIONER_DESC,3,4500,,2,,,,,31
3008,iw9_ch_br_daily_vehicular_hommicide_medium,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE_DESC,3,4500,,2,,,,,
3067,iw9_ch_br_daily_best_of_the_best_medium,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST_DESC,2,4500,,2,,,,,28
851,iw9_ch_br_daily_caregiver_medium,CHALLENGE/BR_DAILY_CAREGIVER,CHALLENGE/BR_DAILY_CAREGIVER_DESC,3,4500,,2,,,,,5
640,iw9_ch_br_daily_survivor_medium,CHALLENGE/BR_DAILY_SURVIVOR,CHALLENGE/BR_DAILY_SURVIVOR_DESC,20,4500,,2,,,,min,1
211,iw9_ch_br_daily_bouncebackalicious_medium,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS_DESC,2,4500,,2,,,,,11
207,iw9_ch_br_daily_in_charge_of_the_yard_medium,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD_DESC,2,4500,,2,,,,,29
919,iw9_ch_br_daily_airfield_ascendency_medium,CHALLENGE/BR_DAILY_AIRFIELD_ASCENDENCY,CHALLENGE/BR_DAILY_AIRFIELD_ASCENDENCY_DESC,2,4500,,2,,,,,8
187,iw9_ch_br_daily_boneyard_badass_medium,CHALLENGE/BR_DAILY_BONEYARD_BADASS,CHALLENGE/BR_DAILY_BONEYARD_BADASS_DESC,3,4500,,2,,,,,39
920,iw9_ch_br_daily_dam_dangerzone_medium,CHALLENGE/BR_DAILY_DAM_DANGERZONE,CHALLENGE/BR_DAILY_DAM_DANGERZONE_DESC,3,4500,,2,,,,,44
632,iw9_ch_br_daily_downtown_domination_medium,CHALLENGE/BR_DAILY_DOWNTOWN_DOMINATION,CHALLENGE/BR_DAILY_DOWNTOWN_DOMINATION_DESC,3,4500,,2,,,,,30
838,iw9_ch_br_daily_farm_fatality_medium,CHALLENGE/BR_DAILY_FARM_FATALITY,CHALLENGE/BR_DAILY_FARM_FATALITY_DESC,3,4500,,2,,,,,16
3142,iw9_ch_br_daily_gulag_governor_medium,CHALLENGE/BR_DAILY_GULAG_GOVERNOR,CHALLENGE/BR_DAILY_GULAG_GOVERNOR_DESC,3,4500,,2,,,,,13
901,iw9_ch_br_daily_hospital_hoplite_medium,CHALLENGE/BR_DAILY_HOSPITAL_HOPLITE,CHALLENGE/BR_DAILY_HOSPITAL_HOPLITE_DESC,3,4500,,2,,,,,4
410,iw9_ch_br_daily_layover_legend_medium,CHALLENGE/BR_DAILY_LAYOVER_LEGEND,CHALLENGE/BR_DAILY_LAYOVER_LEGEND_DESC,3,4500,,2,,,,,27
2890,iw9_ch_br_daily_lumberyard_luchador_medium,CHALLENGE/BR_DAILY_LUMBERYARD_LUCHADOR,CHALLENGE/BR_DAILY_LUMBERYARD_LUCHADOR_DESC,3,4500,,2,,,,,23
3106,iw9_ch_br_daily_port_patrol_medium,CHALLENGE/BR_DAILY_PORT_PATROL,CHALLENGE/BR_DAILY_PORT_PATROL_DESC,3,4500,,2,,,,,19
2800,iw9_ch_br_daily_quarry_quest_medium,CHALLENGE/BR_DAILY_QUARRY_QUEST,CHALLENGE/BR_DAILY_QUARRY_QUEST_DESC,3,4500,,2,,,,,21
2852,iw9_ch_br_daily_stadium_superstar_medium,CHALLENGE/BR_DAILY_STADIUM_SUPERSTAR,CHALLENGE/BR_DAILY_STADIUM_SUPERSTAR_DESC,3,4500,,4,,,,,7
209,iw9_ch_br_daily_storage_sovereign_medium,CHALLENGE/BR_DAILY_STORAGE_SOVEREIGN,CHALLENGE/BR_DAILY_STORAGE_SOVEREIGN_DESC,3,4500,,4,,,,,14
1885,iw9_ch_br_daily_supercenter_slayer_medium,CHALLENGE/BR_DAILY_SUPERCENTER_SLAYER,CHALLENGE/BR_DAILY_SUPERCENTER_SLAYER_DESC,3,4500,,4,,,,,42
597,iw9_ch_br_daily_trainyard_tyrant_medium,CHALLENGE/BR_DAILY_TRAINYARD_TYRANT,CHALLENGE/BR_DAILY_TRAINYARD_TYRANT_DESC,3,4500,,4,,,,,35
3914,iw9_ch_br_daily_television_triumph_medium,CHALLENGE/BR_DAILY_TELEVISION_TRIUMPH,CHALLENGE/BR_DAILY_TELEVISION_TRIUMPH_DESC,3,4500,,4,,,,,3
839,iw9_ch_br_daily_ammo_dealer_long,CHALLENGE/BR_DAILY_AMMO_DEALER,CHALLENGE/BR_DAILY_AMMO_DEALER_DESC,9,6000,9842,3,,,,,16
1864,iw9_ch_br_daily_the_biggest_booms_long,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS_DESC,6,6000,9553,3,,,,,20
822,iw9_ch_br_daily_arms_dealer_long,CHALLENGE/BR_DAILY_ARMS_DEALER,CHALLENGE/BR_DAILY_ARMS_DEALER_DESC,5,6000,9474,3,,,,,15
1842,iw9_ch_br_daily_easy_money_long,CHALLENGE/BR_DAILY_EASY_MONEY,CHALLENGE/BR_DAILY_EASY_MONEY_DESC,45,6000,9970,3,,,,,10
574,iw9_ch_br_daily_collector_long,CHALLENGE/BR_DAILY_COLLECTOR,CHALLENGE/BR_DAILY_COLLECTOR_DESC,6,6000,10219,3,,,,,36
3851,iw9_ch_br_daily_discriminating_tastes_long,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES_DESC,3,6000,10367,3,,,,,29
743,iw9_ch_br_daily_headhunter_long,CHALLENGE/BR_DAILY_HEADHUNTER,CHALLENGE/BR_DAILY_HEADHUNTER_DESC,6,6000,9750,3,,,,,21
731,iw9_ch_br_daily_conquerer_long,CHALLENGE/BR_DAILY_CONQUERER,CHALLENGE/BR_DAILY_CONQUERER_DESC,5,6000,10273,3,,,,,27
356,iw9_ch_br_daily_explorer_long,CHALLENGE/BR_DAILY_EXPLORER,CHALLENGE/BR_DAILY_EXPLORER_DESC,5,6000,9737,3,,,,,13
959,iw9_ch_br_daily_guardian_long,CHALLENGE/BR_DAILY_GUARDIAN,CHALLENGE/BR_DAILY_GUARDIAN_DESC,3,6000,10345,3,,,,,42
2998,iw9_ch_br_daily_unkillable_long,CHALLENGE/BR_DAILY_UNKILLABLE,CHALLENGE/BR_DAILY_UNKILLABLE_DESC,3,6000,9628,3,,,,,
1836,iw9_ch_br_daily_bargain_hunter_long,CHALLENGE/BR_DAILY_BARGAIN_HUNTER,CHALLENGE/BR_DAILY_BARGAIN_HUNTER_DESC,3,6000,9834,3,,,,,31
158,iw9_ch_br_daily_treasure_hunter_long,CHALLENGE/BR_DAILY_TREASURE_HUNTER,CHALLENGE/BR_DAILY_TREASURE_HUNTER_DESC,30,6000,10368,3,,,,,18
2801,iw9_ch_br_daily_test_drive_long,CHALLENGE/BR_DAILY_TEST_DRIVE,CHALLENGE/BR_DAILY_TEST_DRIVE_DESC,15,6000,9829,3,,,,min,25
661,iw9_ch_br_daily_hazardous_work_environment_long,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT_DESC,5,6000,10418,3,,,,sec,8
675,iw9_ch_br_daily_well_protected_long,CHALLENGE/BR_DAILY_WELL_PROTECTED,CHALLENGE/BR_DAILY_WELL_PROTECTED_DESC,18,6000,6064,3,,,,,43
1116,iw9_ch_br_daily_philanthropist_long,CHALLENGE/BR_DAILY_PHILANTHROPIST,CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,6,6000,6488,3,,,,,
790,iw9_ch_br_daily_mission_focused_long,CHALLENGE/BR_DAILY_MISSION_FOCUSED,CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,9,6000,6145,3,,,,,41
799,iw9_ch_br_daily_taking_initiative_long,CHALLENGE/BR_DAILY_TAKING_INITIATIVE,CHALLENGE/BR_DAILY_TAKING_INITIATIVE_DESC,3,6000,6620,3,,,,,9
442,iw9_ch_br_daily_turning_the_tables_long,CHALLENGE/BR_DAILY_TURNING_THE_TABLES,CHALLENGE/BR_DAILY_TURNING_THE_TABLES_DESC,5,6000,6542,3,,,,,
834,iw9_ch_br_daily_hommicidal_vehicle_long,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE,CHALLENGE/BR_DAILY_HOMMICIDAL_VEHICLE_DESC,6,6000,6629,3,,,,,2
1707,iw9_ch_br_daily_crushing_with_commons_long,CHALLENGE/BR_DAILY_CRUSHING_WITH_COMMONS,CHALLENGE/BR_DAILY_CRUSHING_WITH_COMMONS_DESC,15,6000,6987,3,,,,,38
3127,iw9_ch_br_daily_lethal_with_legendaries_long,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES,CHALLENGE/BR_DAILY_LETHAL_WITH_LEGENDARIES_DESC,6,6000,6265,3,,,,,35
2631,iw9_ch_br_daily_rampage_with_rares_long,CHALLENGE/BR_DAILY_RAMPAGE_WITH_RARES,CHALLENGE/BR_DAILY_RAMPAGE_WITH_RARES_DESC,12,6000,6082,3,,,,,3
63,iw9_ch_br_daily_exterminate_with_epics_long,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS,CHALLENGE/BR_DAILY_EXTERMINATE_WITH_EPICS_DESC,9,6000,6408,3,,,,,30
1750,iw9_ch_br_daily_executioner_long,CHALLENGE/BR_DAILY_EXECUTIONER,CHALLENGE/BR_DAILY_EXECUTIONER_DESC,9,6000,,3,,,,,19
671,iw9_ch_br_daily_vehicular_hommicide_long,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE,CHALLENGE/BR_DAILY_VEHICULAR_HOMMICIDE_DESC,5,6000,,3,,,,,
2840,iw9_ch_br_daily_best_of_the_best_long,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST,CHALLENGE/BR_DAILY_BEST_OF_THE_BEST_DESC,3,6000,6608,3,,,,,26
2763,iw9_ch_br_daily_caregiver_long,CHALLENGE/BR_DAILY_CAREGIVER,CHALLENGE/BR_DAILY_CAREGIVER_DESC,5,6000,,3,,,,,40
764,iw9_ch_br_daily_survivor_long,CHALLENGE/BR_DAILY_SURVIVOR,CHALLENGE/BR_DAILY_SURVIVOR_DESC,60,6000,,3,,,,min,22
325,iw9_ch_br_daily_bouncebackalicious_long,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS,CHALLENGE/BR_DAILY_BOUNCEBACKALICIOUS_DESC,6,6000,,3,,,,,28
1090,iw9_ch_br_daily_in_charge_of_the_yard_long,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD,CHALLENGE/BR_DAILY_IN_CHARGE_OF_THE_YARD_DESC,3,6000,8824,3,,,,,1
857,iw9_ch_br_daily_airfield_ascendency_long,CHALLENGE/BR_DAILY_AIRFIELD_ASCENDENCY,CHALLENGE/BR_DAILY_AIRFIELD_ASCENDENCY_DESC,5,6000,8780,3,,,,,37
346,iw9_ch_br_daily_boneyard_badass_long,CHALLENGE/BR_DAILY_BONEYARD_BADASS,CHALLENGE/BR_DAILY_BONEYARD_BADASS_DESC,5,6000,8739,3,,,,,33
3848,iw9_ch_br_daily_dam_dangerzone_long,CHALLENGE/BR_DAILY_DAM_DANGERZONE,CHALLENGE/BR_DAILY_DAM_DANGERZONE_DESC,5,6000,6711,3,,,,,12
4016,iw9_ch_br_daily_downtown_domination_long,CHALLENGE/BR_DAILY_DOWNTOWN_DOMINATION,CHALLENGE/BR_DAILY_DOWNTOWN_DOMINATION_DESC,5,6000,,3,,,,,44
2625,iw9_ch_br_daily_farm_fatality_long,CHALLENGE/BR_DAILY_FARM_FATALITY,CHALLENGE/BR_DAILY_FARM_FATALITY_DESC,5,6000,,3,,,,,14
283,iw9_ch_br_daily_gulag_governor_long,CHALLENGE/BR_DAILY_GULAG_GOVERNOR,CHALLENGE/BR_DAILY_GULAG_GOVERNOR_DESC,5,6000,,3,,,,,34
3114,iw9_ch_br_daily_hospital_hoplite_long,CHALLENGE/BR_DAILY_HOSPITAL_HOPLITE,CHALLENGE/BR_DAILY_HOSPITAL_HOPLITE_DESC,5,6000,,3,,,,,11
44,iw9_ch_br_daily_layover_legend_long,CHALLENGE/BR_DAILY_LAYOVER_LEGEND,CHALLENGE/BR_DAILY_LAYOVER_LEGEND_DESC,5,6000,,3,,,,,24
1828,iw9_ch_br_daily_lumberyard_luchador_long,CHALLENGE/BR_DAILY_LUMBERYARD_LUCHADOR,CHALLENGE/BR_DAILY_LUMBERYARD_LUCHADOR_DESC,5,6000,,3,,,,,32
303,iw9_ch_br_daily_port_patrol_long,CHALLENGE/BR_DAILY_PORT_PATROL,CHALLENGE/BR_DAILY_PORT_PATROL_DESC,5,6000,6272,3,,,,,39
