string,string,string,string,localized,string,string,string,string,string,int
ui_mousewheelup,2020,ui_button_kbm_mousescrollup,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mousescrollup_black,0
ui_mouseicon,2021,ui_button_kbm_mouse,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mouse_black,0
ui_voice,2022,icon_mic_talking,,&,1,1,1,0.5,,0
ui_killhouse_ticket,2023,icon_killhouse_ticket,,&,1,1,1,0.5,,0
streak_warning,2024,ui_streak_warning,,&,1.25,1.25,1.25,0.5,,0
watch_kills,2025,watch_kills,,&,0.9,0.9,0.9,0.5,,0
watch_deaths,2026,watch_deaths,,&,0.9,0.9,0.9,0.5,,0
ui_unlocked,2027,ui_font_unlocked,,&,1,1,1,0.5,,0
reward_complete,2028,ui_reward_complete,,&,0.5,0.5,0.5,0.5,,0
reward_incomplete,2029,ui_reward_incomplete,,&,0.5,0.5,0.5,0.5,,0
ui_reset,2030,icon_swap,,&,1,1,1,0.5,,0
ui_underbarrel_grenade,2031,icon_attachment_ub_gl01_v0,,&,1.5,1.5,1.5,0.5,,0
ui_underbarrel_shotgun,2032,icon_attachment_masterkey01,,&,1.5,1.5,1.5,0.5,,0
ui_mousewheelupdown,2033,ui_button_kbm_mousescrollupdown,,&,1.5,1.5,1.5,0.5,ui_button_kbm_mousescrollupdown_black,0
ui_mouseleftclickpan,2034,ui_button_kbm_mouseleftclick_pan,,&,1.75,1.75,1.75,0.5,ui_button_kbm_mouseleftclick_black,0
ui_codkey,2035,icon_currency_key,,&,1.5,1.5,1.5,0.5,,0
watch_headshots,2036,watch_headshots,,&,0.9,0.9,0.9,0.5,,0
ui_party,2037,icon_playlist_team,,&,1,1,1,0.5,,0
ui_attachment_variant,2038,icon_menu_variant,,&,0.85,0.85,0.85,0.5,,0
ui_mychanges_ok,2039,icon_mychanges_ok,,&,1,1,1,0.5,,0
ui_mychanges_reload,2040,icon_mychanges_reload,,&,1,1,1,0.5,,0
ui_mychanges_restart,2041,icon_mychanges_restart,,&,1,1,1,0.5,,0
ui_mychanges_warn,2042,icon_mychanges_warn,,&,1,1,1,0.5,,0
mantle_ladder,2043,hud_icon_mantle_ladder,,&,2,2,2,0.2,,0
slide_ladder,2044,hud_icon_slide_ladder,,&,2,2,2,0.2,,0
killstreak_auto_drone,2045,icon_killstreak_auto_drone_small,,&,1,1,1,0.5,,0
killstreak_hover_jet,2046,icon_killstreak_hover_jet_small,,&,1,1,1,0.5,,0
killstreak_wheelson,2047,icon_killstreak_wheelson_small,,&,1,1,1,0.5,,0
ui_backspace,2048,v_ui_icon_buttonprompt_kbm_backspace,,&,1,1,1,0.5,,0
ui_system,2049,v_ui_icon_buttonprompt_kbm_consoleoskey,,&,1,1,1,0.5,,0
ui_enter,2050,v_ui_icon_buttonprompt_kbm_enter,,&,1,1,1,0.5,,0
ui_indicator_left,2051,v_ui_icon_buttonprompt_kbm_indicator_left,,&,1,1,1,0.5,,0
ui_indicator_right,2052,v_ui_icon_buttonprompt_kbm_indicator_right,,&,1,1,1,0.5,,0
ui_lock,2053,icon_global_lock,,&,1,1,1,0.5,,0
ui_menu,2054,v_ui_icon_buttonprompt_kbm_menukey,,&,1,1,1,0.5,,0
ui_numpad,2055,v_ui_icon_buttonprompt_kbm_numpad,,&,1,1,1,0.5,,0
ui_page_down,2056,v_ui_icon_buttonprompt_kbm_page_down,,&,1,1,1,0.5,,0
ui_page_up,2057,v_ui_icon_buttonprompt_kbm_page_up,,&,1,1,1,0.5,,0
ui_pause,2058,v_ui_icon_buttonprompt_kbm_pause,,&,1,1,1,0.5,,0
ui_spacebar,2059,v_ui_icon_buttonprompt_kbm_spacebar,,&,1,1,1,0.5,,0
mantle_hang,2060,hud_icon_prompt_hang,,&,2,2,2,0.2,,0
ui_icons_zombie_heart,2061,ui_icons_zombie_heart,,&,1,1,1,0.5,,0
ui_icons_zombie_essence,2062,ui_icons_zombie_essence,,&,1,1,1,0.5,,0
ui_icons_zombie_salvage,2063,ui_icons_zombie_salvage_white_rare,,&,1,1,1,0.5,,0
ui_font_search,2064,ui_font_search,,&,1,1,1,1,,0
ui_vehicle_skin,2065,icon_vehicle_skin,,&,1,1,1,0.5,,0
ui_vehicle_horn,2066,icon_vehicle_horn,,&,1,1,1,0.5,,0
ui_vehicle_battle_track,2067,icon_vehicle_battle_track,,&,1,1,1,0.5,,0
ui_icon_damage_fire,2068,ui_icons_elementaldamage_fire,,&,1,1,1,0.5,,0
ui_icon_damage_explosive,2069,ui_icons_elementaldamage_explosive,,&,1,1,1,0.5,,0
ui_icon_damage_toxic,2070,ui_icons_elementaldamage_toxic,,&,1,1,1,0.5,,0
ui_icon_damage_electrical,2071,ui_icons_elementaldamage_electrical,,&,1,1,1,0.5,,0
ui_icon_damage_cold,2072,ui_icons_elementaldamage_cold,,&,1,1,1,0.5,,0
leagueplay_skill_rating,2073,iw9_ui_icon_leagueplay_skill_rating,,&,1,1,1,0.5,,0
leagueplay_star_filled,2074,iw9_ui_icon_leagueplay_star_filled,,&,1,1,1,0.5,,0
ui_button_dpad_vertical,2075,button_dpad_vertical,,&,1,1,1,0.5,,0
ui_large_hollow_lock,2076,icon_generic_lock_hollow_large,,&,0.525,0.525,0.525,0.5,,0
button_stick_horizontal_r,2077,button_stick_horizontal_r,,&,1.5,1.5,1.5,0.5,,0
ui_font_keyboard,2078,ui_font_keyboard,,&,1.45,1.45,1.45,0.6,,0
icon_mic_talking,2079,icon_mic_talking,,&,1,1,1,1,,0
icon_global_quit,2080,ui_icon_global_quit,,&,1,1,1,0.5,,0
ui_font_bullet_point,2081,ui_font_bullet_point,,&,0.35,0.35,0.35,0.5,,0
