string,string,localized,localized,string,string,string,string,string
519,iw9_ch_gs_ar_falima_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2946,iw9_ch_gs_ar_falima_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3095,iw9_ch_gs_ar_falima_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1829,iw9_ch_gs_ar_falima_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3065,iw9_ch_gs_ar_falima_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
429,iw9_ch_gs_ar_falima_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
305,iw9_ch_gs_ar_falima_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1949,iw9_ch_gs_ar_falima_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1873,iw9_ch_gs_ar_falima_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1019,iw9_ch_gs_ar_falima_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1051,iw9_ch_gs_ar_falpha_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
503,iw9_ch_gs_ar_falpha_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
492,iw9_ch_gs_ar_falpha_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
646,iw9_ch_gs_ar_falpha_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
430,iw9_ch_gs_ar_falpha_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
222,iw9_ch_gs_ar_falpha_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1719,iw9_ch_gs_ar_falpha_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1000,iw9_ch_gs_ar_falpha_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1898,iw9_ch_gs_ar_falpha_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1995,iw9_ch_gs_ar_falpha_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
352,iw9_ch_gs_ar_kilo433_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2756,iw9_ch_gs_ar_kilo433_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1718,iw9_ch_gs_ar_kilo433_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
643,iw9_ch_gs_ar_kilo433_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3963,iw9_ch_gs_ar_kilo433_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
569,iw9_ch_gs_ar_kilo433_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2914,iw9_ch_gs_ar_kilo433_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
739,iw9_ch_gs_ar_kilo433_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1064,iw9_ch_gs_ar_kilo433_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1876,iw9_ch_gs_ar_kilo433_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
889,iw9_ch_gs_ar_mcharlie_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1831,iw9_ch_gs_ar_mcharlie_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
293,iw9_ch_gs_ar_mcharlie_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3031,iw9_ch_gs_ar_mcharlie_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
4122,iw9_ch_gs_ar_mcharlie_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3991,iw9_ch_gs_ar_mcharlie_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
155,iw9_ch_gs_ar_mcharlie_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
666,iw9_ch_gs_ar_mcharlie_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
4026,iw9_ch_gs_ar_mcharlie_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3051,iw9_ch_gs_ar_mcharlie_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3812,iw9_ch_gs_ar_mike4_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3931,iw9_ch_gs_ar_mike4_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1852,iw9_ch_gs_ar_mike4_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
310,iw9_ch_gs_ar_mike4_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1015,iw9_ch_gs_ar_mike4_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
529,iw9_ch_gs_ar_mike4_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1920,iw9_ch_gs_ar_mike4_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
267,iw9_ch_gs_ar_mike4_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
1953,iw9_ch_gs_ar_mike4_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
71,iw9_ch_gs_ar_mike4_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
608,iw9_ch_gs_ar_scharlie_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|100|150|225|325|450|600|800,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
758,iw9_ch_gs_ar_scharlie_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2602,iw9_ch_gs_ar_scharlie_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|15|30|50|70|90|110|135|160,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
3104,iw9_ch_gs_ar_scharlie_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,5|10|15|20|25|35|45|60|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
198,iw9_ch_gs_ar_scharlie_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,5|10|15|20|25|35|55|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
776,iw9_ch_gs_ar_scharlie_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,5|10|15|25|35|45|60|75|100,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2728,iw9_ch_gs_ar_scharlie_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|20|30|50|70|90|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
783,iw9_ch_gs_ar_scharlie_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
635,iw9_ch_gs_ar_scharlie_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
910,iw9_ch_gs_ar_scharlie_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|7|10|14|18|23|28|35,3945|3945|3945|3945|3945|3945|3945|3945|3945,250|375|375|500|750|750|875|875|1250,,
2857,iw9_ch_gs_la_gromeo_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
754,iw9_ch_gs_la_gromeo_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ATTACKER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
297,iw9_ch_gs_la_gromeo_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_DEFENDER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
1933,iw9_ch_gs_la_gromeo_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_AERIAL_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
100,iw9_ch_gs_la_gromeo_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_GROUND_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2700,iw9_ch_gs_la_gromeo_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SPOTTER_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
704,iw9_ch_gs_la_gromeo_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SUPPORT_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
531,iw9_ch_gs_la_gromeo_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ALLKS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
557,iw9_ch_gs_la_gromeo_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_WARHEAD_DESC,5|10|15|20|25|30|35|40|50,2024081|2024082|2024083|2024084|2024085|2024086|2024087|2024088|2024089,100|100|100|150|150|200|200|250|300,,
446,iw9_ch_gs_la_gromeo_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_VEHICLE_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
654,iw9_ch_gs_la_juliet_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
3056,iw9_ch_gs_la_juliet_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ATTACKER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
798,iw9_ch_gs_la_juliet_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_DEFENDER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
358,iw9_ch_gs_la_juliet_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_AERIAL_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2704,iw9_ch_gs_la_juliet_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_GROUND_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
3029,iw9_ch_gs_la_juliet_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SPOTTER_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
793,iw9_ch_gs_la_juliet_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SUPPORT_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
440,iw9_ch_gs_la_juliet_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ALLKS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
982,iw9_ch_gs_la_juliet_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_WARHEAD_DESC,5|10|15|20|25|30|35|40|50,2025081|2025082|2025083|2025084|2025085|2025086|2025087|2025088|2025089,100|100|100|150|150|200|200|250|300,,
3953,iw9_ch_gs_la_juliet_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_VEHICLE_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
1968,iw9_ch_gs_la_kgolf_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
170,iw9_ch_gs_la_kgolf_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ATTACKER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
