string,localized_a,localized_a,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,int,int,string,string,string,int,int,int,int,string
koth,a&LUA_MENU_MP/HARDPOINT,a&OBJECTIVES/KOTH,icon_mode_mp_hardpoint,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_DOMINATION,a&OBJECTIVES/KOTH_HINT,a&OBJECTIVES/KOTH_HINT,1,1,icon_mode_mp_hardpoint,icon_mode_mp_hardpoint_tier1,1,0,0.9,0,0.75,60,8,icon_mode_mp_hardpoint,a&LUA_MENU_MP/CDL_KOTH_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,jup_ui_menu_keyart_hardpoint_button,jup_ui_menu_keyart_hardpoint_button,,0,0,0,0,jup_mp_splash_message_homeplate_topo
hq,a&LUA_MENU_MP/HQ,a&OBJECTIVES/HQ,icon_mode_mp_hq,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_DOMINATION,a&OBJECTIVES/HQ_HINT,a&OBJECTIVES/HQ_HINT,2,1,icon_mode_mp_hq,icon_mode_mp_hq_tier1,1,0,0.9,0,1,60,5,icon_mode_mp_hq,a&LUA_MENU_MP/CDL_HQ_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,jup_ui_menu_keyart_headquarters_button,jup_ui_menu_keyart_headquarters_button,,0,0,0,0,jup_mp_splash_message_homeplate_topo
infect,a&LUA_MENU_MP/INFECT,a&OBJECTIVES/INFECT,icon_mode_mp_infected,0,0,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_INFECT,a&OBJECTIVES/INFECT_HINT,a&OBJECTIVES/INFECT_HINT,0,1,icon_mode_mp_infected,icon_mode_mp_infected,1,0,1,0,1,60,15,icon_mode_mp_infected,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,menu_keyart_infected_layer_00,menu_keyart_infected_layer_00,,0,0,0,0,jup_mp_splash_message_hexagone_topo
conf,a&LUA_MENU_MP/CONF,a&OBJECTIVES/CONF,icon_mode_mp_conf,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_CONF,a&OBJECTIVES/CONF_HINT,a&OBJECTIVES/CONF_HINT,2,1,icon_mode_mp_conf,icon_mode_mp_conf_tier1,1,0,0.9,0,1,60,10,icon_mode_mp_conf,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,900,2700,jup_ui_menu_keyart_kill_confirmed_button,jup_ui_menu_keyart_kill_confirmed_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
ko,a&LUA_MENU_MP/KO,a&OBJECTIVES/KO,icon_mode_mp_knockout,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/KO_HINT,a&OBJECTIVES/KO_HINT,2,1,icon_mode_mp_knockout,icon_mode_mp_knockout_tier1,1,0,1,0,1.45,60,0,icon_mode_mp_knockout,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_knockout_layer_00,menu_keyart_knockout_layer_01,,0,0,0,0,jup_mp_splash_message_diamond_topo
oic,a&LUA_MENU_MP/OIC,a&OBJECTIVES/OIC,icon_mode_mp_chamber,0,0,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_GUN,a&OBJECTIVES/OIC_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_oic_hcore,icon_mode_mp_chamber_tier1,1,0,1.4,0,1,60,18,icon_mp_mode_oic_cdl,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_one_in_the_chamber_layer_00,menu_keyart_one_in_the_chamber_layer_00,,0,0,0,0,
rescue,a&LUA_MENU_MP/RESCUE,a&OBJECTIVES/RESCUE,icon_mode_mp_prisoner_rescue,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/RESCUE_HINT_DEFENDERS,a&OBJECTIVES/RESCUE_HINT_ATTACKERS,0,1,icon_mode_mp_prisoner_rescue,icon_mode_mp_prisoner_rescue_tier1,1,0,1,0,1.6,60,1,icon_mode_mp_prisoner_rescue,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,750,2250,menu_keyart_prisoner_rescue_layer_00,menu_keyart_prisoner_rescue_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
sd,a&LUA_MENU_MP/SD,a&OBJECTIVES/SD,icon_mode_mp_snd,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_SEARCH_AND_DESTROY,a&OBJECTIVES/SD_ATTACKER_HINT,a&OBJECTIVES/SD_DEFENDER_HINT,1,1,icon_mode_mp_snd,icon_mode_mp_snd_tier1,1,0,1.4,1,1.1,30,4,icon_mode_mp_snd,a&LUA_MENU_MP/CDL_SD_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,750,2250,jup_ui_menu_keyart_search_button,jup_ui_menu_keyart_search_button,,0,0,0,0,jup_mp_splash_message_diamond_topo
ballmode,a&LUA_MENU_MP/BALLMODE,a&OBJECTIVES/BALLMODE,icon_mode_mp_soccer,1,0,Standard,mp_futbol,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/BALLMODE_HINT,a&OBJECTIVES/BALLMODE_HINT,2,1,icon_mode_mp_tdm,icon_mode_mp_tdm_tier1,1,1,1,1,1,60,1,icon_mode_mp_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,menu_keyart_cod_soccer_mode_layer_00,menu_keyart_cod_soccer_mode_layer_00,,0,0,0,0,jup_mp_splash_message_hexagone_topo
benchmark,a&LUA_MENU_MP/BENCHMARK,a&OBJECTIVES/BENCHMARK,icon_mode_benchmark,1,1,Standard,mp_hackney_am,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/BENCHMARK_HINT,a&OBJECTIVES/BENCHMARK_HINT,2,1,icon_mode_mp_tdm,icon_mode_mp_tdm_tier1,1,1,1,0,1,60,1,icon_mode_mp_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,menu_keyart_gw_layer_00,menu_keyart_gw_layer_01,,0,0,0,0,jup_mp_splash_message_hexagone_topo
gwtdm,a&LUA_MENU_MP/GWTDM,a&OBJECTIVES/GWTDM,icon_mode_mp_gw_invasion,1,1,Alternate,mp_sira_gw,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/GWTDM_HINT,a&OBJECTIVES/GWTDM_HINT,0,1,icon_mode_mp_gw_invasion,icon_mode_mp_gw_invasion_tier1,1,1,1,0,1.7,60,1,icon_mode_mp_gw_invasion,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_gw_invasion_layer_00,menu_keyart_gw_invasion_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
gwai,a&LUA_MENU_MP/GWAI,a&OBJECTIVES/GWAI,icon_mode_mp_gw_invasion,1,0,Standard,mp_sira_gw,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/GWAI_HINT,a&OBJECTIVES/GWAI_HINT,0,1,icon_mode_mp_gw_invasion,icon_mode_mp_gw_invasion_tier1,1,1,1,0,1,60,1,icon_mode_mp_gw_invasion,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_gw_invasion_layer_00,menu_keyart_gw_invasion_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
gwbomb,a&LUA_MENU_MP/GWBOMB,a&OBJECTIVES/GWBOMB,icon_mode_mp_war_bomb,1,1,Alternate,mp_sira_gw,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/GWBOMB_HINT,a&OBJECTIVES/GWBOMB_HINT,0,1,icon_mode_mp_war_bomb,icon_mode_mp_war_bomb,1,1,1,0,1,60,1,icon_mode_mp_war_bomb,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
fr,a&LUA_MENU_MP/FR,a&OBJECTIVES/FR,icon_mode_mp_tdm,1,1,Standard,mp_saba,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/FR_HINT,a&OBJECTIVES/FR_HINT,0,1,icon_mode_mp_tdm,icon_mode_mp_tdm,1,1,1,0,1,60,1,icon_mode_mp_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_hexagone_topo
ctf,a&LUA_MENU_MP/CTF,a&OBJECTIVES/CTF,icon_mode_mp_ctf,1,1,Standard,mp_farm_18,a&LUA_MENU/WARGAME_BLITZ,a&OBJECTIVES/CTF_HINT,a&OBJECTIVES/CTF_HINT,2,1,icon_mode_mp_ctf,icon_mode_mp_ctf,1,1,1,0,1,60,9,icon_mode_mp_ctf,a&LUA_MENU_MP/CDL_CTF_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
rugby,a&MP_MODE_RUGBY/NAME,a&MP_MODE_RUGBY/DESC,icon_mp_mode_rupture,1,1,Alternate,mp_farm_18,a&MENU/NONE,a&MP_MODE_RUGBY/OBJECTIVE_HINT,a&MP_MODE_RUGBY/OBJECTIVE_HINT,0,1,icon_mp_mode_rupture_hcore,icon_mp_mode_rupture_realism,1,1,1,0,1,60,11,icon_mp_mode_rupture,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
dd,a&LUA_MENU_MP/DEMOLITION,a&LUA_MENU_MP/DEMOLITION_DESC,icon_mode_mp_demolition,1,1,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_SEARCH_AND_DESTROY,a&OBJECTIVES/DD_ATTACKER_HINT,a&OBJECTIVES/DD_DEFENDER_HINT,0,1,icon_mode_mp_demolition,icon_mode_mp_demolition,1,1,1,0,1,60,12,icon_mode_mp_demolition,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
siege,a&LUA_MENU_MP/SIEGE,a&OBJECTIVES/SIEGE,icon_mp_mode_reinforce,1,1,Alternate,mp_farm_18,a&LUA_MENU_MP/WARGAME_SIEGE,a&OBJECTIVES/SIEGE_HINT,a&OBJECTIVES/SIEGE_HINT,0,1,icon_mp_mode_reinforce_hcore,icon_mp_mode_reinforce_realism,1,1,1,0,1,60,13,icon_mp_mode_reinforce,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
grind,a&LUA_MENU_MP/GRIND,a&OBJECTIVES/GRIND,icon_mode_mp_grind,1,1,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_GRIND,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_grind_hcore,icon_mode_mp_grind_tier1,1,0,1,0,1,60,14,icon_mp_mode_grind,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_grind_layer_00,menu_keyart_grind_layer_00,,0,0,0,0,
grnd,a&LUA_MENU_MP/GRND,a&OBJECTIVES/GRND,icon_mode_mp_dz,1,1,Alternate,mp_farm_18,a&MPUI_GRND,a&OBJECTIVES/GRND_HINT,a&OBJECTIVES/GRND_HINT,0,1,icon_mp_mode_dropzone_hcore,icon_mode_mp_dz_tier1,1,0,1,0,1,60,17,icon_mp_mode_dropzone,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_drop_zone_layer_00,menu_keyart_drop_zone_layer_00,,0,0,0,0,
tdef,a&LUA_MENU_MP/TDEF,a&OBJECTIVES/TDEF,icon_mp_mode_hvt,1,1,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/TDEF_HINT,a&OBJECTIVES/TDEF_HINT,0,1,icon_mp_mode_hvt_hcore,icon_mp_mode_hvt_realism,1,1,1,0,1,60,0,icon_mp_mode_hvt,a&LUA_MENU_MP/CDL_CTF_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
tjugg,a&LUA_MENU_MP/TJUGG,a&OBJECTIVES/TJUGG,icon_mp_mode_teamjugg,1,1,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/TJUGG_HINT,a&OBJECTIVES/TJUGG_HINT,0,1,icon_mp_mode_teamjugg_hcore,icon_mp_mode_teamjugg_realism,1,1,1,0,1,60,0,icon_mp_mode_teamjugg,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
blitz,a&LUA_MENU_MP/BLITZ,a&OBJECTIVES/BLITZ,icon_mode_mp_ctf,1,1,Alternate,,a&LUA_MENU/WARGAME_BLITZ,a&OBJECTIVES/BLITZ_HINT,a&OBJECTIVES/BLITZ_HINT,0,1,icon_mode_mp_ctf,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_ctf,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
br,a&LUA_MENU_MP/BR,a&OBJECTIVES/BR,icon_br_mode_wz,0,0,Alternate,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_layer_00,menu_keyart_wz_layer_01,,0,0,0,0,jup_mp_splash_message_mountain_topo
br_dmz,a&LUA_MENU_MP/PAYBACK,a&LUA_MENU/BLOOD_MONEY_DESC,icon_mode_wz_plunder,0,0,Alternate,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
br_plunder,a&LUA_MENU_MP/PAYBACK,a&LUA_MENU/BLOOD_MONEY_DESC,icon_mode_wz_plunder,0,0,Alternate,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
br_risk,a&LUA_MENU_MP/RISK,a&LUA_MENU_MP/RISK_DESC,icon_mission_generic,0,0,Alternate,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
br_kingslayer,a&LUA_MENU_MP/BRKING,a&LUA_MENU_MP/BRKING_DESC,icon_mission_generic,0,0,Alternate,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
snatch,a&LUA_MENU_MP/SNATCH,a&OBJECTIVES/SNATCH,icon_mode_mp_arena,0,1,Alternate,,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_diamond_topo
arm,a&LUA_MENU_MP/ARMSRACE,a&OBJECTIVES/ARM,icon_mode_mp_war,1,1,Alternate,mp_sira_gw,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/BTM_HINT,a&OBJECTIVES/BTM_HINT,0,1,icon_mode_mp_war,icon_mode_mp_war_tier1,1,1,1.1,0,1.65,40,0,icon_mode_mp_war,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
esc,a&LUA_MENU_MP/ESC,a&LUA_MENU_MP/ESC_DESC,icon_mode_mp_arena,1,1,Alternate,,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/ESC_HINT,a&OBJECTIVES/ESC_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_diamond_topo
pill,a&LUA_MENU_MP/PILL,a&OBJECTIVES/PILL,icon_mode_mp_arena,1,1,Alternate,,a&LUA_MENU/WARGAME_GRIND,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_diamond_topo
trial,a&LUA_MENU_MP/TRIAL,a&OBJECTIVES/TRIAL,icon_mp_mode_trial,0,0,Alternate,,a&LUA_MENU_WARGAME_TRIAL,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,0,icon_mp_mode_trial,icon_mp_mode_trial,1,1,1,0,1,60,0,icon_mp_mode_trial,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
brtdm,a&LUA_MENU_MP/WAR,a&LUA_MENU_MP/WAR_DESC,icon_mode_mp_tdm,1,1,Alternate,mp_donetsk,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_tdm_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mp_mode_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,jup_ui_menu_keyart_tdm_button,jup_ui_menu_keyart_tdm_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
