string,string,string,localized_a,localized_a,string,string,string,string,string,string,string
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,750,750,750,750,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,a&MP_BR_INGAME/DROP_BAG,a&,,,1,1,1,1,
circle_peek,circle_peek,ui_mp_br_mission_reward_circle,a&MP_BR_INGAME/CIRCLE_PEEK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,,1,1,1,1,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_gasmask_nosplash,loot_items,,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_token,loot_items,loot_token_icon,a&MP_BR_INGAME/LOOT_TOKEN,a&,,,token,token,token,token,
loot_table,loot_table,,a&MP_BR_INGAME/LOOT_TABLE,a&,,,0,0,0,0,
blueprint_chance,blueprint_chance,,a&,a&,,,0,0,0,0,
loot_table_token,none,,a&MP_BR_INGAME/LOOT_TABLE_TOKEN,a&,,,0,0,0,0,
loot_cache_1,loot_cache,,a&MP_BR_INGAME/LOOT_CACHE,a&,,,0,0,0,0,
loot_cache_2,loot_cache,,a&MP_BR_INGAME/LOOT_CACHE,a&,,,1,1,1,1,
loot_cache_3,loot_cache,,a&MP_BR_INGAME/LOOT_CACHE,a&,,,2,2,2,2,
reward_tier,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,1,1,1,1,
plunder_asn,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,750,750,750,750,
plunder_asn_fail,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,240,240,240,240,
plunder_scav,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,400,400,400,400,
plunder_dom,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,600,600,600,600,
plunder_extract,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1000,1000,1000,1000,
loot_platepouch,loot_items,ui_mp_br_mission_reward_armor_satchel,a&EQUIPMENT/BR_PLATE_POUCH,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,
loot_platepouch_nosplash,loot_items,,a&EQUIPMENT/BR_PLATE_POUCH,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_armor_satchel,br_reward_mission_misc,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,
fire_sale,none,ui_mp_br_mission_reward_supplystation_sale,a&MP_BR_INGAME/FIRE_SALE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_PER_PLAYER,,br_reward_mission_misc,0,0,0,0,
