string,string,string,localized_a,localized_a,string,string,string,string,string,string,string
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,750,750,750,750,
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,1000,1000,1000,1000,
weapon_xp_extra_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,1250,1250,1250,1250,
weapon_xp_huge,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,1500,1500,1500,1500,
weapon_xp_medium_1x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_1X,a&,,br_reward_mission_weaponxp,300,300,300,300,
weapon_xp_medium_2x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_2X,a&,,br_reward_mission_weaponxp,600,600,600,600,
weapon_xp_medium_3x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_3X,a&,,br_reward_mission_weaponxp,900,900,900,900,
weapon_xp_medium_4x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_4X,a&,,br_reward_mission_weaponxp,1200,1200,1200,1200,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,a&MP_BR_INGAME/DROP_BAG,a&,,br_reward_mission_misc,1,1,1,1,
circle_peek,circle_peek,ui_mp_br_mission_reward_circlepeek,a&MP_BR_INGAME/CIRCLE_PEEK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,br_reward_mission_misc,1,1,1,1,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_gasmask_nosplash,loot_items,,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_token,loot_items,loot_token_icon,a&MP_BR_INGAME/LOOT_TOKEN,a&,,br_reward_mission_misc,token,token,token,token,
fire_sale,fire_sale,ui_mp_br_mission_reward_supplystation_sale,a&MP_BR_INGAME/FIRE_SALE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_PER_PLAYER,,br_reward_mission_misc,0,0,0,0,
team_revive,none,ui_mp_br_mission_reward_teamrevive,a&MP_BR_INGAME/TEAM_REVIVE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,br_reward_mission_misc,0,0,0,0,
loot_table,loot_table,,a&MP_BR_INGAME/LOOT_TABLE,a&,,,0,0,0,0,
loot_table_token,none,,a&MP_BR_INGAME/LOOT_TABLE_TOKEN,a&,,,0,0,0,0,
reward_tier,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,1,1,1,1,
reward_tier_1x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,1,1,1,1,
reward_tier_2x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,2,2,2,2,
reward_tier_3x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,3,3,3,3,
reward_tier_4x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,4,4,4,4,
loot_platecarrier,loot_items,ui_mp_br_mission_reward_armor_satchel,a&MP/BR_PLATE_CARRIER_3,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_plate_carrier_3,brloot_plate_carrier_3,brloot_plate_carrier_3,brloot_plate_carrier_3,
loot_carrier_random,none,ui_mp_br_mission_reward_randomcarrier,a&MP_BR_INGAME/LOOT_CARRIER_RANDOM,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,0,0,0,0,
uav,uav,ui_mp_br_mission_reward_uav,a&KILLSTREAKS/UAV,a&,,br_reward_mission_misc,uav,uav,uav,uav,
uav_directional,uav,ui_mp_br_mission_reward_advanceduav,a&KILLSTREAKS/DIRECTIONAL_UAV,a&,,br_reward_mission_misc,directional_uav,directional_uav,directional_uav,directional_uav,
uav_counter,uav,hud_icon_killstreak_uav,a&KILLSTREAKS/SCRAMBLER_DRONE,a&,,br_reward_mission_misc,counter_uav,counter_uav,counter_uav,counter_uav,
juggernaut,juggernaut,hud_icon_killstreak_juggernaut,a&KILLSTREAKS/JUGGERNAUT,a&,,br_reward_mission_misc,1,1,1,1,
ping,none,ui_mp_br_mission_reward_quickping,a&MP_BR_INGAME/PING_REWARD,a&,,br_reward_mission_misc,0,0,0,0,
redeploy_token,none,hud_icon_status_respawn,a&MP_BR_INGAME/REDEPLOY_TOKEN,a&,,br_reward_mission_misc,0,0,0,0,
uav_item,none,ui_mp_br_mission_reward_uav,a&MP_BR_INGAME/UAV_ITEM,a&,,br_reward_mission_misc,0,0,0,0,
