string,string,localized_a,string,string,int
102,plea_found,a&MP_BR_INGAME/PLEA_FOUND,0,0,0
103,doublexp_crate_already_used,a&MP_BR_INGAME/DOUBLEXP_CRATE_ALREADY_USED,0,1,0
104,rebreather_hint,a&MP/REBREATHER_HINT,0,1,0
105,plea_no_time,a&MP_BR_INGAME/REQUEST_PLEA_FOR_HELP,0,0,0
106,uav_offline,a&MP_BR_INGAME/UAV_OFFLINE,1,1,0
107,recon_points_respawn_enabled,a&SHARED_HINTSTRINGS/RECON_POINTS_RESPAWN_ENABLED,0,0,0
108,recon_points_respawn_disabled,a&SHARED_HINTSTRINGS/RECON_POINTS_RESPAWN_DISABLED,0,0,0
109,squad_rage_underwater,a&SUPER_MP/SQUAD_RAGE_UNDERWATER,0,0,0
110,recon_points_respawn_enabled_timeout,a&SHARED_HINTSTRINGS/RECON_POINTS_RESPAWN_ENABLED_TIMEOUT,1,0,0
111,buystation_offline,a&MP_BR_INGAME/BUYSTATION_OFFLINE,1,1,0
112,weapon_trade_station_offline,a&MP_BR_INGAME/WEAPON_TRADE_STATION_OFFLINE,1,1,0
113,br_reinforcement_flare_conversion,a&MISC_MESSAGES_MP/REINFORCEMENT_FLARE_CONVERTED,0,1,0
114,br_bunker_pc_monitor_message_1,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_1,0,1,0
115,br_bunker_pc_monitor_message_2,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2,0,1,0
116,br_bunker_pc_monitor_message_2_2,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_2,0,1,0
117,br_bunker_pc_monitor_message_2_3,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_3,0,1,0
118,br_bunker_pc_monitor_message_2_4,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_4,0,1,0
119,br_bunker_pc_monitor_message_2_5,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_5,0,1,0
121,br_bunker_pc_monitor_message_2_6,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_6,0,1,0
122,br_bunker_pc_monitor_message_2_7,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_7,0,1,0
123,br_bunker_pc_monitor_message_2_8,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_8,0,1,0
124,br_bunker_pc_monitor_message_2_9,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_9,0,1,0
125,br_bunker_pc_monitor_message_2_10,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_10,0,1,0
126,br_bunker_pc_monitor_message_2_11,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_2_11,0,1,0
127,br_bunker_pc_monitor_message_3,a&MP_BR_INGAME/BUNKER_PC_MESSAGE_3,0,1,0
129,br_bunker_graffiti_message,a&MP_BR_INGAME/BUNKER_GRAFFITI,0,1,0
130,br_bunker_brief_message_01,a&MP_BR_INGAME/BUNKER_BRIEF_01,0,1,0
131,br_bunker_brief_message_02,a&MP_BR_INGAME/BUNKER_BRIEF_02,0,1,0
132,br_bunker_brief_message_03,a&MP_BR_INGAME/BUNKER_BRIEF_03,0,1,0
133,br_bunker_wanted_message_01,a&MP_BR_INGAME/BUNKER_WANTED_01,0,1,0
134,br_bunker_wanted_message_02,a&MP_BR_INGAME/BUNKER_WANTED_02,0,1,0
135,br_bunker_wanted_message_03,a&MP_BR_INGAME/BUNKER_WANTED_03,0,1,0
136,br_bunker_memorial_message,a&MP_BR_INGAME/BUNKER_MEMORIAL,0,1,0
137,redeploy_drone_beacon_player_swimming,a&SUPER_MP/SUPER_CANNOT_USE_SWIM,0,0,0
138,redeploy_drone_beacon_max_drones_limit_reached,a&SUPER_MP/REDEPLOY_DRONE_BEACON_FLIGHT_RISK_NOTICE,0,0,0
139,slam_get_up,a&JUP_MP/SLAM_GET_UP,1,1,0
140,slam_bleedout,a&JUP_MP/SLAM_BLEEDOUT,1,1,0
141,redeploy_drone_beacon_insufficient_space,a&SUPER_MP/REDEPLOY_DRONE_BEACON_INSUFFICIENT_SPACE,0,0,0
142,redeploy_drone_beacon_moving_platforms_not_allowed,a&SUPER_MP/REDEPLOY_DRONE_BEACON_MOVING_PLATFORMS_NOT_ALLOWED,0,0,0
143,slam_mash_back_up,a&JUP_MP/SLAM_MASH_BACK_UP,1,1,0
144,redeploy_drone_beacon_oob,a&SUPER_MP/REDEPLOY_DRONE_BEACON_OOB,0,0,0
