string,string,string,localized_a,localized_a,string,xhash,string,string,string,string,string
xp_medium_4x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_4X,a&,,#hash_46bb9d4f58dcdc39,800,800,800,800,
xp_large,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,#hash_46bb9d4f58dcdc39,1000,1000,1000,1000,
weapon_xp_small,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,#hash_9e6b07fe9f7e385,200,200,200,200,
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,#hash_9e6b07fe9f7e385,300,300,300,300,
weapon_xp_medium_1x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_1X,a&,,#hash_9e6b07fe9f7e385,300,300,300,300,
weapon_xp_medium_2x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_2X,a&,,#hash_9e6b07fe9f7e385,600,600,600,600,
weapon_xp_medium_3x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_3X,a&,,#hash_9e6b07fe9f7e385,900,900,900,900,
weapon_xp_medium_4x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_4X,a&,,#hash_9e6b07fe9f7e385,1200,1200,1200,1200,
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,#hash_9e6b07fe9f7e385,400,400,400,400,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,a&MP_BR_INGAME/DROP_BAG,a&,,#hash_59d71dd6ea786155,1,1,1,1,
circle_peek,circle_peek,ui_mp_br_mission_reward_circle,a&MP_BR_INGAME/CIRCLE_PEEK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,#hash_59d71dd6ea786155,1,1,1,1,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,#hash_59d71dd6ea786155,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_gasmask_nosplash,loot_items,,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,#hash_59d71dd6ea786155,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_token,loot_items,loot_token_icon,a&MP_BR_INGAME/LOOT_TOKEN,a&,,#hash_59d71dd6ea786155,token,token,token,token,
fire_sale,none,ui_mp_br_mission_reward_supplystation_sale,a&MP_BR_INGAME/FIRE_SALE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_PER_PLAYER,,#hash_59d71dd6ea786155,0,0,0,0,
team_revive,none,ui_mp_br_mission_reward_token,a&MP_BR_INGAME/TEAM_REVIVE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,#hash_59d71dd6ea786155,0,0,0,0,
blueprint_chance,blueprint_chance,,a&,a&,,#,0,0,0,0,
loot_table,loot_table,,a&MP_BR_INGAME/LOOT_TABLE,a&,,#,0,0,0,0,
loot_table_token,none,,a&MP_BR_INGAME/LOOT_TABLE_TOKEN,a&,,#,0,0,0,0,#doesn't spawn a token - only here so it shows on ui
loot_cache_1,loot_cache,,a&MP_BR_INGAME/LOOT_CACHE,a&,,#,5,0,0,0,
loot_cache_2,loot_cache,,a&MP_BR_INGAME/LOOT_CACHE,a&,,#,5,1,1,1,
loot_cache_3,loot_cache,,a&MP_BR_INGAME/LOOT_CACHE,a&,,#,5,2,2,2,
reward_tier,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,#,1,1,1,1,#no icon so it wont display on loot card
reward_tier_1x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,#,1,1,1,1,
reward_tier_2x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,#,2,2,2,2,
reward_tier_3x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,#,3,3,3,3,
reward_tier_4x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,#,4,4,4,4,
loot_platepouch,loot_items,ui_mp_br_mission_reward_armor_satchel,a&EQUIPMENT/BR_PLATE_POUCH,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,#hash_59d71dd6ea786155,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,
loot_platepouch_nosplash,loot_items,,a&EQUIPMENT/BR_PLATE_POUCH,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_armor_satchel,#hash_59d71dd6ea786155,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,
uav,uav,hud_icon_killstreak_uav,a&KILLSTREAKS/UAV,a&,,#hash_59d71dd6ea786155,uav,uav,uav,uav,
uav_directional,uav,hud_icon_killstreak_auav,a&KILLSTREAKS/DIRECTIONAL_UAV,a&,,#hash_59d71dd6ea786155,directional_uav,directional_uav,directional_uav,directional_uav,
uav_counter,uav,hud_icon_killstreak_uav,a&KILLSTREAKS/SCRAMBLER_DRONE,a&,,#hash_59d71dd6ea786155,counter_uav,counter_uav,counter_uav,counter_uav,
juggernaut,juggernaut,hud_icon_killstreak_juggernaut,a&KILLSTREAKS/JUGGERNAUT,a&,,#hash_59d71dd6ea786155,1,1,1,1,
