string,string,localized_a,localized_a,string,string,string,string,string
15,perk_pack_speedy,a&CP_WEAPON_BUY/PERK_PACK_SPEEDY_NAME,a&CP_PERKS/PERK_PACK_SPEEDY_DESC,icon_perk_slot_hustle_ui,perk,,,cpcrate_perk_pack_speedy
16,perk_pack_ammo_buff,a&CP_PERKS/PERK_PACK_AMMO_BUFF_NAME,a&CP_PERKS/PERK_PACK_AMMO_BUFF_DESC,perk_icon_fmj,perk,,,cpcrate_perk_pack_ammo_buff
17,perk_pack_armor_buff,a&CP_PERKS/PERK_PACK_ARMOR_BUFF_NAME,a&CP_PERKS/PERK_PACK_ARMOR_BUFF_DESC,hud_icon_fieldupgrade_hardened_armor,perk,,,cpcrate_perk_pack_armor_buff
18,gasmask,a&CP_WEAPON_BUY/GASMASK,a&,icon_meter_gasmask,misc,,,cpcrate_gasmask
19,halligan,a&CP_WEAPON_BUY/HALLIGAN_TOOL,a&,icon_weapon_me_tactical_knife_v51,weapon,,,cpcrate_halligan
20,ammo,a&CP_WEAPON_BUY/BUY_AMMO,a&CP_WEAPON_BUY/BUY_AMMO_DESC,hud_icon_br_ammo_arlmg,misc,,,cpcrate_ammo
21,armor,a&CP_WEAPON_BUY/BUY_ARMOR,a&,ui_mp_br_loot_icon_health_armor_plates,misc,,,cpcrate_armor
22,weapon_upgrade,a&CP_WEAPON_BUY/BUY_WEAPON_UPGRADE,a&,hud_icon_survival_weapon,misc,,,cpcrate_weapon_upgrade
23,c4_inc_breach,a&CP_WEAPON_BUY/BREACH_CHARGE,a&,hud_icon_equipment_c4,equipment,,,cpcrate_c4_inc_breach
24,respawn_teammate,a&CP_WEAPON_BUY/RESPAWN_TEAMMATE,a&,cp_hud_revive,respawn,,,cpcrate_respawn_teammate
25,random_item_box,a&COOP_GAME_PLAY/RANDOM_ITEM_BOX,a&,hud_icon_br_plunder_box,box,,,cpcrate_random_item_box
26,precision_airstrike,a&KILLSTREAKS/PRECISION_AIRSTRIKE,a&,hud_icon_killstreak_airstrike,killstreak,1000,,cp_crate_killstreak_precision_airstrike
27,hover_jet,a&KILLSTREAKS/HOVER_JET,a&,hud_icon_killstreak_hover_jet,killstreak,2000,,cp_crate_killstreak_hover_jet
28,equip_ascender,a&CP_WEAPON_BUY/ASCENDER,a&,hud_icon_equipment_flare,equipment,,,cpcrate_equip_ascender
29,sentry_gun,a&KILLSTREAKS/SENTRY,a&,hud_icon_killstreak_sentry,killstreak,2500,,cp_crate_killstreak_sentry_gun
30,cruise_missile,a&KILLSTREAKS/CRUISE_PREDATOR,a&,hud_icon_killstreak_cruise_missile,killstreak,1000,,cp_crate_killstreak_cruise_missile
31,delta_squad,a&CP_WEAPON_BUY/DELTA_SQUAD,a&,hud_icon_fieldupgrade_inflatable_decoy,killstreak,1500,,cp_crate_killstreak_delta_squad
32,cover,a&CP_WEAPON_BUY/BUY_COVER,a&,hud_icon_equipment_tac_cover,killstreak,500,,cp_crate_cover
33,self_revive_cp_observatory,a&EQUIPMENT/SELF_REVIVE,a&,ui_mp_br_loot_icon_self_revive_kit,equipment,1000,,cpcrate_self_revive
34,munitions_crate,a&CP_WEAPON_BUY/BUY_MUNITIONS_CRATE,a&,hud_icon_fieldupgrade_ammo_box,killstreak,500,,cpcrate_ammo
35,armor_satchel,a&COOP_GAME_PLAY/ARMOR_SATCHEL,a&,ui_mp_br_loot_icon_health_armor_satchel,killstreak,0,,brloot_plate_pouch
36,juggernaut,a&CP_WEAPON_BUY/BUY_JUGGERNAUT,a&,hud_icon_killstreak_juggernaut,killstreak,8000,,cp_crate_killstreak_juggernaut
37,cluster_spike,a&KILLSTREAKS/CLUSTER_SPIKE,a&,hud_icon_killstreak_clusterspike,killstreak,500,,cp_crate_killstreak_cluster_spike
38,auto_drone,a&KILLSTREAKS/AUTO_DRONE,a&,hud_icon_killstreak_auto_drone,killstreak,3000,,cp_crate_killstreak_auto_drone
39,skiptimer,a&CP_WEAPON_BUY/SKIPTIMER,a&,hud_icon_killstreak_death_switch,misc,,,cpcrate_skiptimer
