string,string,localized_a,localized_a,string,string,string,string,string,string,string,string
11795,jup_jp01_ar_golf36_mastery_gold_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11510|11424
11796,jup_jp01_ar_golf36_mastery_plat_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11512|11424
11798,jup_jp01_ar_golf36_mastery_dama_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11513|11424
11800,jup_jp01_ar_golf36_camo_plat_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11510|11803
11802,jup_jp01_ar_golf36_camo_dama_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11512|11805
13868,jup_jp01_ar_golf36_mastery_orion_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,13792|11424
13870,jup_jp01_ar_golf36_mastery_orion,a&CHALLENGE/CAMO_MASTERY_ORION_JUP,a&CHALLENGE/CAMO_MASTERY_ORION_JUP_DESC,400,35112+37403,10000,,,,jup_jp01_ar_golf36_mastery_orion_unlock,
16255,jup_jp01_ar_golf36_mastery_completionist,a&CHALLENGE/MASTERY_COMPLETIONIST_JUP,a&CHALLENGE/MASTERY_COMPLETIONIST_JUP_DESC,4,43177,,,,,,11514|11515|11516|13870
17902,jup_jp01_ar_golf36_camo_ob_1,a&JUP_OB_CAMO_NAMES/JUP_AR_GOLF36_CAMO_1,a&JUP_OB_CAMO_CHALLENGES/BASE_1,250,39280,1000,,,,jup_jp01_ar_golf36_progression,
17903,jup_jp01_ar_golf36_camo_ob_2,a&JUP_OB_CAMO_NAMES/JUP_AR_GOLF36_CAMO_2,a&JUP_OB_CAMO_CHALLENGES/GENERAL_RAPID_KILLS,10,39328,1500,,,,jup_jp01_ar_golf36_progression,
17904,jup_jp01_ar_golf36_camo_ob_3,a&JUP_OB_CAMO_NAMES/JUP_AR_GOLF36_CAMO_3,a&JUP_OB_CAMO_CHALLENGES/GENERAL_TAC_STANCE_KILLS,250,39392,2000,,,,jup_jp01_ar_golf36_progression,
17905,jup_jp01_ar_golf36_camo_ob_4,a&JUP_OB_CAMO_NAMES/JUP_AR_GOLF36_CAMO_4,a&JUP_OB_CAMO_CHALLENGES/HUNTER_CRITICAL_KILLS,200,39362,2500,,,,jup_jp01_ar_golf36_progression,
17907,jup_jp01_ar_golf36_camo_ob_gold,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_1_JUP,a&JUP_OB_CAMO_CHALLENGES/GOLD,100,39506,4000,,,,jup_jp01_ar_golf36_camo_ob_gold_unlock,
17909,jup_jp01_ar_golf36_camo_ob_gold_unlock,a&,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_GOLD_DESC,4,,,,,,,17902|17903|17904|17905
17911,jup_jp01_ar_golf36_camo_ob_plat,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_2_JUP,a&JUP_OB_CAMO_CHALLENGES/PLATINUM,300,39538,5000,,,,jup_jp01_ar_golf36_camo_plat_unlock_ob,
17925,jup_jp01_ar_golf36_camo_plat_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,17907|17885
17913,jup_jp01_ar_golf36_camo_ob_dama,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_3_JUP,a&JUP_OB_CAMO_CHALLENGES/POLYATOMIC,30,39570,7500,,,,jup_jp01_ar_golf36_camo_dama_unlock_ob,
17927,jup_jp01_ar_golf36_camo_dama_unlock_ob,a&,a&,2,,,,,,,17911|17886
18295,jup_jp01_ar_golf36_camo_mastery_gold_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_1_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_1_JUP,300,43623+42227,4000,,,,jup_jp01_ar_golf36_camo_mastery_gold_unlock_ob,
18332,jup_jp01_ar_golf36_camo_mastery_gold_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,17907|11424
18369,jup_jp01_ar_golf36_camo_mastery_plat_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_2_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_2_JUP,600,43646+41872,5000,,,,jup_jp01_ar_golf36_camo_mastery_plat_unlock_ob,
18406,jup_jp01_ar_golf36_camo_mastery_plat_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,17911|11424
18443,jup_jp01_ar_golf36_camo_mastery_dama_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_3_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_3_JUP,900,43635+42349,7500,,,,jup_jp01_ar_golf36_camo_mastery_dama_unlock_ob,
18480,jup_jp01_ar_golf36_camo_mastery_dama_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,17913|11424
18517,jup_jp01_ar_golf36_camo_mastery_orion_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_4_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_4_JUP,1200,43688+43375,10000,,,,jup_jp01_ar_golf36_camo_mastery_orion_unlock_ob,
18554,jup_jp01_ar_golf36_camo_mastery_orion_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,17891|11424
17932,jup_jp01_ar_golf36_mastery_completionist_ob,a&JUP_OB_CAMO_CHALLENGES/WEAPON_MASTERY_UNLOCK_FINAL_NAME,a&JUP_OB_CAMO_CHALLENGES/WEAPON_MASTERY_UNLOCK_DESC_FINAL_JUP,4,43208,,,,,,18295|18369|18443|18517
12447,jup_jp02_ar_bromeo805_camo_1,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805_CAMO_1_DESC,50,33348,1000,,,,jup_jp02_ar_bromeo805_progression,
12448,jup_jp02_ar_bromeo805_camo_2,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_2,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805_CAMO_2_DESC,50,32526,1500,,,,jup_jp02_ar_bromeo805_progression,
12449,jup_jp02_ar_bromeo805_camo_3,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_3,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805_CAMO_3_DESC,15,32133,2000,,,,jup_jp02_ar_bromeo805_progression,
12450,jup_jp02_ar_bromeo805_camo_4,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_4,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805_CAMO_4_DESC,25,33367,2500,,,,jup_jp02_ar_bromeo805_progression,
12451,jup_jp02_ar_bromeo805_camo_gold,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD_DESC,10,32718,4000,,,,jup_jp02_ar_bromeo805_camo_gold_unlock,
12452,jup_jp02_ar_bromeo805_camo_gold_unlock,a&CHALLENGE/CAMO_UNLOCK_GOLD_JUP,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,4,,,,,,,12447|12448|12449|12450
12453,jup_jp02_ar_bromeo805_camo_plat,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_PLAT,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805_CAMO_PLAT_DESC,10,32719,5000,,,,jup_jp02_ar_bromeo805_camo_plat_unlock,
12454,jup_jp02_ar_bromeo805_camo_dama,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_DAMA,a&JUP_CHALLENGE/JUP_JP02_AR_BROMEO805_CAMA_DAMA_DESC,10,32720,7500,,,,jup_jp02_ar_bromeo805_camo_dama_unlock,
12455,jup_jp02_ar_bromeo805_mastery_gold,a&CHALLENGE/CAMO_MASTERY_GOLD_JUP,a&CHALLENGE/CAMO_MASTERY_GOLD_JUP_DESC,100,37087+37408,4000,,,,jup_jp02_ar_bromeo805_mastery_gold_unlock,
12456,jup_jp02_ar_bromeo805_mastery_plat,a&CHALLENGE/CAMO_MASTERY_PLAT_JUP,a&CHALLENGE/CAMO_MASTERY_PLAT_JUP_DESC,200,37436+37037,5000,,,,jup_jp02_ar_bromeo805_mastery_plat_unlock,
12457,jup_jp02_ar_bromeo805_mastery_dama,a&CHALLENGE/CAMO_MASTERY_POLY_JUP,a&CHALLENGE/CAMO_MASTERY_POLY_JUP_DESC,300,41807+41903,7500,,,,jup_jp02_ar_bromeo805_mastery_dama_unlock,
12458,jup_jp02_ar_bromeo805_mastery_gold_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12451|12470
12459,jup_jp02_ar_bromeo805_mastery_plat_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12453|12470
12460,jup_jp02_ar_bromeo805_mastery_dama_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12454|12470
12461,jup_jp02_ar_bromeo805_camo_plat_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12451|11803
12462,jup_jp02_ar_bromeo805_camo_dama_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12453|11805
16256,jup_jp02_ar_bromeo805_mastery_orion,a&CHALLENGE/CAMO_MASTERY_ORION_JUP,a&CHALLENGE/CAMO_MASTERY_ORION_JUP_DESC,400,41774+42168,10000,,,,jup_jp02_ar_bromeo805_mastery_orion_unlock,
16287,jup_jp02_ar_bromeo805_mastery_orion_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,13792|12470
16318,jup_jp02_ar_bromeo805_mastery_completionist,a&CHALLENGE/MASTERY_COMPLETIONIST_JUP,a&CHALLENGE/MASTERY_COMPLETIONIST_JUP_DESC,4,43175,,,,,,12455|12456|12457|16256
17935,jup_jp02_ar_bromeo805_camo_ob_1,a&JUP_OB_CAMO_NAMES/JUP_AR_BROMEO805_CAMO_1,a&JUP_OB_CAMO_CHALLENGES/BASE_1,250,39281,1000,,,,jup_jp02_ar_bromeo805_progression,
17971,jup_jp02_ar_bromeo805_camo_ob_2,a&JUP_OB_CAMO_NAMES/JUP_AR_BROMEO805_CAMO_2,a&JUP_OB_CAMO_CHALLENGES/GENERAL_FULL_ATTACHMENT_KILLS,250,39340,1500,,,,jup_jp02_ar_bromeo805_progression,
18007,jup_jp02_ar_bromeo805_camo_ob_3,a&JUP_OB_CAMO_NAMES/JUP_AR_BROMEO805_CAMO_3,a&JUP_OB_CAMO_CHALLENGES/UPGRADES_KILLS_WITH_FOUR_PERKS,250,39394,2000,,,,jup_jp02_ar_bromeo805_progression,
18043,jup_jp02_ar_bromeo805_camo_ob_4,a&JUP_OB_CAMO_NAMES/JUP_AR_BROMEO805_CAMO_4,a&JUP_OB_CAMO_CHALLENGES/GENERAL_CONSECUTIVE_KILLS_NO_DAMAGE,10,39480,2500,,,,jup_jp02_ar_bromeo805_progression,
18079,jup_jp02_ar_bromeo805_camo_ob_gold,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_1_JUP,a&JUP_OB_CAMO_CHALLENGES/GOLD,100,39499,4000,,,,jup_jp02_ar_bromeo805_camo_ob_gold_unlock,
18115,jup_jp02_ar_bromeo805_camo_ob_gold_unlock,a&,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_GOLD_DESC,4,,,,,,,17935|17971|18007|18043
18151,jup_jp02_ar_bromeo805_camo_ob_plat,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_2_JUP,a&JUP_OB_CAMO_CHALLENGES/PLATINUM,300,39531,5000,,,,jup_jp02_ar_bromeo805_camo_plat_unlock_ob,
18187,jup_jp02_ar_bromeo805_camo_plat_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18079|17885
18223,jup_jp02_ar_bromeo805_camo_ob_dama,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_3_JUP,a&JUP_OB_CAMO_CHALLENGES/POLYATOMIC,30,39563,7500,,,,jup_jp02_ar_bromeo805_camo_dama_unlock_ob,
18259,jup_jp02_ar_bromeo805_camo_dama_unlock_ob,a&,a&,2,,,,,,,18151|17886
18296,jup_jp02_ar_bromeo805_camo_mastery_gold_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_1_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_1_JUP,300,41664+42236,4000,,,,jup_jp02_ar_bromeo805_camo_mastery_gold_unlock_ob,
18333,jup_jp02_ar_bromeo805_camo_mastery_gold_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18079|12470
18370,jup_jp02_ar_bromeo805_camo_mastery_plat_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_2_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_2_JUP,600,41757+41881,5000,,,,jup_jp02_ar_bromeo805_camo_mastery_plat_unlock_ob,
18407,jup_jp02_ar_bromeo805_camo_mastery_plat_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18151|12470
18444,jup_jp02_ar_bromeo805_camo_mastery_dama_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_3_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_3_JUP,900,41569+42358,7500,,,,jup_jp02_ar_bromeo805_camo_mastery_dama_unlock_ob,
18481,jup_jp02_ar_bromeo805_camo_mastery_dama_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18223|12470
18518,jup_jp02_ar_bromeo805_camo_mastery_orion_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_4_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_4_JUP,1200,41473+43384,10000,,,,jup_jp02_ar_bromeo805_camo_mastery_orion_unlock_ob,
18555,jup_jp02_ar_bromeo805_camo_mastery_orion_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,17891|12470
18591,jup_jp02_ar_bromeo805_mastery_completionist_ob,a&JUP_OB_CAMO_CHALLENGES/WEAPON_MASTERY_UNLOCK_FINAL_NAME,a&JUP_OB_CAMO_CHALLENGES/WEAPON_MASTERY_UNLOCK_DESC_FINAL_JUP,4,43176,,,,,,18296|18370|18444|18518
12626,jup_jp05_ar_foxtrot2000_camo_1,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_1,a&JUP_CHALLENGE/JUP_JP05_AR_FOXTROT2000_CAMO_1_DESC,50,,1000,,,,jup_jp05_ar_foxtrot2000_progression,
12726,jup_jp05_ar_foxtrot2000_camo_2,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_2,a&JUP_CHALLENGE/JUP_JP05_AR_FOXTROT2000_CAMO_2_DESC,50,,1500,,,,jup_jp05_ar_foxtrot2000_progression,
12725,jup_jp05_ar_foxtrot2000_camo_3,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_3,a&JUP_CHALLENGE/JUP_JP05_AR_FOXTROT2000_CAMO_3_DESC,15,,2000,,,,jup_jp05_ar_foxtrot2000_progression,
12727,jup_jp05_ar_foxtrot2000_camo_4,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_4,a&JUP_CHALLENGE/JUP_JP05_AR_FOXTROT2000_CAMO_4_DESC,15,,2500,,,,jup_jp05_ar_foxtrot2000_progression,
12728,jup_jp05_ar_foxtrot2000_camo_gold,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD_DESC,10,,4000,,,,jup_jp05_ar_foxtrot2000_camo_gold_unlock,
12632,jup_jp05_ar_foxtrot2000_camo_gold_unlock,a&CHALLENGE/CAMO_UNLOCK_GOLD_JUP,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,4,,,,,,,12626|12726|12725|12727
12729,jup_jp05_ar_foxtrot2000_camo_plat,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_PLAT,a&CHALLENGE/CAMO_UNLOCK_PLAT_STD_DESC,10,,5000,,,,jup_jp05_ar_foxtrot2000_camo_plat_unlock,
12633,jup_jp05_ar_foxtrot2000_camo_dama,a&JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_DAMA,a&CHALLENGE/CAMO_UNLOCK_DAMA_STD_DESC,10,,7500,,,,jup_jp05_ar_foxtrot2000_camo_dama_unlock,
12634,jup_jp05_ar_foxtrot2000_mastery_gold,a&CHALLENGE/CAMO_MASTERY_GOLD_JUP,a&CHALLENGE/CAMO_MASTERY_GOLD_JUP_DESC,100,,4000,,,,jup_jp05_ar_foxtrot2000_mastery_gold_unlock,
12635,jup_jp05_ar_foxtrot2000_mastery_plat,a&CHALLENGE/CAMO_MASTERY_PLAT_JUP,a&CHALLENGE/CAMO_MASTERY_PLAT_JUP_DESC,200,,5000,,,,jup_jp05_ar_foxtrot2000_mastery_plat_unlock,
12636,jup_jp05_ar_foxtrot2000_mastery_dama,a&CHALLENGE/CAMO_MASTERY_POLY_JUP,a&CHALLENGE/CAMO_MASTERY_POLY_JUP_DESC,300,,7500,,,,jup_jp05_ar_foxtrot2000_mastery_dama_unlock,
12637,jup_jp05_ar_foxtrot2000_mastery_gold_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12728|12570
12638,jup_jp05_ar_foxtrot2000_mastery_plat_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12729|12570
12639,jup_jp05_ar_foxtrot2000_mastery_dama_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12633|12570
12640,jup_jp05_ar_foxtrot2000_camo_plat_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12728|11803
12641,jup_jp05_ar_foxtrot2000_camo_dama_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,12729|11805
16257,jup_jp05_ar_foxtrot2000_mastery_orion,a&CHALLENGE/CAMO_MASTERY_ORION_JUP,a&CHALLENGE/CAMO_MASTERY_ORION_JUP_DESC,400,,10000,,,,jup_jp05_ar_foxtrot2000_mastery_orion_unlock,
16288,jup_jp05_ar_foxtrot2000_mastery_orion_unlock,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,13792|12570
16319,jup_jp05_ar_foxtrot2000_mastery_completionist,a&CHALLENGE/MASTERY_COMPLETIONIST_JUP,a&CHALLENGE/MASTERY_COMPLETIONIST_JUP_DESC,4,,,,,,,12634|12635|12636|16257
17936,jup_jp05_ar_foxtrot2000_camo_ob_1,a&JUP_OB_CAMO_NAMES/JUP_AR_FOXTROT2000_CAMO_1,a&JUP_OB_CAMO_CHALLENGES/BASE_1,10,,1000,,,,jup_jp05_ar_foxtrot2000_progression,
17972,jup_jp05_ar_foxtrot2000_camo_ob_2,a&JUP_OB_CAMO_NAMES/JUP_AR_FOXTROT2000_CAMO_2,a&,10,,1000,,,,jup_jp05_ar_foxtrot2000_progression,
18008,jup_jp05_ar_foxtrot2000_camo_ob_3,a&JUP_OB_CAMO_NAMES/JUP_AR_FOXTROT2000_CAMO_3,a&,10,,1000,,,,jup_jp05_ar_foxtrot2000_progression,
18044,jup_jp05_ar_foxtrot2000_camo_ob_4,a&JUP_OB_CAMO_NAMES/JUP_AR_FOXTROT2000_CAMO_4,a&,10,,1000,,,,jup_jp05_ar_foxtrot2000_progression,
18080,jup_jp05_ar_foxtrot2000_camo_ob_gold,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_1_JUP,a&,10,,4000,,,,jup_jp05_ar_foxtrot2000_camo_ob_gold_unlock,
18116,jup_jp05_ar_foxtrot2000_camo_ob_gold_unlock,a&,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_GOLD_DESC,4,,,,,,,17936|17972|18008|18044
18152,jup_jp05_ar_foxtrot2000_camo_ob_plat,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_2_JUP,a&,25,,5000,,,,jup_jp05_ar_foxtrot2000_camo_plat_unlock_ob,
18188,jup_jp05_ar_foxtrot2000_camo_plat_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18080|17885
18224,jup_jp05_ar_foxtrot2000_camo_ob_dama,a&JUP_OB_CAMO_CHALLENGES/CAMO_UNLOCK_MASTERY_NAME_3_JUP,a&,25,,7500,,,,jup_jp05_ar_foxtrot2000_camo_dama_unlock_ob,
18260,jup_jp05_ar_foxtrot2000_camo_dama_unlock_ob,a&,a&,2,,,,,,,18152|17886
18297,jup_jp05_ar_foxtrot2000_camo_mastery_gold_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_1_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_1_JUP,100,,4000,,,,jup_jp05_ar_foxtrot2000_camo_mastery_gold_unlock_ob,
18334,jup_jp05_ar_foxtrot2000_camo_mastery_gold_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18080|12570
18371,jup_jp05_ar_foxtrot2000_camo_mastery_plat_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_2_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_2_JUP,200,,5000,,,,jup_jp05_ar_foxtrot2000_camo_mastery_plat_unlock_ob,
18408,jup_jp05_ar_foxtrot2000_camo_mastery_plat_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18152|12570
18445,jup_jp05_ar_foxtrot2000_camo_mastery_dama_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_3_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_3_JUP,300,,7500,,,,jup_jp05_ar_foxtrot2000_camo_mastery_dama_unlock_ob,
18482,jup_jp05_ar_foxtrot2000_camo_mastery_dama_unlock_ob,a&CHALLENGE/CAMO_GOLD_REVEAL_NAME,a&CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,18224|12570
18519,jup_jp05_ar_foxtrot2000_camo_mastery_orion_ob,a&JUP_OB_CAMO_CHALLENGES/MASTERY_NAME_4_JUP,a&JUP_OB_CAMO_CHALLENGES/MASTERY_4_JUP,400,,10000,,,,jup_jp05_ar_foxtrot2000_camo_mastery_orion_unlock_ob,
