string,string,localized_a,localized_a,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
14637,jup_ob_cryofreeze_hit_hellhound,a&,a&ZOMBIE_CHALLENGE/FREEZEBURN_DESC_2,10,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
14623,jup_ob_cryofreeze_hit_zombie,a&,a&ZOMBIE_CHALLENGE/FREEZEBURN_DESC_1,50,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
14883,jup_ob_energy_mine,a&ZOMBIE_CHALLENGE/BOMBERMAN,a&,2,,1500,,a&ZOMBIE_CHALLENGE/BOMBERMAN_SUMMARY,,,,,14626|16562,,,,,,,,35520,,
14626,jup_ob_energy_mine_kill_zombie,a&,a&ZOMBIE_CHALLENGE/BOMBERMAN_DESC_1,25,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16562,jup_ob_energy_mine_convoy,a&,a&ZOMBIE_CHALLENGE/BOMBERMAN_DESC_3_R1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16150,jup_ob_restock_complete,a&ZOMBIE_CHALLENGE/RESTOCK,a&,1,3946,1500,,a&ZOMBIE_CHALLENGE/RESTOCK_SUMMARY,,,,,16148,,,,,,,,,,
16148,jup_ob_gas_station_perks,a&,a&ZOMBIE_CHALLENGE/RESTOCK_DESC_1,3,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16132,jup_ob_saboteur_complete,a&ZOMBIE_CHALLENGE/SABOTEUR,a&,4,43531,1500,,a&ZOMBIE_CHALLENGE/SABOTEUR_SUMMARY,,,,,16133|16134|16135|14707,,,,,,,,,,
16133,jup_ob_complete_aether_extractor_contract,a&,a&ZOMBIE_CHALLENGE/SABOTEUR_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16134,jup_ob_kill_extractor_guards,a&,a&ZOMBIE_CHALLENGE/SABOTEUR_DESC_2,15,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16135,jup_ob_destroy_helicopter_reinforcements,a&,a&ZOMBIE_CHALLENGE/SABOTEUR_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
14707,jup_ob_exfil_schematic,a&,a&ZOMBIE_CHALLENGE/SABOTEUR_DESC_4,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16130,jup_ob_its_a_trap_complete,a&ZOMBIE_CHALLENGE/ITS_A_TRAP,a&,1,,1500,,a&ZOMBIE_CHALLENGE/ITS_A_TRAP_SUMMARY,,,,,16131,,,,,,,,29669,,
16131,jup_ob_activate_turret_traps,a&,a&ZOMBIE_CHALLENGE/ITS_A_TRAP_DESC_1,3,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
15689,jup_factionmissiontier_ob_act1_tier3,a&,a&,5,,,,a&,,,,,14856|14883|16150|16132|16130,,,,,,,,,,
16941,jup_factionmissiontier_ob_act1_tier4,a&,a&,1,,,,a&,,,,,16946,,,,,,,,,,
16942,jup_ob_merc_stronghold_use_keycard,a&ZOMBIE_CHALLENGE/INFILTRATOR,a&ZOMBIE_CHALLENGE/INFILTRATOR_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16943,jup_ob_merc_stronghold_clear_stronghold,a&ZOMBIE_CHALLENGE/INFILTRATOR,a&ZOMBIE_CHALLENGE/INFILTRATOR_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16944,jup_ob_merc_stronghold_open_safe,a&ZOMBIE_CHALLENGE/INFILTRATOR,a&ZOMBIE_CHALLENGE/INFILTRATOR_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16945,jup_ob_merc_stronghold_retrieve_intel,a&ZOMBIE_CHALLENGE/INFILTRATOR,a&ZOMBIE_CHALLENGE/INFILTRATOR_DESC_4,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16946,jup_ob_merc_stronghold,a&ZOMBIE_CHALLENGE/INFILTRATOR,a&,3,,3000,,a&ZOMBIE_CHALLENGE/INFILTRATOR_SUMMARY,,,,,16942|16943|16945,,,,,,,,35523,,
14882,jup_ob_frenzied_guard,a&ZOMBIE_CHALLENGE/BRINGEMON,a&,3,3948,1500,,a&ZOMBIE_CHALLENGE/BRINGEMON_SUMMARY,,,,,14382|14385|16819,,,,,,,,,,
14382,jup_ob_frenzied_guard_kill,a&,a&ZOMBIE_CHALLENGE/BRINGEMON_DESC_1,50,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
14385,jup_ob_special_elite_frenzied_guard_kill,a&,a&ZOMBIE_CHALLENGE/BRINGEMON_DESC_2_R1,1,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16819,jup_ob_pickup_ava_intel_item_from_frenzied_guard_special_elite,a&,a&ZOMBIE_CHALLENGE/BRINGEMON_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
14885,jup_ob_shatterblast,a&ZOMBIE_CHALLENGE/BLASTED,a&,2,,1500,,a&ZOMBIE_CHALLENGE/BLASTED_SUMMARY,,,,,14633|14634,,,,,,,,35514,,
14632,jup_ob_shatterblast_obtain,a&,a&ZOMBIE_CHALLENGE/BLASTED_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_upgrades,,,,,,,,,,,,,,
14633,jup_ob_shatterblast_destroy_armor,a&,a&ZOMBIE_CHALLENGE/BLASTED_DESC_2,25,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
14634,jup_ob_pickup_ava_intel_by_armored_zombie,a&,a&ZOMBIE_CHALLENGE/BLASTED_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16136,jup_ob_hands_off_complete,a&ZOMBIE_CHALLENGE/HANDS_OFF,a&,3,35667,1500,,a&ZOMBIE_CHALLENGE/HANDS_OFF_SUMMARY,,,,,16137|16138|16139,,,,,,,,,,
16137,jup_ob_zombie_remote_turret_kills,a&,a&ZOMBIE_CHALLENGE/HANDS_OFF_DESC_1,20,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16138,jup_ob_soldier_remote_turret_kills,a&,a&ZOMBIE_CHALLENGE/HANDS_OFF_DESC_2,10,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16139,jup_ob_aquire_ava_intel_soldier_drop,a&,a&ZOMBIE_CHALLENGE/HANDS_OFF_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16140,jup_ob_raiders_of_the_lost_arms_complete,a&ZOMBIE_CHALLENGE/RAIDERS_OF_LOST_ARMS,a&,2,43530,1500,,a&ZOMBIE_CHALLENGE/RAIDERS_OF_LOST_ARMS_SUMMARY,,,,,16141|16142,,,,,,,,,,
16141,jup_ob_loot_safes,a&,a&ZOMBIE_CHALLENGE/RAIDERS_OF_LOST_ARMS_DESC_1,3,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16142,jup_ob_zombie_weapon_stash_kills,a&,a&ZOMBIE_CHALLENGE/RAIDERS_OF_LOST_ARMS_DESC_2,50,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
17060,jup_ob_complete_escort_chaperone,a&,a&ZOMBIE_CHALLENGE/CHAPERONE_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
17061,jup_ob_escort_kills,a&,a&ZOMBIE_CHALLENGE/CHAPERONE_DESC_2,75,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
17062,jup_ob_maintain_escort_health,a&,a&ZOMBIE_CHALLENGE/CHAPERONE_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
17063,jup_ob_exfil_schematic_chaperone,a&,a&ZOMBIE_CHALLENGE/CHAPERONE_DESC_4,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
17064,jup_ob_chaperone_complete,a&ZOMBIE_CHALLENGE/CHAPERONE,a&,4,,1500,,a&ZOMBIE_CHALLENGE/CHAPERONE_SUMMARY,,,,,17060|17061|17062|17063,,,,,,,,35520,,
16144,jup_ob_nest_wrecker_complete,a&ZOMBIE_CHALLENGE/NEST_WRECKER,a&,3,,1500,,a&ZOMBIE_CHALLENGE/NEST_WRECKER_SUMMARY,,,,,16145|16146|16147,,,,,,,,35518,,
16145,jup_ob_obtain_gas_mask,a&,a&ZOMBIE_CHALLENGE/NEST_WRECKER_DESC1,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16146,jup_ob_destroy_aether_nest,a&,a&ZOMBIE_CHALLENGE/NEST_WRECKER_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16147,jup_ob_aquire_ava_intel_aether_nest,a&,a&ZOMBIE_CHALLENGE/NEST_WRECKER_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
15690,jup_factionmissiontier_ob_act1_tier5,a&,a&,2,,,,a&,,,,,16136|14885|14882|16140|17064|16144,,,,,,,,,,
15691,jup_factionmission_ob_act1,a&,a&,6,31367,,,a&,,,,,15688|16090|15689|16941|15690|16823|17302,,,,,,,,,,
16820,jup_ob_outlast_enter_anomaly,a&ZOMBIE_CHALLENGE/WHERES_AVA,a&ZOMBIE_CHALLENGE/WHERES_AVA_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16821,jup_ob_outlast_pickup_avas_tablet,a&ZOMBIE_CHALLENGE/WHERES_AVA,a&ZOMBIE_CHALLENGE/WHERES_AVA_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16822,jup_ob_outlast_wheres_ava,a&ZOMBIE_CHALLENGE/WHERES_AVA,a&,1,35666,3000,,a&ZOMBIE_CHALLENGE/WHERES_AVA_SUMMARY,,,,,16820|16821|22223,,,,,,,,,,
22223,jup_ob_exfil_wheres_dr_jansen,a&,a&ZOMBIE_CHALLENGE/DIRECT_LINE_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16823,jup_factionmissiontier_ob_act1_tier6,a&,a&,1,,,,a&,,,,,16822,,,,,,,,,,
17851,jup_ob_extraction_activate_uav,a&ZOMBIE_CHALLENGE/EXTRACTION,a&ZOMBIE_CHALLENGE/EXTRACTION_STEP1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
17554,jup_ob_extraction_locate_ava,a&ZOMBIE_CHALLENGE/EXTRACTION,a&ZOMBIE_CHALLENGE/EXTRACTION_STEP2,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
17556,jup_ob_extraction_defend_ava,a&ZOMBIE_CHALLENGE/EXTRACTION,a&ZOMBIE_CHALLENGE/EXTRACTION_STEP3,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
17558,jup_ob_extraction_escape_with_ava,a&ZOMBIE_CHALLENGE/EXTRACTION,a&ZOMBIE_CHALLENGE/EXTRACTION_STEP4,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
17551,jup_ob_extraction,a&ZOMBIE_CHALLENGE/EXTRACTION,a&,2,38809,5000,,a&ZOMBIE_CHALLENGE/EXTRACTION_SUMMARY,,,,,17554|17558,,,,,,,,,,
17302,jup_factionmissiontier_ob_act1_tier7,a&ZOMBIE_CHALLENGE/EXTRACTION,a&,1,,,,a&,,,,,17551,,,,,,,,,,
16948,jup_ob_complete_cargo_delivery_land,a&,a&ZOMBIE_CHALLENGE/SAME_DAY_DELIVERY_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16949,jup_ob_destroy_helo_chasing_cargo,a&,a&ZOMBIE_CHALLENGE/SAME_DAY_DELIVERY_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16628,jup_ob_delivery_vehicle_scuttle,a&,a&ZOMBIE_CHALLENGE/SAME_DAY_DELIVERY_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16625,jup_ob_same_day_delivery_complete,a&ZOMBIE_CHALLENGE/SAME_DAY_DELIVERY,a&,3,,3000,,a&ZOMBIE_CHALLENGE/SAME_DAY_DELIVERY_SUMMARY,,,,,16948|16949|16628,,,,,,,,35524,,
15692,jup_factionmissiontier_ob_act2_tier1,a&,a&,1,,,,a&,,,,,16625,,,,,,,,,,
16636,jup_ob_raid_weapons_stash,a&,a&ZOMBIE_CHALLENGE/SAFE_CRACKER_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16950,jup_ob_safe_drill_zombie_kill,a&,a&ZOMBIE_CHALLENGE/SAFE_CRACKER_DESC_2,30,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16951,jup_ob_safe_drill_never_pause,a&,a&ZOMBIE_CHALLENGE/SAFE_CRACKER_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16644,jup_ob_exfil_schematic_safe_cracker,a&,a&ZOMBIE_CHALLENGE/SAFE_CRACKER_DESC_4,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16635,jup_ob_safe_cracker_complete,a&ZOMBIE_CHALLENGE/SAFE_CRACKER,a&,4,,2000,,a&ZOMBIE_CHALLENGE/SAFE_CRACKER_SUMMARY,,,,,16636|16950|16951|16644,,,,,,,,29678,,
16952,jup_ob_redeploy_drone_diff_region,a&,a&ZOMBIE_CHALLENGE/ASCENSION_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16953,jup_ob_redeploy_drone_ascend_kills,a&,a&ZOMBIE_CHALLENGE/ASCENSION_DESC_2,10,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16645,jup_ob_ascension_complete,a&ZOMBIE_CHALLENGE/ASCENSION,a&,1,37353,2000,,a&ZOMBIE_CHALLENGE/ASCENSION_SUMMARY,,,,,16952,,,,,,,,,,
16152,jup_ob_merc_cleanup_complete,a&ZOMBIE_CHALLENGE/MERC_CLEANUP,a&,2,,2000,,a&ZOMBIE_CHALLENGE/MERC_CLEANUP_SUMMARY,,,,,16153|16154,,,,,,,,29668,,
16153,jup_ob_mercenary_camp_kills,a&,a&ZOMBIE_CHALLENGE/MERC_CLEANUP_DESC_1,20,,,,a&,ui_menu_missions_tracking_radial_kills,,,2,,,,,,,,,,,
16154,jup_ob_loot_mercenary_camps,a&,a&ZOMBIE_CHALLENGE/MERC_CLEANUP_DESC_2,3,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16649,jup_ob_harvester_orb_loot_collect,a&,a&ZOMBIE_CHALLENGE/REAPER_DESC_1,15,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16955,jup_ob_harvester_orbs_destroy,a&,a&ZOMBIE_CHALLENGE/REAPER_DESC_2,3,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16648,jup_ob_reaper_complete,a&ZOMBIE_CHALLENGE/REAPER,a&,2,,2000,,a&ZOMBIE_CHALLENGE/REAPER_SUMMARY,,,,,16649|16955,,,,,,,,29674,,
14641,jup_ob_healing_aura_heal,a&ZOMBIE_CHALLENGE/GUARDIAN_ANGEL,a&ZOMBIE_CHALLENGE/GUARDIAN_ANGEL_DESC_1,20,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
15914,jup_ob_guardian_angel_complete,a&ZOMBIE_CHALLENGE/GUARDIAN_ANGEL,a&,1,,2000,,a&ZOMBIE_CHALLENGE/GUARDIAN_ANGEL_SUMMARY,,,,,14641,,,,,,,,35521,,
14994,jup_ob_deadwire,a&ZOMBIE_CHALLENGE/SHOCKED,a&,2,39694,2000,,a&ZOMBIE_CHALLENGE/SHOCKED_SUMMARY,,,,,14996|16804,,,,,,,,,,
14996,jup_ob_deadwire_proc,a&ZOMBIE_CHALLENGE/SHOCKED,a&ZOMBIE_CHALLENGE/SHOCKED_DESC_1,25,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16804,jup_ob_deadwire_special_proc,a&ZOMBIE_CHALLENGE/SHOCKED,a&ZOMBIE_CHALLENGE/SHOCKED_DESC_2,5,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
15693,jup_factionmissiontier_ob_act2_tier2,a&,a&,6,,,,a&,,,,,16635|16645|16152|16648|15914|14994,,,,,,,,,,
14967,jup_ob_pap_more_firepower,a&ZOMBIE_CHALLENGE/MORE_FIREPOWER,a&,3,35665,2000,,a&ZOMBIE_CHALLENGE/MORE_FIREPOWER_SUMMARY,,,,,14925|14928|14929,,,,,,,,,,
14925,jup_ob_pap_purchase_level_2,a&,a&ZOMBIE_CHALLENGE/MORE_FIREPOWER_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_upgrades,,,,,,,,,,,,,,
14928,jup_ob_pap_kill_zombie_level_2,a&,a&ZOMBIE_CHALLENGE/MORE_FIREPOWER_DESC_2,75,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
14929,jup_ob_pap_kill_zombie_special_level_2,a&,a&ZOMBIE_CHALLENGE/MORE_FIREPOWER_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
16957,jup_ob_big_bounty_green,a&,a&ZOMBIE_CHALLENGE/BOUNTY_HUNTER_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16958,jup_ob_big_bounty_yellow,a&,a&ZOMBIE_CHALLENGE/BOUNTY_HUNTER_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16959,jup_ob_big_bounty_orange,a&,a&ZOMBIE_CHALLENGE/BOUNTY_HUNTER_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16651,jup_ob_bounty_hunter_complete,a&ZOMBIE_CHALLENGE/BOUNTY_HUNTER,a&,3,,2000,,a&ZOMBIE_CHALLENGE/BOUNTY_HUNTER_SUMMARY,,,,,16957|16958|16959,,,,,,,,35515,,
16656,jup_ob_obtain_essence_bazaar,a&,a&ZOMBIE_CHALLENGE/ESSENCE_OF_AETHER_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16657,jup_ob_obtain_essence_shops,a&,a&ZOMBIE_CHALLENGE/ESSENCE_OF_AETHER_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16658,jup_ob_obtain_essence_retail,a&,a&ZOMBIE_CHALLENGE/ESSENCE_OF_AETHER_DESC_3,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16655,jup_ob_essence_of_aether_complete,a&ZOMBIE_CHALLENGE/ESSENCE_OF_AETHER,a&,3,,2000,,a&ZOMBIE_CHALLENGE/ESSENCE_OF_AETHER_SUMMARY,,,,,16656|16657|16658,,,,,,,,29644,,
15694,jup_factionmissiontier_ob_act2_tier3,a&,a&,3,,,,a&,,,,,14967|16651|16655,,,,,,,,,,
16444,jup_factionmissiontier_ob_act2_tier4,a&,a&,1,,,,a&,,,,,16445,,,,,,,,,,
16445,jup_ob_aether_extractor,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_TITLE,a&,2,43529,3000,,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_TITLE_SUMMARY,,,,,16446|16547,,,,,,,,,,
16446,jup_ob_aether_extractor_destroy,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_TITLE,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_DESC1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16547,jup_ob_aether_extractor_pickup_container,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_TITLE,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_DESC2,1,,,,a&,ui_menu_missions_tracking_radial_loot,,,,,,,,,,,,,,
16548,jup_ob_aether_extractor_exfil,a&ZOMBIE_CHALLENGE/SIPHON_AETHER_TITLE,a&,3,,,,a&,,,,,,,,,,,,,,,
14961,jup_ob_brainrot_kill,a&ZOMBIE_CHALLENGE/MIND_CONTROL,a&ZOMBIE_CHALLENGE/MIND_CONTROL_DESC_2,25,,,,a&,ui_menu_missions_tracking_radial_kills,,,,,,,,,,,,,,
14962,jup_ob_brainrot_proc,a&ZOMBIE_CHALLENGE/MIND_CONTROL,a&ZOMBIE_CHALLENGE/MIND_CONTROL_DESC_1,20,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
14960,jup_ob_brainrot,a&ZOMBIE_CHALLENGE/MIND_CONTROL,a&,2,,2500,,a&ZOMBIE_CHALLENGE/MIND_CONTROL_SUMMARY,,,,,14962|14961,,,,,,,,29673,,
14630,jup_ob_frost_blast_freeze_zombie,a&,a&ZOMBIE_CHALLENGE/FROST_BITE_DESC_1,50,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16986,jup_ob_frost_blast_freeze_mimics,a&,a&ZOMBIE_CHALLENGE/FROST_BITE_DESC_2,5,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16629,jup_ob_frost_bite_complete,a&ZOMBIE_CHALLENGE/FROST_BITE,a&,2,3955,2500,,a&ZOMBIE_CHALLENGE/FROST_BITE_SUMMARY,,,,,14630|16986,,,,,,,,,,
16965,jup_ob_spore_control_complete,a&,a&ZOMBIE_CHALLENGE/EXTERMINATOR_DESC_1,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
16970,jup_ob_spore_regen_denied,a&,a&ZOMBIE_CHALLENGE/EXTERMINATOR_DESC_2,1,,,,a&,ui_menu_missions_tracking_radial_investigate,,,,,,,,,,,,,,
