string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string,int
16568,jup_sb_ch_prestige_s1_first_blood_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_FIRST_BLOOD_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_FIRST_BLOOD_KILLS_DESC,a&,10|25|50,,500|1000|2000,4,2,,,a&,1000,,,0
14803,jup_sb_ch_prestige_s1_marksman_double_kill,a&CHALLENGE/SB_CH_PRESTIGE_S1_MARKSMAN_DOUBLE_KILL,a&CHALLENGE/SB_CH_PRESTIGE_S1_MARKSMAN_DOUBLE_KILL_DESC,a&,3|5|10,,500|1000|2000,4,3,,,a&,1000,,,0
16100,jup_sb_ch_prestige_s1_aftermarket_parts_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_AFTERMARKET_PART_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_AFTERMARKET_PART_KILLS_DESC,a&,50|100|250,,500|1000|2000,4,4,,,a&,1000,,,0
14804,jup_sb_ch_prestige_s1_canvas_sneaker_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_CANVAS_SNEAKER_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_CANVAS_SNEAKER_KILLS_DESC,a&,50|100|250,,500|1000|2000,5,1,,,a&,1000,,,0
14805,jup_sb_ch_prestige_s1_lmg_headshot_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_LMG_HEADSHOT_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_LMG_HEADSHOT_KILLS_DESC,a&,5|10|25,,500|1000|2000,5,2,,,a&,1000,,,0
14806,jup_sb_ch_prestige_s1_melee_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_MELEE_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_MELEE_KILLS_DESC,a&,10|25|50,,500|1000|2000,5,3,,,a&,1000,,,0
14807,jup_sb_ch_prestige_s1_killstreak_kills,a&CHALLENGE/SB_CH_PRESTIGE_S1_KILLSTREAK_KILLS,a&CHALLENGE/SB_CH_PRESTIGE_S1_KILLSTREAK_KILLS_DESC,a&,5|10|25,,500|1000|2000,5,4,,,a&,1000,,,0
14835,jup_ch_prestige_s1_mastery_1,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_1,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_1_DESC,a&,4,6031,,1,1,14763|14764|14776|15742,,a&,1000,,,0
14836,jup_ch_prestige_s1_mastery_2,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_2,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_2_DESC,a&,4,,,2,3,14778|14795|14796|14797,,a&,1000,,,0
14838,jup_ch_prestige_s1_mastery_3,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_3,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_3_DESC,a&,4,,,3,5,14798|14800|14808|16566,,a&,1000,,,0
14839,jup_ch_prestige_s1_mastery_4,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_4,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_4_DESC,a&,4,,,4,7,14802|14803|16100|16568,,a&,1000,,,0
14843,jup_ch_prestige_s1_mastery_5,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_5,a&CHALLENGE/SB_CH_PRESTIGE_S1_MASTERY_5_DESC,a&,4,,,5,9,14804|14805|14806|14807,,a&,1000,,,0
21391,jup_ob_sb_ch_s1_p1_hold_all_these_knives,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_HOLD_KNIVES_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_HOLD_KNIVES_DESC,a&,1,46479,3000,1,1,,,a&,1000,,,0
21394,jup_ob_sb_ch_s1_p1_speed_demon,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_SPEED_DEMON_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_SPEED_DEMON_DESC,a&,200,46470,3000,1,2,,,a&,1000,,,0
21395,jup_ob_sb_ch_s1_p1_thats_classified,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_THATS_CLASSIFIED_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_THATS_CLASSIFIED_DESC,a&,1,46475,3000,1,3,,,a&,1000,,,0
21396,jup_ob_sb_ch_s1_p1_charred_flesh,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_CHARRED_FLESH_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_CHARRED_FLESH_DESC,a&,25,46473,3000,1,4,,,a&,1000,,,0
21398,jup_ob_sb_ch_s1_p1_prestige_mastery_1,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_PRESTIGE1_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P1_PRESTIGE1_MASTERY_DESC,a&,4,36213,5000,1,2,21391|21394|21395|21396,,a&,1000,,,0
21426,jup_ob_sb_ch_s1_p2_bab_yaga,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_BABA_YAGA_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_BABA_YAGA_DESC,a&,250,46482,3000,2,1,,,a&,1000,,,0
21427,jup_ob_sb_ch_s1_p2_tripod_mounted,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_TRIPOD_MOUNTED_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_TRIPOD_MOUNTED_DESC,a&,50,46480,3000,2,2,,,a&,1000,,,0
21428,jup_ob_sb_ch_s1_p2_cut_them_down,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_CUT_THEM_DOWN_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_CUT_THEM_DOWN_DESC,a&,10,46478,3000,2,3,,,a&,1000,,,0
21429,jup_ob_sb_ch_s1_p2_frosted,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_FROSTED_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_FROSTED_DESC,a&,75,44351,3000,2,4,,,a&,1000,,,0
21430,jup_ob_sb_ch_s1_p2_prestige_mastery_2,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_PRESTIGE2_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P2_PRESTIGE2_MASTERY_DESC,a&,4,36215,5000,2,4,21426|21427|21428|21429,,a&,1000,,,0
21432,jup_ob_sb_ch_s1_p3_wave_breaker,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_WAVE_BREAKER_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_WAVE_BREAKER_DESC,a&,30,46472,3000,3,1,,,a&,1000,,,0
21433,jup_ob_sb_ch_s1_p3_unbridled_rage,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_UNBRIDLED_RAGE_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_UNBRIDLED_RAGE_DESC,a&,1,46471,3000,3,2,,,a&,1000,,,0
21434,jup_ob_sb_ch_s1_p3_you_can_do_that,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_YOU_CAN_DO_THAT_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_YOU_CAN_DO_THAT_DESC,a&,150,46483,3000,3,3,,,a&,1000,,,0
21435,jup_ob_sb_ch_s1_p3_something_in_common,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_SOMETHING_IN_COMMON_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_SOMETHING_IN_COMMON_DESC,a&,1000,36286,3000,3,4,,,a&,1000,,,0
21436,jup_ob_sb_ch_s1_p3_prestige_3_mastery,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_PRESTIGE3_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P3_PRESTIGE3_MASTERY_DESC,a&,4,36287,5000,3,6,21432|21433|21434|21435,,a&,1000,,,0
23153,jup_ob_sb_ch_s1_p4_ampd_up,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_AMPD_UP_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_AMPD_UP_DESC,a&,1000,46485,3000,4,1,,,a&,1000,,,0
23155,jup_ob_sb_ch_s1_p4_team_medic,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_TEAM_MEDIC_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_TEAM_MEDIC_DESC,a&,15,46477,3000,4,2,,,a&,1000,,,0
23160,jup_ob_sb_ch_s1_p4_unlimited_power,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_UNLIMITED_POWER_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_UNLIMITED_POWER_DESC,a&,1,36216,3000,4,3,,,a&,1000,,,0
23159,jup_ob_sb_ch_s1_p4_really,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_REALLY_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_REALLY_DESC,a&,1,46474,3000,4,4,,,a&,1000,,,0
23163,jup_ob_sb_ch_s1_p4_prestige_4_mastery,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_PRESTIGE4_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P4_PRESTIGE4_MASTERY_DESC,a&,4,36214,5000,4,8,23153|23155|23160|23159,,a&,1000,,,0
23164,jup_ob_sb_ch_s1_p5_shock_and_awe,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_SHOCK_AND_AWE_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_SHOCK_AND_AWE_DESC,a&,300,46484,3000,5,1,,,a&,1000,,,0
23166,jup_ob_sb_ch_s1_p5_untouchable,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_UNTOUCHABLE_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_UNTOUCHABLE_DESC,a&,1,46481,3000,5,2,,,a&,1000,,,0
23330,jup_ob_sb_ch_s1_p5_slippery_slope,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_SLIPPERY_SLOPE_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_SLIPPERY_SLOPE_DESC,a&,100,46476,3000,5,3,,,a&,1000,,,0
23335,jup_ob_sb_ch_s1_p5_endless_massacre,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_ENDLESS_MASSACRE_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_ENDLESS_MASSACRE_DESC,a&,300,44350,3000,5,4,,,a&,1000,,,0
23334,jup_ob_sb_ch_s1_p5_prestige_5_mastery,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_PRESTIGE5_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/PRESTIGE_P5_PRESTIGE5_MASTERY_DESC,a&,4,44288,5000,5,10,23164|23166|23330|23335,,a&,1000,,,0
