string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
22015,jup_daily_ob_ch_p2_packapunch_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_PACK_A_PUNCH_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_PACK_A_PUNCH_KILLS_DESCRIPTION,100,2500,,2,,,,,2,,
22016,jup_daily_ob_ch_p2_killstreak_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_USED_KILLSTREAK_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_USED_KILLSTREAK_DESCRIPTION,5,2500,,2,,,,,3,,
22017,jup_daily_ob_ch_p2_mangler_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_MANGLER_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_MANGLER_KILLS_DESCRIPTION,1,2500,,2,,,,,4,,
22018,jup_daily_ob_ch_p2_hellhound_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_HELLHOUND_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_HELLHOUND_KILLS_DESCRIPTION,25,2500,,2,,,,,5,,
22019,jup_daily_ob_ch_p2_disciple_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_DISCIPLE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_DISCIPLE_KILLS_DESCRIPTION,1,2500,,2,,,,,6,,
22020,jup_daily_ob_ch_p2_mimic_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_MIMIC_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_MIMIC_KILLS_DESCRIPTION,1,2500,,2,,,,,7,,
22021,jup_daily_ob_ch_p2_mercenary_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_MERCENARY_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_MERCENARY_KILLS_DESCRIPTION,15,2500,,2,,,,,8,,
22022,jup_daily_ob_ch_p2_armored_zombie_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_ARMORED_ZOMBIE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_ARMORED_ZOMBIE_KILLS_DESCRIPTION,30,2500,,2,,,,,9,,
22023,jup_daily_ob_ch_p2_fire_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_FIRE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_FIRE_KILLS_DESCRIPTION,30,2500,,2,,,,,10,,
22024,jup_daily_ob_ch_p2_frost_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_FROST_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_FROST_KILLS_DESCRIPTION,30,2500,,2,,,,,11,,
22026,jup_daily_ob_ch_p2_electric_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_ELECTRIC_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_ELECTRIC_KILLS_DESCRIPTION,30,2500,,2,,,,,12,,
22025,jup_daily_ob_ch_p2_toxic_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL2_TOXIC_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL2_TOXIC_KILLS_DESCRIPTION,30,2500,,2,,,,,13,,
22027,jup_daily_ob_ch_p3_assault_rifle_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_ASSAULT_RIFLE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_ASSAULT_RIFLE_KILLS_DESCRIPTION,100,2500,,3,,,,,1,,
22028,jup_daily_ob_ch_p3_battle_rifle_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_BATTLE_RIFLE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_BATTLE_RIFLE_KILLS_DESCRIPTION,100,2500,,3,,,,,2,,
22029,jup_daily_ob_ch_p3_smg_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SMG_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SMG_CRITICAL_KILLS_DESCRIPTION,100,2500,,3,,,,,3,,
22030,jup_daily_ob_ch_p3_shotgun_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SHOTGUN_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SHOTGUN_KILLS_DESCRIPTION,100,2500,,3,,,,,4,,
22031,jup_daily_ob_ch_p3_marksman_rifle_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_MARKSMAN_RIFLE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_MARKSMAN_RIFLE_KILLS_DESCRIPTION,100,2500,,3,,,,,5,,
22032,jup_daily_ob_ch_p3_sniper_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SNIPER_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SNIPER_KILLS_DESCRIPTION,100,2500,,3,,,,,6,,
22034,jup_daily_ob_ch_p3_lmg_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_LMG_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_LMG_KILLS_DESCRIPTION,100,2500,,3,,,,,7,,
22036,jup_daily_ob_ch_p3_pistol_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_PISTOL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_PISTOL_KILLS_DESCRIPTION,100,2500,,3,,,,,8,,
22037,jup_daily_ob_ch_p3_launcher_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_LAUNCHER_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_LAUNCHER_KILLS_DESCRIPTION,75,2500,,3,,,,,9,,
22038,jup_daily_ob_ch_p3_melee_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_MELEE_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_MELEE_KILLS_DESCRIPTION,75,2500,,3,,,,,10,,
22039,jup_daily_ob_ch_p3_assault_rifle_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_ASSAULT_RIFLE_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_ASSAULT_RIFLE_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,11,,
22040,jup_daily_ob_ch_p3_battle_rifle_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_BATTLE_RIFLE_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_BATTLE_RIFLE_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,12,,
22041,jup_daily_ob_ch_p3_smg_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SMG_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SMG_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,13,,
22046,jup_daily_ob_ch_p3_shotgun_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SHOTGUN_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SHOTGUN_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,14,,
22047,jup_daily_ob_ch_p3_marksman_rifle_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_MARKSMAN_RIFLE_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_MARKSMAN_RIFLE_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,15,,
22048,jup_daily_ob_ch_p3_sniper_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SNIPER_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_SNIPER_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,16,,
22049,jup_daily_ob_ch_p3_lmg_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_LMG_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_LMG_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,17,,
22050,jup_daily_ob_ch_p3_pistol_critical_kills,a&CHALLENGE_DAILY_OB/DAILY_POOL3_PISTOL_CRITICAL_KILLS_TITLE,a&CHALLENGE_DAILY_OB/DAILY_POOL3_PISTOL_CRITICAL_KILLS_DESCRIPTION,75,2500,,3,,,,,18,,
21792,jup_daily_ob_ch_bonus,a&,a&,3,,,4,,,,,1,,
