string,string,string,localized,string,string,string,string,string,string,localized,string
11,taunt_mp_western_quin_default,quin_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,4,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
12,taunt_mp_western_kato_default,kato_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
13,taunt_mp_western_zedra_default,zedra_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
14,taunt_mp_western_golem_default,golem_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,2,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
15,taunt_mp_western_farah_default,farah_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
16,taunt_mp_western_ghost_default,ghost_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,3,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
17,taunt_mp_western_lynch_default,lynch_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,4,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
18,taunt_mp_western_hooper_default,hooper_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
19,taunt_mp_eastern_stohli_default,stohli_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
20,taunt_mp_eastern_rodion_default,rodion_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,2,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
21,taunt_mp_eastern_trigg_default,trigg_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,3,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
22,taunt_mp_eastern_grinch_default,grinch_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,4,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
23,taunt_mp_eastern_iskra_default,iskra_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
24,taunt_mp_eastern_yegor_default,yegor_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
25,taunt_mp_eastern_kreuger_default,kreuger_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,2,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
26,taunt_mp_eastern_dingo_default,dingo_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
27,taunt_mp_eastern_azur_default,azur_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,3,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
28,taunt_mp_eastern_yolandi_default,yolandi_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,4,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
29,taunt_mp_eastern_zane_default,zane_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
30,taunt_mp_eastern_minotavr_default,minotavr_eastern,&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,1,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
31,taunt_mp_western_raines_default,raines_western,&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,4,&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
