string,string,string,localized,string,string,string,string,string,string
30,sticker_iw9_030,,&STICKERS/STICKER_030,ui_sticker_030,standard,1,,,0
31,sticker_iw9_031,,&STICKERS/STICKER_031,ui_sticker_031,standard,,,,0
32,sticker_iw9_032,,&STICKERS/STICKER_032,ui_sticker_032,standard,1,,,0
33,sticker_iw9_033,,&STICKERS/STICKER_033,ui_sticker_033,standard,1,,,0
34,sticker_iw9_034,,&STICKERS/STICKER_034,ui_sticker_034,standard,1,,,0
35,sticker_iw9_035,,&STICKERS/STICKER_035,ui_sticker_035,standard,1,,,0
36,sticker_iw9_036,,&STICKERS/STICKER_036,ui_sticker_036,standard,1,,,0
37,sticker_iw9_037,,&STICKERS/STICKER_037,ui_sticker_037,standard,,,,0
38,sticker_iw9_038,,&STICKERS/STICKER_038,ui_sticker_038,standard,,,,0
39,sticker_iw9_039,,&STICKERS/STICKER_039,ui_sticker_039,standard,,,,0
40,sticker_iw9_040,,&STICKERS/STICKER_040,ui_sticker_040,standard,,,,0
41,sticker_iw9_041,,&STICKERS/STICKER_041,ui_sticker_041,standard,1,,,0
42,sticker_iw9_042,,&STICKERS/STICKER_042,ui_sticker_042,standard,,,,0
43,sticker_iw9_043,,&STICKERS/STICKER_043,ui_sticker_043,standard,1,,,0
44,sticker_iw9_044,,&STICKERS/STICKER_044,ui_sticker_044,standard,1,,,0
45,sticker_iw9_045,,&STICKERS/STICKER_045,ui_sticker_045,standard,1,,,0
46,sticker_iw9_046,,&STICKERS/STICKER_046,ui_sticker_046,standard,1,,,0
47,sticker_iw9_047,,&STICKERS/STICKER_047,ui_sticker_047,standard,1,,,0
48,sticker_iw9_048,,&STICKERS/STICKER_048,ui_sticker_048,standard,1,,,0
49,sticker_iw9_049,,&STICKERS/STICKER_049,ui_sticker_049,standard,1,,,0
50,sticker_iw9_050,,&STICKERS/STICKER_050,ui_sticker_050,standard,1,,,0
51,sticker_iw9_051,,&STICKERS/STICKER_051,ui_sticker_051,standard,1,,,0
52,sticker_iw9_052,,&STICKERS/STICKER_052,ui_sticker_052,standard,1,,,0
53,sticker_iw9_053,,&STICKERS/STICKER_053,ui_sticker_053,standard,1,,,0
54,sticker_iw9_054,,&STICKERS/STICKER_054,ui_sticker_054,standard,1,,,0
55,sticker_iw9_055,,&STICKERS/STICKER_055,ui_sticker_055,standard,1,,,0
56,sticker_iw9_056,,&STICKERS/STICKER_056,ui_sticker_056,standard,1,,,0
57,sticker_iw9_057,,&STICKERS/STICKER_057,ui_sticker_057,standard,1,,,0
58,sticker_iw9_058,,&STICKERS/STICKER_058,ui_sticker_058,standard,1,,,0
59,sticker_iw9_059,,&STICKERS/STICKER_059,ui_sticker_059,standard,1,,,0
60,sticker_iw9_060,,&STICKERS/STICKER_060,ui_sticker_060,standard,1,,,0
61,sticker_iw9_061,,&STICKERS/STICKER_061,ui_sticker_061,standard,1,,,0
62,sticker_iw9_062,,&STICKERS/STICKER_062,ui_sticker_062,standard,1,,,0
63,sticker_iw9_063,,&STICKERS/STICKER_063,ui_sticker_063,standard,1,,,0
64,sticker_iw9_064,,&STICKERS/STICKER_064,ui_sticker_064,standard,1,,,0
65,sticker_iw9_065,,&STICKERS/STICKER_065,ui_sticker_065,standard,1,,,0
66,sticker_iw9_066,,&STICKERS/STICKER_066,ui_sticker_066,standard,1,,,0
67,sticker_iw9_067,,&STICKERS/STICKER_067,ui_sticker_067,standard,1,,,0
68,sticker_iw9_068,,&STICKERS/STICKER_068,ui_sticker_068,standard,1,,,0
69,sticker_iw9_069,,&STICKERS/STICKER_069,ui_sticker_069,standard,1,,,0
70,sticker_iw9_070,,&STICKERS/STICKER_070,ui_sticker_070,standard,1,,,0
71,sticker_iw9_071,,&STICKERS/STICKER_071,ui_sticker_071,standard,1,,,0
72,sticker_iw9_072,,&STICKERS/STICKER_072,ui_sticker_072,standard,1,,,0
73,sticker_iw9_073,,&STICKERS/STICKER_073,ui_sticker_073,standard,1,,,0
74,sticker_iw9_074,,&STICKERS/STICKER_074,ui_sticker_074,standard,1,,,0
75,sticker_iw9_075,,&STICKERS/STICKER_075,ui_sticker_075,standard,1,,,0
76,sticker_iw9_076,,&STICKERS/STICKER_076,ui_sticker_076,standard,1,,,0
77,sticker_iw9_077,,&STICKERS/STICKER_077,ui_sticker_077,standard,1,,,0
78,sticker_iw9_078,,&STICKERS/STICKER_078,ui_sticker_078,standard,1,,,0
79,sticker_iw9_079,,&STICKERS/STICKER_079,ui_sticker_079,standard,1,,,0
80,sticker_iw9_080,,&STICKERS/STICKER_080,ui_sticker_080,standard,1,,,0
81,sticker_iw9_081,,&STICKERS/STICKER_081,ui_sticker_081,standard,1,,,0
82,sticker_iw9_082,,&STICKERS/STICKER_082,ui_sticker_082,standard,1,,,0
83,sticker_iw9_083,,&STICKERS/STICKER_083,ui_sticker_083,standard,1,,,0
84,sticker_iw9_084,,&STICKERS/STICKER_084,ui_sticker_084,standard,1,,,0
85,sticker_iw9_085,,&STICKERS/STICKER_085,ui_sticker_085,standard,1,,,0
86,sticker_iw9_086,,&STICKERS/STICKER_086,ui_sticker_086,standard,1,,,0
87,sticker_iw9_087,,&STICKERS/STICKER_087,ui_sticker_087,standard,1,,,0
88,sticker_iw9_088,,&STICKERS/STICKER_088,ui_sticker_088,standard,,,,0
89,sticker_iw9_089,,&STICKERS/STICKER_089,ui_sticker_089,standard,,,,0
90,sticker_iw9_090,,&STICKERS/STICKER_090,ui_sticker_090,standard,,,,0
91,sticker_iw9_091,,&STICKERS/STICKER_091,ui_sticker_091,standard,,,,0
92,sticker_iw9_092,,&STICKERS/STICKER_092,ui_sticker_092,standard,,,,0
93,sticker_iw9_093,,&STICKERS/STICKER_093,ui_sticker_093,standard,,,,0
94,sticker_iw9_094,,&STICKERS/STICKER_094,ui_sticker_094,standard,1,,,0
95,sticker_iw9_095,,&STICKERS/STICKER_095,ui_sticker_095,standard,1,,,0
96,sticker_iw9_096,,&STICKERS/STICKER_096,ui_sticker_096,standard,1,,,0
97,sticker_iw9_097,,&STICKERS/STICKER_097,ui_sticker_097,standard,1,,,0
98,sticker_iw9_098,,&STICKERS/STICKER_098,ui_sticker_098,standard,1,,,0
99,sticker_iw9_099,,&STICKERS/STICKER_099,ui_sticker_099,standard,1,,,0
100,sticker_iw9_100,,&STICKERS/STICKER_100,ui_sticker_100,standard,1,,,0
101,sticker_iw9_101,,&STICKERS/STICKER_101,ui_sticker_101,standard,1,,,0
102,sticker_iw9_102,,&STICKERS/STICKER_102,ui_sticker_102,standard,,,,0
103,sticker_iw9_103,,&STICKERS/STICKER_103,ui_sticker_103,standard,,,,0
104,sticker_iw9_104,,&STICKERS/STICKER_104,ui_sticker_104,standard,,,,0
105,sticker_iw9_105,,&STICKERS/STICKER_105,ui_sticker_105,standard,,,,0
106,sticker_iw9_106,,&STICKERS/STICKER_106,ui_sticker_106,standard,,,,0
107,sticker_iw9_107,,&STICKERS/STICKER_107,ui_sticker_107,standard,,,,0
108,sticker_iw9_108,,&STICKERS/STICKER_108,ui_sticker_108,standard,,,,0
109,sticker_iw9_109,,&STICKERS/STICKER_109,ui_sticker_109,standard,,,,0
110,sticker_iw9_110,,&STICKERS/STICKER_110,ui_sticker_110,standard,,,,0
111,sticker_iw9_111,,&STICKERS/STICKER_111,ui_sticker_111,standard,,,,0
112,sticker_iw9_112,,&STICKERS/STICKER_112,ui_sticker_112,standard,,,,0
113,sticker_iw9_113,,&STICKERS/STICKER_113,ui_sticker_113,standard,,,,0
114,sticker_iw9_114,,&STICKERS/STICKER_114,ui_sticker_114,standard,1,,,0
115,sticker_iw9_115,,&STICKERS/STICKER_115,ui_sticker_115,standard,1,,,0
116,sticker_iw9_116,,&STICKERS/STICKER_116,ui_sticker_116,standard,1,,,0
117,sticker_iw9_117,,&STICKERS/STICKER_117,ui_sticker_117,standard,1,,,0
118,sticker_iw9_118,,&STICKERS/STICKER_118,ui_sticker_118,standard,1,,,0
119,sticker_iw9_119,,&STICKERS/STICKER_119,ui_sticker_119,standard,1,,,0
120,sticker_iw9_120,,&STICKERS/STICKER_120,ui_sticker_120,standard,1,,,0
121,sticker_iw9_121,,&STICKERS/STICKER_121,ui_sticker_121,standard,1,,,0
122,sticker_iw9_122,,&STICKERS/STICKER_122,ui_sticker_122,standard,1,,,0
123,sticker_iw9_123,,&STICKERS/STICKER_123,ui_sticker_123,standard,1,,,0
124,sticker_iw9_124,,&STICKERS/STICKER_124,ui_sticker_124,standard,1,,,0
125,sticker_iw9_125,,&STICKERS/STICKER_125,ui_sticker_125,standard,1,,,0
126,sticker_iw9_126,,&STICKERS/STICKER_126,ui_sticker_126,standard,1,,,0
127,sticker_iw9_127,,&STICKERS/STICKER_127,ui_sticker_127,standard,1,,,0
128,sticker_iw9_128,,&STICKERS/STICKER_128,ui_sticker_128,standard,1,,,0
129,sticker_iw9_129,,&STICKERS/STICKER_129,ui_sticker_129,standard,1,,,0
130,sticker_iw9_130,,&STICKERS/STICKER_130,ui_sticker_130,standard,1,,,0
131,sticker_iw9_131,,&STICKERS/STICKER_131,ui_sticker_131,standard,1,,,0
132,sticker_iw9_132,,&STICKERS/STICKER_132,ui_sticker_132,standard,1,,,0
133,sticker_iw9_133,,&STICKERS/STICKER_133,ui_sticker_133,standard,1,,,0
134,sticker_iw9_134,,&STICKERS/STICKER_134,ui_sticker_134,standard,1,,,0
135,sticker_iw9_135,,&STICKERS/STICKER_135,ui_sticker_135,standard,1,,,0
136,sticker_iw9_136,,&STICKERS/STICKER_136,ui_sticker_136,standard,1,,,0
137,sticker_iw9_137,,&STICKERS/STICKER_137,ui_sticker_137,standard,1,,,0
138,sticker_iw9_138,,&STICKERS/STICKER_138,ui_sticker_138,standard,1,,,0
139,sticker_iw9_139,,&STICKERS/STICKER_139,ui_sticker_139,standard,1,,,0
140,sticker_iw9_140,,&STICKERS/STICKER_140,ui_sticker_140,standard,1,,,0
141,sticker_iw9_141,,&STICKERS/STICKER_141,ui_sticker_141,standard,1,,,0
142,sticker_iw9_142,,&STICKERS/STICKER_142,ui_sticker_142,standard,1,,,0
143,sticker_iw9_143,,&STICKERS/STICKER_143,ui_sticker_143,standard,1,,,0
144,sticker_iw9_144,,&STICKERS/STICKER_144,ui_sticker_144,standard,1,,,0
145,sticker_iw9_145,,&STICKERS/STICKER_145,ui_sticker_145,standard,1,,,0
146,sticker_iw9_146,,&STICKERS/STICKER_146,ui_sticker_146,standard,1,,,0
147,sticker_iw9_147,,&STICKERS/STICKER_147,ui_sticker_147,standard,1,,,0
148,sticker_iw9_148,,&STICKERS/STICKER_148,ui_sticker_148,standard,1,,,0
149,sticker_iw9_149,,&STICKERS/STICKER_149,ui_sticker_149,standard,1,,,0
150,sticker_iw9_150,,&STICKERS/STICKER_150,ui_sticker_150,standard,1,,,0
151,sticker_iw9_151,,&STICKERS/STICKER_151,ui_sticker_151,standard,1,,,0
152,sticker_iw9_152,,&STICKERS/STICKER_152,ui_sticker_152,standard,1,,,0
153,sticker_iw9_153,,&STICKERS/STICKER_153,ui_sticker_153,standard,1,,,0
154,sticker_iw9_154,,&STICKERS/STICKER_154,ui_sticker_154,standard,1,,,0
155,sticker_iw9_155,,&STICKERS/STICKER_155,ui_sticker_155,standard,1,,,0
156,sticker_iw9_156,,&STICKERS/STICKER_156,ui_sticker_156,standard,1,,,0
157,sticker_iw9_157,,&STICKERS/STICKER_157,ui_sticker_157,standard,1,,,0
158,sticker_iw9_158,,&STICKERS/STICKER_158,ui_sticker_158,standard,1,,,0
159,sticker_iw9_159,,&STICKERS/STICKER_159,ui_sticker_159,standard,1,,,0
160,sticker_iw9_160,,&STICKERS/STICKER_160,ui_sticker_160,standard,1,,,0
161,sticker_iw9_161,,&STICKERS/STICKER_161,ui_sticker_161,standard,1,,,0
162,sticker_iw9_162,,&STICKERS/STICKER_162,ui_sticker_162,standard,1,,,0
163,sticker_iw9_163,,&STICKERS/STICKER_163,ui_sticker_163,standard,1,,,0
164,sticker_iw9_164,,&STICKERS/STICKER_164,ui_sticker_164,standard,1,,,0
165,sticker_iw9_165,,&STICKERS/STICKER_165,ui_sticker_165,standard,1,,,0
166,sticker_iw9_166,,&STICKERS/STICKER_166,ui_sticker_166,standard,1,,,0
167,sticker_iw9_167,,&STICKERS/STICKER_167,ui_sticker_167,standard,1,,,0
168,sticker_iw9_168,,&STICKERS/STICKER_168,ui_sticker_168,standard,1,,,0
169,sticker_iw9_169,,&STICKERS/STICKER_169,ui_sticker_169,standard,1,,,0
170,sticker_iw9_170,,&STICKERS/STICKER_170,ui_sticker_170,standard,1,,,0
171,sticker_iw9_171,,&STICKERS/STICKER_171,ui_sticker_171,standard,1,,,0
172,sticker_iw9_172,,&STICKERS/STICKER_172,ui_sticker_172,standard,1,,,0
173,sticker_iw9_173,,&STICKERS/STICKER_173,ui_sticker_173,standard,1,,,0
174,sticker_iw9_174,,&STICKERS/STICKER_174,ui_sticker_174,standard,1,,,0
175,sticker_iw9_175,,&STICKERS/STICKER_175,ui_sticker_175,standard,1,,,0
176,sticker_iw9_176,,&STICKERS/STICKER_176,ui_sticker_176,standard,1,,,0
177,sticker_iw9_177,,&STICKERS/STICKER_177,ui_sticker_177,standard,1,,,0
178,sticker_iw9_178,,&STICKERS/STICKER_178,ui_sticker_178,standard,1,,,0
179,sticker_iw9_179,,&STICKERS/STICKER_179,ui_sticker_179,standard,1,,,0
180,sticker_iw9_180,,&STICKERS/STICKER_180,ui_sticker_180,standard,1,,,0
181,sticker_iw9_181,,&STICKERS/STICKER_181,ui_sticker_181,standard,1,,,0
182,sticker_iw9_182,,&STICKERS/STICKER_182,ui_sticker_182,standard,1,,,0
183,sticker_iw9_183,,&STICKERS/STICKER_183,ui_sticker_183,standard,1,,,0
184,sticker_iw9_184,,&STICKERS/STICKER_184,ui_sticker_184,standard,1,,,0
185,sticker_iw9_185,,&STICKERS/STICKER_185,ui_sticker_185,standard,1,,,0
186,sticker_iw9_186,,&STICKERS/STICKER_186,ui_sticker_186,standard,1,,,0
187,sticker_iw9_187,,&STICKERS/STICKER_187,ui_sticker_187,standard,1,,,0
188,sticker_iw9_188,,&STICKERS/STICKER_188,ui_sticker_188,standard,1,,,0
189,sticker_iw9_189,,&STICKERS/STICKER_189,ui_sticker_189,standard,1,,,0
190,sticker_iw9_190,,&STICKERS/STICKER_190,ui_sticker_190,standard,1,,,0
191,sticker_iw9_191,,&STICKERS/STICKER_191,ui_sticker_191,standard,1,,,0
192,sticker_iw9_192,,&STICKERS/STICKER_192,ui_sticker_192,standard,1,,,0
193,sticker_iw9_193,,&STICKERS/STICKER_193,ui_sticker_193,standard,1,,,0
194,sticker_iw9_194,,&STICKERS/STICKER_194,ui_sticker_194,standard,1,,,0
195,sticker_iw9_195,,&STICKERS/STICKER_195,ui_sticker_195,standard,1,,,0
196,sticker_iw9_196,,&STICKERS/STICKER_196,ui_sticker_196,standard,1,,,0
197,sticker_iw9_197,,&STICKERS/STICKER_197,ui_sticker_197,standard,1,,,0
198,sticker_iw9_198,,&STICKERS/STICKER_198,ui_sticker_198,standard,1,,,0
199,sticker_iw9_199,,&STICKERS/STICKER_199,ui_sticker_199,standard,1,,,0
200,sticker_iw9_200,,&STICKERS/STICKER_200,ui_sticker_200,standard,1,,,0
201,sticker_iw9_201,,&STICKERS/STICKER_201,ui_sticker_201,standard,1,,,0
202,sticker_iw9_202,,&STICKERS/STICKER_202,ui_sticker_202,standard,1,,,0
203,sticker_iw9_203,,&STICKERS/STICKER_203,ui_sticker_203,standard,1,,,0
204,sticker_iw9_204,,&STICKERS/STICKER_204,ui_sticker_204,standard,1,,,0
205,sticker_iw9_205,,&STICKERS/STICKER_205,ui_sticker_205,standard,1,,,0
206,sticker_iw9_206,,&STICKERS/STICKER_206,ui_sticker_206,standard,1,,,0
207,sticker_iw9_207,,&STICKERS/STICKER_207,ui_sticker_207,standard,1,,,0
208,sticker_iw9_208,,&STICKERS/STICKER_208,ui_sticker_208,standard,1,,,0
209,sticker_iw9_209,,&STICKERS/STICKER_209,ui_sticker_209,standard,1,,,0
210,sticker_iw9_210,,&STICKERS/STICKER_210,ui_sticker_210,standard,1,,,0
211,sticker_iw9_211,,&STICKERS/STICKER_211,ui_sticker_211,standard,1,,,0
212,sticker_iw9_212,,&STICKERS/STICKER_212,ui_sticker_212,standard,1,,,0
213,sticker_iw9_213,,&STICKERS/STICKER_213,ui_sticker_213,standard,1,,,0
214,sticker_iw9_214,,&STICKERS/STICKER_214,ui_sticker_214,standard,1,,,0
215,sticker_iw9_215,,&STICKERS/STICKER_215,ui_sticker_215,standard,1,,,0
216,sticker_iw9_216,,&STICKERS/STICKER_216,ui_sticker_216,standard,1,,,0
217,sticker_iw9_217,,&STICKERS/STICKER_217,ui_sticker_217,standard,1,,,0
218,sticker_iw9_218,,&STICKERS/STICKER_218,ui_sticker_218,standard,1,,,0
219,sticker_iw9_219,,&STICKERS/STICKER_219,ui_sticker_219,standard,1,,,0
220,sticker_iw9_220,,&STICKERS/STICKER_220,ui_sticker_220,standard,1,,,0
221,sticker_iw9_221,,&STICKERS/STICKER_221,ui_sticker_221,standard,1,,,0
222,sticker_iw9_222,,&STICKERS/STICKER_222,ui_sticker_222,standard,1,,,0
223,sticker_iw9_223,,&STICKERS/STICKER_223,ui_sticker_223,standard,1,,,0
224,sticker_iw9_224,,&STICKERS/STICKER_224,ui_sticker_224,standard,1,,,0
225,sticker_iw9_225,,&STICKERS/STICKER_225,ui_sticker_225,standard,1,,,0
226,sticker_iw9_226,,&STICKERS/STICKER_226,ui_sticker_226,standard,1,,,0
227,sticker_iw9_227,,&STICKERS/STICKER_227,ui_sticker_227,standard,1,,,0
228,sticker_iw9_228,,&STICKERS/STICKER_228,ui_sticker_228,standard,1,,,0
229,sticker_iw9_229,,&STICKERS/STICKER_229,ui_sticker_229,standard,1,,,0
230,sticker_iw9_230,,&STICKERS/STICKER_230,ui_sticker_230,standard,1,,,0
231,sticker_iw9_231,,&STICKERS/STICKER_231,ui_sticker_231,standard,1,,,0
232,sticker_iw9_232,,&STICKERS/STICKER_232,ui_sticker_232,standard,1,,,0
233,sticker_iw9_233,,&STICKERS/STICKER_233,ui_sticker_233,standard,1,,,0
234,sticker_iw9_234,,&STICKERS/STICKER_234,ui_sticker_234,standard,1,,,0
235,sticker_iw9_235,,&STICKERS/STICKER_235,ui_sticker_235,standard,1,,,0
236,sticker_iw9_236,,&STICKERS/STICKER_236,ui_sticker_236,standard,1,,,0
237,sticker_iw9_237,,&STICKERS/STICKER_237,ui_sticker_237,standard,1,,,0
238,sticker_iw9_238,,&STICKERS/STICKER_238,ui_sticker_238,standard,1,,,0
239,sticker_iw9_239,,&STICKERS/STICKER_239,ui_sticker_239,standard,1,,,0
240,sticker_iw9_240,,&STICKERS/STICKER_240,ui_sticker_240,standard,1,,,0
241,sticker_iw9_241,,&STICKERS/STICKER_241,ui_sticker_241,standard,1,,,0
242,sticker_iw9_242,,&STICKERS/STICKER_242,ui_sticker_242,standard,1,,,0
243,sticker_iw9_243,,&STICKERS/STICKER_243,ui_sticker_243,standard,1,,,0
244,sticker_iw9_244,,&STICKERS/STICKER_244,ui_sticker_244,standard,1,,,0
245,sticker_iw9_245,,&STICKERS/STICKER_245,ui_sticker_245,standard,1,,,0
246,sticker_iw9_246,,&STICKERS/STICKER_246,ui_sticker_246,standard,1,,,0
247,sticker_iw9_247,,&STICKERS/STICKER_247,ui_sticker_247,standard,1,,,0
248,sticker_iw9_248,,&STICKERS/STICKER_248,ui_sticker_248,standard,1,,,0
249,sticker_iw9_249,,&STICKERS/STICKER_249,ui_sticker_249,standard,1,,,0
250,sticker_iw9_250,,&STICKERS/STICKER_250,ui_sticker_250,standard,1,,,0
251,vinyl_iw9_001,,&STICKERS/STICKER_251,ui_sticker_251,standard,1,,,0
252,vinyl_iw9_002,,&STICKERS/STICKER_252,ui_sticker_252,standard,1,,,0
253,vinyl_iw9_003,,&STICKERS/VINYL_003,ui_vinyl_003,standard,1,,,0
254,vinyl_iw9_004,,&STICKERS/STICKER_254,ui_sticker_254,standard,1,,,0
255,vinyl_iw9_005,,&STICKERS/STICKER_255,ui_sticker_255,standard,1,,,0
256,vinyl_iw9_006,,&STICKERS/STICKER_256,ui_sticker_256,standard,1,,,0
257,vinyl_iw9_007,,&STICKERS/STICKER_257,ui_sticker_257,standard,1,,,0
258,vinyl_iw9_008,,&STICKERS/STICKER_258,ui_sticker_258,standard,1,,,0
259,vinyl_iw9_009,,&STICKERS/STICKER_259,ui_sticker_259,standard,1,,,0
260,vinyl_iw9_010,,&STICKERS/STICKER_260,ui_sticker_260,standard,1,,,0
261,vinyl_iw9_011,,&STICKERS/STICKER_261,ui_sticker_261,standard,1,,,0
262,vinyl_iw9_012,,&STICKERS/STICKER_262,ui_sticker_262,standard,1,,,0
263,vinyl_iw9_013,,&STICKERS/STICKER_263,ui_sticker_263,standard,1,,,0
264,vinyl_iw9_014,,&STICKERS/STICKER_264,ui_sticker_264,standard,1,,,0
265,vinyl_iw9_015,,&STICKERS/STICKER_265,ui_sticker_265,standard,1,,,0
266,vinyl_iw9_016,,&STICKERS/STICKER_266,ui_sticker_266,standard,1,,,0
267,vinyl_iw9_017,,&STICKERS/STICKER_267,ui_sticker_267,standard,1,,,0
268,vinyl_iw9_018,,&STICKERS/STICKER_268,ui_sticker_268,standard,1,,,0
269,vinyl_iw9_019,,&STICKERS/STICKER_269,ui_sticker_269,standard,1,,,0
270,vinyl_iw9_020,,&STICKERS/STICKER_270,ui_sticker_270,standard,1,,,0
271,vinyl_iw9_021,,&STICKERS/STICKER_271,ui_sticker_271,standard,1,,,0
272,vinyl_iw9_022,,&STICKERS/STICKER_272,ui_sticker_272,standard,1,,,0
273,vinyl_iw9_023,,&STICKERS/VINYL_023,ui_vinyl_023,standard,1,,,0
274,vinyl_iw9_024,,&STICKERS/VINYL_024,ui_vinyl_024,standard,1,,,0
275,vinyl_iw9_025,,&STICKERS/VINYL_025,ui_vinyl_025,standard,1,,,0
276,vinyl_iw9_026,,&STICKERS/VINYL_026,ui_vinyl_026,standard,1,,,0
277,vinyl_iw9_027,,&STICKERS/VINYL_027,ui_vinyl_027,standard,1,,,0
278,vinyl_iw9_028,,&STICKERS/VINYL_028,ui_vinyl_028,standard,1,,,0
279,vinyl_iw9_029,,&STICKERS/VINYL_029,ui_vinyl_029,standard,1,,,0
280,vinyl_iw9_030,,&STICKERS/STICKER_280,ui_sticker_280,standard,1,,,0
281,vinyl_iw9_031,,&STICKERS/STICKER_281,ui_sticker_281,standard,1,,,0
282,vinyl_iw9_032,,&STICKERS/STICKER_282,ui_sticker_282,standard,1,,,0
283,vinyl_iw9_033,,&STICKERS/STICKER_283,ui_sticker_283,standard,1,,,0
284,vinyl_iw9_034,,&STICKERS/STICKER_284,ui_sticker_284,standard,1,,,0
285,vinyl_iw9_035,,&STICKERS/STICKER_285,ui_sticker_285,standard,1,,,0
286,vinyl_iw9_036,,&STICKERS/STICKER_286,ui_sticker_286,standard,1,,,0
287,vinyl_iw9_037,,&STICKERS/STICKER_287,ui_sticker_287,standard,1,,,0
288,vinyl_iw9_038,,&STICKERS/STICKER_288,ui_sticker_288,standard,1,,,0
289,vinyl_iw9_039,,&STICKERS/STICKER_289,ui_sticker_289,standard,1,,,0
290,vinyl_iw9_040,,&STICKERS/STICKER_290,ui_sticker_290,standard,1,,,0
291,vinyl_iw9_041,,&STICKERS/STICKER_291,ui_sticker_291,standard,1,,,0
292,vinyl_iw9_042,,&STICKERS/STICKER_292,ui_sticker_292,standard,1,,,0
293,vinyl_iw9_043,,&STICKERS/STICKER_293,ui_sticker_293,standard,1,,,0
294,vinyl_iw9_044,,&STICKERS/STICKER_294,ui_sticker_294,standard,1,,,0
295,vinyl_iw9_045,,&STICKERS/STICKER_295,ui_sticker_295,standard,1,,,0
296,vinyl_iw9_046,,&STICKERS/STICKER_296,ui_sticker_296,standard,1,,,0
297,vinyl_iw9_047,,&STICKERS/STICKER_297,ui_sticker_297,standard,1,,,0
298,vinyl_iw9_048,,&STICKERS/STICKER_298,ui_sticker_298,standard,1,,,0
299,vinyl_iw9_049,,&STICKERS/STICKER_299,ui_sticker_299,standard,1,,,0
300,vinyl_iw9_050,,&STICKERS/STICKER_300,ui_sticker_300,standard,1,,,0
301,vinyl_iw9_051,,&STICKERS/STICKER_301,ui_sticker_301,standard,1,,,0
302,vinyl_iw9_052,,&STICKERS/STICKER_302,ui_sticker_302,standard,1,,,0
303,vinyl_iw9_053,,&STICKERS/STICKER_303,ui_sticker_303,standard,1,,,0
304,vinyl_iw9_054,,&STICKERS/STICKER_304,ui_sticker_304,standard,1,,,0
305,vinyl_iw9_055,,&STICKERS/STICKER_305,ui_sticker_305,standard,1,,,0
