string,localized,localized,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,xhash32,xhash32,xhash32,xhash32,xhash32,xhash32
mp_nogales_gw2,&LUA_MENU/MAPNAME_NOGALES,&LUA_MENU/MAPNAME_NOGALES,,0.45,205,542,0,0,0.004,ZVIR,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,image_mp_map_templogo,loading_mp_nogales_bg,0,&LUA_MENU/MAPNAME_NOGALES,25000,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd730da5,x32#hash_bd73100d,x32#hash_bd731275,x32#hash_bd7314dd,x32#hash_bd73176f,x32#hash_bd7319b7,x32#hash_bd731bff,x32#hash_bd731e47
mp_sira_gw,&LUA_MENU/MAPNAME_SIRA,&LUA_MENU/MAPNAME_SIRA,,0.45,205,542,0,0,0.004,ZVIR,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,image_mp_map_templogo,loading_mp_sira_gw_bg,0,&LUA_MENU/MAPNAME_SIRA,25000,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd730de1,x32#hash_bd731049,x32#hash_bd7312b1,x32#hash_bd731519,x32#hash_bd7317dd,x32#hash_bd731a25,x32#hash_bd731c6d,x32#hash_bd731eb5
mp_swap_meet,&LUA_MENU/MAPNAME_SWAP_MEET,&LUA_MENU/MAPNAME_SWAP_MEET,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_swap_meet_bg,0,&LUA_MENU/MAPNAME_SWAP_MEET,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_bd73178b,x32#hash_bd7319d3,x32#hash_bd731c1b,x32#hash_bd731e63
mp_saba,&LUA_MENU/MAPNAME_SABA,&LUA_MENU/MAPNAME_SABA,,,,,,,,RUSF,SAS,RUSF,SAS,RUSF,SAS,FREE,1,,15000,25000,image_mp_map_templogo,loading_mp_saba_bg,0,&LUA_MENU/MAPNAME_SABA,,DXR_OFF,,1,0,,,1,,,,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd730d85,x32#hash_bd730fed,x32#hash_bd731255,x32#hash_bd7314bd,x32#hash_bd731752,x32#hash_bd73199a,x32#hash_bd731be2,x32#hash_bd731e2a
mp_fishtown_gw,&LUA_MENU/MAPNAME_FISHTOWN,&LUA_MENU/MAPNAME_FISHTOWN,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,image_mp_map_templogo,loading_mp_fishtown_gw_bg,0,&LUA_MENU/MAPNAME_FISHTOWN,25000,DXR_OFF,,1,0,,,1,,,,1.5,1.5,1.5,1.5,1.5,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_wartorn,&LUA_MENU/MAPNAME_WARTORN,&LUA_MENU/MAPNAME_WARTORN,,0.45,205,542,0,0,0.004,RUSF,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_wartorn_bg,0,&LUA_MENU/MAPNAME_WARTORN,,DXR_OFF,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
mp_wartorn_gw,&LUA_MENU/MAPNAME_WARTORN,&LUA_MENU/MAPNAME_WARTORN,,0.45,205,542,0,0,0.004,RUSF,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,image_mp_map_templogo,loading_mp_wartorn_gw_bg,0,&LUA_MENU/MAPNAME_WARTORN,25000,DXR_OFF,,1,0,,,1,,,,1.5,1.5,1.5,1.5,1.5,12000,2000,4000,15000,2000,,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c,x32#hash_14c
cp_mission_esc,&LUA_MENU_CP/MISSION_ESC,&LUA_MENU_CP/MISSION_ESC,,,,,,,,,,,,,,,,,,,image_mp_map_templogo,loading_cp_mission_esc_bg,,&LUA_MENU_CP/MISSION_ESC,,DXR_ON,icon_cp_mode_tacops,1,0,,,1,,,,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60
cp_observatory,&LUA_MENU_CP/MISSION_OBSERVE,&LUA_MENU_CP/MISSION_OBSERVE,,,,,,,,,,,,,,,1,,6000,12000,image_mp_map_templogo,loading_cp_observatory_bg,,&LUA_MENU_CP/MISSION_OBSERVE,,DXR_ON,icon_cp_mode_tacops,1,0,,,1,,,,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60
cp_hydro,&LUA_MENU_CP/MISSION_HYDRO,&LUA_MENU_CP/MISSION_HYDRO,,,,,,,,,,,,,,,,,,,image_mp_map_templogo,loading_cp_hydro_bg,,&LUA_MENU_CP/MISSION_HYDRO,,DXR_ON,icon_cp_mode_tacops,1,0,,,1,,,,1,1,1,1,1,12000,2000,4000,15000,2000,,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60,x32#hash_bd72fa60
