string,localized,localized,string,string,string,string,string,localized,localized,localized,string,string,string,string,string,string,string,string,string,string,string,string,localized,string,string,string,string,string
infect,&LUA_MENU_MP/INFECT,&LUA_MENU_MP/INFECT_DESC,icon_mode_mp_infected,0,0,Alternate,mp_farm_18,&LUA_MENU/WARGAME_INFECT,&OBJECTIVES/INFECT_HINT,&OBJECTIVES/INFECT_HINT,0,0,icon_mode_mp_infected,icon_mode_mp_infected,1,1,1,0,1,60,15,icon_mode_mp_infected,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
gun,&LUA_MENU_MP/GUN,&LUA_MENU_MP/GUN_DESC,icon_mp_mode_gungame,0,0,Alternate,mp_farm_18,&LUA_MENU/WARGAME_GUN,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_gungame_hcore,icon_mp_mode_gungame_realism,1,1,1,0,1,60,16,icon_mp_mode_gungame,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
grnd,&LUA_MENU_MP/GRND,&LUA_MENU_MP/GRND_DESC,icon_mp_mode_dropzone,1,1,Alternate,mp_farm_18,&MPUI_GRND,&OBJECTIVES/GRND_HINT,&OBJECTIVES/GRND_HINT,0,1,icon_mp_mode_dropzone_hcore,icon_mp_mode_dropzone_realism,1,1,1,0,1,60,17,icon_mp_mode_dropzone,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
oic,&LUA_MENU_MP/OIC,&LUA_MENU_MP/OIC_DESC,icon_mp_mode_oic,0,0,Alternate,mp_farm_18,&LUA_MENU/WARGAME_GUN,&OBJECTIVES/OIC_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_oic_hcore,icon_mp_mode_oic_realism,1,1,1.4,0,1,60,18,icon_mp_mode_oic_cdl,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
ko,&LUA_MENU_MP/KO,&LUA_MENU_MP/KO_DESC,icon_mode_mp_knockout,1,1,Standard,mp_farm_18,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/KO_HINT,&OBJECTIVES/KO_HINT,2,1,icon_mode_mp_knockout,icon_mode_mp_knockout_tier1,1,0,1,0,1,60,0,icon_mode_mp_knockout,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
tdef,&LUA_MENU_MP/TDEF,&LUA_MENU_MP/TDEF_DESC,icon_mp_mode_hvt,1,1,Alternate,mp_farm_18,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/TDEF_HINT,&OBJECTIVES/TDEF_HINT,0,1,icon_mp_mode_hvt_hcore,icon_mp_mode_hvt_realism,1,1,1,0,1,60,0,icon_mp_mode_hvt,&LUA_MENU_MP/CDL_CTF_NAME,,,,,
tjugg,&LUA_MENU_MP/TJUGG,&LUA_MENU_MP/TJUGG_DESC,icon_mp_mode_teamjugg,1,1,Alternate,mp_farm_18,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/TJUGG_HINT,&OBJECTIVES/TJUGG_HINT,0,1,icon_mp_mode_teamjugg_hcore,icon_mp_mode_teamjugg_realism,1,1,1,0,1,60,0,icon_mp_mode_teamjugg,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
blitz,&LUA_MENU_MP/BLITZ,&LUA_MENU_MP/BLITZ_DESC,icon_mode_mp_ctf,1,1,Alternate,,&LUA_MENU/WARGAME_BLITZ,&OBJECTIVES/BLITZ_HINT,&OBJECTIVES/BLITZ_HINT,0,1,icon_mode_mp_ctf,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_ctf,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
br,&LUA_MENU_MP/BR,&LUA_MENU_MP/BR_DESC,icon_br_mode_wz,0,0,Alternate,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,2.5,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo
br_dmz,&LUA_MENU_MP/PAYBACK,&LUA_MENU/BLOOD_MONEY_DESC,icon_mode_wz_plunder,0,0,Alternate,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
br_plunder,&LUA_MENU_MP/PAYBACK,&LUA_MENU/BLOOD_MONEY_DESC,icon_mode_wz_plunder,0,0,Alternate,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
br_risk,&LUA_MENU_MP/RISK,&LUA_MENU_MP/RISK_DESC,icon_mission_generic,0,0,Alternate,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
br_kingslayer,&LUA_MENU_MP/BRKING,&LUA_MENU_MP/BRKING_DESC,icon_mission_generic,0,0,Alternate,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
br_mini,&LUA_MENU_MP/BRMINI,&LUA_MENU_MP/BRMINI_DESC,icon_mission_generic,0,0,Alternate,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
snatch,&LUA_MENU_MP/SNATCH,&LUA_MENU_MP/SNATCH_DESC,icon_mp_mode_arena,0,1,Alternate,,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
arm,&LUA_MENU_MP/ARMSRACE,&LUA_MENU_MP/ARMSRACE_DESC,icon_mode_mp_war,0,1,Alternate,mp_sira_gw,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/BTM_HINT,&OBJECTIVES/BTM_HINT,0,1,icon_mode_mp_war,icon_mode_mp_war_tier1,1,1,1.1,0,1.5,40,0,icon_mode_mp_war,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
esc,&LUA_MENU_MP/ESC,&LUA_MENU_MP/ESC_DESC,icon_mode_mp_arena,1,1,Alternate,,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/ESC_HINT,&OBJECTIVES/ESC_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
pill,&LUA_MENU_MP/PILL,&LUA_MENU_MP/PILL_DESC,icon_mode_mp_arena,1,1,Alternate,,&LUA_MENU/WARGAME_GRIND,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
trial,&LUA_MENU_MP/TRIAL,&LUA_MENU_MP/TRIAL_DESC,icon_mp_mode_trial,0,0,Alternate,,&LUA_MENU_WARGAME_TRIAL,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,0,icon_mp_mode_trial,icon_mp_mode_trial,1,1,1,0,1,60,0,icon_mp_mode_trial,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
brtdm,&LUA_MENU_MP/WAR,&LUA_MENU_MP/WAR_DESC,icon_mp_mode_tdm,1,1,Alternate,mp_donetsk,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_tdm_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mp_mode_tdm,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo
dmz,&LUA_MENU_MP/DMZ,&LUA_MENU_MP/DMZ_DESC,icon_mode_dmz,0,0,Alternate,,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mode_dmz,icon_mode_dmz,1,1,1,0,1,20,0,icon_mode_dmz,&LUA_MENU_MP/CDL_DOM_NAME,br_dmz,br_dmz_offline.cfg,br,hud_splash_gamemode_hexagon_rotated,hud_splash_gamemode_hexagon_rotated_topo
risk,&LUA_MENU_MP/RISK,&LUA_MENU_MP/RISK_DESC,icon_mode_mp_war,1,1,Alternate,,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/BTM_HINT,&OBJECTIVES/BTM_HINT,0,1,icon_mode_mp_war,icon_mode_mp_war_tier1,1,1,1.1,0,1.5,40,0,icon_mode_mp_war,&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo
cp_survival,&LUA_MENU_MP/TAC_OPS,&LUA_MENU_MP/TAC_OPS,icon_cp_mode_tacops,,,Alternate,cp_dwn_twn_2,&,&,&,,,,,1,1,1,0,1,60,0,icon_cp_mode_tacops,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
cp_wave_sv,&LUA_MENU_CP/WAVE_SURVIVAL,&PLAYLIST/SURVIVAL_DESC,icon_cp_mode_tacops,,,Alternate,cp_sv_aniyah,&,&,&,,,,,1,1,1,0,1,60,0,icon_cp_mode_tacops,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
cp_specops,&LUA_MENU_CP/CLASSIC_MISSIONS,&LUA_MENU_CP/CLASSIC_MISSIONS_DESC,icon_cp_mode_classic,,,Alternate,cp_so_highway,&,&,&,,,,,1,1,1,0,1,60,0,icon_cp_mode_classic,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
incursion,&LUA_MENU_CP/INCURSION,&LUA_MENU_CP/INCURSION_DESC,icon_cp_mode_classic,,,Alternate,cp_raid_proto,&,&,&,,,,,1,1,1,0,1,60,0,icon_cp_mode_classic,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
missions,&LUA_MENU_CP/MISSIONS,&LUA_MENU_CP/MISSIONS_DESC,icon_cp_mode_classic,,,Alternate,cp_mission_bads,&,&,&,,,,,1,1,1,0,1,60,0,icon_cp_mode_classic,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
cqc,&LUA_MENU_CP/CQC,&LUA_MENU_CP/CQC_DESC,icon_cp_mode_classic,,,Alternate,cp_mission_nuke,&,&,&,,,,,1,1,1,0,1,60,0,icon_cp_mode_classic,&LUA_MENU_MP/CDL_DOM_NAME,,,,,
private_arena,&LUA_MENU_MP/ARENA,&LUA_MENU_MP/ARENA_DESC,icon_mode_mp_arena,1,1,PrivateTournament,mp_m_alley,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_arena_realism,1,1,1.5,0,1.5,60,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,arena,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
private_arena_test,&LUA_MENU_MP/WAVE_SURVIVAL,&LUA_MENU_MP/ARENA_DESC,icon_mode_mp_arena,1,1,PrivateTournament,mp_m_alley,&LUA_MENU/WARGAME_TEAM_DEATHMATCH,&OBJECTIVES/WAR_HINT,&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_arena_realism,1,1,1.5,0,1.5,60,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,barena,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo
private_br_quads,&PLAYLIST/BRQUADS_NAME,&LUA_MENU_MP/QUADSBR_DESC,icon_mode_wz_br_quads,0,0,BattleRoyale,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,br_quads,,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo
private_br_solo,&PLAYLIST/BRSOLO_NAME,&LUA_MENU_MP/SOLOBR_DESC,icon_mode_wz_br,0,0,BattleRoyale,0,&LUA_MENU/WARGAME_DEATHMATCH,&OBJECTIVES/DM_HINT,&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,&LUA_MENU_MP/CDL_DOM_NAME,br_solo,,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo
