string,string,string,string,localized,localized,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
accessory010,iw8_acc_watch_analog_doritos,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY010,&ACCESSORY/ACCESSORY010_DESC,icon_gesture_bang,0,gesture023,1,10,,loot,icon_gesture_bang,ui_loot_accessory_010,,iw8_acc_attach_face_doritos,iw8_acc_attach_face_doritos_big,iw8_acc_attach_face_doritos_female,,,,
accessory011,iw8_acc_watch_analog_totinos,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY011,&ACCESSORY/ACCESSORY011_DESC,icon_gesture_phew,0,gesture023,1,11,,loot,icon_gesture_phew,ui_loot_accessory_011,,iw8_acc_attach_face_totinos,iw8_acc_attach_face_totinos_big,iw8_acc_attach_face_totinos_female,,,,
accessory012,iw8_acc_watch_digital_vac,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY012,&ACCESSORY/ACCESSORY012_DESC,icon_gesture_stopit,0,gesture023,1,12,,loot,icon_gesture_stopit,ui_loot_accessory_012,,iw8_acc_attach_face_digital_vac,iw8_acc_attach_face_digital_vac_big,iw8_acc_attach_face_digital_vac_female,,,,
accessory013,iw8_acc_watch_analog_2,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_analog_1_band,&ACCESSORY/ACCESSORY013,&ACCESSORY/ACCESSORY013_DESC,icon_gesture_peek,0,gesture023,1,13,,loot,icon_gesture_peek,ui_loot_accessory_013,,iw8_acc_attach_face_analog_2,iw8_acc_attach_face_analog_2_big,iw8_acc_attach_face_analog_2_female,,,iw8_acc_attach_watch_analog_1_band_female,
accessory014,iw8_acc_watch_analog_3,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_analog_1_2_band,&ACCESSORY/ACCESSORY014,&ACCESSORY/ACCESSORY014_DESC,icon_gesture_okay,0,gesture023,1,14,,loot,icon_gesture_okay,ui_loot_accessory_014,,iw8_acc_attach_face_analog_3,iw8_acc_attach_face_analog_3_big,iw8_acc_attach_face_analog_3_female,,,iw8_acc_attach_watch_analog_1_2_band_female,
accessory015,iw8_acc_watch_analog_4,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_analog_1_band,&ACCESSORY/ACCESSORY015,&ACCESSORY/ACCESSORY015_DESC,icon_gesture_holdposition,0,gesture023,1,15,,loot,icon_gesture_holdposition,,,iw8_acc_attach_face_analog_4,iw8_acc_attach_face_analog_4_big,iw8_acc_attach_face_analog_4_female,,,iw8_acc_attach_watch_analog_1_band_female,
accessory016,iw8_acc_watch_digital_f,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY016,&ACCESSORY/ACCESSORY016_DESC,icon_gesture_peace,0,gesture024|gesture023,1,16,,loot,icon_gesture_peace,ui_loot_accessory_016,,iw8_acc_attach_face_digital_f,iw8_acc_attach_face_digital_f_big,iw8_acc_attach_face_digital_f_female,,,,
accessory017,iw8_acc_watch_digital_g,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY017,&ACCESSORY/ACCESSORY017_DESC,icon_gesture_point,1,gesture024|gesture023,1,17,,loot,icon_gesture_point,,,iw8_acc_attach_face_digital_g,iw8_acc_attach_face_digital_g_big,iw8_acc_attach_face_digital_g_female,,,,
accessory018,iw8_acc_watch_digital_i,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY018,&ACCESSORY/ACCESSORY018_DESC,icon_gesture_moveup,0,gesture024|gesture023,0,18,,loot,icon_gesture_moveup,ui_loot_accessory_018,,iw8_acc_attach_face_digital_i,iw8_acc_attach_face_digital_i_big,iw8_acc_attach_face_digital_i_female,,,,
accessory019,iw8_acc_watch_analog_kyle,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_analog_kyle_band,&ACCESSORY/ACCESSORY019,&ACCESSORY/ACCESSORY019_DESC,icon_gesture_fallback,0,gesture023,1,19,,loot,icon_gesture_fallback,ui_loot_accessory_019,,iw8_acc_attach_face_analog_kyle,iw8_acc_attach_face_analog_kyle_big,iw8_acc_attach_face_analog_kyle_female,,,iw8_acc_attach_watch_analog_kyle_band_female,
accessory020,iw8_acc_watch_digital_a,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY020,&ACCESSORY/ACCESSORY020_DESC,icon_gesture_devilhorns,0,gesture024|gesture023,1,20,,loot,icon_gesture_devilhorns,ui_loot_accessory_020,,iw8_acc_attach_face_analog_code,iw8_acc_attach_face_analog_code_big,iw8_acc_attach_face_analog_code_female,,,,
accessory021,iw8_acc_watch_digital_h,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY021,&ACCESSORY/ACCESSORY021_DESC,icon_gesture_numberone,0,gesture024|gesture023,1,21,,loot,icon_gesture_numberone,ui_loot_accessory_021,,iw8_acc_attach_face_digital_h,iw8_acc_attach_face_digital_h_big,iw8_acc_attach_face_digital_h_female,,,,
accessory022,iw8_acc_watch_digital_k,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY022,&ACCESSORY/ACCESSORY022_DESC,icon_gesture_numberthree,0,gesture023,1,22,,loot,icon_gesture_numberthree,ui_loot_accessory_022,,iw8_acc_attach_face_digital_k,iw8_acc_attach_face_digital_k_big,iw8_acc_attach_face_digital_k_female,,,,
accessory023,iw8_acc_watch_digital_b,iw8_acc_weapon_watch_pet,,&ACCESSORY/ACCESSORY023,&ACCESSORY/ACCESSORY023_DESC,icon_gesture_cough,0,gesture024|gesture023,1,23,,loot,icon_gesture_cough,ui_loot_accessory_023,pet_black,iw8_acc_attach_face_digital_b_1,iw8_acc_attach_face_digital_b_1_big,iw8_acc_attach_face_digital_b_1_female,,,,
accessory024,iw8_acc_watch_digital_c,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY024,&ACCESSORY/ACCESSORY024_DESC,icon_gesture_meh,0,gesture024|gesture023,1,24,,loot,icon_gesture_meh,ui_loot_accessory_024,thermometer,iw8_acc_attach_face_digital_c_1,iw8_acc_attach_face_digital_c_1_big,iw8_acc_attach_face_digital_c_1_female,,,,
accessory025,iw8_acc_watch_digital_d,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY025,&ACCESSORY/ACCESSORY025_DESC,icon_gesture_stayhere,0,gesture024|gesture023,1,25,,loot,icon_gesture_stayhere,ui_loot_accessory_025,,iw8_acc_attach_face_digital_d_1,iw8_acc_attach_face_digital_d_1_big,iw8_acc_attach_face_digital_d_1_female,,,,
accessory026,iw8_acc_watch_digital_e,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY026,&ACCESSORY/ACCESSORY026_DESC,icon_gesture_mock,1,gesture024|gesture023,0,26,,loot,icon_gesture_mock,,,iw8_acc_attach_face_digital_e_1,iw8_acc_attach_face_digital_e_1_big,iw8_acc_attach_face_digital_e_1_female,,,,
accessory027,iw8_acc_watch_digital_vac,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY027,&ACCESSORY/ACCESSORY027_DESC,icon_gesture_micdrop,0,gesture023,1,27,,loot,icon_gesture_micdrop,ui_loot_accessory_027,,iw8_acc_attach_face_digital_vac_1,iw8_acc_attach_face_digital_vac_1_big,iw8_acc_attach_face_digital_vac_1_female,,,,
accessory028,iw8_acc_watch_digital_f,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY028,&ACCESSORY/ACCESSORY028_DESC,icon_gesture_prosper,0,gesture024|gesture023,1,28,,loot,icon_gesture_prosper,ui_loot_accessory_028,,iw8_acc_attach_face_digital_f_1,iw8_acc_attach_face_digital_f_1_big,iw8_acc_attach_face_digital_f_1_female,,,,
accessory029,iw8_acc_watch_digital_g,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY029,&ACCESSORY/ACCESSORY029_DESC,icon_gesture_thumbsdown,0,gesture024|gesture023,1,29,,loot,icon_gesture_thumbsdown,ui_loot_accessory_029,,iw8_acc_attach_face_digital_g_1,iw8_acc_attach_face_digital_g_1_big,iw8_acc_attach_face_digital_g_1_female,,,,
accessory030,iw8_acc_watch_digital_i,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY030,&ACCESSORY/ACCESSORY030_DESC,icon_gesture_unimpressed,0,gesture024|gesture023,0,30,,loot,icon_gesture_unimpressed,ui_loot_accessory_030,,iw8_acc_attach_face_digital_i_1,iw8_acc_attach_face_digital_i_1_big,iw8_acc_attach_face_digital_i_1_female,,,,
accessory031,iw8_acc_watch_analog_kyle,iw8_acc_weapon_watch_analog_1,iw8_acc_attach_watch_analog_kyle_band_1,&ACCESSORY/ACCESSORY031,&ACCESSORY/ACCESSORY031_DESC,icon_gesture_placeholder,0,gesture023,1,31,,loot,icon_gesture_placeholder,ui_loot_accessory_031,,iw8_acc_attach_face_analog_kyle_1,iw8_acc_attach_face_analog_kyle_1_big,iw8_acc_attach_face_analog_kyle_1_female,,,iw8_acc_attach_watch_analog_kyle_band_1_female,
accessory032,iw8_acc_watch_digital_h,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY032,&ACCESSORY/ACCESSORY032_DESC,icon_gesture_placeholder,1,gesture024|gesture023,1,32,,loot,icon_gesture_placeholder,,,iw8_acc_attach_face_digital_h_1,iw8_acc_attach_face_digital_h_1_big,iw8_acc_attach_face_digital_h_1_female,,,,
accessory033,iw8_acc_watch_digital_k,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY033,&ACCESSORY/ACCESSORY033_DESC,icon_gesture_wolverinesmoveup,0,gesture023,1,33,,loot,icon_gesture_wolverinesmoveup,ui_loot_accessory_033,,iw8_acc_attach_face_digital_k_1,iw8_acc_attach_face_digital_k_1_big,iw8_acc_attach_face_digital_k_1_female,,,,
accessory034,iw8_acc_watch_digital_j,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY034,&ACCESSORY/ACCESSORY034_DESC,icon_gesture_filthylucre,0,gesture024|gesture023,1,34,,loot,icon_gesture_filthylucre,ui_loot_accessory_034,,iw8_acc_attach_face_digital_j_1,iw8_acc_attach_face_digital_j_1_big,iw8_acc_attach_face_digital_j_1_female,,,,
accessory035,iw8_acc_watch_digital_c_white,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY035,&ACCESSORY/ACCESSORY035_DESC,icon_gesture_onme,0,gesture024|gesture023,1,35,,loot,icon_gesture_praise,ui_loot_accessory_035,thermometer,iw8_acc_attach_face_digital_c_white,iw8_acc_attach_face_digital_c_white_big,iw8_acc_attach_face_digital_c_white_female,,,,
accessory036,iw8_acc_watch_codl_atlanta,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY036,&ACCESSORY/ACCESSORY036_DESC,icon_gesture_victory,0,gesture023,1,36,,loot,icon_gesture_victory,ui_loot_accessory_faze,,iw8_acc_attach_face_codl_atlanta,iw8_acc_attach_face_codl_atlanta_big,iw8_acc_attach_face_codl_atlanta_female,,,,
accessory037,iw8_acc_watch_codl_chicago,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY037,&ACCESSORY/ACCESSORY037_DESC,icon_gesture_what,0,gesture023,1,37,,loot,icon_gesture_what,ui_loot_accessory_huntsman,,iw8_acc_attach_face_codl_chicago,iw8_acc_attach_face_codl_chicago_big,iw8_acc_attach_face_codl_chicago_female,,,,
accessory038,iw8_acc_watch_codl_dallas,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY038,&ACCESSORY/ACCESSORY038_DESC,icon_gesture_boom,0,gesture023,1,38,,loot,icon_gesture_boom,ui_loot_accessory_empire,,iw8_acc_attach_face_codl_dallas,iw8_acc_attach_face_codl_dallas_big,iw8_acc_attach_face_codl_dallas_female,,,,
accessory039,iw8_acc_watch_codl_florida,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY039,&ACCESSORY/ACCESSORY039_DESC,icon_gesture_bequiet,0,gesture023,1,39,,loot,icon_gesture_bequiet,ui_loot_accessory_mutineers,,iw8_acc_attach_face_codl_florida,iw8_acc_attach_face_codl_florida_big,iw8_acc_attach_face_codl_florida_female,,,,
accessory040,iw8_acc_watch_codl_losangeles_guerilla,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY040,&ACCESSORY/ACCESSORY040_DESC,icon_gesture_flick,0,gesture023,1,40,,loot,icon_gesture_flick,ui_loot_accessory_guerillas,,iw8_acc_attach_face_codl_laguerilla,iw8_acc_attach_face_codl_laguerilla_big,iw8_acc_attach_face_codl_laguerilla_female,,,,
accessory041,iw8_acc_watch_codl_iw,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY041,&ACCESSORY/ACCESSORY041_DESC,icon_gesture_placeholder,1,gesture023,1,41,,loot,icon_gesture_placeholder,,,iw8_acc_attach_face_codl_iw,iw8_acc_attach_face_codl_iw_big,iw8_acc_attach_face_codl_iw_female,,,,
accessory042,iw8_acc_watch_codl_london,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY042,&ACCESSORY/ACCESSORY042_DESC,icon_gesture_placeholder,0,gesture023,1,42,,loot,icon_gesture_placeholder,ui_loot_accessory_royal,,iw8_acc_attach_face_codl_london,iw8_acc_attach_face_codl_london_big,iw8_acc_attach_face_codl_london_female,,,,
accessory043,iw8_acc_watch_codl_minnesota,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY043,&ACCESSORY/ACCESSORY043_DESC,icon_gesture_rockpaperscissors,0,gesture023,1,43,,loot,icon_gesture_rockpaperscissors,ui_loot_accessory_rokkr,,iw8_acc_attach_face_codl_minnesota,iw8_acc_attach_face_codl_minnesota_big,iw8_acc_attach_face_codl_minnesota_female,,,,
accessory044,iw8_acc_watch_codl_newyork,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY044,&ACCESSORY/ACCESSORY044_DESC,icon_gesture_fingerscrossed,0,gesture023,1,44,,loot,icon_gesture_fingerscrossed,ui_loot_accessory_subliners,,iw8_acc_attach_face_codl_ny,iw8_acc_attach_face_codl_ny_big,iw8_acc_attach_face_codl_ny_female,,,,
accessory045,iw8_acc_watch_codl_losangeles_optic,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY045,&ACCESSORY/ACCESSORY045_DESC,icon_gesture_loser,0,gesture023,1,45,,loot,icon_gesture_loser,ui_loot_accessory_optic,,iw8_acc_attach_face_codl_laoptic,iw8_acc_attach_face_codl_laoptic_big,iw8_acc_attach_face_codl_laoptic_female,,,,
accessory046,iw8_acc_watch_codl_paris,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY046,&ACCESSORY/ACCESSORY046_DESC,icon_gesture_love_you,0,gesture023,1,46,,loot,icon_gesture_love_you,ui_loot_accessory_legions,,iw8_acc_attach_face_codl_paris,iw8_acc_attach_face_codl_paris_big,iw8_acc_attach_face_codl_paris_female,,,,
accessory047,iw8_acc_watch_codl_seattle,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY047,&ACCESSORY/ACCESSORY047_DESC,icon_gesture_facepalm,0,gesture023,1,47,,loot,icon_gesture_facepalm,ui_loot_accessory_surge,,iw8_acc_attach_face_codl_seattle,iw8_acc_attach_face_codl_seattle_big,iw8_acc_attach_face_codl_seattle_female,,,,
accessory048,iw8_acc_watch_codl_toronto,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY048,&ACCESSORY/ACCESSORY048_DESC,icon_gesture_hangloose,0,gesture023,1,48,,loot,icon_gesture_hangloose,ui_loot_accessory_ultra,,iw8_acc_attach_face_codl_toronto,iw8_acc_attach_face_codl_toronto_big,iw8_acc_attach_face_codl_toronto_female,,,,
accessory049,iw8_acc_watch_digital_n,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY049,&ACCESSORY/ACCESSORY049_DESC,icon_gesture_jackal,1,gesture023,1,49,,loot,icon_gesture_jackal,,,iw8_acc_attach_face_digital_n,iw8_acc_attach_face_digital_n_big,iw8_acc_attach_face_digital_n_female,,,,
accessory050,iw8_acc_watch_digital_l,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY050,&ACCESSORY/ACCESSORY050_DESC,icon_gesture_coin,0,gesture023,1,50,,loot,icon_gesture_coin,ui_loot_accessory_050,,iw8_acc_attach_face_digital_l,iw8_acc_attach_face_digital_l_big,iw8_acc_attach_face_digital_l_female,,,,
accessory051,iw8_acc_watch_digital_m,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY051,&ACCESSORY/ACCESSORY051_DESC,icon_gesture_c8,1,gesture023,1,51,,loot,icon_gesture_c8,,,iw8_acc_attach_face_digital_m,iw8_acc_attach_face_digital_m_big,iw8_acc_attach_face_digital_m_female,,,,
accessory052,iw8_acc_watch_digital_o,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY052,&ACCESSORY/ACCESSORY052_DESC,icon_gesture_placeholder,1,gesture023,1,52,,loot,icon_gesture_placeholder,,,iw8_acc_attach_face_digital_o,iw8_acc_attach_face_digital_o_big,iw8_acc_attach_face_digital_o_female,,,,
accessory053,iw8_acc_watch_digital_q,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY053,&ACCESSORY/ACCESSORY053_DESC,icon_gesture_lighter,0,gesture023,1,53,,loot,icon_gesture_lighter,ui_loot_accessory_053,,iw8_acc_attach_face_digital_q,iw8_acc_attach_face_digital_q_big,iw8_acc_attach_face_digital_q_female,,,,
accessory054,iw8_acc_watch_digital_q,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY054,&ACCESSORY/ACCESSORY054_DESC,icon_gesture_surrender,0,gesture023,1,54,,loot,icon_gesture_surrender,ui_loot_accessory_054,,iw8_acc_attach_face_digital_q_b,iw8_acc_attach_face_digital_q_b_big,iw8_acc_attach_face_digital_q_b_female,,,,
accessory055,iw8_acc_watch_digital_q,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY055,&ACCESSORY/ACCESSORY055_DESC,icon_gesture_teabag,0,gesture023,1,55,,loot,icon_gesture_teabag,ui_loot_accessory_055,,iw8_acc_attach_face_digital_q_c,iw8_acc_attach_face_digital_q_c_big,iw8_acc_attach_face_digital_q_c_female,,,,
accessory056,iw8_acc_watch_digital_q,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY056,&ACCESSORY/ACCESSORY056_DESC,icon_gesture_makerain,0,gesture023,1,56,,loot,icon_gesture_makerain,ui_loot_accessory_056,,iw8_acc_attach_face_digital_q_d,iw8_acc_attach_face_digital_q_d_big,iw8_acc_attach_face_digital_q_d_female,,,,
accessory057,iw8_acc_watch_digital_r,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY057,&ACCESSORY/ACCESSORY057_DESC,icon_gesture_spider,0,gesture023,1,57,,loot,icon_gesture_spider,ui_loot_accessory_057,,iw8_acc_attach_face_digital_r,iw8_acc_attach_face_digital_r_big,iw8_acc_attach_face_digital_r_female,,,,
accessory058,iw8_acc_watch_digital_r,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY058,&ACCESSORY/ACCESSORY058_DESC,icon_gesture_basketball,0,gesture023,1,58,,loot,icon_gesture_basketball,ui_loot_accessory_058,,iw8_acc_attach_face_digital_r_b,iw8_acc_attach_face_digital_r_b_big,iw8_acc_attach_face_digital_r_b_female,,,,
accessory059,iw8_acc_watch_digital_r,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY059,&ACCESSORY/ACCESSORY059_DESC,icon_gesture_fingerscrossed,0,gesture023,1,59,,loot,icon_gesture_fingerscrossed,ui_loot_accessory_059,,iw8_acc_attach_face_digital_r_c,iw8_acc_attach_face_digital_r_c_big,iw8_acc_attach_face_digital_r_c_female,,,,
accessory060,iw8_acc_watch_digital_r,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY060,&ACCESSORY/ACCESSORY060_DESC,icon_gesture_loser,0,gesture023,1,60,,loot,icon_gesture_loser,ui_loot_accessory_060,,iw8_acc_attach_face_digital_r_d,iw8_acc_attach_face_digital_r_d_big,iw8_acc_attach_face_digital_r_d_female,,,,
accessory061,iw8_acc_watch_digital_s,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY061,&ACCESSORY/ACCESSORY061_DESC,icon_gesture_love_you,0,gesture023,1,61,,loot,icon_gesture_love_you,ui_loot_accessory_061,,iw8_acc_attach_face_digital_s,iw8_acc_attach_face_digital_s_big,iw8_acc_attach_face_digital_s_female,,,,
accessory062,iw8_acc_watch_digital_s,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY062,&ACCESSORY/ACCESSORY062_DESC,icon_gesture_facepalm,0,gesture023,1,62,,loot,icon_gesture_facepalm,ui_loot_accessory_062,,iw8_acc_attach_face_digital_s_b,iw8_acc_attach_face_digital_s_b_big,iw8_acc_attach_face_digital_s_b_female,,,,
accessory063,iw8_acc_watch_digital_s,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY063,&ACCESSORY/ACCESSORY063_DESC,icon_gesture_hangloose,0,gesture023,1,63,,loot,icon_gesture_hangloose,ui_loot_accessory_063,,iw8_acc_attach_face_digital_s_c,iw8_acc_attach_face_digital_s_c_big,iw8_acc_attach_face_digital_s_c_female,,,,
accessory064,iw8_acc_watch_digital_s,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY064,&ACCESSORY/ACCESSORY064_DESC,icon_gesture_jackal,0,gesture023,1,64,,loot,icon_gesture_jackal,ui_loot_accessory_064,,iw8_acc_attach_face_digital_s_d,iw8_acc_attach_face_digital_s_d_big,iw8_acc_attach_face_digital_s_d_female,,,,
accessory065,iw8_acc_watch_digital_d,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY065,&ACCESSORY/ACCESSORY065_DESC,icon_gesture_jackal,0,gesture023,1,65,,loot,icon_gesture_jackal,ui_loot_accessory_065,,iw8_acc_attach_face_digital_d_2,iw8_acc_attach_face_digital_d_2_big,iw8_acc_attach_face_digital_d_2_female,,,,
accessory066,iw8_acc_watch_cod_mobile,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY066,&ACCESSORY/ACCESSORY066_DESC,icon_gesture_jackal,0,gesture023,1,66,,loot,icon_gesture_jackal,ui_loot_accessory_066,,iw8_acc_attach_face_cod_mobile,iw8_acc_attach_face_cod_mobile_big,iw8_acc_attach_face_cod_mobile_female,,,,
accessory067,iw8_acc_watch_analog_africanz,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY067,&ACCESSORY/ACCESSORY067_DESC,icon_gesture_jackal,0,gesture023,1,67,,loot,icon_gesture_jackal,ui_loot_accessory_067,,iw8_acc_attach_face_analog_africanz,iw8_acc_attach_face_analog_africanz_big,iw8_acc_attach_face_analog_africanz_female,,,,
accessory068,iw8_acc_watch_analog_chimera,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY068,&ACCESSORY/ACCESSORY068_DESC,icon_gesture_jackal,0,gesture023,1,68,,loot,icon_gesture_jackal,ui_loot_accessory_068,,iw8_acc_attach_face_analog_chimera,iw8_acc_attach_face_analog_chimera_big,iw8_acc_attach_face_analog_chimera_female,,,,
accessory069,iw8_acc_watch_analog_demon_dogs,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY069,&ACCESSORY/ACCESSORY069_DESC,icon_gesture_jackal,0,gesture023,1,69,,loot,icon_gesture_jackal,ui_loot_accessory_069,,iw8_acc_attach_face_analog_demon_dogs,iw8_acc_attach_face_analog_demon_dogs_big,iw8_acc_attach_face_analog_demon_dogs_female,,,,
