int,string
7456,iw9_ch_pmc_extract_meds_stims
7453,iw9_ch_pmc_extract_meds_bandages
7458,iw9_ch_pmc_two_birds_story
7459,iw9_ch_pmc_two_birds_travel
7473,iw9_ch_pmc_two_birds_kill
7464,iw9_ch_pmc_two_birds_destroy
7466,iw9_ch_pmc_cargo_fuel_repair
7469,iw9_ch_pmc_cargo_fuel_repair_cargo
7463,iw9_ch_pmc_cargo_fuel_repair_fuel_repair
7465,iw9_ch_pmc_utility_deaddrop
7471,iw9_ch_pmc_utility_deaddrop_screws
7462,iw9_ch_pmc_utility_deaddrop_bulbs
7474,iw9_ch_pmc_utility_deaddrop_drill
7468,iw9_ch_pmc_solo_infil_exfil
7476,iw9_ch_pmc_request_assimilation
7472,iw9_ch_pmc_espionage_story
7460,iw9_ch_pmc_espionage_story_loot
7461,iw9_ch_pmc_espionage_story_deliver
7475,iw9_ch_pmc_espionage_story_plant
7494,iw9_ch_pmc_hack_kill_uav
7480,iw9_ch_pmc_hack_kill_uav_hack
7495,iw9_ch_pmc_hack_kill_uav_kill
7493,iw9_ch_pmc_buy_kill_precision
7492,iw9_ch_pmc_buy_kill_precision_buy
7483,iw9_ch_pmc_buy_kill_precision_kill
7487,iw9_ch_pmc_hostage_exfil
7486,iw9_ch_pmc_hostage_exfil_hostage
7481,iw9_ch_pmc_hostage_exfil_exfil
7485,iw9_ch_pmc_run_over_repair
7482,iw9_ch_pmc_run_over_repair_run
7484,iw9_ch_pmc_run_over_repair_repair
7489,iw9_ch_pmc_piracy_story
7488,iw9_ch_pmc_piracy_story_board
7490,iw9_ch_pmc_piracy_story_loot
7491,iw9_ch_pmc_piracy_story_extract
7918,iw9_ch_pmc_no_rushing_story
7919,iw9_ch_pmc_no_rushing_story_kill
7920,iw9_ch_pmc_no_rushing_story_destroy
7921,iw9_ch_pmc_sam_shoot_loot
7922,iw9_ch_pmc_sam_shoot_loot_capture
7850,iw9_ch_pmc_sam_shoot_loot_shoot
7923,iw9_ch_pmc_sam_shoot_loot_loot
7924,iw9_ch_pmc_elim_loot_unlock
7925,iw9_ch_pmc_elim_loot_unlock_elim
7926,iw9_ch_pmc_elim_loot_unlock_loot
7870,iw9_ch_pmc_elim_loot_unlock_unlock
7927,iw9_ch_pmc_loot_pc
7928,iw9_ch_pmc_loot_pc_loot
7929,iw9_ch_pmc_loot_pc_usb
7930,iw9_ch_pmc_loot_pc_hdd
7931,iw9_ch_pmc_fort_loot_kill
7871,iw9_ch_pmc_fort_loot_kill_travel
7872,iw9_ch_pmc_fort_loot_kill_loot
7932,iw9_ch_pmc_fort_loot_kill_kill
7933,iw9_ch_pmc_deliver_equipment_moderncity
7873,iw9_ch_pmc_deliver_equipment_moderncity_travel
7934,iw9_ch_pmc_deliver_equipment_moderncity_deliver
7935,iw9_ch_pmc_intel_boss
7936,iw9_ch_pmc_intel_boss_start
7937,iw9_ch_pmc_intel_boss_end
7938,iw9_ch_pmc_intel_boss_kill
7939,iw9_ch_pmc_extract_attachments
7940,iw9_ch_pmc_extract_tacticals
7941,iw9_ch_pmc_extract_tacticals_gas
7942,iw9_ch_pmc_extract_tacticals_flash
7943,iw9_ch_pmc_extract_tacticals_snapshot
7944,iw9_ch_pmc_recon_tag_kill
7945,iw9_ch_pmc_recon_tag_kill_acquire
7946,iw9_ch_pmc_recon_tag_kill_tag
7947,iw9_ch_pmc_recon_tag_kill_kill
7948,iw9_ch_pmc_deliver_extract_flamables
7949,iw9_ch_pmc_deliver_extract_flamables_gascans
7950,iw9_ch_pmc_deliver_extract_flamables_lethals
7951,iw9_ch_pmc_deliver_extract_flamables_items
7952,iw9_ch_pmc_moving_vehicle_kill
7953,iw9_ch_pmc_moving_vehicle_kill_roof
7954,iw9_ch_pmc_moving_vehicle_kill_lean
7874,iw9_ch_pmc_sync_uav_control
7955,iw9_ch_pmc_sept_vehicle_kill
7956,iw9_ch_pmc_final_exfil_cash
7957,iw9_ch_pmc_final_exfil_cash_loot
7958,iw9_ch_pmc_final_exfil_cash_exfil
7959,iw9_ch_pmc_mechanics_deaddrop
7960,iw9_ch_pmc_mechanics_deaddrop_torch
7961,iw9_ch_pmc_mechanics_deaddrop_cable
7962,iw9_ch_pmc_mechanics_deaddrop_battery
7963,iw9_ch_pmc_hydro_gas_story
7964,iw9_ch_pmc_hydro_gas_story_loot
7875,iw9_ch_pmc_hydro_gas_story_throw
7965,iw9_ch_pmc_multi_stronghold_clear
7876,iw9_ch_pmc_multi_stronghold_clear_unlock
7877,iw9_ch_pmc_multi_stronghold_clear_clear
7966,iw9_ch_pmc_ammo_extract
7967,iw9_ch_pmc_ammo_extract_pistol
7968,iw9_ch_pmc_ammo_extract_ar
7969,iw9_ch_pmc_ammo_extract_shotgun
7970,iw9_ch_pmc_battle_rifle_kill
7971,iw9_ch_pmc_battle_rifle_kill_enemies
7972,iw9_ch_pmc_battle_rifle_kill_operators
7973,iw9_ch_pmc_intel_speedrun
7974,iw9_ch_pmc_radiation_extract
7975,iw9_ch_pmc_radiation_extract_gasmask
7976,iw9_ch_pmc_radiation_extract_iodine
7977,iw9_ch_pmc_unique_contracts
7978,iw9_ch_pmc_car_bomb_story
7878,iw9_ch_pmc_car_bomb_story_park
7854,iw9_ch_pmc_car_bomb_story_plant
7879,iw9_ch_pmc_car_bomb_story_explode
7848,iw9_ch_pmc_gps_travel_story
7979,iw9_ch_pmc_gps_travel_story_loot
7880,iw9_ch_pmc_gps_travel_story_travel
7980,iw9_ch_pmc_gps_travel_story_extract
7840,iw9_ch_pmc_water_caves_story
7881,iw9_ch_pmc_water_caves_story_enter
7981,iw9_ch_pmc_water_caves_story_kill
7982,iw9_ch_pmc_water_caves_story_extract
7847,iw9_ch_pmc_caves_tracking
7983,iw9_ch_pmc_caves_tracking_loot
7882,iw9_ch_pmc_caves_tracking_plant
7883,iw9_ch_pmc_caves_tracking_download
7984,iw9_ch_pmc_oilfield_camera_story
7985,iw9_ch_pmc_oilfield_camera_story_loot
7884,iw9_ch_pmc_oilfield_camera_story_plant
7986,iw9_ch_pmc_oilfield_camera_story_snapshot
7846,iw9_ch_pmc_treasure_hunt_story
7987,iw9_ch_pmc_treasure_hunt_story_first
7988,iw9_ch_pmc_treasure_hunt_story_second
7989,iw9_ch_pmc_treasure_hunt_story_extract
7853,iw9_ch_pmc_fort_sewer_story
7885,iw9_ch_pmc_fort_sewer_story_travel
7886,iw9_ch_pmc_fort_sewer_story_disarm
7729,iw9_ch_pmc_fort_sewer_story_extract
7990,iw9_ch_pmc_plant_usb_story
7991,iw9_ch_pmc_plant_usb_story_loot
7887,iw9_ch_pmc_plant_usb_story_plant
7992,iw9_ch_pmc_train_kills
7993,iw9_ch_pmc_suppressed_elim
7994,iw9_ch_pmc_suppressed_elim_elim
7995,iw9_ch_pmc_suppressed_elim_enemies
7996,iw9_ch_pmc_computer_delivery
7997,iw9_ch_pmc_computer_delivery_gpu
7998,iw9_ch_pmc_computer_delivery_console
7999,iw9_ch_pmc_computer_delivery_hdd
8000,iw9_ch_pmc_trap_no_down
8001,iw9_ch_pmc_trap_no_down_start
8002,iw9_ch_pmc_trap_no_down_end
8003,iw9_ch_pmc_extract_weapons_case
8004,iw9_ch_pmc_extract_weapons_case_end
8005,iw9_ch_pmc_extract_weapons_case_kill
8006,iw9_ch_pmc_extract_weapons_case_extract
8007,iw9_ch_pmc_trap_no_damage
8008,iw9_ch_pmc_elim_speedrun
7844,iw9_ch_pmc_modern_city_snipe
8009,iw9_ch_pmc_modern_city_snipe_enemies
8010,iw9_ch_pmc_modern_city_snipe_players
8011,iw9_ch_pmc_infil_solo_extract_no_weapons
7888,iw9_ch_pmc_infil_solo_extract_no_weapons_infil
7889,iw9_ch_pmc_infil_solo_extract_no_weapons_exfil
8012,iw9_ch_pmc_wine_delivery
8013,iw9_ch_pmc_wine_delivery_wine
8014,iw9_ch_pmc_wine_delivery_aged
8015,iw9_ch_pmc_wine_delivery_vintage
7845,iw9_ch_pmc_large_cash_valuables_extract
8016,iw9_ch_pmc_extract_photos
8017,iw9_ch_pmc_extract_photos_diagrams
8018,iw9_ch_pmc_extract_photos_photos
8019,iw9_ch_pmc_extract_photos_intel
8020,iw9_ch_pmc_observatory_dmr
7849,iw9_ch_pmc_loot_supply_drops
8021,iw9_ch_pmc_suppressed_melee_kills
8022,iw9_ch_pmc_suppressed_melee_kills_smg
8023,iw9_ch_pmc_suppressed_melee_kills_melee
8024,iw9_ch_pmc_gold_delivery
8025,iw9_ch_pmc_gold_delivery_bars
8026,iw9_ch_pmc_gold_delivery_skull
8027,iw9_ch_pmc_execute_kill_stunned
8028,iw9_ch_pmc_execute_kill_stunned_kill
8029,iw9_ch_pmc_execute_kill_stunned_execute
8030,iw9_ch_pmc_thermal_ranged_sniper
8031,iw9_ch_pmc_unique_poi_contracts
8032,iw9_ch_pmc_extract_weapons_case_streak
8033,iw9_ch_pmc_tech_killstreak_extraction
8034,iw9_ch_pmc_tech_killstreak_extraction_uav
8035,iw9_ch_pmc_tech_killstreak_extraction_drone
8036,iw9_ch_pmc_tech_killstreak_extraction_drive
8037,iw9_ch_pmc_dog_tag_extract_kill
8038,iw9_ch_pmc_dog_tag_extract_kill_extract
8039,iw9_ch_pmc_dog_tag_extract_kill_kill
8040,iw9_ch_pmc_hunt_streak
8041,iw9_ch_pmc_locked_stronghold_kills
8042,iw9_ch_pmc_locked_stronghold_kills_ping
8043,iw9_ch_pmc_locked_stronghold_kills_kill
8044,iw9_ch_pmc_kill_armored
8045,iw9_ch_pmc_kill_armored_armor
8046,iw9_ch_pmc_kill_armored_riot
8047,iw9_ch_pmc_kill_armored_heli
8048,iw9_ch_pmc_hostage_speedrun
8049,iw9_ch_pmc_grenade_deliver_extract
8050,iw9_ch_pmc_grenade_deliver_extract_mines
8051,iw9_ch_pmc_grenade_deliver_extract_thermite
8052,iw9_ch_pmc_grenade_deliver_extract_frag
7890,iw9_ch_pmc_full_backpack_loadout
8053,iw9_ch_pmc_deliver_supplies
8054,iw9_ch_pmc_deliver_supplies_toothpaste
8055,iw9_ch_pmc_deliver_supplies_tape
8056,iw9_ch_pmc_deliver_supplies_food
8057,iw9_ch_pmc_multiple_contract_speedrun
8058,iw9_ch_pmc_shotgun_kills
8059,iw9_ch_pmc_shotgun_kills_enemies
8060,iw9_ch_pmc_shotgun_kills_operators
8061,iw9_ch_pmc_shotgun_kills_melee
7841,iw9_ch_pmc_humanitarian_extract
8062,iw9_ch_pmc_humanitarian_extract_bandage
8063,iw9_ch_pmc_humanitarian_extract_revive
8064,iw9_ch_pmc_humanitarian_extract_asprin
8065,iw9_ch_pmc_gold_decho_extract
7891,iw9_ch_pmc_gold_decho_extract_unlock
8066,iw9_ch_pmc_gold_decho_extract_extract
8067,iw9_ch_pmc_hero_stronghold_clears
8068,iw9_ch_pmc_lmg_attachment_kill
8069,iw9_ch_pmc_lmg_attachment_kill_enemies
8070,iw9_ch_pmc_lmg_attachment_kill_headshots
8071,iw9_ch_pmc_lmg_attachment_kill_players
7842,iw9_ch_pmc_one_match_extract_killstreaks
8072,iw9_ch_pmc_revolver_headshot_kills
8073,iw9_ch_pmc_revolver_headshot_kills_loot
8074,iw9_ch_pmc_revolver_headshot_kills_kill
8075,iw9_ch_pmc_stronghold_clear_speedrun
8076,iw9_ch_pmc_stronghold_clear_speedrun_unlock
7869,iw9_ch_pmc_stronghold_clear_speedrun_clear
8077,iw9_ch_pmc_lmg_kills_armor
8078,iw9_ch_pmc_lmg_kills_armor_kill
8079,iw9_ch_pmc_lmg_kills_armor_armored
8080,iw9_ch_pmc_sync_samsite_control
8081,iw9_ch_pmc_one_match_safes_extract_cash
8082,iw9_ch_pmc_one_match_safes_extract_cash_safe
8083,iw9_ch_pmc_one_match_safes_extract_cash_extract
8084,iw9_ch_pmc_meds_deliver_extract
8085,iw9_ch_pmc_meds_deliver_extract_stims
8086,iw9_ch_pmc_meds_deliver_extract_liquor
8087,iw9_ch_pmc_meds_deliver_extract_revive
7851,iw9_ch_pmc_crane_intel_extract
8088,iw9_ch_pmc_crane_intel_extract_key
8089,iw9_ch_pmc_crane_intel_extract_unlock
8090,iw9_ch_pmc_crane_intel_extract_extract
8137,iw9_ch_pmc_mall_kills
8138,iw9_ch_pmc_mall_kills_enemies
8139,iw9_ch_pmc_mall_kills_players
8243,iw9_ch_bm_season1_sector01
8251,iw9_ch_bm_season1_sector02
8245,iw9_ch_bm_season1_sector03
8236,iw9_ch_bm_season1_sector04
8240,iw9_ch_bm_season1_sector05
8244,iw9_ch_bm_season1_sector06
8234,iw9_ch_bm_season1_sector07
8241,iw9_ch_bm_season1_sector08
8232,iw9_ch_bm_season1_sector09
8248,iw9_ch_bm_season1_sector10
8252,iw9_ch_bm_season1_sector11
8247,iw9_ch_bm_season1_sector12
8249,iw9_ch_bm_season1_sector13
8235,iw9_ch_bm_season1_sector14
8246,iw9_ch_bm_season1_sector15
8233,iw9_ch_bm_season1_sector16
8231,iw9_ch_bm_season1_sector17
8238,iw9_ch_bm_season1_sector18
8237,iw9_ch_bm_season1_sector19
8239,iw9_ch_bm_season1_sector20
