string,string,string,string,string,string,string,string,localized_a,string,string,localized_a,string,localized_a,int
8608,dmz_loot_quest_intel,1,0,0,0,,,a&MP_DMZ_MISSIONS/INTEL,ui_mp_br_mapmenu_icon_scavengerhunt_objective,0,a&,1,a&,0
8472,loot_key_hydro_storage,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_STORAGE_KEY_NAME,hud_icon_loot_key_01_pristine,0,a&,1,a&,0
8507,loot_key_hydro_apt,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_APT_KEY_NAME,hud_icon_loot_key_03_pristine,0,a&,1,a&,0
8428,loot_key_hydro_weapondrop,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_WEAPONDROP_KEY_NAME,hud_icon_loot_key_04_pristine,0,a&,1,a&,0
8591,dmz_trap_quest_trigger,1,0,0,0,,,a&MP_DMZ_MISSIONS/USB_STICK,hud_icon_loot_usb_stick,0,a&,1,a&,0
8427,personal_pictureofawoman,1,0,0,0,,,a&MP/BR_PERSONAL_PICTURE_OF_A_WOMAN,hud_icon_loot_polaroid_woman,0,a&,1,a&,0
8488,personal_pictureofaman,1,0,0,0,,,a&MP/BR_PERSONAL_PICTURE_OF_A_MAN,hud_icon_loot_polaroid_man,0,a&,1,a&,0
8530,personal_pictureofachild,1,0,0,0,,,a&MP/BR_PERSONAL_PICTURE_OF_A_CHILD,hud_icon_loot_polaroid_child,0,a&,1,a&,0
8527,personal_pictureofadog,1,0,0,0,,,a&MP/BR_PERSONAL_PICTURE_OF_A_DOG,hud_icon_loot_polaroid_dog,0,a&,1,a&,0
8433,personal_pictureofacat,1,0,0,0,,,a&MP/BR_PERSONAL_PICTURE_OF_A_CAT,hud_icon_loot_polaroid_cat,0,a&,1,a&,0
8479,personal_smallshoe,1,0,0,0,,,a&MP/BR_PERSONAL_SMALL_SHOE,ui_mp_br_loot_icon_plunder,0,a&,1,a&,0
8352,personal_heartlocket,1,0,0,0,,,a&MP/BR_PERSONAL_HEART_LOCKET,hud_icon_loot_heart_locket,0,a&,1,a&,0
39124,brloot_personal_trainheart,1,0,0,0,,,a&MP/BR_PERSONAL_TRAIN_HEART,hud_icon_loot_heart_locket,0,a&,1,a&,0
8445,personal_wornnecklace,1,0,0,0,,,a&MP/BR_PERSONAL_WORN_NECKLACE,hud_icon_loot_necklace,0,a&,1,a&,0
8476,personal_oldwatch,1,0,0,0,,,a&MP/BR_PERSONAL_OLD_WATCH,hud_icon_loot_old_watch,0,a&,1,a&,0
8508,personal_vialofinsulin,1,0,0,0,,,a&MP/BR_PERSONAL_VIAL_OF_INSULIN,hud_icon_loot_insulin_vial,0,a&,1,a&,0
8374,personal_cancermedication,1,0,0,0,,,a&MP/BR_PERSONAL_ASPIRIN,hud_icon_loot_aspirin,0,a&,1,a&,0
8409,personal_toyknife,1,0,0,0,,,a&MP/BR_PERSONAL_TOY_KNIFE,hud_icon_loot_toy_knife,0,a&,1,a&,0
8596,personal_brokenglasses,1,0,0,0,,,a&MP/BR_PERSONAL_BROKEN_GLASSES,hud_icon_loot_broken_glasses,0,a&,1,a&,0
8441,personal_origamihorse,1,0,0,0,,,a&MP/BR_PERSONAL_ORIGAMI_HORSE,hud_icon_loot_origami_horse,0,a&,1,a&,0
8351,personal_smalldoll,1,0,0,0,,,a&MP/BR_PERSONAL_SMALL_DOLL,hud_icon_loot_small_doll,0,a&,1,a&,0
13448,brloot_dogtag_bronze,1,0,0,0,,,a&MP/BR_DOGTAG_BRONZE,hud_icon_loot_dog_tag_bronze,0,a&,1,a&,0
13445,brloot_dogtag_silver,1,0,0,0,,,a&MP/BR_DOGTAG_SILVER,hud_icon_loot_dog_tag_silver,0,a&,1,a&,0
13447,brloot_dogtag_gold,1,0,0,0,,,a&MP/BR_DOGTAG_GOLD,hud_icon_loot_dog_tag_gold,0,a&,1,a&,0
13446,brloot_dogtag_damascus,1,0,0,0,,,a&MP/BR_DOGTAG_DAMASCUS,hud_icon_loot_dog_tag_damascus,0,a&,1,a&,0
26160,brloot_scorpion_trophy,1,0,0,0,,,a&MP/TROPHY_NAME,hud_icon_loot_trophy_s03,0,a&,1,a&,0
38901,brloot_haunting_soul,1,0,0,0,,,a&MP/SOUL_NAME,hud_icon_splash_haunting_soul_anim,0,a&,1,a&,0
8569,dmz_geiger_intel,1,0,100,0,,,a&MP_DMZ_MISSIONS/FUEL_RODS_TITLE,hud_icon_loot_fuel_rod,1,a&,1,a&,0
29904,brloot_nvg,1,0,0,0,,,a&MP/DMZ_NVG,hud_icon_equipment_nvg,,a&,,a&,0
13358,brloot_weaponcase,1,0,0,0,,,a&MP/WEAPON_CASE_NAME,hud_icon_loot_squad_loot_box,0,a&,1,a&,0
18006,brloot_weaponcase_black,1,0,0,0,,,a&MP/WEAPON_CASE_NAME,hud_icon_loot_squad_loot_box,0,a&,1,a&,0
20798,brloot_weaponcase_sealion,1,0,0,0,,,a&MP/WEAPON_CASE_NAME,hud_icon_loot_squad_loot_box,0,a&,1,a&,0
29299,brloot_weaponcase_delta,1,0,0,0,,,a&MP/WEAPON_CASE_NAME,hud_icon_loot_squad_loot_box,0,a&,1,a&,0
29623,brloot_weaponcase_biobunker,1,0,0,0,,,a&MP/WEAPON_CASE_BIOBUNKER_NAME,hud_icon_loot_squad_loot_box,0,a&,1,a&,0
8473,brloot_equip_iodine_pills,4,0,0,0,,,a&EQUIPMENT/IODINE_PILLS,hud_icon_equipment_iodine_pills,0,a&,,a&,0
8554,brloot_plate_carrier_2,1,0,0,0,,,a&MP/BR_PLATE_CARRIER_2,ui_icon_dmz_loot_armor_medium,0,a&,1,a&,0
8410,brloot_plate_carrier_3,1,0,0,0,,,a&MP/BR_PLATE_CARRIER_3,ui_icon_dmz_loot_armor_heavy,0,a&,1,a&,0
8495,loot_key_fortress_interior,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_INTERIOR_KEY_NAME,hud_icon_loot_key_fortress,0,a&,1,a&,0
8537,loot_key_trapper_door,1,0,0,0,,,a&MP_DMZ_LOCKS/TRAPPER_DOOR_KEY_NAME,hud_icon_loot_key_02,0,a&,1,a&,0
8525,loot_multi_key_fortress,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_MULTI_KEY_NAME,hud_icon_splash_jailkey,0,a&,1,a&,0
8540,brloot_gascan,1,0,0,0,,,a&MP/GAS_CAN_NAME,hud_icon_loot_gas_can,0,a&,,a&,0
23395,brloot_gascan_palfa,1,0,0,0,,,a&MP/GAS_CAN_PALFA_NAME,hud_icon_loot_gas_can_heli,0,a&,,a&,0
8550,loot_key_resort_entrance,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME,hud_icon_loot_key_marshland_pristine,0,a&,1,a&,0
8600,brloot_backpack_medium,1,0,0,0,,,a&MP/BR_BACKPACK_MEDIUM,hud_icon_loot_backpack_medium,0,a&,1,a&,0
8545,brloot_backpack_large,1,0,0,0,,,a&MP/BR_BACKPACK_LARGE,hud_icon_loot_backpack_large,0,a&,1,a&,0
8587,loot_key_access_red,1,0,0,0,,,a&MP_BR_INGAME/ACCESS_CARD_RED,ui_mp_br_loot_icon_keycard,0,a&,1,a&,0
13354,loot_key_spectator_gulag,1,0,0,0,,,a&MP_BR_INGAME/GULAG_KEY_NAME,hud_icon_loot_key_01_pristine,0,a&,1,a&,0
8457,loot_key_gulag,1,0,0,0,,,a&MP_BR_INGAME/GULAG_KEY_NAME,hud_icon_loot_key_fortress,0,a&,1,a&,0
8403,loot_key_biolab_door,1,0,0,0,,,a&MP_BIO_LAB/ACCESS_CARD_BIO_LAB,ui_mp_br_loot_icon_keycard,0,a&,1,a&,0
8465,loot_key_resort_entrance_shelf,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME,hud_icon_loot_key_02_pristine,0,a&,1,a&,0
8370,interactable_note_base,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME,hud_icon_loot_intel_01,0,a&,1,a&,0
8454,interactable_notebook_base,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME,hud_icon_loot_smuggler_notebook,0,a&,1,a&,0
8382,loot_key_firefighttest01,1,0,0,0,,,a&MP_DMZ_LOCKS/FIREFIGHT_LOCKED_SPACE_TEST_KEY_NAME,hud_icon_loot_key_02,0,a&,1,a&,0
8584,brloot_perkpack_custom,6,0,0,0,,,a&MP/PERKPACK_CUSTOM,hud_icon_loot_perk_pack,0,a&,0,a&,0
8401,brloot_perkpack_sniper,3,0,0,0,,,a&MP/PERKPACK_SNIPER,hud_icon_loot_perk_pack,0,a&,0,a&,0
8497,loot_key_fortress_used,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_KEY_NAME_USED,hud_icon_loot_keycard_stronghold_01,0,a&,1,a&,0
8475,loot_key_quarry_office_used,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_OFFICE_KEY_NAME_USED,hud_icon_loot_key_02,0,a&,1,a&,0
8563,loot_key_quarry_storage_used,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_STORAGE_KEY_NAME_USED,hud_icon_loot_key_01,0,a&,1,a&,0
8388,loot_key_quarry_control_used,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_CONTROL_KEY_NAME_USED,hud_icon_loot_key_02,0,a&,1,a&,0
8609,loot_key_hydro_storage_used,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_STORAGE_KEY_NAME_USED,hud_icon_loot_key_01_used,0,a&,1,a&,0
8436,loot_key_hydro_apt_used,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_APT_KEY_NAME_USED,hud_icon_loot_key_03_used,0,a&,1,a&,0
8625,loot_key_hydro_weapondrop_used,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_WEAPONDROP_KEY_NAME_USED,hud_icon_loot_key_04_used,0,a&,1,a&,0
8533,loot_key_fortress_interior_used,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_INTERIOR_KEY_NAME_USED,hud_icon_loot_key_fortress,0,a&,1,a&,0
8610,loot_key_trapper_door_used,1,0,0,0,,,a&MP_DMZ_LOCKS/TRAPPER_DOOR_KEY_NAME_USED,hud_icon_loot_key_02,0,a&,1,a&,0
8585,loot_multi_key_fortress_used,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_MULTI_KEY_NAME_USED,hud_icon_loot_key_fortress,0,a&,1,a&,0
8558,loot_key_resort_entrance_used,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME_USED,hud_icon_loot_key_marshland_used,0,a&,1,a&,0
8620,loot_key_access_red_used,1,0,0,0,,,a&MP_BIO_LAB/ACCESS_CARD_RED,ui_mp_br_loot_icon_keycard,0,a&,1,a&,0
8611,loot_key_gulag_used,1,0,0,0,,,a&MP_BR_INGAME/GULAG_KEY_NAME,hud_icon_loot_key_fortress,0,a&,1,a&,0
8559,loot_key_biolab_door_used,1,0,0,0,,,a&MP_BIO_LAB/ACCESS_CARD_BIO_LAB,ui_mp_br_loot_icon_keycard,0,a&,1,a&,0
8621,loot_key_resort_entrance_shelf_used,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME_USED,hud_icon_loot_key_02_used,0,a&,1,a&,0
8518,loot_key_firefighttest01_used,1,0,0,0,,,a&MP_DMZ_LOCKS/FIREFIGHT_LOCKED_SPACE_TEST_KEY_NAME_USED,hud_icon_loot_key_02,0,a&,1,a&,0
8574,loot_key_fortress_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_KEY_NAME_WORN,hud_icon_loot_keycard_stronghold_01,0,a&,1,a&,0
8462,loot_key_quarry_office_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_OFFICE_KEY_NAME_WORN,hud_icon_loot_key_02,0,a&,1,a&,0
8514,loot_key_quarry_storage_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_STORAGE_KEY_NAME_WORN,hud_icon_loot_key_01,0,a&,1,a&,0
8556,loot_key_quarry_control_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_CONTROL_KEY_NAME_WORN,hud_icon_loot_key_02,0,a&,1,a&,0
8439,loot_key_hydro_storage_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_STORAGE_KEY_NAME_WORN,hud_icon_loot_key_01_worn,0,a&,1,a&,0
8564,loot_key_hydro_apt_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_APT_KEY_NAME_WORN,hud_icon_loot_key_03_worn,0,a&,1,a&,0
8612,loot_key_hydro_weapondrop_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/HYDRO_WEAPONDROP_KEY_NAME_WORN,hud_icon_loot_key_04_worn,0,a&,1,a&,0
8485,loot_key_fortress_interior_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_INTERIOR_KEY_NAME_WORN,hud_icon_loot_key_fortress,0,a&,1,a&,0
8546,loot_key_trapper_door_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/TRAPPER_DOOR_KEY_NAME_WORN,hud_icon_loot_key_02,0,a&,1,a&,0
8414,loot_multi_key_fortress_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_MULTI_KEY_NAME_WORN,hud_icon_loot_key_fortress,0,a&,1,a&,0
8365,loot_key_resort_entrance_worn,1,0,0,0,,,a&MP_DMZ_LOCKS/RESORT_KEY_NAME_WORN,hud_icon_loot_key_marshland_worn,0,a&,1,a&,0
8536,loot_key_access_red_worn,1,0,0,0,,,a&MP_BR_INGAME/ACCESS_CARD_RED,ui_mp_br_loot_icon_keycard,0,a&,1,a&,0
8491,loot_key_gulag_worn,1,0,0,0,,,a&MP_BR_INGAME/GULAG_KEY_NAME,hud_icon_loot_key_fortress,0,a&,1,a&,0
8362,loot_key_biolab_door_worn,1,0,0,0,,,a&MP_BIO_LAB/ACCESS_CARD_BIO_LAB,ui_mp_br_loot_icon_keycard,0,a&,1,a&,0
