string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/default/lootset_agent_milestone_kills1.csv,27,,# agent_milestone_kills1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_agent_milestone_kills2.csv,28,,# agent_milestone_kills2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_agent_milestone_kills3.csv,29,,# agent_milestone_kills3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_personal_supply.csv,30,,# cache_personal_supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_main_scan.csv,31,,# main_scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_station.csv,32,,# station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cityhall.csv,33,,# cityhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_library.csv,34,,# library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_firestation.csv,35,,# firestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_policestation.csv,36,,# policestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_zoo.csv,37,,# zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_castle.csv,38,,# castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_museum.csv,39,,# museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_terminal.csv,40,,# terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_shoppingcenter.csv,41,,# shoppingcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_stadium.csv,42,,# statdium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_fleamarket.csv,43,,# fleamarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_paintball.csv,44,,# paintball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_crashsite.csv,45,,# crashsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gasstation.csv,46,,# gasstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_cash_register_clean.csv,47,,# cache_cash_register_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_cash_circle1.csv,48,,# gulag_cash_circle1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_cash_circle2.csv,49,,# gulag_cash_circle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_cash_circle3.csv,50,,# gulag_cash_circle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_cash_circle4.csv,51,,# gulag_cash_circle4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_items_circle1.csv,52,,# gulag_items_circle1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_items_circle2.csv,53,,# gulag_items_circle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_items_circle3.csv,54,,# gulag_items_circle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_gulag_items_circle4.csv,55,,# gulag_items_circle4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cash_machine.csv,56,,# cash_machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_intel.csv,57,,# contract_intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,nobr,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
tagReject,sealion,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
tagReject,saba,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
tagReject,sabacrashsite,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
reqLimit,gear,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
reqLimit,super,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
reqLimit,plate_carrier,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
chance,ammo,,240,240,150,50,25,0,0,300,300,0,150,0,0,0,0,20,20,2,2,2,2,2,2,1,0,0,0,0,2,265,265,265,265,265,265,265,265,265,265,265,265,265,265,270,0,0,0,0,0,0,0,0,0,0,2,0
chance,health,,220,220,10,140,25,0,0,150,150,0,0,0,0,0,0,0,0,25,25,25,25,25,25,0,0,0,0,0,25,175,175,175,250,175,175,175,200,175,175,175,175,200,200,175,0,0,0,0,0,0,0,0,0,0,25,0
chance,plunder,,115,115,100,90,50,180,150,170,170,1,50,1,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,2,115,115,50,115,115,115,100,115,115,300,115,115,115,115,115,1,0,0,0,0,0,0,0,0,99,2,0
chance,killstreak,,0,0,0,50,200,180,180,0,0,0,10,1,0,0,0,0,1,3,3,3,3,3,3,0,0,0,0,0,3,0,0,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
chance,lethal,,80,80,50,140,25,0,0,175,175,0,40,0,0,0,0,5,5,10,10,10,10,10,10,0,0,0,0,0,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,1,1,1,1,1,1,1,1,0,10,0
chance,tactical,,80,80,50,140,25,0,0,175,175,0,50,0,400,600,0,5,5,10,10,10,10,10,10,0,0,0,0,0,10,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,1,1,1,1,1,1,1,1,0,10,0
chance,super,,100,90,0,350,350,200,200,5,5,0,100,0,300,0,1,0,5,20,20,20,20,20,20,0,0,0,0,0,20,90,90,90,90,90,100,150,120,90,90,90,90,90,90,120,0,0,0,0,0,0,0,0,0,0,20,0
chance,weapon,,190,190,500,30,25,120,120,5,5,0,5,1,0,0,1,0,70,5,5,5,5,5,5,0,0,0,0,0,20,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,0,0,0,0,0,0,0,0,0,0,5,0
chance,gear,,0,0,40,30,175,220,220,5,5,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,3,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0
chance,revive,,0,0,50,30,75,0,0,5,5,0,0,0,300,400,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
chance,tablet,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,keycard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,valuable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,key,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,plate_carrier,,40,0,45,45,55,200,130,130,0,0,0,1,0,0,0,0,5,10,10,10,10,10,0,0,0,0,0,0,0,50,50,50,55,65,50,55,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
chance,mission,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,35,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0
chance,perkpack,,30,0,30,50,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
chance,extractable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,token,,10,0,0,30,100,50,100,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_ammo_12g,,175,175,175,175,175,0,0,175,175,0,175,0,0,0,175,175,175,175,175,175,175,175,175,0,0,0,0,0,175,175,175,175,175,220,175,50,150,175,175,175,175,175,175,175,0,0,0,0,0,0,0,0,0,0,175,0
item,brloot_ammo_50cal,,200,200,200,200,200,0,0,200,200,0,200,0,0,0,200,200,200,200,200,200,200,200,200,0,0,0,0,0,200,200,200,200,200,200,200,300,275,200,200,250,200,200,200,200,0,0,0,0,0,0,0,0,0,0,200,0
item,brloot_ammo_762,,325,325,325,325,325,0,0,325,325,0,325,0,0,0,325,325,325,325,325,325,325,325,325,0,0,0,0,0,325,325,325,325,325,200,325,275,325,325,325,325,325,325,325,325,0,0,0,0,0,0,0,0,0,0,325,0
item,brloot_ammo_919,,250,250,250,250,250,0,0,250,250,0,250,0,0,0,250,250,250,250,250,250,250,250,250,0,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,250,0
item,brloot_ammo_rocket,,50,50,50,50,50,0,0,50,50,0,50,0,0,0,50,50,50,50,50,50,50,50,50,0,0,0,0,0,50,50,50,50,100,25,50,100,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,50,0
item,brloot_equip_gasmask,,0,0,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,400,400,400,400,400,400,0,0,0,0,0,400,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,400,0
item,brloot_equip_gasmask_durable,,0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,1,0,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
item,brloot_backpack_medium,,0,0,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_backpack_large,,0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plate_carrier_3_medic,,380,0,380,380,380,380,380,0,0,0,0,380,0,0,0,0,380,380,380,380,380,380,380,0,0,0,0,0,0,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plate_carrier_3_comms,,310,0,310,310,310,310,310,0,0,0,0,310,0,0,0,0,310,310,310,310,310,310,310,0,0,0,0,0,0,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plate_carrier_3_stealth,,155,0,155,155,155,155,155,0,0,0,0,155,0,0,0,0,155,155,155,155,155,155,155,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plate_carrier_tempered,,155,0,155,155,155,155,155,0,0,0,0,155,0,0,0,0,155,155,155,155,155,155,155,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_self_revive,,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
rarity,0_lethal,,300,300,300,300,300,300,300,300,300,0,300,0,0,0,0,30,30,30,30,30,30,30,30,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,50,50,50,50,50,50,50,50,50,0,45,0
rarity,1_lethal,,200,200,200,200,200,200,200,200,200,0,200,0,0,0,0,20,20,20,20,20,20,20,20,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,30,30,30,30,30,30,30,30,30,0,30,0
rarity,2_lethal,,100,100,100,100,100,100,100,100,100,0,100,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,20,20,20,20,20,20,20,20,0,20,0
rarity,3_lethal,,50,50,50,50,50,50,50,50,50,0,50,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,10,0
rarity,4_lethal,,25,25,25,25,25,25,25,25,25,0,25,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,5,0
item,brloot_offhand_throwstar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_tactical,,440,450,45,450,450,450,450,450,450,0,440,0,1,1,0,45,45,45,45,45,45,45,45,0,0,0,0,0,0,440,440,440,440,440,440,440,440,440,440,440,440,440,440,450,500,500,500,0,500,500,500,500,500,0,45,0
rarity,1_tactical,,300,300,30,300,300,300,300,300,300,0,300,0,0,0,0,30,30,30,30,30,30,30,30,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,0,30,0
rarity,2_tactical,,200,200,20,200,200,200,200,200,200,0,200,0,0,0,0,20,20,20,20,20,20,20,20,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,0,20,0
rarity,3_tactical,,100,100,10,100,100,100,100,100,100,0,100,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,10,0
rarity,4_tactical,,50,50,5,50,50,50,50,50,50,0,50,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,5,0
item,brloot_health_adrenaline,,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_magsnap,,400,400,40,400,400,400,400,400,400,0,400,0,0,0,0,30,30,30,30,30,30,30,30,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0,50,50,0,50,50,50,50,50,0,0,0
rarity,0_super,,350,0,0,250,50,100,100,100,100,0,50,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,350,350,350,350,350,350,100,350,100,350,350,350,350,350,100,0,0,0,0,0,0,0,0,0,0,0,0
rarity,1_super,,350,0,0,250,150,150,150,150,150,0,100,0,0,0,100,0,150,0,0,0,0,0,0,0,0,0,0,0,0,350,350,350,350,350,350,100,350,350,350,350,350,350,350,100,0,0,0,0,0,0,0,0,0,0,0,0
rarity,2_super,,250,0,0,200,200,200,200,200,200,0,0,0,0,0,150,0,200,40,40,40,40,40,40,0,0,0,0,0,0,250,250,250,250,250,250,50,250,250,250,250,250,250,250,100,0,0,0,0,0,0,0,0,0,0,40,0
rarity,3_super,,0,0,0,150,250,250,250,250,250,0,0,0,0,0,50,0,250,40,40,40,40,40,40,0,0,0,0,0,250,0,0,0,0,0,0,150,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
rarity,4_super,,0,0,0,100,100,100,300,300,300,0,0,0,6,0,0,0,100,20,20,20,20,20,20,0,0,0,0,0,300,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
item,brloot_offhand_advancedsupplydrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_balloon_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_super_hauntedbox,,150,0,0,200,200,200,200,200,200,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0
rarity,0_weapon,,200,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
rarity,1_weapon,,150,0,0,150,200,200,200,350,350,0,150,0,0,0,200,0,0,55,55,55,55,55,55,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,275,275,0,0,0,0,0,0,0,0,0,0,0,30,0
rarity,2_weapon,,100,0,0,100,200,200,200,250,250,0,0,970,0,0,150,0,0,45,45,45,45,45,45,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,175,175,0,0,0,0,0,0,0,0,0,0,0,40,0
rarity,4_weapon,,0,0,15,50,75,75,75,0,0,0,0,30,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,40,0,40,50,40,40,40,0,0,40,40,150,150,0,0,0,0,0,0,0,0,0,0,0,10,0
rarity,0_health,,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
