xhash,localized_a,localized_a,localized_a,string,xhash,string,string,string,localized_a,string,string,string,string,string,localized_a,string,xhash,localized_a,string,xhash,string,string,xhash,string,string,xhash,string,string,xhash,string,localized_a,int
#triple,a&SPLASHES/TRIPLE_KILL_SHORT,a&MEDALS_MP/TRIPLE_KILL,a&MEDALS_MP/TRIPLE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,46,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#four,a&SPLASHES/QUAD_KILL_SHORT,a&MEDALS_MP/FOUR_KILL,a&MEDALS_MP/FOUR_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,47,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#five,a&SPLASHES/FIVE_KILL_SHORT,a&MEDALS_MP/FIVE_KILL,a&MEDALS_MP/FIVE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,48,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#six,a&SPLASHES/SIX_KILL_SHORT,a&MEDALS_MP/SIX_KILL,a&MEDALS_MP/SIX_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,49,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#seven,a&SPLASHES/SEVEN_KILL_SHORT,a&MEDALS_MP/SEVEN_KILL,a&MEDALS_MP/SEVEN_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,50,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#eight,a&SPLASHES/EIGHT_KILL_SHORT,a&MEDALS_MP/EIGHT_KILL,a&MEDALS_MP/EIGHT_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,51,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#multi,a&SPLASHES/NINE_KILL_SHORT,a&MEDALS_MP/MULTI_KILL,a&MEDALS_MP/MULTI_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,52,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#posthumous,a&MEDALS_MP/POSTHUMOUS,a&MEDALS_MP/POSTHUMOUS,a&MEDALS_MP/POSTHUMOUS_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,36,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#first_place_kill,a&MEDALS_MP/FIRST_PLACE_KILL,a&MEDALS_MP/FIRST_PLACE_KILL,a&MEDALS_MP/FIRST_PLACE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,38,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#one_shot_kill,a&MEDALS_MP/ONE_SHOT_KILL,a&MEDALS_MP/ONE_SHOT_KILL,a&MEDALS_MP/ONE_SHOT_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,37,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#gun_butt,a&MEDALS_MP/GUN_BUTT,a&MEDALS_MP/GUN_BUTT,a&MEDALS_MP/GUN_BUTT_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,6,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#grenade_double,a&MEDALS_MP/GRENADE_DOUBLE,a&MEDALS_MP/GRENADE_DOUBLE,a&MEDALS_MP/GRENADE_DOUBLE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,43,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#fist_kill,a&MEDALS_MP/FIST_KILL,a&MEDALS_MP/FIST_KILL,a&MEDALS_MP/FIST_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,7,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#mantle_kill,a&MEDALS_MP/MANTLE_KILL,a&MEDALS_MP/MANTLE_KILL,a&MEDALS_MP/MANTLE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,8,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#slide_kill,a&MEDALS_MP/SLIDE_KILL,a&MEDALS_MP/SLIDE_KILL,a&MEDALS_MP/SLIDE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,9,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#stunned_kill,a&MEDALS_MP/STUNNED_KILL,a&MEDALS_MP/STUNNED_KILL,a&MEDALS_MP/STUNNED_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,10,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#backstab,a&MEDALS_MP/BACKSTAB,a&MEDALS_MP/BACKSTAB,a&MEDALS_MP/BACKSTAB_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,11,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#backfire,a&MEDALS_MP/BACKFIRE,a&MEDALS_MP/BACKFIRE,a&MEDALS_MP/BACKFIRE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,25,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#quad_feed,a&MEDALS_MP/QUAD_FEED,a&MEDALS_MP/QUAD_FEED,a&MEDALS_MP/QUAD_FEED_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,53,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#save_teammate,a&MEDALS_MP/SAVE_TEAMMATE,a&MEDALS_MP/SAVE_TEAMMATE,a&MEDALS_MP/SAVE_TEAMMATE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,26,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#one_shot_two_kills,a&MEDALS_MP/ONE_SHOT_TWO_KILLS,a&MEDALS_MP/ONE_SHOT_TWO_KILLS,a&MEDALS_MP/ONE_SHOT_TWO_KILLS_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,44,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#explosive_stick,a&MEDALS_MP/EXPLOSIVE_STICK,a&MEDALS_MP/EXPLOSIVE_STICK,a&MEDALS_MP/EXPLOSIVE_STICK_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,42,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#launcher_direct_hit,a&MEDALS_MP/LAUNCHER_DIRECT_HIT,a&MEDALS_MP/LAUNCHER_DIRECT_HIT,a&MEDALS_MP/LAUNCHER_DIRECT_HIT_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,34,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#throwingknife_kill,a&MEDALS_MP/THROWINGKNIFE_KILL,a&MEDALS_MP/THROWINGKNIFE_KILL,a&MEDALS_MP/THROWINGKNIFE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,35,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_jumper,a&MEDALS_MP/KILL_JUMPER,a&MEDALS_MP/KILL_JUMPER,a&MEDALS_MP/KILL_JUMPER_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,13,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#air_kill,a&MEDALS_MP/AIR_KILL,a&MEDALS_MP/AIR_KILL,a&MEDALS_MP/AIR_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,15,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#low_health_kill,a&MEDALS_MP/LOW_HEALTH_KILL,a&MEDALS_MP/LOW_HEALTH_KILL,a&MEDALS_MP/LOW_HEALTH_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,32,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#air_to_air_kill,a&MEDALS_MP/AIR_TO_AIR_KILL,a&MEDALS_MP/AIR_TO_AIR_KILL,a&MEDALS_MP/AIR_TO_AIR_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,16,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#item_impact,a&MEDALS_MP/ITEM_IMPACT,a&MEDALS_MP/ITEM_IMPACT,a&MEDALS_MP/ITEM_IMPACT_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,33,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_5,a&MEDALS_MP/STREAK_5,a&MEDALS_MP/STREAK_5,a&MEDALS_MP/STREAK_5_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,54,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_10,a&MEDALS_MP/STREAK_10,a&MEDALS_MP/STREAK_10,a&MEDALS_MP/STREAK_10_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,55,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_15,a&MEDALS_MP/STREAK_15,a&MEDALS_MP/STREAK_15,a&MEDALS_MP/STREAK_15_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,56,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_20,a&MEDALS_MP/STREAK_20,a&MEDALS_MP/STREAK_20,a&MEDALS_MP/STREAK_20_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,57,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_25,a&MEDALS_MP/STREAK_25,a&MEDALS_MP/STREAK_25,a&MEDALS_MP/STREAK_25_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,58,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_30,a&MEDALS_MP/STREAK_30,a&MEDALS_MP/STREAK_30,a&MEDALS_MP/30_STREAK_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,59,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#streak_max,a&MEDALS_MP/STREAK_MAX,a&MEDALS_MP/STREAK_MAX,a&MEDALS_MP/STREAK_MAX_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,60,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_3ae8267a71b8f2c,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_770c515531cfb4d,a&MEDALS_MP/CRUISE_PREDATOR_KILL,a&MEDALS_MP/CRUISE_PREDATOR_KILL,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_e1bda745d7e2b780,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_cdd61ad0a230d999,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_2d9306cd3eb5ae5a,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_f63ac0cb5bc77bff,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_7b9598bd6b22e423,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_17a8cf73f6e02c75,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_74a5c4c18ca483bf,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_d3e2ae2ab4772088,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_927f2d6c18fb8ac4,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_2788375db3c98773,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_f4a8a91810123d8a,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_9f9435897f7fed30,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_26fc08d2e997ea40,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_19ebab090ae4e731,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_93fd323e5dcba2d4,a&,a&,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_radar_drone_escort,a&MEDALS_MP/KILL_SS_RADAR_DRONE,a&MEDALS_MP/KILL_SS_RADAR_DRONE,a&MEDALS_MP/KILL_SS_RADAR_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_radar_drone_recon,a&MEDALS_MP/KILL_SS_RECON_DRONE,a&MEDALS_MP/KILL_SS_RECON_DRONE,a&MEDALS_MP/KILL_SS_RECON_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_radar_drone_overwatch,a&MEDALS_MP/KILL_SS_RADAR_DRONE,a&MEDALS_MP/KILL_SS_RADAR_DRONE,a&MEDALS_MP/KILL_SS_RADAR_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_scrambler_drone_escort,a&MEDALS_MP/KILL_SS_SCRAMBLER_DRONE,a&MEDALS_MP/KILL_SS_SCRAMBLER_DRONE,a&MEDALS_MP/KILL_SS_SCRAMBLER_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_scrambler_drone_guard,a&MEDALS_MP/KILL_SS_SCRAMBLER_DRONE,a&MEDALS_MP/KILL_SS_SCRAMBLER_DRONE,a&MEDALS_MP/KILL_SS_SCRAMBLER_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_support_box,a&MEDALS_MP/KILL_SS_SUPPORT_BOX,a&MEDALS_MP/KILL_SS_SUPPORT_BOX,a&MEDALS_MP/KILL_SS_SUPPORT_BOX_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_manual_turret,a&MEDALS_MP/KILL_SS_MANUAL_TURRET,a&MEDALS_MP/KILL_SS_MANUAL_TURRET,a&MEDALS_MP/KILL_SS_MANUAL_TURRET_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_toma_strike,a&MEDALS_MP/KILL_SS_TOMA_STRIKE,a&MEDALS_MP/KILL_SS_TOMA_STRIKE,a&MEDALS_MP/KILL_SS_TOMA_STRIKE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_multi_airstrike,a&MEDALS_MP/KILL_SS_MULTI_AIRSTRIKE,a&MEDALS_MP/KILL_SS_MULTI_AIRSTRIKE,a&MEDALS_MP/KILL_SS_MULTI_AIRSTRIKE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_cruise_predator,a&MEDALS_MP/KILL_SS_CRUISE_PREDATOR,a&MEDALS_MP/KILL_SS_CRUISE_PREDATOR,a&MEDALS_MP/KILL_SS_CRUISE_PREDATOR_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_pac_sentry,a&MEDALS_MP/KILL_SS_PAC_SENTRY,a&MEDALS_MP/KILL_SS_PAC_SENTRY,a&MEDALS_MP/KILL_SS_PAC_SENTRY_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_chopper_gunner,a&MEDALS_MP/KILL_SS_CHOPPER_GUNNER,a&MEDALS_MP/KILL_SS_CHOPPER_GUNNER,a&MEDALS_MP/KILL_SS_CHOPPER_GUNNER_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_gunship,a&MEDALS_MP/KILL_SS_AC130,a&MEDALS_MP/KILL_SS_AC130,a&MEDALS_MP/KILL_SS_AC130_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_dronedrop,a&MEDALS_MP/KILL_SS_DRONEDROP,a&MEDALS_MP/KILL_SS_DRONEDROP,a&MEDALS_MP/KILL_SS_DRONEDROP_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_uav,a&MEDALS_MP/KILL_SS_UAV,a&MEDALS_MP/KILL_SS_UAV,a&MEDALS_MP/KILL_SS_UAV_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_counter_uav,a&MEDALS_MP/KILL_SS_COUNTER_UAV,a&MEDALS_MP/KILL_SS_COUNTER_UAV,a&MEDALS_MP/KILL_SS_COUNTER_UAV_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_directional_uav,a&MEDALS_MP/KILL_SS_DIRECTIONAL_UAV,a&MEDALS_MP/KILL_SS_DIRECTIONAL_UAV,a&MEDALS_MP/KILL_SS_DIRECTIONAL_UAV_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_fuel_airstrike,a&MEDALS_MP/KILL_SS_FUEL_AIRSTRIKE,a&MEDALS_MP/KILL_SS_FUEL_AIRSTRIKE,a&MEDALS_MP/KILL_SS_FUEL_AIRSTRIKE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_chopper_support,a&MEDALS_MP/KILL_SS_FUEL_AIRSTRIKE,a&MEDALS_MP/KILL_SS_FUEL_AIRSTRIKE,a&MEDALS_MP/KILL_SS_FUEL_AIRSTRIKE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_flash_turret,a&MEDALS_MP/KILL_SS_FLASH_TURRET,a&MEDALS_MP/KILL_SS_FLASH_TURRET,a&MEDALS_MP/KILL_SS_FLASH_TURRET_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_hover_jet,a&MEDALS_MP/KILL_SS_HOVER_JET,a&MEDALS_MP/KILL_SS_HOVER_JET,a&MEDALS_MP/KILL_SS_HOVER_JET_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_emp_drone,a&MEDALS_MP_KILL_SS_EMP_DRONE,a&MEDALS_MP_KILL_SS_EMP_DRONE,a&MEDALS_MP_KILL_SS_EMP_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_sentry_gun,a&MEDALS_MP/KILL_SS_SENTRY_GUN,a&MEDALS_MP/KILL_SS_SENTRY_GUN,a&MEDALS_MP/KILL_SS_SENTRY_GUN_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_bradley,a&MEDALS_MP/KILL_SS_BRADLEY,a&MEDALS_MP/KILL_SS_BRADLEY,a&MEDALS_MP/KILL_SS_BRADLEY_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_assault_drone,a&MEDALS_MP/KILL_SS_ASSAULT_DRONE,a&MEDALS_MP/KILL_SS_ASSAULT_DRONE,a&MEDALS_MP/KILL_SS_ASSAULT_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_auto_drone,a&MEDALS_MP/KILL_SS_AUTO_DRONE,a&MEDALS_MP/KILL_SS_AUTO_DRONE,a&MEDALS_MP/KILL_SS_AUTO_DRONE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_cluster_spike,a&MEDALS_MP/KILL_SS_CLUSTER_SPIKE,a&MEDALS_MP/KILL_SS_CLUSTER_SPIKE,a&MEDALS_MP/KILL_SS_CLUSTER_SPIKE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#kill_ss_airdrop_escort,a&MEDALS_MP/KILL_SS_CHOPPER_GUNNER,a&MEDALS_MP/KILL_SS_CHOPPER_GUNNER,a&MEDALS_MP/KILL_SS_CHOPPER_GUNNER_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#mode_gun_melee_1st_place,a&MEDALS_MP/MODE_GUN_MELEE_1ST_PLACE,a&MEDALS_MP/MODE_GUN_MELEE_1ST_PLACE,a&MEDALS_MP/MODE_GUN_MELEE_1ST_PLACE_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,50,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#simultaneous_kill,a&MEDALS_MP/SIMULTANEOUS_KILL,a&MEDALS_MP/SIMULTANEOUS_KILL,a&MEDALS_MP/SIMULTANEOUS_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,17,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#savior,a&MEDALS_MP/SAVIOR,a&MEDALS_MP/SAVIOR,a&MEDALS_MP/SAVIOR_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,27,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#assist_hardline,a&SPLASHES/ASSIST_HARDLINE,a&SPLASHES/ASSIST_HARDLINE,a&,hud_icon_splash_kill,#,splash,skill,,a&,,,,1,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
