string,string,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string
57,retsnpr01,a&RETICLES/RETSNPR_01,,snp_reticle_01,1,,scope,,challenge,a&,1,,
58,retsnpr02,a&RETICLES/RETSNPR_02,,snp_reticle_02,2,,scope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
59,retsnpr03,a&RETICLES/RETSNPR_03,,snp_reticle_03,3,,scope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
60,retsnpr04,a&RETICLES/RETSNPR_04,,snp_reticle_04,4,,scope,,challenge,a&,1,,
61,retsnpr05,a&RETICLES/RETSNPR_05,,snp_reticle_05,5,,scope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
62,retsnpr06,a&RETICLES/RETSNPR_06,,snp_reticle_06,6,,scope,,challenge,a&,1,,
63,retsnpr07,a&RETICLES/RETSNPR_07,,snp_reticle_07,7,,scope,,challenge,a&,1,,
64,retsnpr08,a&RETICLES/RETSNPR_08,,snp_reticle_08,8,,scope,,challenge,a&,1,,
65,retsnpr09,a&RETICLES/RETSNPR_09,,snp_reticle_09,9,,scope,,challenge,a&,1,,
66,retsnpr10,a&RETICLES/RETSNPR_10,,snp_reticle_10,10,,scope,,challenge,a&,1,,
67,retsnpr11,a&RETICLES/RETSNPR_11,,snp_reticle_11,11,,scope,,challenge,a&,1,,
68,retsnpr12,a&RETICLES/RETSNPR_12,,reticle_default,12,1,vzscope,,challenge,a&,1,,
69,retsnpr13,a&RETICLES/RETSNPR_13,,reticle_default,13,1,vzscope,,challenge,a&,1,,
70,retsnpr14,a&RETICLES/RETSNPR_14,,reticle_default,14,1,vzscope,,challenge,a&,1,,
71,retsnpr15,a&RETICLES/RETSNPR_15,,reticle_default,15,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
72,retsnpr16,a&RETICLES/RETSNPR_16,,reticle_default,16,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
73,retsnpr17,a&RETICLES/RETSNPR_17,,reticle_default,17,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
74,retsnpr18,a&RETICLES/RETSNPR_18,,reticle_default,18,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
75,retsnpr19,a&RETICLES/RETSNPR_19,,reticle_default,19,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
76,retsnpr20,a&RETICLES/RETSNPR_20,,reticle_default,20,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
77,retsnpr21,a&RETICLES/RETSNPR_21,,reticle_default,21,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
78,retsnpr22,a&RETICLES/RETSNPR_22,,reticle_default,22,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
79,retsnpr23,a&RETICLES/RETSNPR_23,,reticle_default,23,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
80,retsnpr24,a&RETICLES/RETSNPR_24,,reticle_default,24,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
81,retsnpr25,a&RETICLES/RETSNPR_25,,reticle_default,25,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
82,retsnpr26,a&RETICLES/RETSNPR_26,,reticle_default,26,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
83,retsnpr27,a&RETICLES/RETSNPR_27,,reticle_default,27,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
84,retsnpr28,a&RETICLES/RETSNPR_28,,reticle_default,28,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
85,retsnpr29,a&RETICLES/RETSNPR_29,,reticle_default,29,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
86,retsnpr30,a&RETICLES/RETSNPR_30,,reticle_default,30,1,vzscope,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
