string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized,localized,localized,localized,localized,localized,localized,localized,int
mp_fort,a&LUA_MENU/MAPNAME_FORT,a&LUA_MENU/MAPNAME_FORT,,0.45,205,542,0,0,0.004,RUSF,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_fort_bg_preview,loading_mp_fort_bg,0,a&LUA_MENU/MAPNAME_FORT,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_FORT_ALLIES_1,&MP_CHYRON/MP_FORT_ALLIES_2,&MP_CHYRON/MP_FORT_ALLIES_3,&MP_CHYRON/MP_FORT_ALLIES_4,&MP_CHYRON/MP_FORT_AXIS_1,&MP_CHYRON/MP_FORT_AXIS_2,&MP_CHYRON/MP_FORT_AXIS_3,&MP_CHYRON/MP_FORT_AXIS_4,0
mp_grandprix_pm_2,a&LUA_MENU/MAPNAME_GRANDPRIX,a&LUA_MENU/MAPNAME_GRANDPRIX,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_grandprix_pm_2_bg_preview,loading_mp_grandprix_pm_2_bg,0,a&LUA_MENU/MAPNAME_GRANDPRIX,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_GRANDPRIX_ALLIES_1,&MP_CHYRON/MP_GRANDPRIX_ALLIES_2,&MP_CHYRON/MP_GRANDPRIX_ALLIES_3,&MP_CHYRON/MP_GRANDPRIX_ALLIES_4,&MP_CHYRON/MP_GRANDPRIX_AXIS_1,&MP_CHYRON/MP_GRANDPRIX_AXIS_2,&MP_CHYRON/MP_GRANDPRIX_AXIS_3,&MP_CHYRON/MP_GRANDPRIX_AXIS_4,0
mp_historic_gw2,a&LUA_MENU/MAPNAME_HISTORIC,a&LUA_MENU/MAPNAME_HISTORIC,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,loading_mp_historic_gw_bg_preview,loading_mp_historic_gw_bg,0,a&LUA_MENU/MAPNAME_HISTORIC,25000,DXR_OFF,,1,0,,,1,,,,1.5,1.5,1.5,1.5,1.5,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_HISTORIC_ALLIES_1,&MP_CHYRON/MP_HISTORIC_ALLIES_2,&MP_CHYRON/MP_HISTORIC_ALLIES_3,&MP_CHYRON/MP_HISTORIC_ALLIES_4,&MP_CHYRON/MP_HISTORIC_AXIS_1,&MP_CHYRON/MP_HISTORIC_AXIS_2,&MP_CHYRON/MP_HISTORIC_AXIS_3,&MP_CHYRON/MP_HISTORIC_AXIS_4,0
mp_hydro,a&LUA_MENU/MAPNAME_HYDRO,a&LUA_MENU/MAPNAME_HYDRO,,0.45,205,542,0,0,0.004,ZVIR,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_hydro_bg_preview,loading_mp_hydro_bg,0,a&LUA_MENU/MAPNAME_HYDRO,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_HYDRO_ALLIES_1,&MP_CHYRON/MP_HYDRO_ALLIES_2,&MP_CHYRON/MP_HYDRO_ALLIES_3,&MP_CHYRON/MP_HYDRO_ALLIES_4,&MP_CHYRON/MP_HYDRO_AXIS_1,&MP_CHYRON/MP_HYDRO_AXIS_2,&MP_CHYRON/MP_HYDRO_AXIS_3,&MP_CHYRON/MP_HYDRO_AXIS_4,0
mp_intercept,a&LUA_MENU/MAPNAME_INTERCEPT,a&LUA_MENU/MAPNAME_INTERCEPT,,0.6,205,542,0,-0.01,-0.008,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_intercept_bg_preview,loading_mp_intercept_bg,0,a&LUA_MENU/MAPNAME_INTERCEPT,,DXR_OFF,,0,0,1125,3500,1,,-0.01,-0.008,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_INTERCEPT_ALLIES_1,&MP_CHYRON/MP_INTERCEPT_ALLIES_2,&MP_CHYRON/MP_INTERCEPT_ALLIES_3,&MP_CHYRON/MP_INTERCEPT_ALLIES_4,&MP_CHYRON/MP_INTERCEPT_AXIS_1,&MP_CHYRON/MP_INTERCEPT_AXIS_2,&MP_CHYRON/MP_INTERCEPT_AXIS_3,&MP_CHYRON/MP_INTERCEPT_AXIS_4,0
mp_luxury,a&LUA_MENU/MAPNAME_LUXURY,a&LUA_MENU/MAPNAME_LUXURY,,0.45,205,542,0,0,0.004,ICORPS,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_luxury_bg_preview,loading_mp_luxury_bg,0,a&LUA_MENU/MAPNAME_LUXURY,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_LUXURY_ALLIES_1,&MP_CHYRON/MP_LUXURY_ALLIES_2,&MP_CHYRON/MP_LUXURY_ALLIES_3,&MP_CHYRON/MP_LUXURY_ALLIES_4,&MP_CHYRON/MP_LUXURY_AXIS_1,&MP_CHYRON/MP_LUXURY_AXIS_2,&MP_CHYRON/MP_LUXURY_AXIS_3,&MP_CHYRON/MP_LUXURY_AXIS_4,0
mp_mgl_catedral,a&LUA_MENU/MAPNAME_CATEDRAL,a&LUA_MENU/MAPNAME_CATEDRAL,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_catedral_bg_preview,loading_mp_mgl_catedral_bg,0,a&LUA_MENU/MAPNAME_CATEDRAL,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_1,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_2,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_3,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_4,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_1,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_2,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_3,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_4,0
mp_mgl_luxury,a&LUA_MENU/MAPNAME_LUXURY,a&LUA_MENU/MAPNAME_LUXURY,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_luxury_bg_preview,loading_mp_mgl_luxury_bg,0,a&LUA_MENU/MAPNAME_LUXURY,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_1,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_2,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_3,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_4,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_1,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_2,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_3,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_4,0
mp_mgl_shipment_iw9,a&LUA_MENU/MAPNAME_SHIPMENT_IW9,a&LUA_MENU/MAPNAME_SHIPMENT_IW9,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_shipment_bg_preview,loading_mp_mgl_shipment_iw9_bg,0,a&LUA_MENU/MAPNAME_SHIPMENT_IW9,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_1,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_2,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_3,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_4,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_1,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_2,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_3,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_4,0
mp_mgl_escape4,a&LUA_MENU_MOBILE/PLAYLIST_REBIRTH_ISLAND,a&LUA_MENU_MOBILE/PLAYLIST_REBIRTH_ISLAND,,,,,,,,RUSF,SAS,RUSF,SAS,RUSF,SAS,FREE,1,,15000,25000,image_mp_map_templogo,loading_mp_mgl_escape4_bg,0,a&LUA_MENU_MOBILE/PLAYLIST_REBIRTH_ISLAND,,DXR_OFF,,1,0,,,1,,,,1,1,1,1,1,12000,2000,4000,15000,2000,,&,&,&,&,&,&,&,&,0
mp_museum,a&LUA_MENU/MAPNAME_MUSEUM,a&LUA_MENU/MAPNAME_MUSEUM,,0.45,205,542,0,0,0.004,ZVIR,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,image_mp_map_templogo,loading_mp_museum_bg,0,a&LUA_MENU/MAPNAME_MUSEUM,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_MUSEUM_ALLIES_1,&MP_CHYRON/MP_MUSEUM_ALLIES_2,&MP_CHYRON/MP_MUSEUM_ALLIES_3,&MP_CHYRON/MP_MUSEUM_ALLIES_4,&MP_CHYRON/MP_MUSEUM_AXIS_1,&MP_CHYRON/MP_MUSEUM_AXIS_2,&MP_CHYRON/MP_MUSEUM_AXIS_3,&MP_CHYRON/MP_MUSEUM_AXIS_4,0
mp_narcos,a&LUA_MENU/MAPNAME_NARCOS,a&LUA_MENU/MAPNAME_NARCOS,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_narcos_bg_preview,loading_mp_narcos_bg,0,a&LUA_MENU/MAPNAME_NARCOS,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_NARCOS_ALLIES_1,&MP_CHYRON/MP_NARCOS_ALLIES_2,&MP_CHYRON/MP_NARCOS_ALLIES_3,&MP_CHYRON/MP_NARCOS_ALLIES_4,&MP_CHYRON/MP_NARCOS_AXIS_1,&MP_CHYRON/MP_NARCOS_AXIS_2,&MP_CHYRON/MP_NARCOS_AXIS_3,&MP_CHYRON/MP_NARCOS_AXIS_4,0
mp_nogales_gw2,a&LUA_MENU/MAPNAME_NOGALES,a&LUA_MENU/MAPNAME_NOGALES,,0.45,205,542,0,0,0.004,ZVIR,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,1,,3000,5000,image_mp_map_templogo,loading_mp_nogales_bg,0,a&LUA_MENU/MAPNAME_NOGALES,25000,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_NOGALES_ALLIES_1,&MP_CHYRON/MP_NOGALES_ALLIES_2,&MP_CHYRON/MP_NOGALES_ALLIES_3,&MP_CHYRON/MP_NOGALES_ALLIES_4,&MP_CHYRON/MP_NOGALES_AXIS_1,&MP_CHYRON/MP_NOGALES_AXIS_2,&MP_CHYRON/MP_NOGALES_AXIS_3,&MP_CHYRON/MP_NOGALES_AXIS_4,0
mp_observatory,a&LUA_MENU/MAPNAME_OBSERVATORY,a&LUA_MENU/MAPNAME_OBSERVATORY,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_observ_bg_preview,loading_mp_observatory_bg,0,a&LUA_MENU/MAPNAME_OBSERVATORY,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_OBSERVATORY_ALLIES_1,&MP_CHYRON/MP_OBSERVATORY_ALLIES_2,&MP_CHYRON/MP_OBSERVATORY_ALLIES_3,&MP_CHYRON/MP_OBSERVATORY_ALLIES_4,&MP_CHYRON/MP_OBSERVATORY_AXIS_1,&MP_CHYRON/MP_OBSERVATORY_AXIS_2,&MP_CHYRON/MP_OBSERVATORY_AXIS_3,&MP_CHYRON/MP_OBSERVATORY_AXIS_4,0
mp_shipment_iw9,a&LUA_MENU/MAPNAME_SHIPMENT_IW9,a&LUA_MENU/MAPNAME_SHIPMENT_IW9,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_shipment_bg_preview,loading_mp_shipment_bg,0,a&LUA_MENU/MAPNAME_SHIPMENT_IW9,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_1,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_2,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_3,&MP_CHYRON/MP_SHIPMENT_IW9_ALLIES_4,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_1,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_2,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_3,&MP_CHYRON/MP_SHIPMENT_IW9_AXIS_4,0
mp_shoothouse2,a&LUA_MENU/MAPNAME_SHOOTHOUSE2,a&LUA_MENU/MAPNAME_SHOOTHOUSE2,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_shoot_bg_preview,loading_mp_shoot_bg,0,a&LUA_MENU/MAPNAME_SHOOTHOUSE2,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_1,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_2,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_3,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_4,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_1,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_2,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_3,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_4,0
mp_shoothouse2_mobile,a&LUA_MENU/MAPNAME_SHOOTHOUSE2,a&LUA_MENU/MAPNAME_SHOOTHOUSE2,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_shoot_bg_preview,loading_mp_shoothouse2_mobile_bg,0,a&LUA_MENU/MAPNAME_SHOOTHOUSE2,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_1,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_2,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_3,&MP_CHYRON/MP_SHOOTHOUSE2_ALLIES_4,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_1,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_2,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_3,&MP_CHYRON/MP_SHOOTHOUSE2_AXIS_4,0
mp_scrapyard_mobile,a&LUA_MENU/MAPNAME_SCRAPYARD,a&LUA_MENU/MAPNAME_SCRAPYARD,,0.45,205,542,90,-0.002,0,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,image_mp_map_templogo,loading_mp_scrapyard_mobile_bg,0,a&LUA_MENU/MAPNAME_SCRAPYARD,,DXR_ON,,1,48,750,3500,1,,0.03,0.07,1,1,1,1,1,12000,2000,4000,15000,2000,,&,&,&,&,&,&,&,&,0
mp_showdown2,a&LUA_MENU/MAPNAME_SHOWDOWN2,a&LUA_MENU/MAPNAME_SHOWDOWN2,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_showdown2_bg_preview,loading_mp_showdown2_bg,0,a&LUA_MENU/MAPNAME_SHOWDOWN2,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_SHOWDOWN2_ALLIES_1,&MP_CHYRON/MP_SHOWDOWN2_ALLIES_2,&MP_CHYRON/MP_SHOWDOWN2_ALLIES_3,&MP_CHYRON/MP_SHOWDOWN2_ALLIES_4,&MP_CHYRON/MP_SHOWDOWN2_AXIS_1,&MP_CHYRON/MP_SHOWDOWN2_AXIS_2,&MP_CHYRON/MP_SHOWDOWN2_AXIS_3,&MP_CHYRON/MP_SHOWDOWN2_AXIS_4,0
