string,string,string,localized_a,string,string,string,string,string,string,localized_a,string
19,taunt_mp_eastern_stohli_default,stohli_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
20,taunt_mp_eastern_rodion_default,rodion_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,2,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
21,taunt_mp_eastern_trigg_default,trigg_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,3,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
22,taunt_mp_eastern_grinch_default,grinch_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,4,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
23,taunt_mp_eastern_iskra_default,iskra_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
24,taunt_mp_eastern_yegor_default,yegor_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
25,taunt_mp_eastern_kreuger_default,kreuger_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,2,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
26,taunt_mp_eastern_dingo_default,dingo_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
27,taunt_mp_eastern_azur_default,azur_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,3,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
28,taunt_mp_eastern_yolandi_default,yolandi_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,4,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
29,taunt_mp_eastern_zane_default,zane_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
30,taunt_mp_eastern_minotavr_default,minotavr_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
31,taunt_mp_western_raines_default,raines_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,4,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
