string,string,localized_a,localized_a,string,localized_a,string,string,string,string,string,string,localized_a,string,localized_a,string,string,localized_a,string,localized_a,string,int
11,vip,a&LUA_MENU_MP/MISSION_VIP_1_TITLE,a&MP_BR_INGAME/MISSION_VIP_DESC_TEAM,,a&MP_BR_INGAME/MISSION_VIP_TARGET_1,ui_map_icon_obj_most_wanted,vip,1,p,,ui_map_icon_ph_most_wanted,a&,ui_map_icon_ph_most_wanted,a&MP_BR_INGAME/VIP_CONTRACT,ui_mp_br_contracts_splash_icon_hvt,,a&,vip,a&MP_BR_INGAME/MISSION_VIP_DESC_2_TEAM,,0
12,gt_extract_1,a&LUA_MENU_MP/EXTRACT_MISSION_1_TITLE,a&MP_BR_INGAME/EXTRACT_MISSION_1_DESC,,a&MP_BR_INGAME/EXTRACT_MISSION_TARGET,ui_map_icon_obj_extract,default,0,i,,,a&,,a&,,,a&,,a&,,0
13,gt_evac,a&LUA_MENU_MP/EVAC_MISSION_TITLE,a&MP_BR_INGAME/EVAC_MISSION_DESC,,a&,ui_map_icon_obj_extract,default,0,,,,a&,,a&,,,a&,,a&,,0
14,blueprintextract,a&LUA_MENU_MP/MISSION_EXTRACT_1_TITLE,a&,,a&MP_BR_INGAME/MISSION_EXTRACT_TARGET_1,ui_map_icon_obj_exfil,blueprintextract,1,p,1,brloot_blueprintextract_tablet,a&,ui_mp_br_mapmenu_legend_tablet_dom,a&MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_extraction,BRLootItemRarity.SpecialMission,a&,,a&,,0
15,attraction_racetrack,a&,a&,,a&,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,attraction_racetrack,1,,,br_attraction_rt,a&,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,a&MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,a&,,a&,,0
16,attraction_racetrack_heli,a&,a&,,a&,ui_mp_br_mapmenu_icon_poi_sb_race_helo,attraction_racetrack,1,,,br_attraction_rt_h,a&,ui_mp_br_mapmenu_icon_poi_sb_race_helo,a&MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,a&,,a&,,0
17,attraction_racetrack_parachute,a&,a&,,a&,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,attraction_racetrack,1,,,br_attraction_rt_p,a&,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,a&MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,a&,,a&,,0
18,secretstash,a&LUA_MENU_MP/MISSION_SECRETSTASH_1_TITLE,a&MP_BR_INGAME/MISSION_SECRETSTASH_1_DESC,,a&,ui_map_icon_obj_scavenger,secretstash,1,,,brloot_secretstash_tablet,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SECRETSTASH_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,a&,,a&,,0
19,smokinggun,a&LUA_MENU_MP/MISSION_SMOKINGGUN_1_TITLE,a&MP_BR_INGAME/MISSION_SMOKINGGUN_1_DESC,5,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_x1_01_objective,default,0,i,1,,a&,ui_mp_br_mapmenu_icon_x1_01_objective,a&MP_BR_INGAME/SMOKINGGUN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&LOOT_MP/EMBLEM,,a&,,0
20,history,a&LUA_MENU_MP/MISSION_HISTORY_TITLE,a&LUA_MENU_MP/MISSION_HISTORY_DESC,,a&,ui_mp_br_mapmenu_icon_x1_02_objective,default,0,i,1,,a&,ui_mp_br_mapmenu_icon_x1_02_objective,a&MP_BR_INGAME/HISTORY_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&LOOT_MP/CALLING_CARD,,a&,,0
21,x1stash,a&LUA_MENU_MP/MISSION_X1STASH_TITLE,a&LUA_MENU_MP/MISSION_X1STASH_DESC,3,a&,ui_mp_br_mapmenu_icon_x1_03_objective,default,0,i,1,,a&,ui_mp_br_mapmenu_icon_x1_03_objective,a&MP_BR_INGAME/X1STASH_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&LOOT_MP/CHARM,,a&,,0
22,x1fin,a&LUA_MENU_MP/MISSION_X1FIN_1_TITLE,a&MP_BR_INGAME/MISSION_X1FIN_DESC,,a&MP_BR_INGAME/MISSION_X1FIN_LOC,ui_mp_br_mapmenu_icon_x1_04_objective,default,0,s,1,,a&,ui_mp_br_mapmenu_icon_x1_04_objective,a&MP_BR_INGAME/X1FIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&LOOT_MP/WEAPON_BLUEPRINT,,a&,,0
23,br_demo,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_DESC,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
24,br_demo_first,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_FIRST_DESC,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
25,br_demo_second,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_SECOND_DESC,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
26,br_demo_defend,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_DEFEND,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
27,dmz_elimination,a&MP_DMZ_MISSIONS/DMZ_ELIM_TITLE,a&MP_DMZ_MISSIONS/DMZ_ELIM_DESC,,a&,ui_map_icon_obj_assassin,default,0,,,,a&,,a&,,,a&,elim,a&,,0
28,dmz_domination,a&MP_DMZ_MISSIONS/DMZ_DOM_TITLE,a&MP_DMZ_MISSIONS/DMZ_DOM_DESC,,a&,ui_map_icon_obj_intel,default,0,,,,a&,,a&,,,a&,dom,a&,,0
29,dmz_safe_find,a&MP_DMZ_MISSIONS/DMZ_SAFE_FIND_TITLE,a&MP_DMZ_MISSIONS/DMZ_SAFE_FIND_DESC,,a&,ui_map_icon_obj_recover,default,0,,,,a&,,a&,,,a&,safe,a&,,0
30,dmz_safe_defend,a&MP_DMZ_MISSIONS/DMZ_SAFE_DEFEND_TITLE,a&MP_DMZ_MISSIONS/DMZ_SAFE_DEFEND_DESC,,a&,ui_map_icon_obj_recover,default,0,,,,a&,,a&,,,a&,safe,a&,,0
31,dmz_safe_loot,a&MP_DMZ_MISSIONS/DMZ_SAFE_LOOT_TITLE,a&MP_DMZ_MISSIONS/DMZ_SAFE_LOOT_DESC,,a&,ui_map_icon_obj_recover,default,0,,,,a&,,a&,,,a&,safe,a&,,0
32,dmz_scavenger,a&MP_DMZ_MISSIONS/DMZ_SCAV_TITLE,a&MP_DMZ_MISSIONS/DMZ_SCAV_DESC,,a&,ui_map_icon_obj_scavenger,default,0,,,,a&,,a&,,,a&,,a&,,0
33,dmz_domination_explore,a&MP_DMZ_MISSIONS/DMZ_DOM_TITLE,a&MP_DMZ_MISSIONS/DMZ_DOM_EXPLORE_DESC,,a&,ui_map_icon_obj_intel,default,0,,,,a&,,a&,,,a&,dom,a&,,0
34,dmz_elimination_collect,a&MP_DMZ_MISSIONS/DMZ_ELIM_TITLE,a&MP_DMZ_MISSIONS/DMZ_ELIM_COLLECT_DESC,,a&,ui_map_icon_obj_assassin,default,0,,,,a&,,a&,,,a&,elim,a&,,0
35,dmz_massacre,a&MP_DMZ_MISSIONS/DMZ_MASS_TITLE,a&MP_DMZ_MISSIONS/DMZ_MASS_DESC,,a&,ui_map_icon_obj_assassin,default,0,,,,a&,,a&,,,a&,,a&,,0
36,dmz_search,a&MP_DMZ_MISSIONS/DMZ_SEARCH_TITLE,a&MP_DMZ_MISSIONS/DMZ_SEARCH_DESC,,a&,ui_map_icon_obj_scavenger,default,0,,,,a&,,a&,,,a&,search,a&,,0
37,dmz_supply,a&MP_DMZ_MISSIONS/DMZ_SUPPLY_TITLE,a&MP_DMZ_MISSIONS/DMZ_SUPPLY_DESC,,a&,ui_map_icon_obj_scavenger,default,0,,,,a&,,a&,,,a&,,a&,,0
38,dmz_escape,a&MP_DMZ_MISSIONS/DMZ_ESCAPE_TITLE,a&MP_DMZ_MISSIONS/DMZ_ESCAPE_DESC,,a&,ui_map_icon_obj_exfil,default,0,,,,a&,,a&,,,a&,,a&,,0
39,dmz_trap,a&MP_DMZ_MISSIONS/DMZ_TRAP_TITLE,a&MP_DMZ_MISSIONS/DMZ_TRAP_DESC,,a&,ui_map_icon_obj_trap,default,0,,,,a&,,a&,,,a&,trap,a&,,0
40,dmz_fortress_search,a&MP_DMZ_MISSIONS/DMZ_TRAP_TITLE,a&MP_DMZ_MISSIONS/DMZ_FORTRESS_SEARCH_DESC,,a&,ui_map_icon_obj_trap,default,0,,,,a&,,a&,,,a&,trap,a&,,0
41,dmz_confirm_kill,a&MP_DMZ_MISSIONS/DMZ_ELIM_TITLE,a&MP_DMZ_MISSIONS/DMZ_CONFIRM_KILL_DESC,,a&,ui_map_icon_obj_assassin,default,0,,,,a&,,a&,,,a&,elim,a&,,0
42,dmz_loot_stash,a&MP_DMZ_MISSIONS/DMZ_TRAP_TITLE,a&MP_DMZ_MISSIONS/DMZ_LOOT_STASH_DESC,,a&,ui_map_icon_obj_trap,default,0,,,,a&,,a&,,,a&,trap,a&,,0
43,dmz_search_bads,a&MP_DMZ_MISSIONS/DMZ_BADS_TITLE,a&MP_DMZ_MISSIONS/DMZ_BADS_DESC,,a&,ui_map_icon_obj_trap,default,0,,,,a&,,a&,,,a&,bads,a&,,0
44,dmz_clear_fortress,a&MP_DMZ_MISSIONS/DMZ_CLEAR_FORTRESS_TITLE,a&MP_DMZ_MISSIONS/DMZ_CLEAR_FORTRESS_DESC,,a&,ui_map_icon_obj_assassin,default,0,,,,a&,,a&,,,a&,clear,a&,,0
45,dmz_destroy_sam,a&MP_DMZ_MISSIONS/DMZ_DESTROY_SAM_TITLE,a&MP_DMZ_MISSIONS/DMZ_DESTROY_SAM_DESC,,a&,ui_map_icon_obj_bomb_collect,default,0,,,,a&,,a&,,,a&,sam,a&,,0
46,dmz_hostage,a&MP_DMZ_MISSIONS/DMZ_HOSTAGE_TITLE,a&MP_DMZ_MISSIONS/DMZ_HOSTAGE_DESC,,a&,ui_map_icon_obj_rescue,default,0,,,,a&,,a&,,,a&,hostage,a&,,0
47,dmz_hostage_transport,a&MP_DMZ_MISSIONS/DMZ_HOSTAGE_TITLE,a&MP_DMZ_MISSIONS/HOSTAGE_DESC_HLZ,,a&,ui_map_icon_obj_rescue,default,0,,,,a&,,a&,,,a&,hostage,a&,,0
48,dmz_vehicledrive,a&MP_DMZ_MISSIONS/VEHICLEDRIVE_TITLE,a&MP_DMZ_MISSIONS/VEHICLEDRIVE_DESC,,a&,ui_map_icon_obj_cargo_delivery,default,0,,,,a&,,a&,,,a&,vehicledrive,a&,,0
49,dmz_vehicledrive_explore,a&MP_DMZ_MISSIONS/VEHICLEDRIVE_TITLE,a&MP_DMZ_MISSIONS/VEHICLEDRIVE_EXPLORE_DESC,,a&,ui_map_icon_obj_cargo_delivery,default,0,,,,a&,,a&,,,a&,vehicledrive,a&,,0
50,dmz_geiger_search,a&MP_DMZ_MISSIONS/GEIGER_SEARCH_TITLE,a&MP_DMZ_MISSIONS/GEIGER_SEARCH_DESC,,a&,ui_map_icon_obj_geiger_search,default,0,i,1,,a&,,a&,,,a&,geiger,a&,,0
51,dmz_geiger_search_explore,a&MP_DMZ_MISSIONS/GEIGER_SEARCH_TITLE,a&MP_DMZ_MISSIONS/GEIGER_SEARCH_EXPLORE_DESC,,a&,ui_map_icon_obj_geiger_search,default,0,i,1,,a&,,a&,,,a&,geiger,a&,,0
52,dmz_geiger_search_loot,a&MP_DMZ_MISSIONS/GEIGER_SEARCH_TITLE,a&MP_DMZ_MISSIONS/GEIGER_SEARCH_LOOT_DESC,,a&,ui_map_icon_obj_geiger_search,default,0,,,,a&,,a&,,,a&,geiger,a&,,0
53,dmz_hunt,a&MP_DMZ_MISSIONS/HUNT_TITLE,a&MP_DMZ_MISSIONS/HUNT_DESC,,a&,ui_map_icon_obj_hunt,default,1,,,,a&,,a&,,,a&,hunt,a&,,0
54,dmz_boatdrive_wait,a&MP_DMZ_MISSIONS/BOATDRIVE_TITLE,a&MP_DMZ_MISSIONS/BOATDRIVE_WAIT_DESC,,a&,ui_map_icon_obj_cargo_ship,,0,,,,a&,,a&,,,a&,boatdrive,a&,,0
55,dmz_boatdrive,a&MP_DMZ_MISSIONS/BOATDRIVE_TITLE,a&MP_DMZ_MISSIONS/BOATDRIVE_DESC,,a&,ui_map_icon_obj_cargo_ship,,0,,,,a&,,a&,,,a&,boatdrive,a&,,0
56,dmz_boatdrive_explore,a&MP_DMZ_MISSIONS/BOATDRIVE_TITLE,a&MP_DMZ_MISSIONS/BOATDRIVE_EXPLORE_DESC,,a&,ui_map_icon_obj_cargo_ship,,0,,,,a&,,a&,,,a&,boatdrive,a&,,0
57,dmz_demo,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_DESC,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
58,dmz_demo_first,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_FIRST_DESC,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
59,dmz_demo_second,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_SECOND_DESC,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
60,dmz_demo_defend,a&MP_DMZ_MISSIONS/DEMO_TITLE,a&MP_DMZ_MISSIONS/DEMO_DEFEND,,a&,ui_map_icon_obj_bomb_collect,,0,,,,a&,,a&,,,a&,demo,a&,,0
61,dmz_supply_explore,a&MP_DMZ_MISSIONS/SUPPLY_TITLE,a&MP_DMZ_MISSIONS/SUPPLY_EXPLORE_DESC,,a&,ui_map_icon_obj_dmz_supply,,0,,,,a&,,a&,,,a&,supply,a&,,0
62,dmz_supply_fire,a&MP_DMZ_MISSIONS/SUPPLY_TITLE,a&MP_DMZ_MISSIONS/SUPPLY_FIRE_DESC,,a&,ui_map_icon_obj_dmz_supply,,0,,,,a&,,a&,,,a&,supply,a&,,0
63,dmz_supply_wait,a&MP_DMZ_MISSIONS/SUPPLY_TITLE,a&MP_DMZ_MISSIONS/SUPPLY_WAIT_DESC,,a&,ui_map_icon_obj_dmz_supply,,0,,,,a&,,a&,,,a&,supply,a&,,0
64,dmz_supply_loot,a&MP_DMZ_MISSIONS/SUPPLY_TITLE,a&MP_DMZ_MISSIONS/SUPPLY_LOOT_DESC,,a&,ui_map_icon_obj_dmz_supply,,0,,,,a&,,a&,,,a&,supply,a&,,0
65,dmz_convoy_attack,a&MP_DMZ_MISSIONS/CONVOY_ATTACK_TITLE,a&MP_DMZ_MISSIONS/CONVOY_ATTACK_DESTROY_DESC,,a&,ui_map_icon_obj_assassin,,0,,,,a&,,a&,,,a&,convoy_attack,a&,,0
66,dmz_hacker_phone,a&MP_DMZ_MISSIONS/HACKER_PHONE_TITLE,a&MP_DMZ_MISSIONS/HACKER_PHONE_DESC,,a&,ui_map_icon_obj_hacker,default,0,i,1,,a&,,a&,,,a&,hacker_phone,a&,1,0
67,dmz_scav,a&MP_DMZ_MISSIONS/SUPPLY_TITLE,a&MP_DMZ_MISSIONS/SCAV_EXPLORE_DESC,,a&,ui_map_icon_obj_dmz_supply,,0,i,1,,a&,,a&,,,a&,scav,a&,,0
70,strongholdInfil,a&LUA_MENU_MP/MISSION_INFILTRATION_TITLE,a&MP_BR_INGAME/INFILTRATION_CONTRACT_DESC,,a&,ui_map_icon_obj_fortress,timed_run,1,,,brloot_stronghold_infil_tablet,a&,ui_mp_br_mapmenu_legend_tablet_fortress,a&MP_BR_INGAME/INFILTRATION_CONTRACT,ui_mp_br_contracts_splash_icon_fortress,,a&,strongholdInfil,a&,,0
71,searchseizure,a&LUA_MENU_MP/MISSION_SEARCHSEIZURE_TITLE,a&MP_BR_INGAME/SEARCHSEIZURE_CONTRACT_DESC,,a&,ui_map_icon_obj_searchseizure,searchseizure,1,i,1,brloot_searchseizure_tablet,a&,ui_mp_br_mapmenu_legend_tablet_searchseizure,a&MP_BR_INGAME/SEARCHSEIZURE_CONTRACT,ui_mp_br_contracts_splash_icon_searchseizure,,a&,searchseizure,a&,,0
72,elite_arrow,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT_DESC,,a&,hud_icon_objective_elite_site,default,1,,,,a&,,a&,,,a&,elite_arrow,a&,,0
73,strongholdInfil,a&LUA_MENU_MP/MISSION_INFILTRATION_TITLE,a&MP_BR_INGAME/INFILTRATION_CONTRACT_DESC,,a&,ui_map_icon_obj_fortress,timed_run,1,,,brloot_stronghold_infil_tablet,a&,ui_mp_br_mapmenu_legend_tablet_fortress,a&MP_BR_INGAME/INFILTRATION_CONTRACT,ui_mp_br_contracts_splash_icon_fortress,,a&,strongholdInfil,a&,,0
74,searchseizure,a&LUA_MENU_MP/MISSION_SEARCHSEIZURE_TITLE,a&MP_BR_INGAME/SEARCHSEIZURE_CONTRACT_DESC,,a&,ui_map_icon_obj_searchseizure,searchseizure,1,i,1,brloot_searchseizure_tablet,a&,ui_mp_br_mapmenu_legend_tablet_searchseizure,a&MP_BR_INGAME/SEARCHSEIZURE_CONTRACT,ui_mp_br_contracts_splash_icon_searchseizure,,a&,searchseizure,a&,,0
75,elite_arrow,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT_DESC,,a&,hud_icon_objective_elite_site,default,1,,,,a&,,a&,,,a&,elite_arrow,a&,,0
76,hacker_phone,a&MP_BR_INGAME/HACKER_PHONE_CONTRACT,a&MP_BR_INGAME/HACKER_PHONE_CONTRACT_DESC_PARAM,,a&,ui_map_icon_obj_hacker,default,1,i,1,,a&,,a&MP_BR_INGAME/HACKER_PHONE_CONTRACT,,,a&,hacker_phone,a&,1,0
77,s5_reveal_silo_capture,a&MP_BR_INGAME/S5_REVEAL_SILO_CAPTURE_TITLE,a&MP_BR_INGAME/S5_REVEAL_SILO_CAPTURE_DESC,,a&,ui_map_icon_sam_site,default,0,,,,a&,,a&,,,a&,s5_reveal_silo_capture,a&,,0
78,s5_reveal_silo_help,a&MP_BR_INGAME/S5_REVEAL_SILO_HELP_TITLE,a&MP_BR_INGAME/S5_REVEAL_SILO_HELP_DESC,,a&,ui_map_icon_sam_site,default,0,,,,a&,,a&,,,a&,s5_reveal_silo_help,a&,,0
79,s5_reveal_invade_bunker,a&MP_BR_INGAME/S5_REVEAL_INVADE_BUNKER_TITLE,a&MP_BR_INGAME/S5_REVEAL_INVADE_BUNKER_DESC,,a&,ui_map_icon_bunker,default,0,,,,a&,,a&,,,a&,s5_reveal_invade_bunker,a&,,0
80,s5_reveal_find_canister,a&MP_BR_INGAME/S5_REVEAL_FIND_CANISTER_TITLE,a&MP_BR_INGAME/S5_REVEAL_FIND_CANISTER_DESC,,a&,ui_map_icon_dmz_radiation,default,0,,,,a&,,a&,,,a&,s5_reveal_find_canister,a&,,0
81,s5_reveal_exfil_canister,a&MP_BR_INGAME/S5_REVEAL_EXFIL_CANISTER_TITLE,a&MP_BR_INGAME/S5_REVEAL_EXFIL_CANISTER_DESC,,a&,ui_map_icon_dmz_radiation,default,0,,,,a&,,a&,,,a&,s5_reveal_exfil_canister,a&,,0
82,s5_reveal_exfil_yourself,a&MP_BR_INGAME/S5_REVEAL_EXFIL_YOURSELF_TITLE,a&MP_BR_INGAME/S5_REVEAL_EXFIL_YOURSELF_DESC,,a&,ui_map_icon_extraction,default,0,,,,a&,,a&,,,a&,s5_reveal_exfil_yourself,a&,,0
101,scavenger_mobile,a&LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,a&LUA_MENU_MOBILE/MISSION_SCAVENGER_DESC,3,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_map_icon_obj_scavenger,scavenger_3,1,i,1,brloot_scavenger_tablet,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,a&,scavenger,a&,,0
