string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string
10,trigger,a&CAS/ATTACHMENT_CAT_TRIGGER,6,9,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,1,1,1
11,pump,a&CAS/ATTACHMENT_CAT_PUMP,5,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_grip_attach,,,,0,0,0
12,pumpgrip,a&CAS/ATTACHMENT_CAT_PUMP_GRIP,6,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_guard_attach,,,,0,0,0
13,guard,a&CAS/ATTACHMENT_CAT_GUARD,8,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0
14,cable,a&CAS/ATTACHMENT_CAT_CABLE,1,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0
15,arms,a&CAS/ATTACHMENT_CAT_ARM,2,2,loadout_showcase_preview_barrel,loadout_showcase_preview_small_barrel,loadout_showcase_preview_large_barrel,tag_barrel_attach,,,,0,1,0
16,bolt,a&CAS/ATTACHMENT_CAT_BOLT,11,5,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_barrel_attach,,,,0,0,0
17,boltaction,a&CAS/ATTACHMENT_CAT_BOLTACTION,10,5,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,0,0,0
18,charm,a&,,,loadout_showcase_preview_charm,loadout_showcase_preview_small_charm,loadout_showcase_preview_large_charm,tag_cosmetic,,,,0,0,0
19,sticker,a&,,,loadout_showcase_preview_sticker,loadout_showcase_preview_small_sticker,loadout_showcase_preview_large_sticker,,,,,0,0,0
20,receiver,a&CAS/ATTACHMENT_CAT_RECEIVER,9,12,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,j_gun,,,,0,0,0
21,unique,a&CAS/ATTACHMENT_CAT_PERK,4,4,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
22,rail,a&CAS/ATTACHMENT_CAT_RAIL,8,4,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
23,conversionkit,a&CAS/ATTACHMENT_CAT_CONVERSIONKIT,9,12,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
24,comb,a&CAS/ATTACHMENT_CAT_COMB,11,5,loadout_showcase_preview_stock,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_stock,tag_rack_attach,,,,1,0,1
25,loader,a&CAS/ATTACHMENT_CAT_LOADER,8,4,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_mag_attach,,,,0,0,0
26,lever,a&CAS/ATTACHMENT_CAT_LEVER,10,5,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,0,0,0
27,guardtwo,a&CAS/ATTACHMENT_CAT_GUARD,10,5,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0
28,guardthree,a&CAS/ATTACHMENT_CAT_GUARD,11,5,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0
29,reargriptwo,a&CAS/ATTACHMENT_CAT_REARGRIP,11,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,1,0,1
30,reargripthree,a&CAS/ATTACHMENT_CAT_REARGRIPTHREE,10,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,1,0,1
31,bolts,a&CAS/ATTACHMENT_CAT_BOLTS,7,8,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
32,wires,a&CAS/ATTACHMENT_CAT_WIRE,8,4,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_mag_attach,,,,0,0,0
33,backpiecetwo,a&CAS/ATTACHMENT_CAT_BACK,10,5,loadout_showcase_preview_stock,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_stock,tag_stock_attach,,,,0,0,0
34,carryhandle,a&CAS/ATTACHMENT_CAT_CARRYHANDLE,6,3,loadout_showcase_preview_underbarrel,loadout_showcase_preview_underbarrel,loadout_showcase_preview_large_underbarrel,tag_grip_attach,,,,1,0,1
35,triggertwo,a&CAS/ATTACHMENT_CAT_TRIGGER,10,5,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,1,1,1
