string,string,string,string,string,string,string,string,string,string,string,string,string,string
rarity,4_super,,20,20,20,0,20,20,20,20,20,20,20
item,brloot_offhand_advancedsupplydrop,,0,0,0,0,0,0,0,0,0,0,0
rarity,0_killstreak,,0,0,0,0,0,0,0,0,0,0,0
rarity,1_killstreak,,0,0,0,0,0,0,0,0,0,0,0
rarity,2_killstreak,,70,60,60,0,70,70,60,60,60,60,60
rarity,3_killstreak,,20,25,25,0,20,20,25,25,25,25,25
rarity,4_killstreak,,10,15,15,0,10,10,15,15,15,15,15
item,brloot_killstreak_precision_airstrike_mgl,,50,50,50,0,50,50,50,50,50,50,50
item,brloot_killstreak_uav_mgl,,40,40,40,0,40,40,40,40,40,40,40
item,brloot_killstreak_auav_mgl,,10,10,10,0,10,10,10,10,10,10,10
rarity,0_weapon,,40,32,0,0,40,40,32,32,32,32,32
rarity,1_weapon,,24,30,0,0,24,24,30,30,30,30,30
rarity,2_weapon,,24,18,30,0,24,24,18,18,18,18,18
rarity,3_weapon,,12,18,40,0,12,12,18,18,18,18,18
rarity,4_weapon,,0,6,30,0,0,0,6,6,6,6,6
item,brloot_plunder_cash_common_1,,55,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_uncommon_1,,40,30,0,0,50,50,25,25,25,25,25
item,brloot_plunder_cash_uncommon_2,,5,30,0,0,35,30,25,25,25,25,25
item,brloot_plunder_cash_uncommon_3,,0,20,50,0,15,10,35,35,35,35,35
item,brloot_plunder_cash_rare_1,,0,15,30,0,0,10,15,15,15,15,15
item,brloot_plunder_cash_rare_2,,0,5,10,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_epic_1,,0,0,10,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_epic_2,,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_legendary_1,,0,0,0,0,0,0,0,0,0,0,0
item,brloot_assassination_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0
item,brloot_domination_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0
item,brloot_scavenger_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0
item,brloot_timedrun_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0
item,brloot_vip_tablet_mgl,,20,0,0,0,20,20,0,0,0,0,0
