string,string,string,localized_a,localized_a,string,string,string,int
executions,9,0,a&LOOT_MP/OPERATOR_EXECUTION,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
taunts,10,0,a&LOOT_MP/OPERATOR_TAUNT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
intro,21,0,a&LOOT_MP/OPERATOR_INTRO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
flares,99,0,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
contrail,41,0,a&LUA_MENU/CONTRAILS,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
parachute,40,0,a&LUA_MENU/PARACHUTE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
camo,13,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
super,3,0,a&LOOT_MP/FIELD_UPGRADE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
loadingscreens,37,0,a&STORE/BUNDLE_ITEM_CATEGORY_LOADING_SCREEN,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
calloutmarkerpingitem,38,0,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
operator_quip,27,0,a&LOOT_MP/OPERATOR_QUIP,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
fx,99,0,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
sticker,17,0,a&LOOT_MP/STICKER,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
dlc,99,0,a&LOOT_MP/PLACEHOLDER,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
feature,24,0,a&LOOT_MP/FEATURE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
special,30,0,a&MENU/FRANCHISE_NAME,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
firstpartylicence,25,1,a&LOOT_MP/PLACEHOLDER,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
tracker,99,1,a&LOOT_MP/PLACEHOLDER,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
bundle,28,0,a&LOOT_MP/PLACEHOLDER,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
role,18,0,a&LOOT_MP/FIELD_UPGRADE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
battlepass,29,0,a&LOOT_MP/BATTLE_PASS,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
vehicle_horn,32,0,a&LOOT_MP/VEHICLE_HORN,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
vehicle_camo,31,0,a&LOOT_MP/VEHICLE_SKIN,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
mission,33,0,a&LOOT_MP/MISSION,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
vehicle_track,34,0,a&LOOT_MP/VEHICLE_TRACK,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
special_weapon,42,0,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
currencypack,36,0,a&LOOT_MP/CONSUMABLE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
gun_screen,15,0,a&LOOT_MP/GUNSCREENS,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
iw9_sm_mpapa5_camos,219,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sm_mpapa5,0
iw9_sn_alpha50_camos,221,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sn_alpha50,0
iw9_sh_mbravo_camos,225,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sh_mbravo,0
iw9_lm_slima_camos,226,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_lm_slima,0
iw9_dm_pgolf1_camos,228,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_pgolf1,0
iw9_ar_mike4_camos,229,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_mike4,0
iw9_pi_golf17_camos,231,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_golf17,0
iw9_me_knife_camos,234,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_me_knife,0
iw9_ar_augolf_camos,235,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_augolf,0
iw9_la_rpapa7_camos,238,0,a&LOOT_MP/CAMO,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_la_rpapa7,0
gs_save_slot,99,0,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
iw9_sm_mpapa5_attachment,281,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sm_mpapa5,0
iw9_sn_alpha50_attachment,283,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sn_alpha50,0
iw9_sh_mbravo_attachment,287,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sh_mbravo,0
iw9_lm_slima_attachment,288,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_lm_slima,0
iw9_dm_pgolf1_attachment,290,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_pgolf1,0
iw9_ar_mike4_attachment,291,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_mike4,0
iw9_pi_golf17_attachment,293,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_golf17,0
iw9_me_knife_attachment,296,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_me_knife,0
iw9_ar_augolf_attachment,297,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_augolf,0
iw9_la_rpapa7_attachment,300,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_la_rpapa7,0
instanceloot,45,0,a&STORE/BUNDLE_ITEM_CATEGORY_ACQUISITION,a&STORE/BUNDLE_ITEM_CATEGORY_ACQUISITION,placeholder_x,1,,0
genericblueprint,46,0,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
