string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,localized_a,string,string,string,localized_a,string,string,string,string,string,string,string,string,localized_a,string,localized_a
11,silo_elevator_menu,a&CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_silo_jump_cs,,a&CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,11,a&CP_CHECKPOINTS/SILO_ELEVATOR_DEBUG
12,silo_elevator,a&CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_silo_jump_cs,,a&CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,,,,,,,,,a&,12,a&CP_CHECKPOINTS/SILO_ELEVATOR
13,reach_icbm_launch,a&CP_RAID_COMPLEX_SEQ4/REACH_ICBM,a&CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs,,a&,,,,,,,,,a&,13,a&CP_CHECKPOINTS/REACH_ICBM
14,reach_pipe_room,a&CP_RAID_COMPLEX_SEQ4/REACH_PIPES,a&CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs,,a&,,,,,,,,,a&,14,a&CP_CHECKPOINTS/REACH_PIPES
15,reach_wind_room,a&CP_RAID_COMPLEX_SEQ4/REACH_WIND,a&CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs,,a&,,,,,,,,,a&,15,a&CP_CHECKPOINTS/REACH_WIND
16,reach_exhaust_waste,a&CP_RAID_COMPLEX_SEQ4/FIND_WASTE,a&CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs,,a&,,,,,,,,,a&,16,a&CP_CHECKPOINTS/FIND_WASTE
17,unlock_silo,a&CP_RAID_COMPLEX_SEQ4/UNLOCK_SILO,a&CP_OBJECTIVES/HACK,1,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs,,a&CP_RAID_COMPLEX_SEQ4/UNLOCK_SILO,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/FLOOR_LAVA,17,a&CP_CHECKPOINTS/UNLOCK_SILO
18,escape_silo,a&CP_RAID_COMPLEX_SEQ4/ESCAPE_SILO,a&CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs,,a&,,,,,,,,,a&,18,a&CP_CHECKPOINTS/ESCAPE_SILO
19,silo_jump_menu,a&CP_RAID_COMPLEX_TRANS/SILO_JUMP,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_silo_jump_cs,,a&CP_RAID_COMPLEX_TRANS/SILO_JUMP_TITLE,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/SILO_JUMP_TITLE,19,a&CP_CHECKPOINTS/SILO_JUMP
20,silo_jump,a&CP_RAID_COMPLEX_TRANS/SILO_JUMP,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_silo_jump_cs,,a&CP_RAID_COMPLEX_TRANS/SILO_JUMP_TITLE,,,,,,,,,a&,20,a&CP_CHECKPOINTS/SILO_JUMP
21,trap_room,a&CP_TRAP_ROOM/TRAP_ROOM,a&CP_TRAP_ROOM/TRAP_ROOM,1,primary,icon_waypoint_objective_general,,,,,,,,,,666,,,a&CP_OBJECTIVES/CLEAR_AREA,,,,,a&,,cp_raid_complex_cs_trap_room,,a&CP_TRAP_ROOM/TRAP_ROOM,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/TRAP_ROOM,21,a&CP_CHECKPOINTS/TRAP_ROOM
22,hack_console_1,a&,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_trap_room,,a&,,,,,,,,,a&,22,a&CP_CHECKPOINTS/TRAP_ROOM
23,hack_console_2,a&,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_trap_room,,a&,,,,,,,,,a&,23,a&CP_CHECKPOINTS/TRAP_ROOM
24,hack_console_3,a&,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_trap_room,,a&,,,,,,,,,a&,24,a&CP_CHECKPOINTS/TRAP_ROOM
25,pipe_room_menu,a&CP_RAID_COMPLEX_PIPE_ROOM/START_PIPE_ROOM,a&,1,primary,,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_pipe_room_cs,,a&,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/PIPE_ROOM,25,a&CP_CHECKPOINTS/START_PIPE_ROOM
26,pipe_room,a&CP_RAID_COMPLEX_PIPE_ROOM/PIPE_ROOM_START,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_pipe_room_cs,,a&CP_RAID_COMPLEX_PIPE_ROOM/PIPE_ROOM_OBJ_TITLE,1,,,,,,,,a&,26,a&CP_CHECKPOINTS/PIPE_ROOM_START
27,jugg_maze,a&CP_RAID_COMPLEX_JUGG_MAZE/ESCAPE_MAZE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
28,silo_thrust_menu,a&CP_RAID_COMPLEX_TRANS/SILO_THRUST,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_silo_jump_cs,,a&CP_RAID_COMPLEX_TRANS/SILO_THRUST_TITLE,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/SILO_THRUST_TITLE,28,a&CP_CHECKPOINTS/SILO_THRUST
29,silo_thrust,a&CP_RAID_COMPLEX_TRANS/SILO_THRUST,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_silo_jump_cs,,a&CP_RAID_COMPLEX_TRANS/SILO_THRUST_TITLE,,,,,,,,,a&,29,a&CP_CHECKPOINTS/SILO_THRUST
30,freight_lift,a&CP_RAID_COMPLEX_CAVES/FREIGHT_LIFT,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_caves,,a&,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/FREIGHT_LIFT,30,a&CP_CHECKPOINTS/FREIGHT_LIFT
31,nuke_vault,a&CP_RAID_COMPLEX_CAVES/NUKE_VAULT,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_caves,,a&,,,,,,,,,a&,31,a&CP_CHECKPOINTS/NUKE_VAULT
32,mine_caves,a&CP_RAID_COMPLEX_CAVES/MINE_CAVES,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_caves,,a&,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/MINE_CAVES,32,a&CP_CHECKPOINTS/MINE_CAVES
33,leave_cave,a&CP_RAID_COMPLEX_CAVES/LEAVE_CAVE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_boss,,a&CP_RAID_COMPLEX_CAVES/REACH_EXTRACTION,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/GATES,33,a&CP_CHECKPOINTS/GATES
34,gates,a&CP_RAID_COMPLEX_CAVES/GATES,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_boss,,a&CP_RAID_COMPLEX_CAVES/REACH_EXTRACTION,2,,,,,,,,a&CP_RAID_COMPLEX_TRANS/GATES,33,a&CP_CHECKPOINTS/GATES
35,chopper_boss,a&CP_RAID_COMPLEX_CAVES/CHOPPER_BOSS,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_cs_boss,,a&CP_RAID_COMPLEX_CAVES/REACH_EXTRACTION,3,,,,,,,,a&CP_RAID_COMPLEX_TRANS/CHOPPER_BOSS,34,a&CP_CHECKPOINTS/CHOPPER_BOSS
36,fuel_stability,a&CP_RAID_COMPLEX_JUGG_MAZE/STABILIZE_FUEL,a&,0,primary,icon_waypoint_objective_general,,,30,15,5,,,,,,,,a&,,,,,a&,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/FUEL_STABILITY_TITLE,1,,1,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,35,a&CP_CHECKPOINTS/STABILIZE_FUEL
37,pressure_stability,a&CP_RAID_COMPLEX_JUGG_MAZE/STABILIZE_PRESSURE,a&,0,primary,icon_waypoint_objective_general,,,15,10,5,,,,,,,,a&,,,,,a&,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/PRESSURE_STABILITY_TITLE,1,,1,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,36,a&CP_CHECKPOINTS/STABILIZE_PRESSURE
