string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int
22375,jup_wz_leagueplay_s1_end_season_top250_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|250,,,,,Season End Top250,Season End Top250,1,,,,0
22381,jup_wz_leagueplay_s2_end_season_top250_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|250,50486+52831+51834|50487+52831+51835,,,,Season End Top250,Season End Top250,2,,,,0
22382,jup_wz_leagueplay_s3_end_season_top250_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|250,60471+60297+56446|60472+60298+56446,,,,Season End Top250,Season End Top250,3,,,,0
22383,jup_wz_leagueplay_s4_end_season_top250_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|250,65391+65418+61358|65392+65419+61358,,,,Season End Top250,Season End Top250,4,,,,0
22384,jup_wz_leagueplay_s5_end_season_top250_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|250,70084+73578+70936|70083+73578+70937,,,,Season End Top250,Season End Top250,5,,,,0
22386,jup_wz_leagueplay_s6_end_season_top250_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|250,83007+82872|83006+82873,,,,Season End Top250,Season End Top250,6,,,,0
22387,jup_wz_leagueplay_s1_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,25|250|1000,,,,,Seasonal,Seasonal,1,,,,0
22393,jup_wz_leagueplay_s2_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,50|250|1000,52581|51832|52157,2500|5000|10000,2500|5000|10000,2500|5000|10000,Seasonal,Seasonal,2,,,,0
22394,jup_wz_leagueplay_s3_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,25|250|1000,60328|60325|56452,,,,Seasonal,Seasonal,3,,,,0
22395,jup_wz_leagueplay_s4_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,25|250|1000,65530|44623|62627,,,,Seasonal,Seasonal,4,,,,0
22396,jup_wz_leagueplay_s5_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,25|250|1000,70318|73700|68826,,,,Seasonal,Seasonal,5,,,,0
22397,jup_wz_leagueplay_s6_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,25|250|1000,82609|85163|82116,,,,Seasonal,Seasonal,6,,,,0
22398,jup_wz_leagueplay_s1_challenge_placement_top15,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,,2500,2500,2500,Seasonal,Seasonal,1,,,,0
22410,jup_wz_leagueplay_s2_challenge_placement_top15,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,52832,2500,2500,2500,Seasonal,Seasonal,2,,,,0
22411,jup_wz_leagueplay_s3_challenge_placement_top15,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,58715,2500,2500,2500,Seasonal,Seasonal,3,,,,0
22412,jup_wz_leagueplay_s4_challenge_placement_top15,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,65532,2500,2500,2500,Seasonal,Seasonal,4,,,,0
22413,jup_wz_leagueplay_s5_challenge_placement_top15,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,70623,2500,2500,2500,Seasonal,Seasonal,5,,,,0
22414,jup_wz_leagueplay_s6_challenge_placement_top15,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,82606,2500,2500,2500,Seasonal,Seasonal,6,,,,0
22415,jup_wz_leagueplay_s1_challenge_placement_top5,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,,2500,2500,2500,Seasonal,Seasonal,1,,,,0
22416,jup_wz_leagueplay_s2_challenge_placement_top5,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,51779,5000,5000,5000,Seasonal,Seasonal,2,,,,0
22417,jup_wz_leagueplay_s3_challenge_placement_top5,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,56527,2500,2500,2500,Seasonal,Seasonal,3,,,,0
22418,jup_wz_leagueplay_s4_challenge_placement_top5,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,61023,2500,2500,2500,Seasonal,Seasonal,4,,,,0
22419,jup_wz_leagueplay_s5_challenge_placement_top5,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,69503,2500,2500,2500,Seasonal,Seasonal,5,,,,0
22420,jup_wz_leagueplay_s6_challenge_placement_top5,252,a&,a&LP/PLACEMENT_SRCHALLENGE,25,73991,2500,2500,2500,Seasonal,Seasonal,6,,,,0
22400,jup_wz_leagueplay_s1_challenge_placement_top1,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1,,2500,2500,2500,Seasonal,Seasonal,1,,,,0
22422,jup_wz_leagueplay_s2_challenge_placement_top1,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1,52555,10000,10000,10000,Seasonal,Seasonal,2,,,,0
22423,jup_wz_leagueplay_s3_challenge_placement_top1,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1,60153,2500,2500,2500,Seasonal,Seasonal,3,,,,0
22424,jup_wz_leagueplay_s4_challenge_placement_top1,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1,65212,2500,2500,2500,Seasonal,Seasonal,4,,,,0
22425,jup_wz_leagueplay_s5_challenge_placement_top1,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1,71186,2500,2500,2500,Seasonal,Seasonal,5,,,,0
22426,jup_wz_leagueplay_s6_challenge_placement_top1,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1,84585,2500,2500,2500,Seasonal,Seasonal,6,,,,0
28005,jup_wz_leagueplay_s1_sr_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,1|10|25|50|100,,,,,Seasonal,Seasonal,1,,,,0
28040,jup_wz_leagueplay_s2_sr_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,1|10|25|50|100,,,,,Seasonal,Seasonal,2,,,,0
28041,jup_wz_leagueplay_s3_sr_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,1|10|25|50|100,,,,,Seasonal,Seasonal,3,,,,0
28042,jup_wz_leagueplay_s4_sr_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,1|10|25|50|100,,,,,Seasonal,Seasonal,4,,,,0
28043,jup_wz_leagueplay_s5_sr_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,1|10|25|50|100,,,,,Seasonal,Seasonal,5,,,,0
28044,jup_wz_leagueplay_s6_sr_challenge_kills,252,a&,a&LP/KILLSANDASSISTS_SRCHALLENGE,1|10|25|50|100,,,,,Seasonal,Seasonal,6,,,,0
28124,jup_wz_leagueplay_career_end_season_sd_placement,252,a&,a&,9|12|15|18|19|20,45445+45444+45429+45428|45447+45446+45431+45430|45449+45448+45433+45432|45451+45450+45435+45434|45453+45452+45437+45436|45455+45454+45439+45438,,,,Career Season End SD,Career Season End SD,<NOT SET>,,,,0
28101,jup_wz_leagueplay_s1_sr_challenge_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|3|5|8,,,,,Seasonal,Seasonal,1,,,,0
28103,jup_wz_leagueplay_s2_sr_challenge_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|3|5|8,,,,,Seasonal,Seasonal,2,,,,0
28108,jup_wz_leagueplay_s3_sr_challenge_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|3|5|7,,,,,Seasonal,Seasonal,3,,,,0
28109,jup_wz_leagueplay_s4_sr_challenge_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|3|5|8,,,,,Seasonal,Seasonal,4,,,,0
28110,jup_wz_leagueplay_s5_sr_challenge_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|3|5|8,,,,,Seasonal,Seasonal,5,,,,0
28111,jup_wz_leagueplay_s6_sr_challenge_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,1|3|5|8,,,,,Seasonal,Seasonal,6,,,,0
