string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string
9742,iw9_ch_br_daily_mr_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_MR_KILLS_DESC,3,2500,,5,,,,,5,,,
9743,iw9_ch_br_daily_br_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_BR_KILLS_DESC,3,2500,,5,,,,,6,,,
9744,iw9_ch_br_daily_pi_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_PI_KILLS_DESC,3,2500,,5,,,,,7,,,
9745,iw9_ch_br_daily_la_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_LA_KILLS_DESC,3,2500,,5,,,,,8,,,
9746,iw9_ch_br_daily_veh_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_VEH_KILLS_DESC,3,2500,,5,,,,,9,,,
9747,iw9_ch_br_daily_ai_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_AI_KILLS_DESC,10,2500,,5,,,,,10,,,
9708,iw9_ch_br_daily_loot_caches,a&CHALLENGE/BR_DAILY_LOOT_CACHES,a&CHALLENGE/BR_DAILY_LOOT_CACHES_DESC,3,2500,,1,,,,,6,,,
9709,iw9_ch_br_daily_loot_medicine_cabinets,a&CHALLENGE/BR_DAILY_LOOT_MEDICINE_CABINETS,a&CHALLENGE/BR_DAILY_LOOT_MEDICINE_CABINETS_DESC,3,2500,,1,,,,,7,,,
9710,iw9_ch_br_daily_loot_weapon_locker,a&CHALLENGE/BR_DAILY_LOOT_WEAPON_LOCKERS,a&CHALLENGE/BR_DAILY_LOOT_WEAPON_LOCKERS_DESC,3,2500,,1,,,,,8,,,
9711,iw9_ch_br_daily_loot_duffle_bags,a&CHALLENGE/BR_DAILY_LOOT_DUFFLE_BAGS,a&CHALLENGE/BR_DAILY_LOOT_DUFFLE_BAGS_DESC,3,2500,,1,,,,,9,,,
9712,iw9_ch_br_daily_loot_cash_registers,a&CHALLENGE/BR_DAILY_LOOT_CASH_REGISTERS,a&CHALLENGE/BR_DAILY_LOOT_CASH_REGISTERS_DESC,3,2500,,1,,,,,10,,,
9713,iw9_ch_br_daily_contracts_observatory,a&CHALLENGE/BR_DAILY_CONTRACT_START_OBSERVATORY,a&CHALLENGE/BR_DAILY_CONTRACT_START_OBSERVATORY_DESC,1,2500,,2,,,,,17,,,
9714,iw9_ch_br_daily_contracts_oldtown,a&CHALLENGE/BR_DAILY_CONTRACT_START_OLDTOWN,a&CHALLENGE/BR_DAILY_CONTRACT_START_OLDTOWN_DESC,1,2500,,2,,,,,18,,,
9715,iw9_ch_br_daily_contracts_fishtown,a&CHALLENGE/BR_DAILY_CONTRACT_START_FISHTOWN,a&CHALLENGE/BR_DAILY_CONTRACT_START_FISHTOWN_DESC,1,2500,,2,,,,,19,,,
9716,iw9_ch_br_daily_contracts_caves,a&CHALLENGE/BR_DAILY_CONTRACT_START_CAVES,a&CHALLENGE/BR_DAILY_CONTRACT_START_CAVES_DESC,1,2500,,2,,,,,20,,,
9717,iw9_ch_br_daily_contracts_sira,a&CHALLENGE/BR_DAILY_CONTRACT_START_SIRA,a&CHALLENGE/BR_DAILY_CONTRACT_START_SIRA_DESC,1,2500,,2,,,,,21,,,
9718,iw9_ch_br_daily_contracts_sunken,a&CHALLENGE/BR_DAILY_CONTRACT_START_SUNKEN,a&CHALLENGE/BR_DAILY_CONTRACT_START_SUNKEN_DESC,1,2500,,2,,,,,22,,,
9719,iw9_ch_br_daily_contracts_wartorn,a&CHALLENGE/BR_DAILY_CONTRACT_START_WARTORN,a&CHALLENGE/BR_DAILY_CONTRACT_START_WARTORN_DESC,1,2500,,2,,,,,23,,,
9720,iw9_ch_br_daily_contracts_moderncity,a&CHALLENGE/BR_DAILY_CONTRACT_START_MODERNCITY,a&CHALLENGE/BR_DAILY_CONTRACT_START_MODERNCITY_DESC,1,2500,,2,,,,,24,,,
9721,iw9_ch_br_daily_contracts_oilfield,a&CHALLENGE/BR_DAILY_CONTRACT_START_OILFIELD,a&CHALLENGE/BR_DAILY_CONTRACT_START_OILFIELD_DESC,1,2500,,2,,,,,25,,,
9722,iw9_ch_br_daily_contracts_fort,a&CHALLENGE/BR_DAILY_CONTRACT_START_FORT,a&CHALLENGE/BR_DAILY_CONTRACT_START_FORT_DESC,1,2500,,2,,,,,26,,,
9723,iw9_ch_br_daily_contracts_exhume,a&CHALLENGE/BR_DAILY_CONTRACT_START_EXHUME,a&CHALLENGE/BR_DAILY_CONTRACT_START_EXHUME_DESC,1,2500,,2,,,,,27,,,
9724,iw9_ch_br_daily_contracts_hydro,a&CHALLENGE/BR_DAILY_CONTRACT_START_HYDRO,a&CHALLENGE/BR_DAILY_CONTRACT_START_HYDRO_DESC,1,2500,,2,,,,,28,,,
9725,iw9_ch_br_daily_contracts_airport,a&CHALLENGE/BR_DAILY_CONTRACT_START_AIRPORT,a&CHALLENGE/BR_DAILY_CONTRACT_START_AIRPORT_DESC,1,2500,,2,,,,,29,,,
9726,iw9_ch_br_daily_contracts_lone,a&CHALLENGE/BR_DAILY_CONTRACT_START_LONE,a&CHALLENGE/BR_DAILY_CONTRACT_START_LONE_DESC,1,2500,,2,,,,,30,,,
9727,iw9_ch_br_daily_contracts_marshland,a&CHALLENGE/BR_DAILY_CONTRACT_START_MARSHLAND,a&CHALLENGE/BR_DAILY_CONTRACT_START_MARSHLAND_DESC,1,2500,,2,,,,,31,,,
9728,iw9_ch_br_daily_contracts_mountaintown,a&CHALLENGE/BR_DAILY_CONTRACT_START_MOUNTAINTOWN,a&CHALLENGE/BR_DAILY_CONTRACT_START_MOUNTAINTOWN_DESC,1,2500,,2,,,,,32,,,
9738,compound_iw9_br_ar_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,1,9736|9737,,
9748,compound_iw9_br_smg_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,2,9736|9739,,
9749,compound_iw9_br_lmg_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,3,9736|9740,,
9750,compound_iw9_br_sn_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,4,9736|9741,,
9751,compound_iw9_br_mr_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,5,9736|9742,,
9752,compound_iw9_br_br_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,6,9736|9743,,
9753,compound_iw9_br_pi_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,7,9736|9744,,
9754,compound_iw9_br_la_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,8,9736|9745,,
9755,compound_iw9_br_veh_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,9,9736|9746,,
9756,compound_iw9_br_ai_or_any_operator_kills,a&CHALLENGE/BR_DAILY_BONUS_CHALLENGE,a&CHALLENGE/NONE,1,10000,,4,,,,,10,9736|9747,,
