string,string,string,float,float,float,string
announcer,vehicle_exit,dx_mp_gnsc_vhcl_bltb_exit,0,5,20,
announcer,loot_found,dx_mp_gnsc_l00t_bltb_fnd1,1,5,60,
announcer,weapon_inspect,dx_mp_gnsc_gun1_bltb_nspc,0,5,20,
announcer,round_won,dx_mp_gnsc_mtch_bltb_won1,4,5,20,
announcer,round_lost,dx_mp_gnsc_mtch_bltb_lost,4,5,20,
announcer,contract_start,dx_mp_gnsc_cntr_bltb_strt,8,5,20,
announcer,contract_complete,dx_mp_gnsc_cntr_bltb_end1,4,5,20,
announcer,highalert_spotted,dx_mp_gnsc_prk1_bltb_hilr,0,5,20,
announcer,throwing_knife_kill,dx_mp_gnsc_kll1_bltb_knif,1,5,20,
announcer,close_call,dx_mp_gnsc_hlth_bltb_clsl,1,5,20,
announcer,player_blinded,dx_mp_gnsc_plyr_bltb_blnd,0.5,5,20,
announcer,enemy_blinded,dx_mp_gnsc_attk_bltb_nmyb,0.5,5,20,
announcer,equipment_deployed,dx_mp_gnsc_fldp_bltb_used,0.5,5,20,
announcer,grenade_tactical_used,dx_mp_gnsc_tctc_bltb_used,0,5,20,
announcer,grenade_lethal_used,dx_mp_gnsc_lthl_bltb_used,0,5,20,
announcer,activate_uav,dx_mp_gnsc_klls_bltb_uavu,3,5,20,
announcer,activate_counter_uav,dx_mp_gnsc_klls_bltb_cntu,3,5,20,
announcer,activate_rided,dx_mp_gnsc_klls_bltb_rrde,3,5,20,
announcer,activate_guided,dx_mp_gnsc_klls_bltb_rgdd,3,5,20,
announcer,activate_drone,dx_mp_gnsc_klls_bltb_drns,3,5,20,
announcer,self_apply,dx_mp_gnsc_actn_bltb_njct,0.5,5,20,
announcer,kill_steal,dx_mp_gnsc_kll1_bltb_klls,0.5,5,20,
announcer,become_juggernaut,dx_mp_gnsc_klls_bltb_jugg,1,5,20,
announcer,use_armor,dx_mp_gnsc_actn_bltb_rmrd,0,5,20,
announcer,idle,dx_mp_gnsc_idl1_bltb_brst,0,5,180,
announcer,aiming_idle,dx_mp_gnsc_actn_bltb_aimg,0,5,20,
announcer,dmz_boss_kill,dx_mp_gnsc_b0ss_bltb_k1ll,0,5,20,
announcer,stealth_kill,dx_mp_gnsc_kll1_bltb_stel,1,5,20,
announcer,obj_capture,dx_mp_gnsc_bjct_bltb_tken,0.5,2,20,
robot,deploy,dx_mp_gnsc_spwn_bbai_ntro,0,5,20,
robot,reload_start,dx_mp_gnsc_amm0_bbai_reld,0,5,20,
robot,knocked_down_enemy,dx_mp_gnsc_attk_bbai_nmht,0,5,20,
robot,player_knocked_down,dx_mp_gnsc_plyr_bbai_down,1,5,20,
robot,killed_enemy,dx_mp_gnsc_kll1_bbai_solo,1,2,20,
robot,killed_enemy_double,dx_mp_gnsc_kll1_bbai_dble,1,2,20,
robot,killed_enemy_triple,dx_mp_gnsc_kll1_bbai_trpl,1,2,20,
robot,killed_enemy_multi,dx_mp_gnsc_kll1_bbai_mlti,1,5,20,
robot,killed_enemy_5x,dx_mp_gnsc_klls_bbai_five,1,5,20,
robot,killed_enemy_10x,dx_mp_gnsc_klls_bbai_ten1,1,5,20,
robot,killed_enemy_15x,dx_mp_gnsc_klls_bbai_fftn,1,5,20,
robot,killed_enemy_20x,dx_mp_gnsc_klls_bbai_twnt,1,5,20,
robot,nuke_earned,dx_mp_gnsc_klls_bbai_nuke,0,5,20,
robot,killstreak_used,dx_mp_gnsc_klls_bbai_used,3,5,20,
robot,enter_exfil_heli,dx_mp_gnsc_dmz1_bbai_xfil,0,5,20,
robot,player_death_revived_teammate,dx_mp_gnsc_plyr_bbai_rvvd,0,5,20,
robot,teammate_death_revived_me,dx_mp_gnsc_plyr_bbai_rvv1,0,5,20,
robot,player_laststand_revived_teammate,dx_mp_gnsc_plyr_bbai_rvvd,0,5,20,
robot,teammate_laststand_revived_me,dx_mp_gnsc_plyr_bbai_rvv1,0,5,20,
robot,headshot_kill,dx_mp_gnsc_kll1_bbai_hdsh,1,5,20,
robot,melee_kill,dx_mp_gnsc_kll1_bbai_mele,1,5,20,
robot,player_damaged_explosive,dx_mp_gnsc_dmge_bbai_bllt,1,5,20,
robot,player_damaged_sniper,dx_mp_gnsc_dmge_bbai_snpr,1,5,20,
robot,player_damaged,dx_mp_gnsc_dmge_bbai_bllt,1,5,20,
robot,health_low,dx_mp_gnsc_hlth_bbai_low1,1,5,20,
robot,player_killed_agent,dx_mp_gnsc_agnt_bbai_k1ll,1,5,10,
robot,player_zero_ammo,dx_mp_gnsc_amm0_bbai_mpty,0,5,20,
robot,ammo_reserve_low,dx_mp_gnsc_amm0_bbai_low1,0,5,20,
robot,enemy_damaged,dx_mp_gnsc_attk_bbai_nmht,1,5,20,
robot,enemy_damaged_sniper,dx_mp_gnsc_attk_bbai_lngr,1,5,20,
robot,enemy_armor_depleted,dx_mp_gnsc_attk_bbai_crck,1,5,20,
robot,sprint,dx_mp_gnsc_actn_bbai_sprn,0,5,60,
robot,enemy_rammed,dx_mp_gnsc_vhcl_bbai_ram1,1,5,20,
robot,war_cry,dx_mp_gnsc_amm0_bbai_rmb0,0,5,20,
robot,dropped,dx_mp_gnsc_gun1_bbai_drop,0,5,20,
robot,no_user_bark,dx_mp_gnsc_gun1_bbai_rntd,0,5,20,
robot,reunited_deploy,dx_mp_gnsc_amm0_bbai_reld,1,5,80,
robot,stranger_deploy,dx_mp_gnsc_gun1_bbai_strn,1,5,80,
robot,vehicle_enter,dx_mp_gnsc_vhcl_bbai_nter,0,5,20,
robot,vehicle_exit,dx_mp_gnsc_vhcl_bbai_exit,0,5,20,
robot,loot_found,dx_mp_gnsc_l00t_bbai_fnd1,1,5,60,
robot,weapon_inspect,dx_mp_gnsc_gun1_bbai_nspc,0,5,20,
robot,round_won,dx_mp_gnsc_mtch_bbai_won1,4,5,20,
robot,round_lost,dx_mp_gnsc_mtch_bbai_lost,4,5,20,
robot,contract_start,dx_mp_gnsc_cntr_bbai_strt,8,5,20,
robot,contract_complete,dx_mp_gnsc_cntr_bbai_end1,4,5,20,
robot,highalert_spotted,dx_mp_gnsc_prk1_bbai_hilr,0,5,20,
robot,throwing_knife_kill,dx_mp_gnsc_kll1_bbai_knif,1,5,20,
robot,close_call,dx_mp_gnsc_hlth_bbai_clsl,1,5,20,
robot,player_blinded,dx_mp_gnsc_plyr_bbai_blnd,0.5,5,20,
robot,enemy_blinded,dx_mp_gnsc_attk_bbai_nmyb,0.5,5,20,
robot,equipment_deployed,dx_mp_gnsc_fldp_bbai_used,0.5,5,20,
robot,grenade_tactical_used,dx_mp_gnsc_tctc_bbai_used,0,5,20,
robot,grenade_lethal_used,dx_mp_gnsc_lthl_bbai_used,0,5,20,
robot,activate_uav,dx_mp_gnsc_klls_bbai_uavu,3,5,20,
robot,activate_counter_uav,dx_mp_gnsc_klls_bbai_cntu,3,5,20,
robot,activate_rided,dx_mp_gnsc_klls_bbai_rrde,3,5,20,
robot,activate_guided,dx_mp_gnsc_klls_bbai_rgdd,3,5,20,
robot,activate_drone,dx_mp_gnsc_klls_bbai_drns,3,5,20,
robot,self_apply,dx_mp_gnsc_actn_bbai_njct,0.5,5,20,
robot,kill_steal,dx_mp_gnsc_kll1_bbai_klls,0.5,5,20,
robot,become_juggernaut,dx_mp_gnsc_klls_bbai_jugg,1,5,20,
robot,use_armor,dx_mp_gnsc_actn_bbai_rmrd,0,5,20,
robot,idle,dx_mp_gnsc_idl1_bbai_brst,0,5,180,
robot,aiming_idle,dx_mp_gnsc_actn_bbai_aimg,0,5,20,
robot,dmz_boss_kill,dx_mp_gnsc_b0ss_bbai_k1ll,0,5,20,
robot,stealth_kill,dx_mp_gnsc_kll1_bbai_stel,1,5,20,
robot,obj_capture,dx_mp_gnsc_bjct_bbai_tken,0.5,2,20,
blackcell,deploy,dx_mp_gnsc_spwn_bcai_ntro,0,5,20,
blackcell,reload_start,dx_mp_gnsc_amm0_bcai_reld,0,5,20,
blackcell,knocked_down_enemy,dx_mp_gnsc_attk_bcai_nmht,0,5,20,
blackcell,player_knocked_down,dx_mp_gnsc_plyr_bcai_down,1,5,20,
blackcell,killed_enemy,dx_mp_gnsc_kll1_bcai_solo,1,2,20,
blackcell,killed_enemy_double,dx_mp_gnsc_kll1_bcai_dble,1,2,20,
blackcell,killed_enemy_triple,dx_mp_gnsc_kll1_bcai_trpl,1,2,20,
blackcell,killed_enemy_multi,dx_mp_gnsc_kll1_bcai_mlti,1,5,20,
blackcell,killed_enemy_5x,dx_mp_gnsc_klls_bcai_five,1,5,20,
blackcell,killed_enemy_10x,dx_mp_gnsc_klls_bcai_ten1,1,5,20,
blackcell,killed_enemy_15x,dx_mp_gnsc_klls_bcai_fftn,1,5,20,
blackcell,killed_enemy_20x,dx_mp_gnsc_klls_bcai_twnt,1,5,20,
blackcell,nuke_earned,dx_mp_gnsc_klls_bcai_nuke,0,5,20,
blackcell,enter_exfil_heli,dx_mp_gnsc_dmz1_bcai_xfil,0,5,20,
blackcell,player_death_revived_teammate,dx_mp_gnsc_plyr_bcai_rvv1,0,5,20,
blackcell,teammate_death_revived_me,dx_mp_gnsc_plyr_bcai_rvvd,0,5,20,
blackcell,player_laststand_revived_teammate,dx_mp_gnsc_plyr_bcai_rvv1,0,5,20,
blackcell,teammate_laststand_revived_me,dx_mp_gnsc_plyr_bcai_rvvd,0,5,20,
blackcell,headshot_kill,dx_mp_gnsc_kll1_bcai_hdsh,1,5,20,
blackcell,melee_kill,dx_mp_gnsc_kll1_bcai_mele,1,5,20,
blackcell,player_damaged_explosive,dx_mp_gnsc_dmge_bcai_xpls,1,5,20,
blackcell,player_damaged_sniper,dx_mp_gnsc_dmge_bcai_snpr,1,5,20,
blackcell,player_damaged,dx_mp_gnsc_dmge_bcai_bllt,1,5,20,
blackcell,health_low,dx_mp_gnsc_hlth_bcai_low1,1,5,20,
blackcell,player_killed_agent,dx_mp_gnsc_agnt_bcai_k1ll,1,5,10,
blackcell,player_zero_ammo,dx_mp_gnsc_amm0_bcai_mpty,0,5,20,
blackcell,ammo_reserve_low,dx_mp_gnsc_amm0_bcai_low1,0,5,20,
blackcell,enemy_damaged,dx_mp_gnsc_attk_bcai_nmht,1,5,20,
blackcell,enemy_damaged_sniper,dx_mp_gnsc_attk_bcai_lngr,1,5,20,
blackcell,enemy_armor_depleted,dx_mp_gnsc_attk_bcai_crck,1,5,20,
blackcell,sprint,dx_mp_gnsc_actn_bcai_sprn,0,5,60,
blackcell,enemy_rammed,dx_mp_gnsc_vhcl_bcai_ram1,1,5,20,
blackcell,war_cry,dx_mp_gnsc_amm0_bcai_rmb0,0,5,20,
blackcell,dropped,dx_mp_gnsc_gun1_bcai_drop,0,5,20,
blackcell,no_user_bark,dx_mp_gnsc_gun1_bcai_nusr,0,5,20,
blackcell,reunited_deploy,dx_mp_gnsc_gun1_bcai_rntd,1,5,80,
blackcell,stranger_deploy,dx_mp_gnsc_gun1_bcai_strn,1,5,80,
blackcell,vehicle_enter,dx_mp_gnsc_vhcl_bcai_nter,0,5,20,
blackcell,vehicle_exit,dx_mp_gnsc_vhcl_bcai_exit,0,5,20,
blackcell,loot_found,dx_mp_gnsc_l00t_bcai_fnd1,1,5,60,
blackcell,weapon_inspect,dx_mp_gnsc_gun1_bcai_nspc,0,5,20,
blackcell,round_won,dx_mp_gnsc_mtch_bcai_won1,4,5,20,
blackcell,round_lost,dx_mp_gnsc_mtch_bcai_lost,4,5,20,
blackcell,contract_start,dx_mp_gnsc_cntr_bcai_strt,8,5,20,
blackcell,contract_complete,dx_mp_gnsc_cntr_bcai_end1,4,5,20,
blackcell,highalert_spotted,dx_mp_gnsc_prk1_bcai_hilr,0,5,20,
blackcell,throwing_knife_kill,dx_mp_gnsc_kll1_bcai_knif,1,5,20,
blackcell,close_call,dx_mp_gnsc_hlth_bcai_clsl,1,5,20,
blackcell,player_blinded,dx_mp_gnsc_plyr_bcai_blnd,0.5,5,20,
blackcell,enemy_blinded,dx_mp_gnsc_attk_bcai_nmyb,0.5,5,20,
blackcell,equipment_deployed,dx_mp_gnsc_fldp_bcai_used,0.5,5,20,
blackcell,grenade_tactical_used,dx_mp_gnsc_tctc_bcai_used,0,5,20,
blackcell,grenade_lethal_used,dx_mp_gnsc_lthl_bcai_used,0,5,20,
blackcell,activate_uav,dx_mp_gnsc_klls_bcai_uavu,3,5,20,
blackcell,activate_counter_uav,dx_mp_gnsc_klls_bcai_cntu,3,5,20,
blackcell,activate_rided,dx_mp_gnsc_klls_bcai_rrde,3,5,20,
blackcell,activate_guided,dx_mp_gnsc_klls_bcai_rgdd,3,5,20,
blackcell,activate_drone,dx_mp_gnsc_klls_bcai_drns,3,5,20,
blackcell,self_apply,dx_mp_gnsc_actn_bcai_njct,0.5,5,20,
blackcell,kill_steal,dx_mp_gnsc_kll1_bcai_klls,0.5,5,20,
blackcell,become_juggernaut,dx_mp_gnsc_klls_bcai_jugg,1,5,20,
blackcell,use_armor,dx_mp_gnsc_actn_bcai_rmrd,0,5,20,
blackcell,idle,dx_mp_gnsc_idl1_bcai_brst,0,5,180,
blackcell,aiming_idle,dx_mp_gnsc_actn_bcai_aimg,0,5,20,
npc,deploy,dx_mp_gnsc_spwn_npc1_ntro,0,5,20,ui_gunscreen_npc_emoji_deploy
npc,killed_enemy,dx_mp_gnsc_kll1_npc1_solo,1,2,20,ui_gunscreen_npc_emoji_killed_enemy
npc,killed_enemy_double,dx_mp_gnsc_kll1_npc1_dble,1,2,20,ui_gunscreen_npc_emoji_killed_enemy_x2
npc,killed_enemy_triple,dx_mp_gnsc_kll1_npc1_trpl,1,2,20,ui_gunscreen_npc_emoji_killed_enemy_x3
npc,headshot_kill,dx_mp_gnsc_kll1_npc1_hdsh,1,5,20,ui_gunscreen_npc_emoji_headshot_kill
npc,kill_steal,dx_mp_gnsc_kll1_npc1_klls,0.5,5,20,ui_gunscreen_npc_emoji_kill_steal
npc,nuke_earned,dx_mp_gnsc_klls_npc1_nuke,0,5,20,ui_gunscreen_npc_emoji_nuke_earned
npc,activate_guided,dx_mp_gnsc_klls_npc1_rgdd,3,5,20,ui_gunscreen_npc_emoji_activate_guided
npc,activate_rided,dx_mp_gnsc_klls_npc1_rrde,3,5,20,ui_gunscreen_npc_emoji_activate_rided
npc,become_juggernaut,dx_mp_gnsc_klls_npc1_jugg,1,5,20,ui_gunscreen_npc_emoji_become_jugg
npc,player_damaged,dx_mp_gnsc_dmge_npc1_bllt,1,5,20,ui_gunscreen_npc_emoji_player_damaged
npc,health_low,dx_mp_gnsc_hlth_npc1_low1,1,5,20,ui_gunscreen_npc_emoji_health_low
npc,close_call,dx_mp_gnsc_hlth_npc1_clsl,1,5,20,ui_gunscreen_npc_emoji_close_call
npc,reload_start,dx_mp_gnsc_amm0_npc1_reld,0,5,20,ui_gunscreen_npc_emoji_reload_start
npc,ammo_reserve_low,dx_mp_gnsc_amm0_npc1_low1,0,5,20,ui_gunscreen_npc_emoji_ammo_low
npc,war_cry,dx_mp_gnsc_amm0_npc1_rmb0,0,5,20,ui_gunscreen_npc_emoji_war_cry
npc,aiming_idle,dx_mp_gnsc_actn_npc1_aimg,0,5,20,ui_gunscreen_npc_emoji_ads_idle
npc,weapon_inspect,dx_mp_gnsc_gun1_npc1_nspc,0,5,20,ui_gunscreen_npc_emoji_weapon_inspect
npc,no_user_bark,dx_mp_gnsc_gun1_npc1_nusr,0,5,20,
npc,round_won,dx_mp_gnsc_mtch_npc1_won1,4,5,20,ui_gunscreen_npc_emoji_round_won
npc,round_lost,dx_mp_gnsc_mtch_npc1_lost,4,5,20,ui_gunscreen_npc_emoji_round_lost
npc,loot_found,dx_mp_gnsc_l00t_npc1_fnd1,1,5,60,ui_gunscreen_npc_emoji_loot_found
npc,contract_complete,dx_mp_gnsc_cntr_npc1_end1,4,5,20,ui_gunscreen_npc_emoji_contract_failed
npc,player_knocked_down,dx_mp_gnsc_plyr_npc1_down,1,5,20,ui_gunscreen_npc_emoji_player_knocked_down
npc,teammate_death_revived_me,dx_mp_gnsc_plyr_npc1_rvvd,0,5,20,ui_gunscreen_npc_emoji_teammate_revived_me
npc,player_death_revived_teammate,dx_mp_gnsc_plyr_npc1_rvv1,0,5,20,ui_gunscreen_npc_emoji_player_revived_teammate
npc,warzone_win,dx_mp_gnsc_wrzn_npc1_won1,1,5,20,ui_gunscreen_npc_emoji_warzone_win
npc,player_killed_agent,dx_mp_gnsc_agnt_npc1_k1ll,1,5,20,ui_gunscreen_npc_emoji_player_killed_ai
npc,highalert_spotted,dx_mp_gnsc_prk1_npc1_hilr,0,5,20,ui_gunscreen_npc_emoji_high_alert_spotted
npc,enemy_rammed,dx_mp_gnsc_vhcl_npc1_ram1,1,5,20,ui_gunscreen_npc_emoji_enemy_rammed
npc,grenade_lethal_used,dx_mp_gnsc_lthl_npc1_used,0,5,20,ui_gunscreen_npc_emoji_nuke_earned
announcer,halfway_friendly_score,dx_mp_gnsc_bjct_bltb_half,1,5,20,
robot,halfway_friendly_score,dx_mp_gnsc_bjct_bbai_half,1,5,20,
