string,string,localized_a,localized_a,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string
617,iw9_ch_pmc_task_elimination,a&CHALLENGE/PMC_TASK_ELIMINATION_NAME,a&CHALLENGE/PMC_TASK_ELIMINATION_DESC,3,9270,10000,,a&CHALLENGE/PMC_TASK_ELIMINATION_DETAIL_DESC,german,,,6,,,,,,,,,,,,0,target
2769,iw9_ch_pmc_uav_tower,a&CHALLENGE/PMC_UAV_TOWER_NAME,a&CHALLENGE/PMC_UAV_TOWER_DESC,3,9145,10000,,a&CHALLENGE/PMC_UAV_TOWER_DETAIL_DESC,american,,,6,,,,,,,,,,,,0,target
682,iw9_ch_pmc_extract_weapon_case,a&CHALLENGE/PMC_EXTRACT_WEAPON_CASE_NAME,a&CHALLENGE/PMC_EXTRACT_WEAPON_CASE_DESC,1,9153,10000,,a&CHALLENGE/PMC_EXTRACT_WEAPON_CASE_DETAIL_DESC,german,,,4,,,17,,,,,,,,,0,target
370,iw9_ch_pmc_operator_kill_smg,a&CHALLENGE/PMC_OPERATOR_KILL_SMG_NAME,a&CHALLENGE/PMC_OPERATOR_KILL_SMG_DESC,3,12136,10000,,a&CHALLENGE/PMC_OPERATOR_KILL_SMG_DETAIL_DESC,american,,,0,,,,,,,,,,,,0,target
1023,iw9_ch_pmc_operator_kill_ar,a&CHALLENGE/PMC_OPERATOR_KILL_AR_NAME,a&CHALLENGE/PMC_OPERATOR_KILL_AR_DESC,4,,10000,,a&CHALLENGE/PMC_OPERATOR_KILL_AR_DETAIL_DESC,german,,,2,,,,,,,,,,,,0,target
333,iw9_ch_pmc_operator_kill_exhume,a&CHALLENGE/PMC_OPERATOR_KILL_EXHUME_NAME,a&CHALLENGE/PMC_OPERATOR_KILL_EXHUME_DESC,3,9111,10000,,a&CHALLENGE/PMC_OPERATOR_KILL_EXHUME_DETAIL_DESC,british,,,4,,,,,,,,,,,,0,target
2854,iw9_ch_pmc_task_hunt,a&CHALLENGE/PMC_TASK_HUNT_NAME,a&CHALLENGE/PMC_TASK_HUNT_DESC,2,9092,10000,,a&CHALLENGE/PMC_TASK_HUNT_DETAIL_DESC,british,,,1,,,,,,,,,,,,0,target
1092,iw9_ch_pmc_sam_site,a&CHALLENGE/PMC_CAPTURE_SAM_SITE_NAME,a&CHALLENGE/PMC_CAPTURE_SAM_SITE_DESC,2,,10000,,a&CHALLENGE/PMC_CAPTURE_SAM_SITE_DETAIL_DESC,american,,,3,,,,,,,,,,,,0,target
865,iw9_ch_pmc_squad_wipe,a&CHALLENGE/PMC_SQUAD_WIPE_NAME,a&CHALLENGE/PMC_SQUAD_WIPE_DESC,2,9270,10000,,a&CHALLENGE/PMC_SQUAD_WIPE_DETAIL_DESC,,,,,,,,,,,,,,,,0,target
469,iw9_ch_pmc_pistol_headshot_ai,a&CHALLENGE/PMC_PISTOL_HEADSHOT_NAME,a&CHALLENGE/PMC_PISTOL_HEADSHOT_DESC,10,11882,10000,,a&CHALLENGE/PMC_PISTOL_HEADSHOT_DETAIL_DESC,,,,,,,,,,,,,,,,0,target
2760,iw9_ch_pmc_kill_riot_shield,a&CHALLENGE/PMC_KILL_RIOT_SHIELD_NAME,a&CHALLENGE/PMC_KILL_RIOT_SHIELD_DESC,5,,10000,,a&CHALLENGE/PMC_KILL_RIOT_SHIELD_DETAIL_DESC,american,,,7,,,,,,,,,,,,0,target
1878,iw9_ch_pmc_long_range_kill,a&CHALLENGE/PMC_LONG_RANGE_KILL_NAME,a&CHALLENGE/PMC_LONG_RANGE_KILL_DESC,8,11815,10000,,a&CHALLENGE/PMC_LONG_RANGE_KILL_DETAIL_DESC,american,,,5,,,,,,,,,,,,0,target
1126,iw9_ch_pmc_grenade_extract,a&CHALLENGE/PMC_GRENADE_EXTRACT_NAME,a&CHALLENGE/PMC_GRENADE_EXTRACT_DESC,1,9238,10000,,a&CHALLENGE/PMC_GRENADE_EXTRACT_DETAIL_DESC,,,6,,,,,EXTRACT,,,,IW9_START_MATCH_EVENT,,,,0,target_with_reset
2592,iw9_ch_pmc_charlie725_extract,a&CHALLENGE/PMC_CHARLIE725_EXTRACT_NAME,a&CHALLENGE/PMC_CHARLIE725_EXTRACT_DESC,1,9109,10000,,a&CHALLENGE/PMC_CHARLIE725_EXTRACT_DETAIL_DESC,american,,,,,11884,,EXTRACT,,,,,,,,0,target
598,iw9_ch_pmc_unique_vehicle_pilot,a&CHALLENGE/PMC_UNIQUE_VEHICLE_PILOT_NAME,a&CHALLENGE/PMC_UNIQUE_VEHICLE_PILOT_DESC,1,9153,10000,,a&CHALLENGE/PMC_UNIQUE_VEHICLE_PILOT_DETAIL_DESC,,,4,,,,,,,,,IW9_START_MATCH_EVENT,,,,0,target_with_reset
3873,iw9_ch_pmc_full_backpack_extract,a&CHALLENGE/PMC_FULL_BACKPACK_EXTRACT_NAME,a&CHALLENGE/PMC_FULL_BACKPACK_EXTRACT_DESC,1,9119,5000,,a&CHALLENGE/PMC_FULL_BACKPACK_EXTRACT_DETAIL_DESC,british,,,,,,,,,,,,72,,,0,target
1712,iw9_ch_pmc_liquor_extract,a&CHALLENGE/PMC_LIQUOR_EXTRACT_NAME,a&CHALLENGE/PMC_LIQUOR_EXTRACT_DESC,3,9170,10000,,a&CHALLENGE/PMC_LIQUOR_EXTRACT_DETAIL_DESC,british,,,,,13370,,EXTRACT,,,,,,,,0,target
1947,iw9_ch_pmc_hydro_shotgun_ai_compound,a&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_NAME,a&,2,,10000,,a&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_DETAIL_DESC,german,,,,3849|1039,,,,,,,,,,,0,compound_set
3849,iw9_ch_pmc_hydro_travel,a&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_NAME,a&CHALLENGE/PMC_HYDRO_TRAVEL_DESC,1,,0,,a&,,,,,,,,,,,,,,,,0,target
127,iw9_ch_pmc_oilfield_sniper_ai_compound,a&CHALLENGE/PMC_OILFIELD_SNIPER_AI_NAME,a&,2,,10000,,a&CHALLENGE/PMC_OILFIELD_SNIPER_AI_DETAIL_DESC,british,,,,835|1066,,,,,,,,,,,0,compound_set
835,iw9_ch_pmc_oilfield_travel,a&CHALLENGE/PMC_OILFIELD_SNIPER_AI_NAME,a&CHALLENGE/PMC_OILFIELD_TRAVEL_DESC,1,,0,,a&,,,,,,,,,,,,,,,,0,target
3935,iw9_ch_pmc_uav_tower_single,a&CHALLENGE/PMC_UAV_TOWER_SINGLE_NAME,a&CHALLENGE/PMC_UAV_TOWER_SINGLE_DESC,1,,5000,,a&CHALLENGE/PMC_UAV_TOWER_SINGLE_DETAIL_DESC,american,,,,,,,,,,,,84,,,0,target
1896,iw9_ch_pmc_loot_cache_extract_item,a&PMC/LOOT_CACHE_EXFIL_ITEM_NAME,a&,2,10397,5000,,a&PMC/LOOT_CACHE_EXFIL_ITEM_DETAIL_DESC,american,,,,38|3852,,,,,,,,,,,0,compound_set
38,iw9_ch_pmc_loot_cache,a&,a&PMC/LOOT_CACHE_DESC,5,,0,,a&,american,,,,,,,,,,,,,,,0,target
3852,iw9_ch_pmc_extract_any_item,a&,a&PMC/EXFIL_ITEM_DESC,5,,0,,a&,american,,,,,,,LOOT,,,,,,,,0,target
438,iw9_ch_pmc_ping_phone_start_contract,a&PMC/PING_PHONE_START_CONTRACT_NAME,a&,2,3946,5000,,a&PMC/PING_PHONE_START_CONTRACT_DETAIL_DESC,american,,,,2856|3823,,,,,,,,,,,0,compound_set
2856,iw9_ch_pmc_ping_phone,a&,a&PMC/PING_PHONE_DESC,1,,0,,a&,american,,,,,,,,,,,,,,,0,target
3823,iw9_ch_pmc_start_contract,a&,a&PMC/START_CONTRACT_DESC,1,,0,,a&,american,,,,,,,,,,,,,,,0,target
205,iw9_ch_pmc_clear_stronghold,a&PMC/CLEAR_STRONGHOLD_NAME,a&,3,13547|15946,5000,,a&PMC/CLEAR_STRONGHOLD_DETAIL_DESC,american,,,,3131|900|7477,,,,,,,,,,,0,compound_set
3131,iw9_ch_pmc_clear_stronghold_get_key,a&,a&PMC/CLEAR_STRONGHOLD_ACQUIRE_KEY_DESC,1,,0,,a&,american,,,,,8557,,LOOT,,,,,,,,0,target
900,iw9_ch_pmc_clear_stronghold_clear,a&,a&PMC/CLEAR_STRONGHOLD_DESC,1,,0,,a&,american,,,,,,,,,,,,,,,0,target
7477,iw9_ch_pmc_clear_stronghold_intel,a&,a&PMC/CLEAR_STRONGHOLD_INTEL_DESC,1,,0,,a&,british,,,,,10444,,EXTRACT,,,,,,,,0,target
2742,iw9_ch_pmc_demolition_safe,a&PMC/DEMOLITION_SAFE_NAME,a&,3,3948,5000,,a&PMC/DEMOLITION_SAFE_DETAIL_DESC,british,,,,1042|848|3893,,,,,,,,,,,0,compound_set
1042,iw9_ch_pmc_demolition_start_demo,a&,a&PMC/DEMOLITION_SAFE_START_DEMO_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
848,iw9_ch_pmc_demolition_end_demo,a&,a&PMC/DEMOLITION_SAFE_END_DEMO_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
3893,iw9_ch_pmc_demolition_open_safe,a&,a&PMC/DEMOLITION_SAFE_OPEN_SAFE_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
1704,iw9_ch_pmc_fuel_repair_loot_gas_cans,a&PMC/FUEL_REPAIR_LOOT_GAS_CANS_NAME,a&,2,,5000,,a&PMC/FUEL_REPAIR_LOOT_GAS_CANS_DETAIL_DESC,british,,,,1935|1746,,,,,,,,108,,,0,compound_set
1935,iw9_ch_pmc_fuel_repair_fuel,a&,a&PMC/FUEL_REPAIR_DESC,5,,0,,a&,british,,,,,,,,,,,,,,,0,target
1746,iw9_ch_pmc_fuel_repair_loot,a&,a&PMC/FUEL_REPAIR_LOOT_GAS_CANS_DESC,7,,0,,a&,british,,,,,8540,,EXTRACT,,,,,,,,0,target
278,iw9_ch_pmc_loot_extract_dog_tags,a&PMC/LOOT_EXTRACT_DOG_TAGS_NAME,a&,2,,7500,,a&PMC/LOOT_EXTRACT_DOG_TAGS_DETAIL_DESC,british,,,,256|7450,,,,,,,,14,,,0,compound_set
256,iw9_ch_pmc_extract_dog_tags,a&,a&PMC/LOOT_EXTRACT_DOG_TAGS_EXTRACT_DESC,4,,0,,a&,british,,,,,,,EXTRACT,8516|13448|13445|13447|13446,iw9_loot_id,,,,,,0,target
7450,iw9_ch_pmc_extract_faction_intel,a&,a&PMC/LOOT_EXTRACT_DOG_TAGS_INTEL_DESC,2,,0,,a&,british,,,,,11079,,EXTRACT,,,,,,,,0,target
2782,iw9_ch_pmc_medium_bird_story,a&PMC/MEDIUM_BIRD_STORY_NAME,a&,3,15028,10000,,a&PMC/MEDIUM_BIRD_STORY_DETAIL_DESC,british,,,,904|3934|9706,,,,,,,,,,,0,compound_set
988,iw9_ch_pmc_medium_bird_story_pilot,a&,a&PMC/MEDIUM_BIRD_STORY_PILOT_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
904,iw9_ch_pmc_medium_bird_story_land,a&,a&PMC/MEDIUM_BIRD_STORY_LAND_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
3934,iw9_ch_pmc_medium_bird_story_download,a&,a&PMC/MEDIUM_BIRD_STORY_DOWNLOAD_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
9706,iw9_ch_pmc_medium_bird_story_extract,a&,a&PMC/MEDIUM_BIRD_STORY_EXTRACT_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
87,iw9_ch_pmc_pickup_radio_kill_enemies,a&PMC/PICKUP_RADIO_KILL_ENEMIES_NAME,a&,2,,5000,,a&PMC/PICKUP_RADIO_KILL_ENEMIES_DETAIL_DESC,british,,,,2601|2744,,,,,,,,3,,,0,compound_set
2601,iw9_ch_pmc_pickup_radio_kill_enemies_pickup,a&,a&PMC/PICKUP_RADIO_KILL_ENEMIES_PICKUP_DESC,5,,0,,a&,british,,,,,,,,,,,,,,,0,target
2744,iw9_ch_pmc_pickup_radio_kill_enemies_kill,a&,a&PMC/PICKUP_RADIO_KILL_ENEMIES_KILL_DESC,15,,0,,a&,british,,,,,,,,,,,,,,,0,target
684,iw9_ch_pmc_complete_hunt_extract_weapon,a&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_NAME,a&,2,6808,5000,,a&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_DETAIL_DESC,british,,,,2770|3819,,,,,,,,,,,0,compound_set
2770,iw9_ch_pmc_complete_hunt_extract_weapon_hunt,a&,a&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_HUNT_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
3819,iw9_ch_pmc_complete_hunt_extract_weapon_extract,a&,a&PMC/COMPLETE_HUNT_EXTRACT_WEAPON_EXTRACT_DESC,1,,0,,a&,british,,,,,,1,,,,,,,,,0,target
563,iw9_ch_pmc_loot_sell_liquor,a&PMC/LOOT_SELL_LIQUOR_NAME,a&,2,,5000,,a&PMC/LOOT_SELL_LIQUOR_DETAIL_DESC,british,,,,123|662,,,,,,,,109,,,0,compound_set
123,iw9_ch_pmc_loot_sell_liquor_loot,a&,a&PMC/LOOT_SELL_LIQUOR_LOOT_DESC,12,,0,,a&,british,,,,,,,LOOT,13370|8578|8448|8547,iw9_loot_id,,,,,,0,target
662,iw9_ch_pmc_loot_sell_liquor_sell,a&,a&PMC/LOOT_SELL_LIQUOR_SELL_DESC,12,,0,,a&,british,,,,,,,,13370|8578|8448|8547,iw9_loot_id,,,,,,0,target
7374,iw9_ch_pmc_acquire_spend_cash,a&PMC/ACQUIRE_SPEND_CASH_NAME,a&,2,,7500,,a&PMC/ACQUIRE_SPEND_CASH_DETAIL_DESC,british,,,,7385|7405,,,,,,,,94,,,0,compound_set
7385,iw9_ch_pmc_acquire_spend_cash_acquire,a&,a&PMC/ACQUIRE_SPEND_CASH_ACQUIRE_DESC,60000,,0,,a&,british,,,,,8395,,LOOT,,,,,,,,0,target
7405,iw9_ch_pmc_acquire_spend_cash_spend,a&,a&PMC/ACQUIRE_SPEND_CASH_SPEND_DESC,60000,,0,,a&,british,,,,,,,,,,,,,,,0,target
7444,iw9_ch_pmc_geiger_loot,a&PMC/GEIGER_LOOT_NAME,a&,2,,7500,,a&PMC/GEIGER_LOOT_DETAIL_DESC,british,,,,7447|7445,,,,,,,,15,,,0,compound_set
7447,iw9_ch_pmc_geiger_loot_geiger,a&,a&PMC/GEIGER_LOOT_GEIGER_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7445,iw9_ch_pmc_geiger_loot_loot,a&,a&PMC/GEIGER_LOOT_LOOT_DESC,4,,0,,a&,british,,,,,,,LOOT,,,,,,,,0,target
7448,iw9_ch_pmc_drive_by_story,a&PMC/DRIVE_BY_STORY_NAME,a&,3,15931,15000,,a&PMC/DRIVE_BY_STORY_DETAIL_DESC,british,,,,7449|7452|7451,,,,,,,,,,,0,compound_set
7449,iw9_ch_pmc_drive_by_buy,a&,a&PMC/DRIVE_BY_STORY_BUY_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7452,iw9_ch_pmc_drive_by_kill,a&,a&PMC/DRIVE_BY_STORY_KILL_DESC,10,,0,,a&,british,,,,,,,,,,,,,,,0,target
7451,iw9_ch_pmc_drive_by_destroy,a&,a&PMC/DRIVE_BY_STORY_DESTROY_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7454,iw9_ch_pmc_extract_meds,a&PMC/EXTRACT_MEDS_NAME,a&,3,10145,5000,,a&PMC/EXTRACT_MEDS_DETAIL_DESC,british,,,,7455|7456|7453,,,,,,,,,,,0,compound_set
7455,iw9_ch_pmc_extract_meds_loot,a&,a&PMC/EXTRACT_MEDS_LOOT,1,,0,,a&,british,,,,,,,LOOT,,,,,,,,0,target
7456,iw9_ch_pmc_extract_meds_stims,a&,a&PMC/EXTRACT_MEDS_STIMS,9,,0,,a&,british,,,,,9111,,EXTRACT,,,,,,,,0,target
7453,iw9_ch_pmc_extract_meds_bandages,a&,a&PMC/EXTRACT_MEDS_BANDAGES,6,,0,,a&,british,,,,,13365,,EXTRACT,,,,,,,,0,target
7458,iw9_ch_pmc_two_birds_story,a&PMC/TWO_BIRDS_STORY_NAME,a&,3,15928,15000,,a&PMC/TWO_BIRDS_STORY_DETAIL_DESC,british,,,,7459|7473|7464,,,,,,,,,,,0,compound_set
7459,iw9_ch_pmc_two_birds_travel,a&,a&PMC/TWO_BIRDS_TRAVEL_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7473,iw9_ch_pmc_two_birds_kill,a&,a&PMC/TWO_BIRDS_KILL_DESC,18,,0,,a&,british,,,,,,,,,,,,,,,0,target
7464,iw9_ch_pmc_two_birds_destroy,a&,a&PMC/TWO_BIRDS_DESTROY_DESC,2,,0,,a&,british,,,,,,,,,,,,,,,0,target
7466,iw9_ch_pmc_cargo_fuel_repair,a&PMC/CARGO_FUEL_REPAIR_NAME,a&,2,,5000,,a&PMC/CARGO_FUEL_REPAIR_DETAIL_DESC,british,,,,7469|7463,,,,,,,,24,,,0,compound_set
7469,iw9_ch_pmc_cargo_fuel_repair_cargo,a&,a&PMC/CARGO_FUEL_REPAIR_CARGO_DESC,1,,0,,a&,british,,,,,,,,vehicledrive|boatdrive,iw9_activity_type,,,,,,0,target
7463,iw9_ch_pmc_cargo_fuel_repair_fuel_repair,a&,a&PMC/CARGO_FUEL_REPAIR_FUEL_REPAIR_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7465,iw9_ch_pmc_utility_deaddrop,a&PMC/UTILITY_DEADDROP_NAME,a&,3,,7500,,a&PMC/UTILITY_DEADDROP_DETAIL_DESC,british,,,,7471|7462|7474,,,,,,,,82,,,0,compound_set
7471,iw9_ch_pmc_utility_deaddrop_screws,a&,a&PMC/UTILITY_DEADDROP_SCREWDRIVERS,15,,0,,a&,british,,,,,13367,,DEAD_DROP,,,,,,,,0,target
7462,iw9_ch_pmc_utility_deaddrop_bulbs,a&,a&PMC/UTILITY_DEADDROP_LIGHTBULB_DESC,20,,0,,a&,british,,,,,13361,,DEAD_DROP,,,,,,,,0,target
7474,iw9_ch_pmc_utility_deaddrop_drill,a&,a&PMC/UTILITY_DEADDROP_DRILL_DESC,5,,0,,a&,british,,,,,8519,,DEAD_DROP,,,,,,,,0,target
7468,iw9_ch_pmc_solo_infil_exfil,a&PMC/SOLO_INFIL_EXFIL_NAME,a&,2,,5000,,a&PMC/SOLO_INFIL_EXFIL_DETAIL_DESC,british,,,,8763|8764,,,,,,,IW9_START_MATCH_EVENT,99,,,0,compound_set
8763,iw9_ch_pmc_solo_infil_exfil_infil,a&,a&PMC/SOLO_INFIL_EXFIL_INFIL_DESC,1,,0,,a&,british,,1,,,,,,,,,IW9_START_MATCH_EVENT,,,,0,target_with_reset
8764,iw9_ch_pmc_solo_infil_exfil_exfil,a&,a&PMC/SOLO_INFIL_EXFIL_EXFIL_DESC,1,,0,,a&,british,,1,,,,,,,,,IW9_START_MATCH_EVENT,,,,0,target_with_reset
7476,iw9_ch_pmc_request_assimilation,a&PMC/REQUEST_ASSIMILATION_NAME,a&PMC/REQUEST_ASSIMILATION_DESC,2,3948,5000,,a&PMC/REQUEST_ASSIMILATION_DETAIL_DESC,british,,,,,,,,,,,,,,,0,target
7472,iw9_ch_pmc_espionage_story,a&PMC/ESPIONAGE_STORY_NAME,a&,3,15932,15000,,a&PMC/ESPIONAGE_STORY_DETAIL_DESC,british,,,,7460|7461|7475,,,,,,,,,,,0,compound_set
7460,iw9_ch_pmc_espionage_story_loot,a&,a&PMC/ESPIONAGE_STORY_LOOT_DESC,1,,0,,a&,british,,,,,11247,,LOOT,,,,,,,,0,target
7461,iw9_ch_pmc_espionage_story_deliver,a&,a&PMC/ESPIONAGE_STORY_DELIVER_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7475,iw9_ch_pmc_espionage_story_plant,a&,a&PMC/ESPIONAGE_STORY_PLANT,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7494,iw9_ch_pmc_hack_kill_uav,a&PMC/HACK_KILL_UAV_NAME,a&,2,6932,7500,,a&PMC/HACK_KILL_UAV_DETAIL_DESC,british,,,,7480|7495,,,,,,,,,,,0,compound_set
7480,iw9_ch_pmc_hack_kill_uav_hack,a&,a&PMC/HACK_KILL_UAV_HACK_DESC,5,,0,,a&,british,,,,,,,,,,,,,,,0,target
7495,iw9_ch_pmc_hack_kill_uav_kill,a&,a&PMC/HACK_KILL_UAV_KILL_DESC,20,,0,,a&,british,,,,,,,,,,,,,,,0,target
7493,iw9_ch_pmc_buy_kill_precision,a&PMC/BUY_KILL_PRECISION_NAME,a&,2,,7500,,a&PMC/BUY_KILL_PRECISION_DETAIL_DESC,british,,,,7492|7483,,,,,,,,109,,,0,compound_set
7492,iw9_ch_pmc_buy_kill_precision_buy,a&,a&PMC/BUY_KILL_PRECISION_BUY_DESC,1,,0,,a&,british,,,,,9171,,,,,,,,,,0,target
7483,iw9_ch_pmc_buy_kill_precision_kill,a&,a&PMC/BUY_KILL_PRECISION_KILL_DESC,10,,0,,a&,british,,,,,,,,,,,,,,,0,target
7487,iw9_ch_pmc_hostage_exfil,a&PMC/HOSTAGE_EXFIL_NAME,a&,2,3946,7500,,a&PMC/HOSTAGE_EXFIL_DETAIL_DESC,british,,,,7486|7481,,,,,,,,,,,0,compound_set
7486,iw9_ch_pmc_hostage_exfil_hostage,a&,a&PMC/HOSTAGE_EXFIL_END_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7481,iw9_ch_pmc_hostage_exfil_exfil,a&,a&PMC/HOSTAGE_EXFIL_EXFIL_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7485,iw9_ch_pmc_run_over_repair,a&PMC/RUN_OVER_REPAIR_NAME,a&,2,,7500,,a&PMC/RUN_OVER_REPAIR_DETAIL_DESC,british,,,,7482|7484,,,,,,,,32,,,0,compound_set
7482,iw9_ch_pmc_run_over_repair_run,a&,a&PMC/RUN_OVER_REPAIR_RUN_DESC,16,,0,,a&,british,,,,,,,,,,,,,,,0,target
7484,iw9_ch_pmc_run_over_repair_repair,a&,a&PMC/RUN_OVER_REPAIR_REPAIR_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7489,iw9_ch_pmc_piracy_story,a&PMC/PIRACY_STORY_NAME,a&,3,,5000,,a&PMC/PIRACY_STORY_DETAIL_DESC,british,,,,7488|7490|7491,,,,,,,,,,,0,compound_set
7488,iw9_ch_pmc_piracy_story_board,a&,a&PMC/PIRACY_STORY_BOARD_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7490,iw9_ch_pmc_piracy_story_loot,a&,a&PMC/PIRACY_STORY_LOOT_DESC,1,,0,,a&,british,,,,,8647,,LOOT,,,,,,,,0,target
7491,iw9_ch_pmc_piracy_story_extract,a&,a&PMC/PIRACY_STORY_EXTRACT_DESC,1,,0,,a&,british,,,,,8647,,EXTRACT,,,,,,,,0,target
7918,iw9_ch_pmc_no_rushing_story,a&PMC/NO_RUSHING_STORY_NAME,a&,2,13548,20000,,a&PMC/NO_RUSHING_STORY_DETAIL_DESC,british,,,,7919|7920,,,,,,,,,,,0,compound_set
7919,iw9_ch_pmc_no_rushing_story_kill,a&,a&PMC/NO_RUSHING_STORY_KILL_DESC,10,,0,,a&,british,,,,,,,,,,,,,,,0,target
7920,iw9_ch_pmc_no_rushing_story_destroy,a&,a&PMC/NO_RUSHING_STORY_DESTROY_DESC,3,,0,,a&,british,,,,,,,,,,,,,,,0,target
7921,iw9_ch_pmc_sam_shoot_loot,a&PMC/SAM_SHOOT_LOOT_NAME,a&,3,,7500,,a&PMC/SAM_SHOOT_LOOT_DETAIL_DESC,british,,,,7922|7850|7923,,,,,,,,78,,,0,compound_set
7922,iw9_ch_pmc_sam_shoot_loot_capture,a&,a&PMC/SAM_SHOOT_LOOT_CAPTURE_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7850,iw9_ch_pmc_sam_shoot_loot_shoot,a&,a&PMC/SAM_SHOOT_LOOT_SHOOT_DESC,1,,0,,a&,british,,,,,,,,,,,,,,,0,target
7923,iw9_ch_pmc_sam_shoot_loot_loot,a&,a&PMC/SAM_SHOOT_LOOT_LOOT_DESC,1,,0,,a&,british,,,,,,,LOOT,,,,,,,,0,target
