string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int,string
23236,jup_founders_week2_2_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,,,,,,0,1701280800,1701799200,,,0,MP
23238,jup_founders_week2_2_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_2,15,,,,,,,0,1701280800,1701799200,,,0,OB
23239,jup_founders_week2_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,1,,3951,,,,23240|23242,0,1701280800,1701799200,,,0,MP|OB
23240,jup_founders_week2_3_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,10,,,,,,,0,1701280800,1701799200,,,0,MP
23242,jup_founders_week2_3_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_3,10,,,,,,,0,1701280800,1701799200,,,0,OB
23243,jup_founders_week2_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,1,,36614,,,,23244|23246,0,1701280800,1701799200,,,0,MP|OB
23244,jup_founders_week2_4_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,6,,,,,,,0,1701280800,1701799200,,,0,MP
23246,jup_founders_week2_4_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_4,4,,,,,,,0,1701280800,1701799200,,,0,OB
23247,jup_founders_week2_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,1,,37063,,,,23248|23249,0,1701280800,1701799200,,,0,MP|OB
23248,jup_founders_week2_5_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,MP
23249,jup_founders_week2_5_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_5,141,,,,,,,1,1701280800,1701799200,,,0,OB
23253,jup_founders_week3_mastery,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY_DESC,8,,,,,,23254|23257|23260|23263|23266|23344|23348|23352,,1701280800,1701799200,,,0,MP|OB|BR
23254,jup_founders_week3_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,3,,,,,,23255|23256|23271,0,1701280800,1701799200,,,0,MP|OB|BR
23255,jup_founders_week3_1_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,5,,,,,,,0,1701280800,1701799200,,,0,MP
23256,jup_founders_week3_1_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,5,,,,,,,0,1701280800,1701799200,,,0,OB
23271,jup_founders_week3_1_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,5,,,,,,,0,1701280800,1701799200,,,0,BR
23257,jup_founders_week3_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,3,,,,,,23258|23259|23273,0,1701280800,1701799200,,,0,MP|OB|BR
23258,jup_founders_week3_2_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,,,,,,0,1701280800,1701799200,,,0,MP
23259,jup_founders_week3_2_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,,,,,,0,1701280800,1701799200,,,0,OB
23273,jup_founders_week3_2_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,,,,,,0,1701280800,1701799200,,,0,BR
23260,jup_founders_week3_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,3,,,,,,23261|23262|23275,0,1701280800,1701799200,,,0,MP|OB|BR
23261,jup_founders_week3_3_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,10,,,,,,,0,1701280800,1701799200,,,0,MP
23262,jup_founders_week3_3_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,10,,,,,,,0,1701280800,1701799200,,,0,OB
23275,jup_founders_week3_3_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,10,,,,,,,0,1701280800,1701799200,,,0,BR
23263,jup_founders_week3_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,3,,,,,,23264|23265|23277,0,1701280800,1701799200,,,0,MP|OB|BR
23264,jup_founders_week3_4_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,6,,,,,,,0,1701280800,1701799200,,,0,MP
23265,jup_founders_week3_4_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,6,,,,,,,0,1701280800,1701799200,,,0,OB
23277,jup_founders_week3_4_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,6,,,,,,,0,1701280800,1701799200,,,0,BR
23266,jup_founders_week3_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,3,,,,,,23267|23268|23279,0,1701280800,1701799200,,,0,MP|OB|BR
23267,jup_founders_week3_5_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,MP
23268,jup_founders_week3_5_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,OB
23279,jup_founders_week3_5_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,BR
23344,jup_founders_week3_6,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,3,,,,,,23345|23346|23347,0,1701280800,1701799200,,,0,MP|OB|BR
23345,jup_founders_week3_6_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,MP
23346,jup_founders_week3_6_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,OB
23347,jup_founders_week3_6_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1,1701280800,1701799200,,,0,BR
23348,jup_founders_week3_7,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,3,,,,,,23349|23350|23351,0,1701280800,1701799200,,,0,MP|OB|BR
23349,jup_founders_week3_7_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,500,,,,,,,1,1701280800,1701799200,,,0,MP
23350,jup_founders_week3_7_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,500,,,,,,,1,1701280800,1701799200,,,0,OB
23351,jup_founders_week3_7_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,500,,,,,,,1,1701280800,1701799200,,,0,BR
23352,jup_founders_week3_8,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,3,,,,,,23353|23354|23355,0,1701280800,1701799200,,,0,MP|OB|BR
23353,jup_founders_week3_8_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,1410,,,,,,,1,1701280800,1701799200,,,0,MP
23354,jup_founders_week3_8_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,1410,,,,,,,1,1701280800,1701799200,,,0,OB
23355,jup_founders_week3_8_br,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,1410,,,,,,,1,1701280800,1701799200,,,0,BR
22162,jup_codmas_mastery,a&JUP_CHALLENGE/JUP_CODMAS_MASTERY,a&JUP_CHALLENGE/JUP_CODMAS_MASTERY_DESC,7,,37063,,,,22164|22166|22167|22168|22169|22170|22189,,1703095200,1704218400,,,0,MP|OB|BR
22164,jup_codmas_1,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_1_DESC,1,,36897,,,,25689|25697|25710,,1703095200,1704218400,,,0,MP|OB|BR
25689,jup_codmas_1_mp,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_1_DESC,40,,,,,,,,1703095200,1704218400,,,0,MP
25697,jup_codmas_1_ob,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_OB_EVENT_CHALLENGES/CODMAS_1,1,,,,,,,,1703095200,1704218400,,,0,OB
25710,jup_codmas_1_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_1,1,,,,,,,,1703095200,1704218400,,,0,BR
22166,jup_codmas_2,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_CHALLENGE/JUP_CODMAS_2_DESC,1,,3942,,,,25695|25704|25717,,1703095200,1704218400,,,0,MP|OB|BR
25695,jup_codmas_2_mp,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_CHALLENGE/JUP_CODMAS_2_DESC,40,,,,,,,,1703095200,1704218400,,,0,MP
25704,jup_codmas_2_ob,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_OB_EVENT_CHALLENGES/CODMAS_2,1,,,,,,,,1703095200,1704218400,,,0,OB
25717,jup_codmas_2_br,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_CHALLENGE/JUP_CODMAS_2,1,,,,,,,,1703095200,1704218400,,,0,BR
22167,jup_codmas_3,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_CHALLENGE/JUP_CODMAS_3_DESC,1,,37063,,,,25690|25705|25718,,1703095200,1704218400,,,0,MP|OB|BR
25690,jup_codmas_3_mp,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_CHALLENGE/JUP_CODMAS_3_DESC,100,,,,,,,,1703095200,1704218400,,,0,MP
25705,jup_codmas_3_ob,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_OB_EVENT_CHALLENGES/CODMAS_3,1,,,,,,,,1703095200,1704218400,,,0,OB
25718,jup_codmas_3_br,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_CHALLENGE/JUP_CODMAS_3,1,,,,,,,,1703095200,1704218400,,,0,BR
22168,jup_codmas_4,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_CHALLENGE/JUP_CODMAS_4_DESC,1,,43133,,,,25691|25706|25719,,1703095200,1704218400,,,0,MP|OB|BR
25691,jup_codmas_4_mp,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_CHALLENGE/JUP_CODMAS_4_DESC,6,,,,,,,,1703095200,1704218400,,,0,MP
25706,jup_codmas_4_ob,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_OB_EVENT_CHALLENGES/CODMAS_4,1,,,,,,,,1703095200,1704218400,,,0,OB
25719,jup_codmas_4_br,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_CHALLENGE/JUP_CODMAS_4,1,,,,,,,,1703095200,1704218400,,,0,BR
22169,jup_codmas_5,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_CHALLENGE/JUP_CODMAS_5_DESC,1,,44338,,,,25692|25707|25720,,1703095200,1704218400,,,0,MP|OB|BR
25692,jup_codmas_5_mp,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_CHALLENGE/JUP_CODMAS_5_DESC,40,,,,,,,,1703095200,1704218400,,,0,MP
25707,jup_codmas_5_ob,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_OB_EVENT_CHALLENGES/CODMAS_5,1,,,,,,,,1703095200,1704218400,,,0,OB
25720,jup_codmas_5_br,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_CHALLENGE/JUP_CODMAS_5,1,,,,,,,,1703095200,1704218400,,,0,BR
22170,jup_codmas_6,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_CHALLENGE/JUP_CODMAS_6_DESC,1,,39199,,,,25693|25708|25721,,1703095200,1704218400,,,0,MP|OB|BR
25693,jup_codmas_6_mp,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_CHALLENGE/JUP_CODMAS_6_DESC,30,,,,,,,,1703095200,1704218400,,,0,MP
25708,jup_codmas_6_ob,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_OB_EVENT_CHALLENGES/CODMAS_6,1,,,,,,,,1703095200,1704218400,,,0,OB
25721,jup_codmas_6_br,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_CHALLENGE/JUP_CODMAS_6,1,,,,,,,,1703095200,1704218400,,,0,BR
22189,jup_codmas_7,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_CHALLENGE/JUP_CODMAS_7_DESC,1,,33312,,,,25694|25709|25722,,1703095200,1704218400,,,0,MP|OB|BR
25694,jup_codmas_7_mp,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_CHALLENGE/JUP_CODMAS_7_DESC,5,,,,,,,,1703095200,1704218400,,,0,MP
25709,jup_codmas_7_ob,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_OB_EVENT_CHALLENGES/CODMAS_7,1,,,,,,,,1703095200,1704218400,,,0,OB
25722,jup_codmas_7_br,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_CHALLENGE/JUP_CODMAS_7,1,,,,,,,,1703095200,1704218400,,,0,BR
23294,jup_the_boys_mastery,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY_DESC,6,,37063,,,,23295|23296|23298|23299|23300|23301,,1704909600,1706637600,,,0,MP|OB|BR
23295,jup_the_boys_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1_DESC,1,,44251,,,,25737|25738|25739,0,1704909600,1706637600,,,0,MP|OB|BR
25737,jup_the_boys_1_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1_DESC,7,,,,,,,0,1704909600,1706637600,,,0,MP
25738,jup_the_boys_1_ob,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_OB_EVENT_CHALLENGES/THE_BOYS_1,1,,,,,,,0,1704909600,1706637600,,,0,OB
25739,jup_the_boys_1_br,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1_DESC,1,,,,,,,0,1704909600,1706637600,,,0,BR
23296,jup_the_boys_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2_DESC,1,,44496,,,,25741|25742|25743,0,1704909600,1706637600,,,0,MP|OB|BR
25741,jup_the_boys_2_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2_DESC,5,,,,,,,0,1704909600,1706637600,,,0,MP
25742,jup_the_boys_2_ob,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2_DESC,1,,,,,,,0,1704909600,1706637600,,,0,OB
25743,jup_the_boys_2_br,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2_DESC,1,,,,,,,0,1704909600,1706637600,,,0,BR
23298,jup_the_boys_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3_DESC,1,,37063,,,,25757|25758|25759,0,1704909600,1706637600,,,0,MP|OB|BR
25757,jup_the_boys_3_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3_DESC,10,,,,,,,0,1704909600,1706637600,,,0,MP
25758,jup_the_boys_3_ob,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3_DESC,1,,,,,,,0,1704909600,1706637600,,,0,OB
25759,jup_the_boys_3_br,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3_DESC,1,,,,,,,0,1704909600,1706637600,,,0,BR
23299,jup_the_boys_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4_DESC,1,,39744,,,,25770|25771|25772,0,1704909600,1706637600,,,0,MP|OB|BR
25770,jup_the_boys_4_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4_DESC,25,,,,,,,0,1704909600,1706637600,,,0,MP
25771,jup_the_boys_4_ob,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_OB_EVENT_CHALLENGES/THE_BOYS_1,1,,,,,,,0,1704909600,1706637600,,,0,OB
25772,jup_the_boys_4_br,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4_DESC,1,,,,,,,0,1704909600,1706637600,,,0,BR
23300,jup_the_boys_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5_DESC,1,,43526,,,,25773|25774|25775,0,1704909600,1706637600,,,0,MP|OB|BR
25773,jup_the_boys_5_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5_DESC,25,,,,,,,1,1704909600,1706637600,,,0,MP
25774,jup_the_boys_5_ob,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_OB_EVENT_CHALLENGES/THE_BOYS_5,1,,,,,,,1,1704909600,1706637600,,,0,OB
25775,jup_the_boys_5_br,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5_DESC,1,,,,,,,1,1704909600,1706637600,,,0,BR
23301,jup_the_boys_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6_DESC,1,,3955,,,,25776|25778|25777,0,1704909600,1706637600,,,0,MP|OB|BR
25776,jup_the_boys_6_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6_DESC,7,,,,,,,1,1704909600,1706637600,,,0,MP
25778,jup_the_boys_6_ob,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_OB_EVENT_CHALLENGES/THE_BOYS_6,1,,,,,,,1,1704909600,1706637600,,,0,OB
25777,jup_the_boys_6_br,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6_DESC,1,,,,,,,1,1704909600,1706637600,,,0,BR
23302,jup_the_seven_mastery,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY_DESC,6,,37063,,,,23303|23304|23305|23306|23307|23308,,1706119200,1706637600,,,0,MP|OB|BR
23303,jup_the_seven_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1_DESC,1,,44252,,,,25838|25840|25839,0,1706119200,1706637600,,,0,MP|OB|BR
25838,jup_the_seven_1_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1_DESC,1,,,,,,,0,1706119200,1706637600,,,0,MP
25840,jup_the_seven_1_ob,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_DESC,1,,,,,,,0,1706119200,1706637600,,,0,OB
25839,jup_the_seven_1_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1_DESC,1,,,,,,,0,1706119200,1706637600,,,0,BR
23304,jup_the_seven_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_DESC,1,,44497,,,,25841|25843|25842,0,1706119200,1706637600,,,0,MP|OB|BR
25841,jup_the_seven_2_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_DESC,20,,,,,,,0,1706119200,1706637600,,,0,MP
25843,jup_the_seven_2_ob,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_DESC,1,,,,,,,0,1706119200,1706637600,,,0,OB
25842,jup_the_seven_2_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_DESC,1,,,,,,,0,1706119200,1706637600,,,0,BR
23305,jup_the_seven_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3_DESC,1,,37063,,,,25844|25846|25845,0,1706119200,1706637600,,,0,MP|OB|BR
25844,jup_the_seven_3_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3_DESC,45,,,,,,,0,1706119200,1706637600,,,0,MP
25846,jup_the_seven_3_ob,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3_DESC,1,,,,,,,0,1706119200,1706637600,,,0,OB
25845,jup_the_seven_3_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3_DESC,1,,,,,,,0,1706119200,1706637600,,,0,BR
23306,jup_the_seven_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4_DESC,1,,44140,,,,25847|25849|25848,0,1706119200,1706637600,,,0,MP|OB|BR
